business_name,phone,email,website,address,city,state,zip,first_name,last_name,rating,reviews,niche,voice,carrier_type,load_date,tags
Concrete Construction 23,+18176882642,,https://concreteconstruction23.com/,"3817 8th Ave, Fort Worth, TX 76110",Fort Worth,TX,76110,,,5,39,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Texan Concrete Specialist,+16829705887,,https://www.txconcretespecialist.com/,"904 Cresthaven Dr, Euless, TX 76040",Euless,TX,76040,,,4.8,117,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
DFW Solid Concrete,+19729228156,,https://www.dfwsolidconcrete.com/,"10210 Monroe Dr, Dallas, TX 75229",Dallas,TX,75229,,,4.7,13,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
DFW Solid Concrete,+19729228156,,https://www.dfwsolidconcrete.com/,"10210 Monroe Dr, Dallas, TX 75229",Dallas,TX,75229,,,4.7,13,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
DFW Solid Concrete,+19729228156,,https://www.dfwsolidconcrete.com/,"10210 Monroe Dr, Dallas, TX 75229",Dallas,TX,75229,,,4.7,13,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Devil Dog's Concrete,+18177059020,,http://ddc-concrete.com/,"2220 Prairie Ave, Fort Worth, TX 76164",Fort Worth,TX,76164,,,4.1,26,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"Mogotes Concrete, Inc.",+18172396737,,https://mogotesconcrete.com/,"7204 Autumn Park Dr, Forest Hill, TX 76140",Forest Hill,TX,76140,,,5,28,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"Mogotes Concrete, Inc.",+18172396737,,https://mogotesconcrete.com/,"7204 Autumn Park Dr, Forest Hill, TX 76140",Forest Hill,TX,76140,,,5,28,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"Mogotes Concrete, Inc.",+18172396737,,https://mogotesconcrete.com/,"7204 Autumn Park Dr, Forest Hill, TX 76140",Forest Hill,TX,76140,,,5,28,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Texas Foundation Experts,+16822876611,,https://www.tfexperts.com/,"640 Taylor St Suite 1200, Fort Worth, TX 76102",Fort Worth,TX,76102,,,5,165,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Texas Foundation Experts,+16822876611,,https://www.tfexperts.com/,"640 Taylor St Suite 1200, Fort Worth, TX 76102",Fort Worth,TX,76102,,,5,165,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Texas Foundation Experts,+16822876611,,https://www.tfexperts.com/,"640 Taylor St Suite 1200, Fort Worth, TX 76102",Fort Worth,TX,76102,,,5,165,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Two Gators Concrete LLC.,+18174203394,,http://twogatorsconcrete.com/,"305 Allison Ln, Fort Worth, TX 76140",Fort Worth,TX,76140,,,4.9,54,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"SolCrete, LLC",+19405949257,,https://www.solcrete.com/,"4112 Misty Meadow Dr, Fort Worth, TX 76133",Fort Worth,TX,76133,,,4.4,13,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
ABF Concrete LLC | All Types Of Fundations |Flat work & Retaining Walls |Commercial & Residential Paving in Ennis TX,+14693378802,,http://abfconcretellc.com/,"2213 Sherwood Dr, Ennis, TX 75119",Ennis,TX,75119,,,5,9,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
ABF Concrete LLC | All Types Of Fundations |Flat work & Retaining Walls |Commercial & Residential Paving in Ennis TX,+14693378802,,http://abfconcretellc.com/,"2213 Sherwood Dr, Ennis, TX 75119",Ennis,TX,75119,,,5,9,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
ABF Concrete LLC | All Types Of Fundations |Flat work & Retaining Walls |Commercial & Residential Paving in Ennis TX,+14693378802,,http://abfconcretellc.com/,"2213 Sherwood Dr, Ennis, TX 75119",Ennis,TX,75119,,,5,9,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Craftsman Concrete Floors,+12146635848,,https://www.craftsmanconcretefloors.com/locations/dallas/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_dallas,"1011 Folsom St, Dallas, TX 75208",Dallas,TX,75208,,,5,16,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Craftsman Concrete Floors,+12146635848,,https://www.craftsmanconcretefloors.com/locations/dallas/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_dallas,"1011 Folsom St, Dallas, TX 75208",Dallas,TX,75208,,,5,16,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Craftsman Concrete Floors,+12146635848,,https://www.craftsmanconcretefloors.com/locations/dallas/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_dallas,"1011 Folsom St, Dallas, TX 75208",Dallas,TX,75208,,,5,16,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
New Road Concrete LLC.,+12145791825,,http://www.newroadconcrete.com/,"Grand Prairie, TX 75051",Grand Prairie,TX,75051,,,4.6,11,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
New Road Concrete LLC.,+12145791825,,http://www.newroadconcrete.com/,"Grand Prairie, TX 75051",Grand Prairie,TX,75051,,,4.6,11,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
New Road Concrete LLC.,+12145791825,,http://www.newroadconcrete.com/,"Grand Prairie, TX 75051",Grand Prairie,TX,75051,,,4.6,11,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Gerardo Reyna and Sons,+16824333271,,https://grsconcrete.com/,"1225 Woodland Ave, Fort Worth, TX 76110",Fort Worth,TX,76110,,,4,8,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
HD Foundation Repair Fort Worth,+18177985656,,https://hdfoundationrepair.com/foundation-repair-fort-worth/,"420 Throckmorton St Suite 200, Fort Worth, TX 76102",Fort Worth,TX,76102,,,4.4,17,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
HD Foundation Repair Fort Worth,+18177985656,,https://hdfoundationrepair.com/foundation-repair-fort-worth/,"420 Throckmorton St Suite 200, Fort Worth, TX 76102",Fort Worth,TX,76102,,,4.4,17,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
HD Foundation Repair Fort Worth,+18177985656,,https://hdfoundationrepair.com/foundation-repair-fort-worth/,"420 Throckmorton St Suite 200, Fort Worth, TX 76102",Fort Worth,TX,76102,,,4.4,17,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"B&P Foundation Repair, Inc.",+18178212394,,http://www.bandpfoundationrepairtx.com/,"3505 Airport Fwy, Fort Worth, TX 76111",Fort Worth,TX,76111,,,4.9,143,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Extreme Concrete Construction LLC,+12146060727,,http://www.extremeconcreteconstructionllc.com/,"102 W Broad St Unit 163, Forney, TX 75126",Forney,TX,75126,,,4.7,22,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Pro Quality Concrete,+14697042729,,http://proqualityconcrete.com/,"5055 W. Park Boulevard, Plano, TX 75074",Plano,TX,75074,,,4.9,260,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Concrete Solutions,+12145660917,,http://dallasconcretesolutions.com/,"2830 Akron St, Dallas, TX 75212",Dallas,TX,75212,,,5,4,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Patron Construction Materials,+12143476869,,https://www.patroncm.com/,"2866 Fort Worth Ave, Dallas, TX 75211",Dallas,TX,75211,,,4.8,446,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Chavez Concrete & Fence LLC,+12146098022,,https://jchavezconcretellc.com/,"Glenview St, Dallas, TX 75217",Dallas,TX,75217,,,5,4,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
D & A Concrete Designs,+14699894444,,https://www.facebook.com/profile.php%3Fid%3D100090049915423%26mibextid%3DZbWKwL,"5796 E State Hwy 114, Haslet, TX 76052",Haslet,TX,76052,,,5,2,concrete,chris,mobile,2026-02-16,"concrete_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
