business_name,phone,email,website,address,city,state,zip,first_name,last_name,rating,reviews,niche,voice,carrier_type,load_date,tags
Douglas Electrical Services,+18176571341,,https://www.douglaselectricalservices.net/,"731 N Commerce St, Fort Worth, TX 76164",Fort Worth,TX,76164,,,4.9,135,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
B&B Electric,+18176008376,,http://www.bnb-electric.com/,"1361 W Euless Blvd Suite 111, Euless, TX 76040",Euless,TX,76040,,,5,214,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
EMSR Electrical Contractors,+18174017841,,https://emsr-ec.com/dallas-texas-electrical-contractor/,"2626 Cole Ave suit 300, Dallas, TX 75204",Dallas,TX,75204,,,4.9,29,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
EMSR Electrical Contractors,+18174017841,,https://emsr-ec.com/dallas-texas-electrical-contractor/,"2626 Cole Ave suit 300, Dallas, TX 75204",Dallas,TX,75204,,,4.9,29,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
"A.V.A. Electric, LLC",+13149609446,,http://ava-electric.com/,"7845 Kermit Ave, Fort Worth, TX 76116",Fort Worth,TX,76116,,,5,52,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
All Spark Electric,+12147895114,,https://callallsparkelectric.com/,"1007 Horse Creek Rd Suite 3, Crowley, TX 76036",Crowley,TX,76036,,,5,96,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
All Spark Electric,+12147895114,,https://callallsparkelectric.com/,"1007 Horse Creek Rd Suite 3, Crowley, TX 76036",Crowley,TX,76036,,,5,96,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Brown Electric,+18179053601,,https://www.brown-electric.com/,"10964 Silver Horn Dr, Fort Worth, TX 76108",Fort Worth,TX,76108,,,4.9,97,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Tiger Strike Electric,+16824088261,,https://www.tigerstrikeelectric.com/,"4699 Fossil Vista Dr #6311, Haltom City, TX 76137",Haltom City,TX,76137,,,5,82,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Panther City Electric,+16823338704,,https://panthercityelectric.com/,"3904 Van Deman Dr, Benbrook, TX 76116",Benbrook,TX,76116,,,5,50,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Enlight Electric,+18178081323,,https://www.enlightelectrictx.com/,"417 Foxcraft Dr, Fort Worth, TX 76131",Fort Worth,TX,76131,,,5,67,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Enlight Electric,+18178081323,,https://www.enlightelectrictx.com/,"417 Foxcraft Dr, Fort Worth, TX 76131",Fort Worth,TX,76131,,,5,67,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Elizondo Electric,+12144344122,,http://elizondoelectric.net/,"855 n master, 8118 Melinda Ln, Dallas, TX 75217",Dallas,TX,75217,,,4.8,47,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
5th Generation Electric LLC,+12147281977,,http://www.5thgenelectric.com/,"1515 N Town E Blvd, Mesquite, TX 75150",Mesquite,TX,75150,,,4.9,191,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
5th Generation Electric LLC,+12147281977,,http://www.5thgenelectric.com/,"1515 N Town E Blvd, Mesquite, TX 75150",Mesquite,TX,75150,,,4.9,191,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
PMC Electric LLC,+16824143213,,https://pmcelectricllc.com/,"777 Main St, Fort Worth, TX 76102",Fort Worth,TX,76102,,,5,26,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
S&R Electrical Contractor LLC,+12149076761,,http://www.eleseco.com/,"1816 Hickory Dr, Haltom City, TX 76117",Haltom City,TX,76117,,,4.9,98,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
S&R Electrical Contractor LLC,+12149076761,,http://www.eleseco.com/,"1816 Hickory Dr, Haltom City, TX 76117",Haltom City,TX,76117,,,4.9,98,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
S&R Electrical Contractor LLC,+12149076761,,http://www.eleseco.com/,"1816 Hickory Dr, Haltom City, TX 76117",Haltom City,TX,76117,,,4.9,98,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
EMSR - Electrical Contractors - Fort Worth,+18174017841,,https://emsr-ec.com/,"640 Taylor St Suite 1200, Fort Worth, TX 76102",Fort Worth,TX,76102,,,5,5,electricians,eric,mobile,2026-02-16,"electricians_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
