business_name,phone,email,website,address,city,state,zip,first_name,last_name,rating,reviews,niche,voice,carrier_type,load_date,tags
King of Kings Fence,+14692589458,,https://kingofkingsfence.com/,"3415 Beall St, Dallas, TX 75223",Dallas,TX,75223,,,4.9,207,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
King of Kings Fence,+14692589458,,https://kingofkingsfence.com/,"3415 Beall St, Dallas, TX 75223",Dallas,TX,75223,,,4.9,207,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Ft. Worth Fence and Patio,+16825642372,,http://ftworthfenceandpatio.com/,"2821 McLemore Ave, Fort Worth, TX 76111",Fort Worth,TX,76111,,,5,79,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Hardy Fence - Fort Worth,+18174688859,,http://www.hardyfence.com/,"3165 Sabine St, Fort Worth, TX 76119",Fort Worth,TX,76119,,,4.9,70,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Hardy Fence - Fort Worth,+18174688859,,http://www.hardyfence.com/,"3165 Sabine St, Fort Worth, TX 76119",Fort Worth,TX,76119,,,4.9,70,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Hardy Fence - Fort Worth,+18174688859,,http://www.hardyfence.com/,"3165 Sabine St, Fort Worth, TX 76119",Fort Worth,TX,76119,,,4.9,70,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Better Fence Company - Fort Worth,+12147990079,,https://www.abetterfencecompany.com/,"1949 Golden Heights Rd Suite 112, Fort Worth, TX 76177",Fort Worth,TX,76177,,,5,2,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Better Fence Company - Fort Worth,+12147990079,,https://www.abetterfencecompany.com/,"1949 Golden Heights Rd Suite 112, Fort Worth, TX 76177",Fort Worth,TX,76177,,,5,2,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Curb Appeal Fence Company Dallas,+12143923043,,https://curbappealwoodcare.com/,"1910 Pacific Ave Suite 17188, Dallas, TX 75201",Dallas,TX,75201,,,4.9,115,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Curb Appeal Fence Company Dallas,+12143923043,,https://curbappealwoodcare.com/,"1910 Pacific Ave Suite 17188, Dallas, TX 75201",Dallas,TX,75201,,,4.9,115,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Curb Appeal Fence Company Dallas,+12143923043,,https://curbappealwoodcare.com/,"1910 Pacific Ave Suite 17188, Dallas, TX 75201",Dallas,TX,75201,,,4.9,115,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Magnolia Fence & Patio,+18179957467,,https://magnoliafenceandpatio.com/,"340 Thomas Pl, Everman, TX 76140",Everman,TX,76140,,,4.9,638,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Magnolia Fence & Patio,+18179957467,,https://magnoliafenceandpatio.com/,"340 Thomas Pl, Everman, TX 76140",Everman,TX,76140,,,4.9,638,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Magnolia Fence & Patio,+18179957467,,https://magnoliafenceandpatio.com/,"340 Thomas Pl, Everman, TX 76140",Everman,TX,76140,,,4.9,638,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Fort Worth Custom Fence,+18173431173,,https://fortworthcustomfence.com/,"150 Springwood Rnch Lp, Springtown, TX 76082",Springtown,TX,76082,,,5,86,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Fort Worth Custom Fence,+18173431173,,https://fortworthcustomfence.com/,"150 Springwood Rnch Lp, Springtown, TX 76082",Springtown,TX,76082,,,5,86,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Fort Worth Custom Fence,+18173431173,,https://fortworthcustomfence.com/,"150 Springwood Rnch Lp, Springtown, TX 76082",Springtown,TX,76082,,,5,86,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Teds Custom Fence,+18173196939,,https://www.tedscustomfence.com/,"117 Westfork Dr, Fort Worth, TX 76114",Fort Worth,TX,76114,,,5,1,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Lifetime Fence Company,+18179083882,,http://www.lifetimewarrantyfence.com/fort-worth-tx/,"1949 Golden Heights Rd #102, Fort Worth, TX 76177",Fort Worth,TX,76177,,,4.9,287,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Lifetime Fence Company,+18179083882,,http://www.lifetimewarrantyfence.com/fort-worth-tx/,"1949 Golden Heights Rd #102, Fort Worth, TX 76177",Fort Worth,TX,76177,,,4.9,287,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
DFW Fence Pro,+19724693661,,https://www.dfwfencepro.com/,"1402 S Custer Rd Ste 1001, McKinney, TX 75072",McKinney,TX,75072,,,4.7,318,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
EverFence,+19729555074,,https://everfence.com/service-areas/dallas-fence-installation/,"2530 Glenda Ln, Dallas, TX 75229",Dallas,TX,75229,,,4.5,65,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
EverFence,+19729555074,,https://everfence.com/service-areas/dallas-fence-installation/,"2530 Glenda Ln, Dallas, TX 75229",Dallas,TX,75229,,,4.5,65,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
EverFence,+19729555074,,https://everfence.com/service-areas/dallas-fence-installation/,"2530 Glenda Ln, Dallas, TX 75229",Dallas,TX,75229,,,4.5,65,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Viking Fence and Rental Company (DFW),+18172694901,,https://rentviking.com/fort-worth/,"11308 S Pipeline Rd, Fort Worth, TX 76040",Fort Worth,TX,76040,,,4.2,24,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Viking Fence and Rental Company (DFW),+18172694901,,https://rentviking.com/fort-worth/,"11308 S Pipeline Rd, Fort Worth, TX 76040",Fort Worth,TX,76040,,,4.2,24,fence,eric,mobile,2026-02-16,"fence_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
