business_name,phone,email,website,address,city,state,zip,first_name,last_name,rating,reviews,niche,voice,carrier_type,load_date,tags
DFW Construction,+18177153115,,http://dfwconstruction.com/,"196 Covered Bridge Dr, Fort Worth, TX 76108",Fort Worth,TX,76108,,,4.9,36,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
DFW Construction,+18177153115,,http://dfwconstruction.com/,"196 Covered Bridge Dr, Fort Worth, TX 76108",Fort Worth,TX,76108,,,4.9,36,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
ELITE Construction,+14696693902,,https://eliteconstructionusa.com/,"1412 Main St Suite 2650, Dallas, TX 75202",Dallas,TX,75202,,,4.8,19,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
ELITE Construction,+14696693902,,https://eliteconstructionusa.com/,"1412 Main St Suite 2650, Dallas, TX 75202",Dallas,TX,75202,,,4.8,19,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
ELITE Construction,+14696693902,,https://eliteconstructionusa.com/,"1412 Main St Suite 2650, Dallas, TX 75202",Dallas,TX,75202,,,4.8,19,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Prime Construction & General Contractors LLC,+19723221690,,http://primeconstructiongc.com/,"325 North St. Paul Street Suite 3100, Dallas, TX 75201",Dallas,TX,75201,,,5,13,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Prime Construction & General Contractors LLC,+19723221690,,http://primeconstructiongc.com/,"325 North St. Paul Street Suite 3100, Dallas, TX 75201",Dallas,TX,75201,,,5,13,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
JJ GENERAL CONTRACTOR,+12142139249,,http://www.instagram.com/GCJUANVALADEZ,"3517 Esplendor Ave, Irving, TX 75062",Irving,TX,75062,,,4.9,72,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Dallas construction Bh,+15056109389,,https://dallasconstructionbh.com/,"1801 N Pearl St, Dallas, TX 75201",Dallas,TX,75201,,,5,22,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Dallas construction Bh,+15056109389,,https://dallasconstructionbh.com/,"1801 N Pearl St, Dallas, TX 75201",Dallas,TX,75201,,,5,22,general_contractors,eric,mobile,2026-02-16,"general_contractors_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
