business_name,phone,email,website,address,city,state,zip,first_name,last_name,rating,reviews,niche,voice,carrier_type,load_date,tags
Texas Landscape Services of Dallas/Fort Worth,+14694559733,,https://txlandscapeservices.com/,"10841 FM1385, Pilot Point, TX 76258",Pilot Point,TX,76258,,,4.9,36,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
High Quality Landscape Services,+19729032749,,http://hqlawns.com/%3Fref%3DGBP,"17726 Frank Jackson Dr Suite 100, Dallas, TX 75252",Dallas,TX,75252,,,4.5,19,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Hoyer's Home Lawn and Garden,+16823805754,,https://www.hoyerslandscaping.com/,"5800 Hen House Rd, Fort Worth, TX 76244",Fort Worth,TX,76244,,,4.7,83,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Daily Golden Deals,+18177230814,,https://dilandscape.com/,"2140 S Main St, Fort Worth, TX 76110",Fort Worth,TX,76110,,,4.9,30,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Daily Golden Deals,+18177230814,,https://dilandscape.com/,"2140 S Main St, Fort Worth, TX 76110",Fort Worth,TX,76110,,,4.9,30,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
R & O Landscape Services,+18179444592,,http://www.randolandscape.com/,"9721 Forney Trail, Keller, TX 76244",Keller,TX,76244,,,4.6,65,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Texas Outdoor Solutions,+12145646252,,https://linktr.ee/texasoutdoorsolutions,"12953 Trinity Blvd Suite 121, Euless, TX 76040",Euless,TX,76040,,,4.9,60,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Texas Outdoor Solutions,+12145646252,,https://linktr.ee/texasoutdoorsolutions,"12953 Trinity Blvd Suite 121, Euless, TX 76040",Euless,TX,76040,,,4.9,60,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Texas Outdoor Solutions,+12145646252,,https://linktr.ee/texasoutdoorsolutions,"12953 Trinity Blvd Suite 121, Euless, TX 76040",Euless,TX,76040,,,4.9,60,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Valadez Landscaping LLC,+16825593611,,http://www.metroplexlawncare.com/,"5540 Bong Dr, Fort Worth, TX 76112",Fort Worth,TX,76112,,,4.9,29,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Valadez Landscaping LLC,+16825593611,,http://www.metroplexlawncare.com/,"5540 Bong Dr, Fort Worth, TX 76112",Fort Worth,TX,76112,,,4.9,29,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Landscape Lighting and Design,+18179370204,,http://www.landscapelightinganddesign.com/,"7381 W Vickery Blvd, Benbrook, TX 76116",Benbrook,TX,76116,,,4.7,13,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
McShane Landscaping DFW,+12145313077,,http://mcshanelandscapingdfw.com/,"2038 SE 4th St, Grand Prairie, TX 75051",Grand Prairie,TX,75051,,,5,49,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
McShane Landscaping DFW,+12145313077,,http://mcshanelandscapingdfw.com/,"2038 SE 4th St, Grand Prairie, TX 75051",Grand Prairie,TX,75051,,,5,49,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
McShane Landscaping DFW,+12145313077,,http://mcshanelandscapingdfw.com/,"2038 SE 4th St, Grand Prairie, TX 75051",Grand Prairie,TX,75051,,,5,49,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
BROTHERS LANDSCAPING,+12148649815,,http://www.facebook.com/lawn.pro.3,"729 Cindy Ln, Grand Prairie, TX 75052",Grand Prairie,TX,75052,,,4.8,32,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
The Urban Gardener,+12142084043,,http://theurbangardenerdallas.com/,"4316 Worth St, Dallas, TX 75226",Dallas,TX,75226,,,4.6,9,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
The Urban Gardener,+12142084043,,http://theurbangardenerdallas.com/,"4316 Worth St, Dallas, TX 75226",Dallas,TX,75226,,,4.6,9,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Metroplex Tree Service,+12148155161,,http://metroplextreeservice.com/,"5321 Eastside Ave, Dallas, TX 75214",Dallas,TX,75214,,,4.9,45,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Metroplex Tree Service,+12148155161,,http://metroplextreeservice.com/,"5321 Eastside Ave, Dallas, TX 75214",Dallas,TX,75214,,,4.9,45,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Xquisite Irrigation and Landscaping,+16829783523,,http://xquisitelawns.com/,"5585 Rendon New Hope Rd, Fort Worth, TX 76140",Fort Worth,TX,76140,,,4.9,108,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Xquisite Irrigation and Landscaping,+16829783523,,http://xquisitelawns.com/,"5585 Rendon New Hope Rd, Fort Worth, TX 76140",Fort Worth,TX,76140,,,4.9,108,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Landpride Lot Service,+12142931501,,http://www.landpridelotservice.com/,"6613 Davidson St, Richland Hills, TX 76118",Richland Hills,TX,76118,,,5,79,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
RHI Landscaping,+18177076433,,https://rhilandscaping.com/,"3410 Skyline Dr, Fort Worth, TX 76114",Fort Worth,TX,76114,,,4.9,27,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
RHI Landscaping,+18177076433,,https://rhilandscaping.com/,"3410 Skyline Dr, Fort Worth, TX 76114",Fort Worth,TX,76114,,,4.9,27,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Princess Cuts Lawncare and Landscaping LLC,+12148935709,,http://www.princesscutslandscape.com/,"1229 E Pleasant Run Rd Suite 306, DeSoto, TX 75115",DeSoto,TX,75115,,,4.9,86,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Mean Green Lawn and Landscape,+18179950324,,http://www.meangreenlawncare.com/,"230 S Grants Ln, White Settlement, TX 76108",White Settlement,TX,76108,,,4.7,43,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Mean Green Lawn and Landscape,+18179950324,,http://www.meangreenlawncare.com/,"230 S Grants Ln, White Settlement, TX 76108",White Settlement,TX,76108,,,4.7,43,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Cactus Queen DFW,+14694273813,,http://instagram.com/mycactusbadmycactushood,"1835 Corinth St, Dallas, TX 75215",Dallas,TX,75215,,,5,47,landscaping,chris,mobile,2026-02-16,"landscaping_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
