business_name,phone,email,website,address,city,state,zip,first_name,last_name,rating,reviews,niche,voice,carrier_type,load_date,tags
Plumb Shield Plumbing - Fort Worth,+18177737966,,https://www.plumbshieldplumbingllc.com/,"1751 River Run Suite 200, Fort Worth, TX 76107",Fort Worth,TX,76107,,,5,201,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Plumb Shield Plumbing - Fort Worth,+18177737966,,https://www.plumbshieldplumbingllc.com/,"1751 River Run Suite 200, Fort Worth, TX 76107",Fort Worth,TX,76107,,,5,201,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Drain Kings Plumbing,+18177707700,,http://drainkingsplumbing.net/,"7517 John T White Rd, Fort Worth, TX 76120",Fort Worth,TX,76120,,,5,426,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Drain Kings Plumbing,+18177707700,,http://drainkingsplumbing.net/,"7517 John T White Rd, Fort Worth, TX 76120",Fort Worth,TX,76120,,,5,426,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"Tribeca Plumbing, Inc.",+12144025454,,https://www.tribecaplumbinginc.com/,"6211 W Northwest Hwy c251, Dallas, TX 75225",Dallas,TX,75225,,,4.8,405,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Blue Diamond Plumbing of Texas(Plumber near you),+18178529498,,http://callaplumbertx.com/,"5508 Eastwedge Dr, Fort Worth, TX 76137",Fort Worth,TX,76137,,,4.7,30,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Plumb Shield Plumbing,+18177737966,,https://www.plumbshieldplumbingllc.com/,"9800 Hillwood Pkwy, Fort Worth, TX 76244",Fort Worth,TX,76244,,,4.8,1091,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Plumb Shield Plumbing,+18177737966,,https://www.plumbshieldplumbingllc.com/,"9800 Hillwood Pkwy, Fort Worth, TX 76244",Fort Worth,TX,76244,,,4.8,1091,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
North Texas Plumbing Solutions LLC,+18177331015,,https://ntpsplumbing.com/,"5049 Edwards Ranch Rd 04 118, Fort Worth, TX 76109",Fort Worth,TX,76109,,,4.7,193,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
North Texas Plumbing Solutions LLC,+18177331015,,https://ntpsplumbing.com/,"5049 Edwards Ranch Rd 04 118, Fort Worth, TX 76109",Fort Worth,TX,76109,,,4.7,193,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
North Texas Plumbing Solutions LLC,+18177331015,,https://ntpsplumbing.com/,"5049 Edwards Ranch Rd 04 118, Fort Worth, TX 76109",Fort Worth,TX,76109,,,4.7,193,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Trusted Plumbing and Leak Detection,+18179751184,,https://www.trustedplumbingfw.com/,"Fort Worth, TX 76131",Fort Worth,TX,76131,,,4.8,56,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Fort Worth Rescue and Restore Plumbing LLC,+18176919249,,http://www.rescuefortworth.com/,"1025 Warden St, Benbrook, TX 76126",Benbrook,TX,76126,,,4.9,138,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Bravo's Plumbing,+18177982635,,https://www.bravosplumbing.com/,"1705 Bell Ave, Fort Worth, TX 76131",Fort Worth,TX,76131,,,4.9,102,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Bravo's Plumbing,+18177982635,,https://www.bravosplumbing.com/,"1705 Bell Ave, Fort Worth, TX 76131",Fort Worth,TX,76131,,,4.9,102,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"Service Company Plumbing, LLC",+18172396693,,http://servicecompanyplumbing.com/,"410 Missouri Ave, Fort Worth, TX 76104",Fort Worth,TX,76104,,,4.9,163,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"Service Company Plumbing, LLC",+18172396693,,http://servicecompanyplumbing.com/,"410 Missouri Ave, Fort Worth, TX 76104",Fort Worth,TX,76104,,,4.9,163,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
J5 Plumbing Co.,+18179890423,,http://j5plumbingco.com/,"7600 Benbrook Pkwy, Benbrook, TX 76126",Benbrook,TX,76126,,,5,392,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"Leak Chasers Plumbing and Gas - Certified Gas Test and Gas Line Repair Specialist in Dallas, Tx",+12144827884,,http://leakchasersplumbing.jobbersites.com/,"2817 S Marsalis Ave, Dallas, TX 75216",Dallas,TX,75216,,,5,101,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"Same Day Plumbing, LLC",+16822216979,,http://samedayplumbing.pro/,"415 E Airport Fwy Suite 402, Irving, TX 75062",Irving,TX,75062,,,4.6,18,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
"Same Day Plumbing, LLC",+16822216979,,http://samedayplumbing.pro/,"415 E Airport Fwy Suite 402, Irving, TX 75062",Irving,TX,75062,,,4.6,18,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Mainline Plumbing,+18173051313,,https://mainlineplumbingtx.com/,"850 Blue Mound Rd W #106, Haslet, TX 76052",Haslet,TX,76052,,,5,279,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Creation Roofing and Foundation,+12148930843,,https://www.creationroofingandfoundation.com/,"750 North St. Paul Street #201, Dallas, TX 75201",Dallas,TX,75201,,,5,34,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
Creation Roofing and Foundation,+12148930843,,https://www.creationroofingandfoundation.com/,"750 North St. Paul Street #201, Dallas, TX 75201",Dallas,TX,75201,,,5,34,plumbers,chris,mobile,2026-02-16,"plumbers_02-16-26,mobile-verified,cold-outreach,voice-chris,load-02-16-26"
