business_name,phone,email,website,address,city,state,zip,first_name,last_name,rating,reviews,niche,voice,carrier_type,load_date,tags
"High Line Roofing, Fort Worth Roofers",+18178888249,,https://highlineroofing.com/roofer-fort-worth-tx/,"8844 Crosswind Dr, Fort Worth, TX 76179",Fort Worth,TX,76179,,,5,58,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
"High Line Roofing, Fort Worth Roofers",+18178888249,,https://highlineroofing.com/roofer-fort-worth-tx/,"8844 Crosswind Dr, Fort Worth, TX 76179",Fort Worth,TX,76179,,,5,58,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Priority Roofing,+18178231075,,https://priorityroofs.com/location/fortworth/,"9433 N Beach St Suite 121, Fort Worth, TX 76244",Fort Worth,TX,76244,,,4.9,349,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Priority Roofing,+18178231075,,https://priorityroofs.com/location/fortworth/,"9433 N Beach St Suite 121, Fort Worth, TX 76244",Fort Worth,TX,76244,,,4.9,349,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Priority Roofing,+18178231075,,https://priorityroofs.com/location/fortworth/,"9433 N Beach St Suite 121, Fort Worth, TX 76244",Fort Worth,TX,76244,,,4.9,349,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
XS Roofing and Construction,+18179380489,,http://xsroofing.com/,"200 E Vickery Blvd, Fort Worth, TX 76104",Fort Worth,TX,76104,,,5,110,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
XS Roofing and Construction,+18179380489,,http://xsroofing.com/,"200 E Vickery Blvd, Fort Worth, TX 76104",Fort Worth,TX,76104,,,5,110,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
XS Roofing and Construction,+18179380489,,http://xsroofing.com/,"200 E Vickery Blvd, Fort Worth, TX 76104",Fort Worth,TX,76104,,,5,110,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
DFW HEIGHTS ROOFING,+18178126495,,http://www.dfwheights.com/,"4400 Freshfield Rd, Fort Worth, TX 76119",Fort Worth,TX,76119,,,5,9,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
DFW HEIGHTS ROOFING,+18178126495,,http://www.dfwheights.com/,"4400 Freshfield Rd, Fort Worth, TX 76119",Fort Worth,TX,76119,,,5,9,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Secured Roofing Fort Worth,+18172176059,,https://www.securedroofingftworth.com/,"7740 Shorthorn Way, Fort Worth, TX 76131",Fort Worth,TX,76131,,,5,37,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
T Rock Roofing & Contracting,+14699319867,,http://www.dallasroofer.com/,"5313 Sonoma Dr, Fort Worth, TX 76244",Fort Worth,TX,76244,,,4.9,119,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
T Rock Roofing & Contracting,+14699319867,,http://www.dallasroofer.com/,"5313 Sonoma Dr, Fort Worth, TX 76244",Fort Worth,TX,76244,,,4.9,119,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
T Rock Roofing & Contracting,+14699319867,,http://www.dallasroofer.com/,"5313 Sonoma Dr, Fort Worth, TX 76244",Fort Worth,TX,76244,,,4.9,119,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Fort Tex Metals & Roofing,+16823134066,,http://www.ftmandroofing.com/,"4200 S Hulen St #654, Fort Worth, TX 76109",Fort Worth,TX,76109,,,5,162,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Fort Tex Metals & Roofing,+16823134066,,http://www.ftmandroofing.com/,"4200 S Hulen St #654, Fort Worth, TX 76109",Fort Worth,TX,76109,,,5,162,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Dalco Contractors & Roofing,+12146327177,,https://www.roofingdalco.com/,"2606 Deep Hill Cir, Dallas, TX 75233",Dallas,TX,75233,,,5,56,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Patriot Construction DFW,+14695142917,,http://www.patriotconstructiondfw.com/,"13025 Harmon Rd #603, Fort Worth, TX 76177",Fort Worth,TX,76177,,,4.7,45,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Patriot Construction DFW,+14695142917,,http://www.patriotconstructiondfw.com/,"13025 Harmon Rd #603, Fort Worth, TX 76177",Fort Worth,TX,76177,,,4.7,45,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Patriot Construction DFW,+14695142917,,http://www.patriotconstructiondfw.com/,"13025 Harmon Rd #603, Fort Worth, TX 76177",Fort Worth,TX,76177,,,4.7,45,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Meyer's Pride Roofing LLC,+14699331291,,https://meyerspride.com/%3FUTM_source%3DGMB_listing%26UTM_medium%3Dorganic,"6119 Greenville Ave #217, Dallas, TX 75206",Dallas,TX,75206,,,5,61,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Meyer's Pride Roofing LLC,+14699331291,,https://meyerspride.com/%3FUTM_source%3DGMB_listing%26UTM_medium%3Dorganic,"6119 Greenville Ave #217, Dallas, TX 75206",Dallas,TX,75206,,,5,61,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Meyer's Pride Roofing LLC,+14699331291,,https://meyerspride.com/%3FUTM_source%3DGMB_listing%26UTM_medium%3Dorganic,"6119 Greenville Ave #217, Dallas, TX 75206",Dallas,TX,75206,,,5,61,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Good Contractors Roofing and Restoration,+16828427663,,https://goodcontractorsroofing.com/,"1617 Park Pl Ave Suite 110, Fort Worth, TX 76110",Fort Worth,TX,76110,,,5,77,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Good Contractors Roofing and Restoration,+16828427663,,https://goodcontractorsroofing.com/,"1617 Park Pl Ave Suite 110, Fort Worth, TX 76110",Fort Worth,TX,76110,,,5,77,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Good Contractors Roofing and Restoration,+16828427663,,https://goodcontractorsroofing.com/,"1617 Park Pl Ave Suite 110, Fort Worth, TX 76110",Fort Worth,TX,76110,,,5,77,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
Vortex Roofing & Construction LLC,+18177718726,,http://vortexroofingllc.com/,"5840 Jacksboro Hwy, Fort Worth, TX 76114",Fort Worth,TX,76114,,,4.9,60,roofers,eric,mobile,2026-02-16,"roofers_02-16-26,mobile-verified,cold-outreach,voice-eric,load-02-16-26"
