about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.total_money_raised,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
"{'Other': {'Identifies as veteran-owned': True, 'Identifies as women-owned': True}}","6107 I-30 Frontage Rd, Royse City, TX 75189",False,,OPERATIONAL,,10138110037114322402,Royse City,1935 Clubview Drive,Rockwall,United States,"ROCKWALL ELECTRIC is your most TRUSTED ROCKWALL ELECTRICIAN SINCE 1994. As your Top Electrician in Rockwall, TX we provide SAFE & RELIABLE ELECTRICAL SERVICES to all nearby areas. We are LICENSED & INSURED ELECTRICIANS with over 20 YEARS OF EXPERIENCE....",,,,ELECTRICAL_ELECTRONIC_MANUFACTURING,False,"ROCKWALL ELECTRIC is your most TRUSTED ROCKWALL ELECTRICIAN SINCE 1994. As your Top Electrician in Rockwall, TX we provide SAFE & RELIABLE ELECTRICAL SERVICES to all nearby areas. We are LICENSED & INSURED ELECTRICIANS with over 20 YEARS OF EXPERIENCE....",,Rockwall Electric,+1 972-771-5390,AT&T,landline,,TX,America/Chicago,,,75087,United States of America,US,,,0x8649556460a4c6dd:0x8cb1cd5d60057de2,8926c83495bffff,/g/1tfh519g,32.9855813,,,"https://www.google.com/maps/place/Rockwall+Electric+Heating+and+Air/@32.9855813,-96.2612022,14z/data=!4m8!1m2!2m1!1sRockwall+Electric+Heating+and+Air!3m4!1s0x8649556460a4c6dd:0x8cb1cd5d60057de2!8m2!3d32.9855813!4d-96.2612022","https://www.google.com/maps/place/Rockwall+Electric+Heating+and+Air/@32.9855813,-96.2612022,13.99z/data=!4m16!1m7!3m6!1s0x8649556460a4c6dd:0x8cb1cd5d60057de2!2sRockwall+Electric+Heating+and+Air!8m2!3d32.9855813!4d-96.2612022!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8649556460a4c6dd:0x8cb1cd5d60057de2!8m2!3d32.9855813!4d-96.2612022!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-N267UWwJRM0/AAAAAAAAAAI/AAAAAAAAAAA/vv1NPBaYy20/s44-p-k-no-ns-nd/photo.jpg,-96.2612022,,Rockwall Electric Heating and Air,Rockwall Electric Heating And Air,,,104608563277473823220,https://www.google.com/maps/contrib/104608563277473823220,Rockwall Electric Heating and Air,+1 972-460-0058,,landline,https://lh3.googleusercontent.com/p/AF1QipMEpMWqS01xZwxGcYuLcdEltmGDCkSCaa8Q5kSg=w800-h500-k-no,36,ChIJ3cakYGRVSYYR4n0FYF3NsYw,,,75189,,,"Electrician near Royse City, TX",,5.0,,,,,,,Texas,TX,6107 I-30 Frontage Rd,,"Electrician, Air conditioning contractor, Air conditioning repair service, Heating contractor, HVAC contractor",America/Chicago,Electrician,,True,https://www.rockwallelectricheatingandair.com/,{'Thursday': ['Open 24 hours']},
{},"1909 Glen Meadow Dr, Royse City, TX 75189",False,,OPERATIONAL,,13746773924828373392,Royse City,,,,WaveBlocker Protects Your Health from Cell Phone Radiation. 📱Get a Waveblocker of your own at https://t.co/kwpQ7slmkg,,,,,False,WaveBlocker Protects Your Health from Cell Phone Radiation. 📱Get a Waveblocker of your own at https://t.co/kwpQ7slmkg,,WaveBlocker,,,,,,,,waveblocker,,United States of America,US,,,0x864bff6022cec2db:0xbec65a0d14ff6190,8926c8359c3ffff,/g/11sht4gt74,32.9918498,,,"https://www.google.com/maps/place/Protek+Electric/@32.9918498,-96.324248,14z/data=!4m8!1m2!2m1!1sProtek+Electric!3m4!1s0x864bff6022cec2db:0xbec65a0d14ff6190!8m2!3d32.9918498!4d-96.324248","https://www.google.com/maps/place/Protek+Electric/@32.9918498,-96.324248,13.99z/data=!4m16!1m7!3m6!1s0x864bff6022cec2db:0xbec65a0d14ff6190!2sProtek+Electric!8m2!3d32.9918498!4d-96.324248!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff6022cec2db:0xbec65a0d14ff6190!8m2!3d32.9918498!4d-96.324248!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-Dznmin9VQgw/AAAAAAAAAAI/AAAAAAAAAAA/gXoKpgQlHiM/s44-p-k-no-ns-nd/photo.jpg,-96.324248,,Protek Electric,Protek Electric,,,102408318945757405451,https://www.google.com/maps/contrib/102408318945757405451,Protek Electric,+1 972-804-0805,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipNPaOGO6AgZVVKvBM3-g305ztBFvggOyxShII5W=w800-h500-k-no,23,ChIJ28LOImD_S4YRkGH_FA1axr4,,,75189,,,"Electrician near Royse City, TX",,5.0,,,,,,,Texas,TX,1909 Glen Meadow Dr,,"Electrician, Electric generator shop",America/Chicago,Electrician,,True,https://goprotek.com/%3Futm_source%3DGoogle%26utm_medium%3DLocal%2BSEO%26utm_campaign%3DGBP,{'Thursday': ['Open 24 hours']},
{},"408 Fireside Pl, Royse City, TX 75189",False,,OPERATIONAL,,5882215340452591350,Royse City,,,,"NextGenElectricDFW.com specializes in providing high-quality electrical services, focusing on innovative solutions and personalized customer care to ensure safety and satisfaction for clients in the DFW area and beyond.",,,,ELECTRICAL_ELECTRONIC_MANUFACTURING,False,"NextGenElectricDFW.com specializes in providing high-quality electrical services, focusing on innovative solutions and personalized customer care to ensure safety and satisfaction for clients in the DFW area and beyond.",,NextGenElectricDFW.com,,,,,,,,,,United States of America,US,,,0x4d8b201e7481f4ed:0x51a1d3afd407b6f6,8926c835b1bffff,/g/11l2fg_q30,32.977157999999996,,,"https://www.google.com/maps/place/Nextgen+Electric+LLC/@32.977157999999996,-96.34801089999999,14z/data=!4m8!1m2!2m1!1sNextgen+Electric+LLC!3m4!1s0x4d8b201e7481f4ed:0x51a1d3afd407b6f6!8m2!3d32.977157999999996!4d-96.34801089999999","https://www.google.com/maps/place/Nextgen+Electric+LLC/@32.977157999999996,-96.34801089999999,13.99z/data=!4m16!1m7!3m6!1s0x4d8b201e7481f4ed:0x51a1d3afd407b6f6!2sNextgen+Electric+LLC!8m2!3d32.977157999999996!4d-96.34801089999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x4d8b201e7481f4ed:0x51a1d3afd407b6f6!8m2!3d32.977157999999996!4d-96.34801089999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-rNVKygPicWU/AAAAAAAAAAI/AAAAAAAAAAA/at4wXrKVkdM/s44-p-k-no-ns-nd/photo.jpg,-96.34801089999999,,Nextgen Electric LLC,Nextgen Electric,,,101008168333782757544,https://www.google.com/maps/contrib/101008168333782757544,Nextgen Electric LLC,+1 469-403-1741,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipOM5MjyVwxbaFvw3nsr9VwlZhBv7CKR6I9KVU7l=w800-h500-k-no,48,ChIJ7fSBdB4gi00R9rYH1K_ToVE,,,75189,,,"Electrician near Royse City, TX",,5.0,,,,,,,Texas,TX,408 Fireside Pl,,Electrician,America/Chicago,Electrician,,True,http://nextgenelectricdfw.com/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}}","6615 I-30, Royse City, TX 75189",False,,OPERATIONAL,,344407375410262337,Royse City,16808 Radholme Court,Round Rock,United States,"Although our headquarters remain in Round Rock, TX, just north of Austin, we've since expanded our branches to reach more of our Texas community. We are always seeking career-oriented individuals to fill positions at our six Texas locations: Austin (Ro...",25.0,https://facebook.com/inchargeelectrictx,2007.0,,False,"Although our headquarters remain in Round Rock, TX, just north of Austin, we've since expanded our branches to reach more of our Texas community. We are always seeking career-oriented individuals to fill positions at our six Texas locations: Austin (Ro...",https://www.linkedin.com/company/incharge-electric,In Charge Electrical Services,+1 512-778-6240,,landline,50000000.0,TX,America/Chicago,,,78664,United States of America,US,,,0x864bfffc67f98475:0x4c794aee55a7141,8926c827007ffff,/g/11k6328_fk,32.941015199999995,,,"https://www.google.com/maps/place/In+Charge+Electrical+Services%2C+LLC/@32.941015199999995,-96.37052469999999,14z/data=!4m8!1m2!2m1!1sIn+Charge+Electrical+Services%2C+LLC!3m4!1s0x864bfffc67f98475:0x4c794aee55a7141!8m2!3d32.941015199999995!4d-96.37052469999999","https://www.google.com/maps/place/In+Charge+Electrical+Services%2C+LLC/@32.941015199999995,-96.37052469999999,13.99z/data=!4m16!1m7!3m6!1s0x864bfffc67f98475:0x4c794aee55a7141!2sIn+Charge+Electrical+Services%2C+LLC!8m2!3d32.941015199999995!4d-96.37052469999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfffc67f98475:0x4c794aee55a7141!8m2!3d32.941015199999995!4d-96.37052469999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-LXS4sc4ry4c/AAAAAAAAAAI/AAAAAAAAAAA/k3PMi1_-HDM/s44-p-k-no-ns-nd/photo.jpg,-96.37052469999999,,"In Charge Electrical Services, LLC",In Charge Electrical Services,,,108815388204094465854,https://www.google.com/maps/contrib/108815388204094465854,"In Charge Electrical Services, LLC",+1 972-635-2436,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5fb4WwLjMnAg0DlueIh15rN3vYrEqIy-BDzLcTQib65zEi5hNV9wALIglu7x2XFCm3SfllK1vSDejaD-X84ZVyzIV-h0vxMJocGtnc74XheIdm4DlDGDL0rOg9vJ787_2_sc3XsJUDtJw=w800-h500-k-no,4,ChIJdYT5Z_z_S4YRQXFa5a6UxwQ,,,75189,,,"Electrician near Royse City, TX",,4.5,,,,,,,Texas,TX,6615 I-30,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NX1F5ZmAlHaP87XjHgcM0w&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=109.426025&pitch=0&thumbfov=100,"Electrical installation service, Electrician",America/Chicago,Electrical installation service,,True,https://inchargeelectricalservices.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"2346 FM 36 B, Caddo Mills, TX 75135",False,,OPERATIONAL,,5238051787650223946,Caddo Mills,,,,"Breaker Pro provides reliable electrical services aimed at ensuring the safety, comfort, and energy efficiency of homes and businesses.",,,,ELECTRICAL_ELECTRONIC_MANUFACTURING,False,"Breaker Pro provides reliable electrical services aimed at ensuring the safety, comfort, and energy efficiency of homes and businesses.",https://www.linkedin.com/company/wix-com,BreakerPro,,,,,,,,,,United States of America,US,,,0x4f5413cfc552f673:0x48b14c5935fdcf4a,8926c9d927bffff,/g/11rpd0w4mk,33.0927489,,,"https://www.google.com/maps/place/Breaker+Pro/@33.0927489,-96.2321815,14z/data=!4m8!1m2!2m1!1sBreaker+Pro!3m4!1s0x4f5413cfc552f673:0x48b14c5935fdcf4a!8m2!3d33.0927489!4d-96.2321815","https://www.google.com/maps/place/Breaker+Pro/@33.0927489,-96.2321815,13.99z/data=!4m16!1m7!3m6!1s0x4f5413cfc552f673:0x48b14c5935fdcf4a!2sBreaker+Pro!8m2!3d33.0927489!4d-96.2321815!16s%2Fg%2F11ckvg1dmb!3m7!1s0x4f5413cfc552f673:0x48b14c5935fdcf4a!8m2!3d33.0927489!4d-96.2321815!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-lcJt5A9_Q3s/AAAAAAAAAAI/AAAAAAAAAAA/hq9qbOUIGqA/s44-p-k-no-ns-nd/photo.jpg,-96.2321815,,Breaker Pro,Breaker Pro,,,113048823913519873766,https://www.google.com/maps/contrib/113048823913519873766,Breaker Pro,+1 469-975-4182,commio LLC,mobile,https://lh3.googleusercontent.com/p/AF1QipMkoHqCbFGxpf6d7u3NzKJzKgRCuk-UODFOer1s=w800-h500-k-no,46,ChIJc_ZSxc8TVE8RSs_9NVlMsUg,,,75135,,,"Electrician near Royse City, TX",,5.0,,,,,,,Texas,TX,2346 FM 36 B,,"Electrician, Electrical installation service",America/Chicago,Electrician,,True,https://www.breakerprotx.com/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible entrance': False, 'Wheelchair accessible parking lot': False, 'Wheelchair accessible restroom': False}}","179 Southern Dr, Royse City, TX 75189",False,,OPERATIONAL,,2042796059516494860,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x8649559def5fc9e9:0x1c597831640c640c,8926c82467bffff,/g/1tgqjtpm,32.901047999999996,,,"https://www.google.com/maps/place/Electric+Inc/@32.901047999999996,-96.36387099999999,14z/data=!4m8!1m2!2m1!1sElectric+Inc!3m4!1s0x8649559def5fc9e9:0x1c597831640c640c!8m2!3d32.901047999999996!4d-96.36387099999999","https://www.google.com/maps/place/Electric+Inc/@32.901047999999996,-96.36387099999999,13.99z/data=!4m16!1m7!3m6!1s0x8649559def5fc9e9:0x1c597831640c640c!2sElectric+Inc!8m2!3d32.901047999999996!4d-96.36387099999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8649559def5fc9e9:0x1c597831640c640c!8m2!3d32.901047999999996!4d-96.36387099999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-T-VoOAMP5w8/AAAAAAAAAAI/AAAAAAAAAAA/ZAdRnmQRtNA/s44-p-k-no-ns-nd/photo.jpg,-96.36387099999999,,Electric Inc,Electric,,,100166849297228795629,https://www.google.com/maps/contrib/100166849297228795629,Electric Inc,+1 972-771-5844,,landline,https://lh3.googleusercontent.com/p/AF1QipMFer6afnQ8_W3TSBNcaD_afFHrhP9RBYeaB9bp=w800-h500-k-no,27,ChIJ6clf751VSYYRDGQMZDF4WRw,,,75189,,,"Electrician near Royse City, TX",,4.3,,,,,,,Texas,TX,179 Southern Dr,,"Electrical installation service, Electrician",America/Chicago,Electrical installation service,,True,http://www.electricinc.org/,{'Thursday': ['9AM-5PM']},"Thursday,9AM,5PM"
{},"6309 Co Rd 2520, Royse City, TX 75189",False,,OPERATIONAL,,107713475279132498,Royse City,217 East Main Street,Royse City,United States,"At Electrical Service by Roy, we take pride in every job we complete and in earning the trust of customers like you. Please let us know if we can help you in any way.",10.0,,2005.0,CONSTRUCTION,False,"At Electrical Service by Roy, we take pride in every job we complete and in earning the trust of customers like you. Please let us know if we can help you in any way.",https://www.linkedin.com/company/electrical-service-by-roy-inc.,Electrical Service by Roy,+1 972-635-2300,,mobile,10000000.0,TX,America/Chicago,,,25158,United States of America,US,,,0x864be2d788d74277:0x17eacd5c7891752,8926c9c940bffff,/g/1vp74562,32.9671357,,,"https://www.google.com/maps/place/Electrical+Service+By+Roy+Inc/@32.9671357,-96.22801869999999,14z/data=!4m8!1m2!2m1!1sElectrical+Service+By+Roy+Inc!3m4!1s0x864be2d788d74277:0x17eacd5c7891752!8m2!3d32.9671357!4d-96.22801869999999","https://www.google.com/maps/place/Electrical+Service+By+Roy+Inc/@32.9671357,-96.22801869999999,13.99z/data=!4m16!1m7!3m6!1s0x864be2d788d74277:0x17eacd5c7891752!2sElectrical+Service+By+Roy+Inc!8m2!3d32.9671357!4d-96.22801869999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be2d788d74277:0x17eacd5c7891752!8m2!3d32.9671357!4d-96.22801869999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-HxXvr6GwqhU/AAAAAAAAAAI/AAAAAAAAAAA/rCPNoH0ZTfQ/s44-p-k-no-ns-nd/photo.jpg,-96.22801869999999,,Electrical Service By Roy Inc,Electrical Service By Roy,,,116986859026363109293,https://www.google.com/maps/contrib/116986859026363109293,Electrical Service By Roy Inc,+1 972-635-2300,,mobile,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MK_Y_2LYSAHJWNdMx9wdFw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=110.776955&pitch=0&thumbfov=100,1,ChIJd0LXiNfiS4YRUheJx9WsfgE,,,75189,,,"Electrician near Royse City, TX",,5.0,,,,,,,Texas,TX,6309 Co Rd 2520,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MK_Y_2LYSAHJWNdMx9wdFw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=110.776955&pitch=0&thumbfov=100,Electrician,America/Chicago,Electrician,,True,https://www.electricalservicebyroy.net/,,
{},"4040 Hackberry Cir, Caddo Mills, TX 75135",False,,OPERATIONAL,,6924385225369735132,Caddo Mills,1110 S Baseline Rd,San Jose,United States,"Licensed electrician providing residential and light commercial electrical services, including repairs, installations, and upgrades.",5.0,https://www.facebook.com/LuckyElectricalService,2015.0,Electrical Contracting,False,,,Lucky Electrical Service,+1 408-555-1234,,mobile,,CA,America/Los_Angeles,,@LuckyElecServ,95124,United States of America,US,,,0x864bfb03b9d1c7bd:0x60185bacee204fdc,8926c836863ffff,/g/11yzkxnwg1,33.0453787,,,"https://www.google.com/maps/place/Lucky+Electrical/@33.0453787,-96.2406137,14z/data=!4m8!1m2!2m1!1sLucky+Electrical!3m4!1s0x864bfb03b9d1c7bd:0x60185bacee204fdc!8m2!3d33.0453787!4d-96.2406137","https://www.google.com/maps/place/Lucky+Electrical/@33.0453787,-96.2406137,13.99z/data=!4m16!1m7!3m6!1s0x864bfb03b9d1c7bd:0x60185bacee204fdc!2sLucky+Electrical!8m2!3d33.0453787!4d-96.2406137!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfb03b9d1c7bd:0x60185bacee204fdc!8m2!3d33.0453787!4d-96.2406137!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-sW0qkS9F4RY/AAAAAAAAAAI/AAAAAAAAAAA/dLL6pzH1oV4/s44-p-k-no-ns-nd/photo.jpg,-96.2406137,,Lucky Electrical,Lucky Electrical,,,118210898336115953386,https://www.google.com/maps/contrib/118210898336115953386,Lucky Electrical,+1 972-965-9926,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,,0,ChIJvcfRuQP7S4YR3E8g7qxbGGA,,,75135,,,"Electrician near Royse City, TX",,5.0,,,,,,,Texas,TX,4040 Hackberry Cir,,Electrician,America/Chicago,Electrician,,True,https://www.luckyelectricalservice.com/,{'Thursday': ['Open 24 hours']},
{},"350 Bennett Ln, Royse City, TX 75189",False,,OPERATIONAL,,4319243855852030760,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864957b1273a6599:0x3bf109670e594b28,8926c8241cfffff,/g/11hhc3xk87,32.8804902,,,"https://www.google.com/maps/place/A%26P+ELECTRICAL+SYSTEMS/@32.8804902,-96.3207588,14z/data=!4m8!1m2!2m1!1sA%26P+ELECTRICAL+SYSTEMS!3m4!1s0x864957b1273a6599:0x3bf109670e594b28!8m2!3d32.8804902!4d-96.3207588","https://www.google.com/maps/place/A%26P+ELECTRICAL+SYSTEMS/@32.8804902,-96.3207588,13.99z/data=!4m16!1m7!3m6!1s0x864957b1273a6599:0x3bf109670e594b28!2sA%26P+ELECTRICAL+SYSTEMS!8m2!3d32.8804902!4d-96.3207588!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864957b1273a6599:0x3bf109670e594b28!8m2!3d32.8804902!4d-96.3207588!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-PoY--MdqsUs/AAAAAAAAAAI/AAAAAAAAAAA/8JXSOtpNYMs/s44-p-k-no-ns-nd/photo.jpg,-96.3207588,,A&P ELECTRICAL SYSTEMS,A And P Electrical Systems,,,106129205887914315537,https://www.google.com/maps/contrib/106129205887914315537,A&P ELECTRICAL SYSTEMS,+1 214-717-2698,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipOPrTGfo0fgZUlkHkEAEaEd7JbzfRWiXr2C0eQC=w800-h500-k-no,11,ChIJmWU6J7FXSYYRKEtZDmcJ8Ts,,,75189,,,"Electrician near Royse City, TX",,5.0,,,,,,,Texas,TX,350 Bennett Ln,,Electrician,America/Chicago,Electrician,,True,,{'Thursday': ['8:30AM-5PM']},"Thursday,8:30AM,5PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","2972 Ruger Dr, Royse City, TX 75189",False,,OPERATIONAL,,6042237446099700475,Royse City,3122 South Great Southwest Parkway,,United States,Commercial and Industrial Electrical Contractor,50.0,,2014.0,CONSTRUCTION,False,,https://www.linkedin.com/company/ferrellelectric,"Ferrell Electric, Inc.",9726410600,,landline,50000000.0,TX,America/Chicago,,,75189,United States of America,US,,,0x864955bdaff87c73:0x53da56f1af560afb,8926c824603ffff,/g/11fjk05cyc,32.907168399999996,,,"https://www.google.com/maps/place/Ferrell+Electric%2C+Inc./@32.907168399999996,-96.355705,14z/data=!4m8!1m2!2m1!1sFerrell+Electric%2C+Inc.!3m4!1s0x864955bdaff87c73:0x53da56f1af560afb!8m2!3d32.907168399999996!4d-96.355705","https://www.google.com/maps/place/Ferrell+Electric%2C+Inc./@32.907168399999996,-96.355705,13.99z/data=!4m16!1m7!3m6!1s0x864955bdaff87c73:0x53da56f1af560afb!2sFerrell+Electric%2C+Inc.!8m2!3d32.907168399999996!4d-96.355705!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955bdaff87c73:0x53da56f1af560afb!8m2!3d32.907168399999996!4d-96.355705!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-Lge5ED5PZ8k/AAAAAAAAAAI/AAAAAAAAAAA/rqefZFAC8fw/s44-p-k-no-ns-nd/photo.jpg,-96.355705,,"Ferrell Electric, Inc.",Ferrell Electric,,,103430503850510374381,https://www.google.com/maps/contrib/103430503850510374381,"Ferrell Electric, Inc.",+1 972-641-0600,,landline,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7V8hGCPqH-q2gIljNrqd5A&cb_client=search.gws-prod.gps&w=800&h=500&yaw=79.155205&pitch=0&thumbfov=100,1,ChIJc3z4r71VSYYR-wpWr_FW2lM,,,75189,,,"Electrician near Royse City, TX",,4.0,,,,,,,Texas,TX,2972 Ruger Dr,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7V8hGCPqH-q2gIljNrqd5A&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=79.155205&pitch=0&thumbfov=100,Contractor,America/Chicago,Contractor,,True,http://www.ferrellelectric.net/,{'Thursday': ['7AM-4:30PM']},"Thursday,7AM,4:30PM"
