about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{},"312 Red Strm Wy, Caddo Mills, TX 75135",False,,OPERATIONAL,,12894849522459505033,Caddo Mills,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x8f53a033dac4aa37:0xb2f3b55222507189,8926c8345cbffff,/g/11mdf995km,33.065272,,,"https://www.google.com/maps/place/D%26O+Epoxy+Wrap+Creations/@33.065272,-96.289588,14z/data=!4m8!1m2!2m1!1sD%26O+Epoxy+Wrap+Creations!3m4!1s0x8f53a033dac4aa37:0xb2f3b55222507189!8m2!3d33.065272!4d-96.289588","https://www.google.com/maps/place/D%26O+Epoxy+Wrap+Creations/@33.065272,-96.289588,13.99z/data=!4m16!1m7!3m6!1s0x8f53a033dac4aa37:0xb2f3b55222507189!2sD%26O+Epoxy+Wrap+Creations!8m2!3d33.065272!4d-96.289588!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8f53a033dac4aa37:0xb2f3b55222507189!8m2!3d33.065272!4d-96.289588!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-LBfRMpSKyMw/AAAAAAAAAAI/AAAAAAAAAAA/0_hn-ku5Fag/s44-p-k-no-ns-nd/photo.jpg,-96.289588,,D&O Epoxy Wrap Creations,D And O Epoxy Wrap Creations,,,100778009684939520433,https://www.google.com/maps/contrib/100778009684939520433,D&O Epoxy Wrap Creations,+1 214-399-0302,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZIvj81JikKMCS-g_eeGzcg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=188.20442&pitch=0&thumbfov=100,1,ChIJN6rE2jOgU48RiXFQIlK187I,,,75135,,,"Epoxy floor coating near Royse City, TX",,5.0,,,,,,,Texas,TX,312 Red Strm Wy,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZIvj81JikKMCS-g_eeGzcg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=188.20442&pitch=0&thumbfov=100,Flooring contractor,America/Chicago,Flooring contractor,,True,,{'Thursday': ['8AM-6PM']},"Thursday,8AM,6PM"
{},"420 J E Weems Blvd Suite 3, Prosper, TX 75078",False,,OPERATIONAL,,1384851184431859283,Prosper,420 J E Weems Boulevard,Prosper,United States,"Tired of looking at your ugly concrete? Have us install a professional epoxy flooring, call us now to schedule your FREE estimate!",,,2006.0,,False,"Tired of looking at your ugly concrete? Have us install a professional epoxy flooring, call us now to schedule your FREE estimate!",https://www.linkedin.com/company/garage-floor-coating-dallas,Garagefloorcoatingsdallas,,,,,TX,America/Chicago,,75078,United States of America,US,,,0x864c3f97092c19b1:0x1337fad0a2d70653,8926c80f16bffff,/g/11ffv_l_3m,33.2327862,,,"https://www.google.com/maps/place/GarageFloorCoating.com/@33.2327862,-96.8168874,14z/data=!4m8!1m2!2m1!1sGarageFloorCoating.com!3m4!1s0x864c3f97092c19b1:0x1337fad0a2d70653!8m2!3d33.2327862!4d-96.8168874","https://www.google.com/maps/place/GarageFloorCoating.com/@33.2327862,-96.8168874,13.99z/data=!4m16!1m7!3m6!1s0x864c3f97092c19b1:0x1337fad0a2d70653!2sGarageFloorCoating.com!8m2!3d33.2327862!4d-96.8168874!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c3f97092c19b1:0x1337fad0a2d70653!8m2!3d33.2327862!4d-96.8168874!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-l1KcCqkxs3o/AAAAAAAAAAI/AAAAAAAAAAA/QmqIu5gY_T4/s44-p-k-no-ns-nd/photo.jpg,-96.8168874,,GarageFloorCoating.com,Garagefloorcoating Com,,,115691246116894560682,https://www.google.com/maps/contrib/115691246116894560682,GarageFloorCoating.com,+1 469-229-0091,,landline,https://lh3.googleusercontent.com/p/AF1QipPXNcr8Ky2Pd_8o_Of9EpwCMTaIbTVDVJ87-KYo=w800-h500-k-no,862,ChIJsRksCZc_TIYRUwbXotD6NxM,,,75078,,,"Epoxy floor coating near Royse City, TX",,5.0,,,,,,,Texas,TX,420 J E Weems Blvd Suite 3,,"Flooring contractor, Floor refinishing service",America/Chicago,Flooring contractor,,True,https://www.garagefloorcoatingsdallas.com/,{'Thursday': ['8AM-6PM']},"Thursday,8AM,6PM"
{},"203 Rockhill Rd Shop B, Aubrey, TX 76227",False,,OPERATIONAL,,6650756357723004307,Aubrey,,,,,,,,,,,,Lsconcretecoatings,,,,,,,,,United States of America,US,,,0x864cef8aee3da31b:0x5c4c3bab8dc01d93,8926c809183ffff,/g/11fvvshwjc,33.2985234,,,"https://www.google.com/maps/place/LS+Concrete+Coatings/@33.2985234,-96.9878031,14z/data=!4m8!1m2!2m1!1sLS+Concrete+Coatings!3m4!1s0x864cef8aee3da31b:0x5c4c3bab8dc01d93!8m2!3d33.2985234!4d-96.9878031","https://www.google.com/maps/place/LS+Concrete+Coatings/@33.2985234,-96.9878031,13.99z/data=!4m16!1m7!3m6!1s0x864cef8aee3da31b:0x5c4c3bab8dc01d93!2sLS+Concrete+Coatings!8m2!3d33.2985234!4d-96.9878031!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864cef8aee3da31b:0x5c4c3bab8dc01d93!8m2!3d33.2985234!4d-96.9878031!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-5n4seTPmq7s/AAAAAAAAAAI/AAAAAAAAAAA/kS0xYG4vPeY/s44-p-k-no-ns-nd/photo.jpg,-96.9878031,,LS Concrete Coatings,Ls Concrete Coatings,,,104468055960932208304,https://www.google.com/maps/contrib/104468055960932208304,LS Concrete Coatings,+1 469-604-6802,,landline,https://lh3.googleusercontent.com/p/AF1QipN17QnF0N9syI2w0kDkXzfMApSNJMikXMkeBU5D=w800-h500-k-no,1093,ChIJG6M97orvTIYRkx3Ajas7TFw,,,76227,,,"Epoxy floor coating near Royse City, TX",,5.0,,,,,,,Texas,TX,203 Rockhill Rd Shop B,,Floor refinishing service,America/Chicago,Floor refinishing service,,True,https://lsconcretecoatings.com/,{'Thursday': ['9AM-5PM']},"Thursday,9AM,5PM"
{},"101 Swallowtail Ln, Nevada, TX 75173",False,,OPERATIONAL,,4749946154845332092,Nevada,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864c1d10f25d017d:0x41eb32dc8dc9e27c,8926c83446fffff,/g/11f7brv_pf,33.0644439,,,"https://www.google.com/maps/place/Southern+Concrete+Coatings/@33.0644439,-96.30856589999999,14z/data=!4m8!1m2!2m1!1sSouthern+Concrete+Coatings!3m4!1s0x864c1d10f25d017d:0x41eb32dc8dc9e27c!8m2!3d33.0644439!4d-96.30856589999999","https://www.google.com/maps/place/Southern+Concrete+Coatings/@33.0644439,-96.30856589999999,13.99z/data=!4m16!1m7!3m6!1s0x864c1d10f25d017d:0x41eb32dc8dc9e27c!2sSouthern+Concrete+Coatings!8m2!3d33.0644439!4d-96.30856589999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c1d10f25d017d:0x41eb32dc8dc9e27c!8m2!3d33.0644439!4d-96.30856589999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-cNuCXeq6t2s/AAAAAAAAAAI/AAAAAAAAAAA/o5Z2IR0HON0/s44-p-k-no-ns-nd/photo.jpg,-96.30856589999999,,Southern Concrete Coatings,Southern Concrete Coatings,,,115989296780408300025,https://www.google.com/maps/contrib/115989296780408300025,Southern Concrete Coatings,+1 214-770-1490,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,https://lh3.googleusercontent.com/p/AF1QipNSExAOHw7rDkrljxEr1RxC_ast78oeOjG9RzqE=w800-h500-k-no,407,ChIJfQFd8hAdTIYRfOLJjdwy60E,,,75173,,,"Epoxy floor coating near Royse City, TX",,5.0,,,,,,,Texas,TX,101 Swallowtail Ln,,Concrete contractor,America/Chicago,Concrete contractor,,True,,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible restroom': True}}","106 N Shiloh Rd Ste 400, Garland, TX 75042",False,,OPERATIONAL,,2749335758245992509,Garland,106 North Shiloh Road,Garland,United States,"Get a stunning concrete coating done by the pros at Classic Concrete Coatings in Dallas! Garage Floor Concrete coatings, epoxy flooring, & more!",,,,,False,"Get a stunning concrete coating done by the pros at Classic Concrete Coatings in Dallas! Garage Floor Concrete coatings, epoxy flooring, & more!",,Dfwclassiccoatings,+1 214-550-9809,"BANDWIDTH.COM CLEC, LLC - TX",fixed line,,TX,America/Chicago,,75042,United States of America,US,,,0x864c1999c470dc1d:0x26279a4e3688183d,8926c828307ffff,/g/11h107xqyl,32.9134027,,,"https://www.google.com/maps/place/Classic+Concrete+Coatings/@32.9134027,-96.6641295,14z/data=!4m8!1m2!2m1!1sClassic+Concrete+Coatings!3m4!1s0x864c1999c470dc1d:0x26279a4e3688183d!8m2!3d32.9134027!4d-96.6641295","https://www.google.com/maps/place/Classic+Concrete+Coatings/@32.9134027,-96.6641295,13.99z/data=!4m16!1m7!3m6!1s0x864c1999c470dc1d:0x26279a4e3688183d!2sClassic+Concrete+Coatings!8m2!3d32.9134027!4d-96.6641295!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c1999c470dc1d:0x26279a4e3688183d!8m2!3d32.9134027!4d-96.6641295!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-_uBrdnjuByA/AAAAAAAAAAI/AAAAAAAAAAA/0AOI_jv8_2U/s44-p-k-no-ns-nd/photo.jpg,-96.6641295,,Classic Concrete Coatings,Classic Concrete Coatings,,,113658074286013112558,https://www.google.com/maps/contrib/113658074286013112558,Classic Concrete Coatings,+1 214-550-9809,"BANDWIDTH.COM CLEC, LLC - TX",fixed line,https://lh3.googleusercontent.com/p/AF1QipOu_wjDizBwjyN8vmwNuVenijF3YeYT-XNpVHZn=w800-h500-k-no,175,ChIJHdxwxJkZTIYRPRiINk6aJyY,,,75042,,,"Epoxy floor coating near Royse City, TX",,4.8,,,,,,,Texas,TX,106 N Shiloh Rd Ste 400,,"Flooring contractor, Concrete contractor, Floor refinishing service, Floor sanding and polishing service, General contractor, Patio enclosure supplier",America/Chicago,Flooring contractor,,True,https://www.dfwclassiccoatings.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"6010 W Spring Creek Pkwy, Plano, TX 75024",False,,OPERATIONAL,,3666180247550412337,Plano,,Allen,United States,Legacy Industrial Coatings specializes in the installation of beautiful and highly durable Garage Floor Coatings. They proudly serve the North Dallas Area. They specialize in the installation of high performance concrete floor coatings in residential h...,10.0,,,CONSTRUCTION,False,Legacy Industrial Coatings specializes in the installation of beautiful and highly durable Garage Floor Coatings. They proudly serve the North Dallas Area. They specialize in the installation of high performance concrete floor coatings in residential h...,https://www.linkedin.com/company/legacy-industrial-coatings,Legacy Industrial Coatings,,,,1000000.0,TX,America/Chicago,,75013,United States of America,US,,,0x864c174291843217:0x32e0e382c9cbc631,8926c874687ffff,/g/11hy85wdz1,33.0639381,,,"https://www.google.com/maps/place/Legacy+Industrial+Epoxy+Floor+Coating/@33.0639381,-96.830494,14z/data=!4m8!1m2!2m1!1sLegacy+Industrial+Epoxy+Floor+Coating!3m4!1s0x864c174291843217:0x32e0e382c9cbc631!8m2!3d33.0639381!4d-96.830494","https://www.google.com/maps/place/Legacy+Industrial+Epoxy+Floor+Coating/@33.0639381,-96.830494,13.99z/data=!4m16!1m7!3m6!1s0x864c174291843217:0x32e0e382c9cbc631!2sLegacy+Industrial+Epoxy+Floor+Coating!8m2!3d33.0639381!4d-96.830494!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c174291843217:0x32e0e382c9cbc631!8m2!3d33.0639381!4d-96.830494!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-aoCjiEGIAp0/AAAAAAAAAAI/AAAAAAAAAAA/PU4Iq6dUW58/s44-p-k-no-ns-nd/photo.jpg,-96.830494,,Legacy Industrial Epoxy Floor Coating,Legacy Industrial Epoxy Floor Coating,,,105487817373422800391,https://www.google.com/maps/contrib/105487817373422800391,Legacy Industrial Epoxy Floor Coating,+1 214-305-6516,,landline,https://lh3.googleusercontent.com/p/AF1QipMm3UBWikD7DK4xG1xh19zTWYaOdwdgYRsjyvWK=w800-h500-k-no,151,ChIJFzKEkUIXTIYRMcbLyYLj4DI,,,75024,,,"Epoxy floor coating near Royse City, TX",,5.0,,,,,,,Texas,TX,6010 W Spring Creek Pkwy,,"Flooring contractor, Concrete contractor, Contractor, Floor refinishing service, Remodeler",America/Chicago,Flooring contractor,,True,https://www.legacyindustrialcoatings.com/,{'Thursday': ['Open 24 hours']},
{},"401 Crowley Rd #200, Arlington, TX 76012",False,,OPERATIONAL,,7731618798207966363,Arlington,401 Crowley Rd,Arlington,United States,"American Concrete Coatings of Arlington, TX offers garage floor coatings, patio concrete coating, and commercial floor coating in the Dallas-Fort Worth area, including McKinney and Frisco. With over three decades of experience, we provide high-quality ...",50.0,,2016.0,CONSTRUCTION,False,"American Concrete Coatings of Arlington, TX offers garage floor coatings, patio concrete coating, and commercial floor coating in the Dallas-Fort Worth area, including McKinney and Frisco. With over three decades of experience, we provide high-quality ...",,"AMERICAN GARAGE/PATIO CONCRETE COATINGS, LLC",+1 817-588-2055,TIME WARNER CBLE INFO SVC (TX),landline,10000000.0,TX,America/Chicago,,76012,United States of America,US,West Arlington,,0x864e7cf5afdc0e35:0x6b4c3a5545eb1c9b,8926cbd0c07ffff,/g/11c59wkyt0,32.7375062,,,"https://www.google.com/maps/place/American+Concrete+Coatings/@32.7375062,-97.1541627,14z/data=!4m8!1m2!2m1!1sAmerican+Concrete+Coatings!3m4!1s0x864e7cf5afdc0e35:0x6b4c3a5545eb1c9b!8m2!3d32.7375062!4d-97.1541627","https://www.google.com/maps/place/American+Concrete+Coatings/@32.7375062,-97.1541627,13.99z/data=!4m16!1m7!3m6!1s0x864e7cf5afdc0e35:0x6b4c3a5545eb1c9b!2sAmerican+Concrete+Coatings!8m2!3d32.7375062!4d-97.1541627!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864e7cf5afdc0e35:0x6b4c3a5545eb1c9b!8m2!3d32.7375062!4d-97.1541627!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-FnmWXSm8va8/AAAAAAAAAAI/AAAAAAAAAAA/JjwHL7L_yic/s44-p-k-no-ns-nd/photo.jpg,-97.1541627,,American Concrete Coatings,American Concrete Coatings,,,116217162971078445905,https://www.google.com/maps/contrib/116217162971078445905,American Concrete Coatings,+1 817-765-4899,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerMgny66pZCUtp7yoMNsLLhNFfFTJ-YCE753I0DFt1y7yjV-aBeNsovqITkR9G2fASVniFg1QDVuyIZRBQniWkdoOSw2xIpE36Lm-NDYA0jocKj_QU2EP5yej7ENOZiArZI6ApF=w800-h500-k-no,54,ChIJNQ7cr_V8ToYRmxzrRVU6TGs,,,76012,,,"Epoxy floor coating near Royse City, TX",,4.5,,,,,,,Texas,TX,401 Crowley Rd #200,,"Flooring contractor, Concrete contractor, Floor refinishing service, Flooring store, Swimming pool contractor",America/Chicago,Flooring contractor,,True,https://www.garagefloorcoatingsdfw.com/%3Futm_source%3Dorganic%26utm_medium%3Dgmb%26utm_campaign%3DACC,{'Thursday': ['Open 24 hours']},
{},"291 S Preston Rd suite 1230, Prosper, TX 75078",False,,OPERATIONAL,,17475315805030995408,Prosper,4006 Belt Line Road,Addison,United States,"MyGarageFloors.com is the best polyaspartic garage floor coating company in DFW and Austin. They offer an online platform where customers can design their garage, get an instant price, and schedule installation within minutes. Their polyaspartic garage...",,,2022.0,CONSTRUCTION,False,"MyGarageFloors.com is the best polyaspartic garage floor coating company in DFW and Austin. They offer an online platform where customers can design their garage, get an instant price, and schedule installation within minutes. Their polyaspartic garage...",,MyGarageFloors.com,+1 469-990-9990,"T-MOBILE USA, INC.",mobile,,TX,America/Chicago,,75001,United States of America,US,,,0x864c3faac8173ac5:0xf284cb22f0a455d0,8926c80c4d7ffff,/g/11vyj3jch8,33.2339607,,,"https://www.google.com/maps/place/MyGarageFloors.com+-+Garage+Floors+Coating/@33.2339607,-96.78549699999999,14z/data=!4m8!1m2!2m1!1sMyGarageFloors.com+-+Garage+Floors+Coating!3m4!1s0x864c3faac8173ac5:0xf284cb22f0a455d0!8m2!3d33.2339607!4d-96.78549699999999","https://www.google.com/maps/place/MyGarageFloors.com+-+Garage+Floors+Coating/@33.2339607,-96.78549699999999,13.99z/data=!4m16!1m7!3m6!1s0x864c3faac8173ac5:0xf284cb22f0a455d0!2sMyGarageFloors.com+-+Garage+Floors+Coating!8m2!3d33.2339607!4d-96.78549699999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c3faac8173ac5:0xf284cb22f0a455d0!8m2!3d33.2339607!4d-96.78549699999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-95UClKhfyJE/AAAAAAAAAAI/AAAAAAAAAAA/MsgGDqfv_f0/s44-p-k-no-ns-nd/photo.jpg,-96.78549699999999,,MyGarageFloors.com - Garage Floors Coating,Mygaragefloors Com Garage Floors Coating,,,104556870222303742710,https://www.google.com/maps/contrib/104556870222303742710,MyGarageFloors.com - Garage Floors Coating,+1 469-990-9990,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqZsHNI7K3d9Utb_5FsWjIELlQ4hi1bHsMWJEq1SeU4ojfF2VCfb24-cc0qeYDqE3g_q2qGJbsX4tsXYx-_lWBW7sPpn-AD2bME_zAaeWnIufLIm5UBQk8V_N_SpD_dpqKWuYeJ2UNQGdrO=w800-h500-k-no,107,ChIJxToXyKo_TIYR0FWk8CLLhPI,,,75078,,,"Epoxy floor coating near Royse City, TX",,5.0,,,,,,,Texas,TX,291 S Preston Rd suite 1230,,"Flooring contractor, Concrete contractor, Floor refinishing service, Floor sanding and polishing service, Remodeler",America/Chicago,Flooring contractor,,True,https://mygaragefloors.com/service-area/garage-floor-coating-prosper-tx/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Other': {'Identifies as veteran-owned': True}}","820 W Spring Creek Pkwy suite 400 B, Plano, TX 75023",False,,OPERATIONAL,,16272466915866858725,Plano,4006 Belt Line Road,Addison,United States,"MyGarageFloors.com is the best polyaspartic garage floor coating company in DFW and Austin. They offer an online platform where customers can design their garage, get an instant price, and schedule installation within minutes. Their polyaspartic garage...",,,2022.0,CONSTRUCTION,False,"MyGarageFloors.com is the best polyaspartic garage floor coating company in DFW and Austin. They offer an online platform where customers can design their garage, get an instant price, and schedule installation within minutes. Their polyaspartic garage...",,MyGarageFloors.com,+1 469-990-9990,"T-MOBILE USA, INC.",mobile,,TX,America/Chicago,,75001,United States of America,US,,,0x864c19d8df24d811:0xe1d36a71db8a54e5,8926c876dbbffff,/g/11tmfl53ng,33.0553987,,,"https://www.google.com/maps/place/MyGarageFloors.com+-+Garage+floor+coating/@33.0553987,-96.70889609999999,14z/data=!4m8!1m2!2m1!1sMyGarageFloors.com+-+Garage+floor+coating!3m4!1s0x864c19d8df24d811:0xe1d36a71db8a54e5!8m2!3d33.0553987!4d-96.70889609999999","https://www.google.com/maps/place/MyGarageFloors.com+-+Garage+floor+coating/@33.0553987,-96.70889609999999,13.99z/data=!4m16!1m7!3m6!1s0x864c19d8df24d811:0xe1d36a71db8a54e5!2sMyGarageFloors.com+-+Garage+floor+coating!8m2!3d33.0553987!4d-96.70889609999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c19d8df24d811:0xe1d36a71db8a54e5!8m2!3d33.0553987!4d-96.70889609999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-vPwj5lKtwVw/AAAAAAAAAAI/AAAAAAAAAAA/FNofC2KHllw/s44-p-k-no-ns-nd/photo.jpg,-96.70889609999999,,MyGarageFloors.com - Garage floor coating,Mygaragefloors Com Garage Floor Coating,,,103607822415726168361,https://www.google.com/maps/contrib/103607822415726168361,MyGarageFloors.com - Garage floor coating,+1 469-990-9990,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipOWyQwfgH_cYUELOt8WPBBWjqDshnGeutVoEyro=w800-h500-k-no,84,ChIJEdgk39gZTIYR5VSK23Fq0-E,,,75023,,,"Epoxy floor coating near Royse City, TX",,5.0,,,,,,,Texas,TX,820 W Spring Creek Pkwy suite 400 B,,"Flooring contractor, Concrete contractor, Construction company, Floor refinishing service, Floor sanding and polishing service, General contractor",America/Chicago,Flooring contractor,,True,https://mygaragefloors.com/service-area/garage-floor-coating-plano-tx,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}, 'Other': {'LGBTQ+ friendly': True}}","2734 W Kingsley Rd J2, Garland, TX 75041",False,,OPERATIONAL,,11520778960962791727,Garland,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864c1f798b5cd525:0x9fe2076cdffb292f,8926c829997ffff,/g/11tgcvnlt2,32.8779983,,,"https://www.google.com/maps/place/Beyond+Limits+Concrete+%26+Coatings+School/@32.8779983,-96.6690521,14z/data=!4m8!1m2!2m1!1sBeyond+Limits+Concrete+%26+Coatings+School!3m4!1s0x864c1f798b5cd525:0x9fe2076cdffb292f!8m2!3d32.8779983!4d-96.6690521","https://www.google.com/maps/place/Beyond+Limits+Concrete+%26+Coatings+School/@32.8779983,-96.6690521,13.99z/data=!4m16!1m7!3m6!1s0x864c1f798b5cd525:0x9fe2076cdffb292f!2sBeyond+Limits+Concrete+%26+Coatings+School!8m2!3d32.8779983!4d-96.6690521!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c1f798b5cd525:0x9fe2076cdffb292f!8m2!3d32.8779983!4d-96.6690521!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-7WBNExSOCn8/AAAAAAAAAAI/AAAAAAAAAAA/aG8vXSosRkU/s44-p-k-no-ns-nd/photo.jpg,-96.6690521,,Beyond Limits Concrete & Coatings School,Beyond Limits Concrete And Coatings School,,,105540369624789415275,https://www.google.com/maps/contrib/105540369624789415275,Beyond Limits Concrete & Coatings School,+1 972-294-9808,,mobile,https://lh3.googleusercontent.com/p/AF1QipOJpZIN6yQwRPxuGD1UWqSEHXFcL81HYUaFY5S1=w800-h500-k-no,365,ChIJJdVci3kfTIYRLyn732wH4p8,,,75041,,,"Epoxy floor coating near Royse City, TX",,5.0,,,,,,,Texas,TX,2734 W Kingsley Rd J2,,"Flooring contractor, Trade school",America/Chicago,Flooring contractor,,True,https://installbeyondlimits.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
