about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{'Other': {'Identifies as women-owned': True}},"5408 TX-276 Suite A, Royse City, TX 75189",False,,OPERATIONAL,,13797880692041759473,Royse City,1470 Interstate 30,Rockwall,United States,"NTX Foundation Repair is a company based in Mesquite, Texas, specializing in foundation repair, plumbing solutions, drainage solutions, and retaining walls. They offer high-quality services with a focus on saving time and money for their customers.",,,,CONSTRUCTION,False,"NTX Foundation Repair is a company based in Mesquite, Texas, specializing in foundation repair, plumbing solutions, drainage solutions, and retaining walls. They offer high-quality services with a focus on saving time and money for their customers.",,NTX Foundation Repair,+1 214-444-7031,"ONVOY, LLC - TX",fixed line,,TX,America/Chicago,NtxRepair,75087,United States of America,US,,,0x864bff045a5394af:0xbf7beb62965ebaf1,8926c826c1bffff,/g/11rg9qc516,32.9175532,,,"https://www.google.com/maps/place/NTX+At+Home+Solutions+%2F+NTX+Foundation+Repair/@32.9175532,-96.2616905,14z/data=!4m8!1m2!2m1!1sNTX+At+Home+Solutions+%2F+NTX+Foundation+Repair!3m4!1s0x864bff045a5394af:0xbf7beb62965ebaf1!8m2!3d32.9175532!4d-96.2616905","https://www.google.com/maps/place/NTX+At+Home+Solutions+%2F+NTX+Foundation+Repair/@32.9175532,-96.2616905,13.99z/data=!4m16!1m7!3m6!1s0x864bff045a5394af:0xbf7beb62965ebaf1!2sNTX+At+Home+Solutions+%2F+NTX+Foundation+Repair!8m2!3d32.9175532!4d-96.2616905!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff045a5394af:0xbf7beb62965ebaf1!8m2!3d32.9175532!4d-96.2616905!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-kmr7Z6Vnsv0/AAAAAAAAAAI/AAAAAAAAAAA/DSI2XwU8k_8/s44-p-k-no-ns-nd/photo.jpg,-96.2616905,,NTX At Home Solutions / NTX Foundation Repair,Ntx At Home Solutions / Ntx Foundation Repair,,,117562748332767241427,https://www.google.com/maps/contrib/117562748332767241427,NTX At Home Solutions / NTX Foundation Repair,+1 214-444-7031,"ONVOY, LLC - TX",fixed line,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerNTrIpGq-4OcrFI-svZ4hK8gqImmkq2423BA8ot_AYdGZBVN_WHUO9xxUriaPHex4xiri3KK1FsX6Dap8HPnUhhVW3y6LEpzN8qCieccpTIk01syMWWOuFd47Nnj3PvZ_unHG9ZsBe6KCl=w800-h500-k-no,14,ChIJr5RTWgT_S4YR8bpelmLre78,,,75189,,,"Foundation repair near Royse City, TX",,4.6,,,,,,,Texas,TX,5408 TX-276 Suite A,,Concrete contractor,America/Chicago,Concrete contractor,,True,https://ntxfoundationrepair.com/,{'Thursday': ['9:30AM-5PM']},"Thursday,9:30AM,5PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"416 Coachlight Trail, Rockwall, TX 75087",False,,OPERATIONAL,,1005047469697322734,Rockwall,306 East Bourn Street,Rockwall,United States,"SCHAIBLY BROTHERS FOUNDATION REPAIR is a company based in Rockwall, TX that specializes in foundation repair and French drain installation and repair. They serve a one-hour drive distance around Rockwall. The company is committed to supporting homeowne...",10.0,,2016.0,,False,"SCHAIBLY BROTHERS FOUNDATION REPAIR is a company based in Rockwall, TX that specializes in foundation repair and French drain installation and repair. They serve a one-hour drive distance around Rockwall. The company is committed to supporting homeowne...",https://www.linkedin.com/company/schaibly-brothers-foundation-repair-llc,SCHAIBLY BROTHERS FOUNDATION REPAIR,(214) 304-1719,Verizon Wireless,mobile,,TX,America/Chicago,,75087,United States of America,US,,,0x864c01d1b2512141:0xdf2a55945b6ceee,8926c820abbffff,/g/11cm6k5lsr,32.9360972,,,"https://www.google.com/maps/place/Schaibly+Brothers+Foundation+Repair/@32.9360972,-96.4656833,14z/data=!4m8!1m2!2m1!1sSchaibly+Brothers+Foundation+Repair!3m4!1s0x864c01d1b2512141:0xdf2a55945b6ceee!8m2!3d32.9360972!4d-96.4656833","https://www.google.com/maps/place/Schaibly+Brothers+Foundation+Repair/@32.9360972,-96.4656833,13.99z/data=!4m16!1m7!3m6!1s0x864c01d1b2512141:0xdf2a55945b6ceee!2sSchaibly+Brothers+Foundation+Repair!8m2!3d32.9360972!4d-96.4656833!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c01d1b2512141:0xdf2a55945b6ceee!8m2!3d32.9360972!4d-96.4656833!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-2ScnXcNb8Yg/AAAAAAAAAAI/AAAAAAAAAAA/O0BuiPPSWKw/s44-p-k-no-ns-nd/photo.jpg,-96.4656833,,Schaibly Brothers Foundation Repair,Schaibly Brothers Foundation Repair,,,100476628136257379064,https://www.google.com/maps/contrib/100476628136257379064,Schaibly Brothers Foundation Repair,+1 214-935-3888,,landline,https://lh3.googleusercontent.com/p/AF1QipP6RNvk6AOamfIsAWiNsKA3SOpGgsnbdHqNCczU=w800-h500-k-no,16,ChIJQSFRstEBTIYR7s62RVml8g0,,,75087,,,"Foundation repair near Royse City, TX",,4.9,,,,,,,Texas,TX,416 Coachlight Trail,,Concrete contractor,America/Chicago,Concrete contractor,,True,https://schaiblybrothersfoundationrepair.com/,{'Thursday': ['9AM-5PM']},"Thursday,9AM,5PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"1001 N Goliad St, Rockwall, TX 75087",False,,OPERATIONAL,,2396051577764555497,Rockwall,3416 Augusta Boulevard,Rockwall,United States,Foundation Repair Rockwall TX | Fortress Foundation Repair Systems Rockwall's Trusted Foundation Repair Company. Trusted By 4500+ Satisfied Customers in DFW. Call Today For a Free Evaluation. 469 771 4877. Backed by The Good Contractor's List and their...,10.0,https://facebook.com/fortressfoundationsystems,2010.0,CONSTRUCTION,False,Foundation Repair Rockwall TX | Fortress Foundation Repair Systems Rockwall's Trusted Foundation Repair Company. Trusted By 4500+ Satisfied Customers in DFW. Call Today For a Free Evaluation. 469 771 4877. Backed by The Good Contractor's List and their...,https://www.linkedin.com/company/fortress-foundation-systems,Fortress Foundation Systems,+1 469-771-4877,,landline,10000000.0,TX,America/Chicago,TheFortressWay,75087,United States of America,US,,,0x864ea7ff6a6c1dd9:0x21407c37142baae9,8926c820ab3ffff,/g/1pwfbrpl4,32.939923199999996,,,"https://www.google.com/maps/place/Fortress+Foundation+Systems/@32.939923199999996,-96.4603545,14z/data=!4m8!1m2!2m1!1sFortress+Foundation+Systems!3m4!1s0x864ea7ff6a6c1dd9:0x21407c37142baae9!8m2!3d32.939923199999996!4d-96.4603545","https://www.google.com/maps/place/Fortress+Foundation+Systems/@32.939923199999996,-96.4603545,13.99z/data=!4m16!1m7!3m6!1s0x864ea7ff6a6c1dd9:0x21407c37142baae9!2sFortress+Foundation+Systems!8m2!3d32.939923199999996!4d-96.4603545!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864ea7ff6a6c1dd9:0x21407c37142baae9!8m2!3d32.939923199999996!4d-96.4603545!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-KsZFok4-g0g/AAAAAAAAAAI/AAAAAAAAAAA/k_V3pAuwPhE/s44-p-k-no-ns-nd/photo.jpg,-96.4603545,,Fortress Foundation Systems,Fortress Foundation Systems,,,112529285170598599232,https://www.google.com/maps/contrib/112529285170598599232,Fortress Foundation Systems,+1 469-771-4877,,landline,https://lh3.googleusercontent.com/p/AF1QipMxrA0aecPU1jNTOF91-QxAEUXtRIsF2pTm7Ecm=w800-h500-k-no,86,ChIJ2R1sav-nToYR6aorFDd8QCE,,,75087,,,"Foundation repair near Royse City, TX",,4.9,,,,,,,Texas,TX,1001 N Goliad St,,"Foundation, Concrete contractor, Contractor, Drainage service, Retaining wall supplier, Soil testing service, Waterproofing service",America/Chicago,Foundation,,True,https://www.fortressfoundationsystems.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic-web-rockwall%26utm_campaign%3Dgmb,{'Thursday': ['8AM-7PM']},"Thursday,8AM,7PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","1101 Ridge Rd Suite 231, Rockwall, TX 75087",False,,OPERATIONAL,,10612779959924361601,Rockwall,2550 114th Street,Grand Prairie,United States,"Pinnacle Foundation Repair is a company that has been servicing Texas for over 20 years. They specialize in foundation repair for residential and commercial properties. Their services include thorough inspections of foundations, with 1 out of 3 inspect...",50.0,,2019.0,CONSTRUCTION,False,"Pinnacle Foundation Repair is a company that has been servicing Texas for over 20 years. They specialize in foundation repair for residential and commercial properties. Their services include thorough inspections of foundations, with 1 out of 3 inspect...",https://www.linkedin.com/company/pinnacle-foundation-repair,Pinnacle Foundation Repair LLC,9722510018,"PEERLESS NETWORK OF TEXAS, LLC",fixed line,10000000.0,TX,America/Chicago,PinnacleRepair,75050,United States of America,US,,,0x864c01b6e3a321d1:0x93482b2506ad0981,8926c820b43ffff,/g/11nz4r2wp2,32.9190025,,,"https://www.google.com/maps/place/Pinnacle+Foundation+Repair/@32.9190025,-96.46012549999999,14z/data=!4m8!1m2!2m1!1sPinnacle+Foundation+Repair!3m4!1s0x864c01b6e3a321d1:0x93482b2506ad0981!8m2!3d32.9190025!4d-96.46012549999999","https://www.google.com/maps/place/Pinnacle+Foundation+Repair/@32.9190025,-96.46012549999999,13.99z/data=!4m16!1m7!3m6!1s0x864c01b6e3a321d1:0x93482b2506ad0981!2sPinnacle+Foundation+Repair!8m2!3d32.9190025!4d-96.46012549999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c01b6e3a321d1:0x93482b2506ad0981!8m2!3d32.9190025!4d-96.46012549999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-AVyjRHoYS-A/AAAAAAAAAAI/AAAAAAAAAAA/aTCEYxdONP8/s44-p-k-no-ns-nd/photo.jpg,-96.46012549999999,,Pinnacle Foundation Repair,Pinnacle Foundation Repair,,,102852549538098583462,https://www.google.com/maps/contrib/102852549538098583462,Pinnacle Foundation Repair,+1 972-280-7188,,landline,https://lh3.googleusercontent.com/p/AF1QipPsqTIAq8Mt1C98nuXqlPVuYuuuSk_71nEvzt8B=w800-h500-k-no,68,ChIJ0SGj47YBTIYRgQmtBiUrSJM,,,75087,,,"Foundation repair near Royse City, TX",,5.0,,,,,,,Texas,TX,1101 Ridge Rd Suite 231,,"Concrete contractor, Excavating contractor, Waterproofing service",America/Chicago,Concrete contractor,,True,https://pinnaclefoundationrepair.com/locations/rockwall/%3Futm_source%3DGoogle%26utm_medium%3DOrganic%26utm_campaign%3DGMB,{'Thursday': ['8AM-10PM']},"Thursday,8AM,10PM"
{},"2113 Dixie St, Caddo Mills, TX 75135",False,,OPERATIONAL,,9787635207127586247,Caddo Mills,2113 Dixie Street,Caddo Mills,United States,"Duffer Foundation Repair is a locally owned company with over 15 years of experience in foundation repair. We are dedicated to providing homeowners with quality work and excellent customer service. Our services include foundation repair, pier and beam ...",10.0,,,,False,"Duffer Foundation Repair is a locally owned company with over 15 years of experience in foundation repair. We are dedicated to providing homeowners with quality work and excellent customer service. Our services include foundation repair, pier and beam ...",https://www.linkedin.com/company/duffer-foundation-repair,Duffer Foundation Repair,(214) 405-8932,T-Mobile USA Inc.,mobile,1000000.0,TX,America/Chicago,DufferRepair,75135,United States of America,US,,,0x864be528e133ffff:0x87d4aa5d1ff255c7,8926c836893ffff,/g/11rxhz_15d,33.062504499999996,,,"https://www.google.com/maps/place/Duffer+Foundation+Repair/@33.062504499999996,-96.2293196,14z/data=!4m8!1m2!2m1!1sDuffer+Foundation+Repair!3m4!1s0x864be528e133ffff:0x87d4aa5d1ff255c7!8m2!3d33.062504499999996!4d-96.2293196","https://www.google.com/maps/place/Duffer+Foundation+Repair/@33.062504499999996,-96.2293196,13.99z/data=!4m16!1m7!3m6!1s0x864be528e133ffff:0x87d4aa5d1ff255c7!2sDuffer+Foundation+Repair!8m2!3d33.062504499999996!4d-96.2293196!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be528e133ffff:0x87d4aa5d1ff255c7!8m2!3d33.062504499999996!4d-96.2293196!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-96.2293196,,Duffer Foundation Repair,Duffer Foundation Repair,,,,,Duffer Foundation Repair,+1 214-405-8932,T-Mobile USA Inc.,mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoyYTMHUDIrlVjPBce5P2GM9JlzramXl_QPRrWJ0YtOzMLov_30DVEMk6ODqTbL_5ZCaF4f_4ACR-PijOIvMZDSnXgZDWH5xAqEsZWmjHz6cxZ80eNHNYhCJE9dN8QEacO-q5XQww=w800-h500-k-no,6,ChIJ__8z4SjlS4YRx1XyH12q1Ic,,,75135,,,"Foundation repair near Royse City, TX",,4.3,,,,,,,Texas,TX,2113 Dixie St,,Contractor,America/Chicago,Contractor,,False,https://dufferfoundationrepair.com/contact,,
{},"5739 TX-276, Royse City, TX 75189",False,,OPERATIONAL,,12461106342675600424,Royse City,,,,,,,,,,,,texasconcreteleveling.net,,,,,,,,,United States of America,US,,,0x864955ab0d9debc9:0xaceebe32678bd428,8926c82467bffff,/g/11fmbx7x80,32.899757099999995,,,"https://www.google.com/maps/place/Texas+Concrete+Leveling/@32.899757099999995,-96.3628607,14z/data=!4m8!1m2!2m1!1sTexas+Concrete+Leveling!3m4!1s0x864955ab0d9debc9:0xaceebe32678bd428!8m2!3d32.899757099999995!4d-96.3628607","https://www.google.com/maps/place/Texas+Concrete+Leveling/@32.899757099999995,-96.3628607,13.99z/data=!4m16!1m7!3m6!1s0x864955ab0d9debc9:0xaceebe32678bd428!2sTexas+Concrete+Leveling!8m2!3d32.899757099999995!4d-96.3628607!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955ab0d9debc9:0xaceebe32678bd428!8m2!3d32.899757099999995!4d-96.3628607!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-vd5RDpGlnXc/AAAAAAAAAAI/AAAAAAAAAAA/GXuWjdreiSQ/s44-p-k-no-ns-nd/photo.jpg,-96.3628607,,Texas Concrete Leveling,Texas Concrete Leveling,,,116902583350708004315,https://www.google.com/maps/contrib/116902583350708004315,Texas Concrete Leveling,+1 214-974-8086,,landline,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fDuU0SannRPPyHHq-t5bOw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=179.59953&pitch=0&thumbfov=100,1,ChIJyeudDatVSYYRKNSLZzK-7qw,,,75189,,,"Foundation repair near Royse City, TX",,5.0,,,,,,,Texas,TX,5739 TX-276,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fDuU0SannRPPyHHq-t5bOw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=179.59953&pitch=0&thumbfov=100,Concrete contractor,America/Chicago,Concrete contractor,,True,https://texasconcreteleveling.net/,{'Thursday': ['8AM-7PM']},"Thursday,8AM,7PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"1804 G Ave suite 2, Plano, TX 75074",False,,OPERATIONAL,,4579116452065123939,Plano,SERVING NORTH CENTRAL TEXAS,Allen,United States,"Elite Foundation Repairs is a foundation repair company in Allen, TX. Our foundation repair services include foundation crack repair, retaining wall installation & drainage correction.",,,,,False,"Elite Foundation Repairs is a foundation repair company in Allen, TX. Our foundation repair services include foundation crack repair, retaining wall installation & drainage correction.",https://www.linkedin.com/company/elite-foundation-repairs,Elite Foundation Repairs,+1 469-939-9799,"T-MOBILE USA, INC.",mobile,,TX,America/Chicago,EliteFRTX,75002,United States of America,US,,,0x864c113e1a397bb3:0x3f8c4a26e67d1e63,8926c82b4d3ffff,/g/11h24txfh4,33.0244565,,,"https://www.google.com/maps/place/Elite+Foundation+Repairs/@33.0244565,-96.7045569,14z/data=!4m8!1m2!2m1!1sElite+Foundation+Repairs!3m4!1s0x864c113e1a397bb3:0x3f8c4a26e67d1e63!8m2!3d33.0244565!4d-96.7045569","https://www.google.com/maps/place/Elite+Foundation+Repairs/@33.0244565,-96.7045569,13.99z/data=!4m16!1m7!3m6!1s0x864c113e1a397bb3:0x3f8c4a26e67d1e63!2sElite+Foundation+Repairs!8m2!3d33.0244565!4d-96.7045569!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c113e1a397bb3:0x3f8c4a26e67d1e63!8m2!3d33.0244565!4d-96.7045569!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-qj6zONMuA9c/AAAAAAAAAAI/AAAAAAAAAAA/ive_leVM5o4/s44-p-k-no-ns-nd/photo.jpg,-96.7045569,,Elite Foundation Repairs,Elite Foundation Repairs,,,107846751481662863789,https://www.google.com/maps/contrib/107846751481662863789,Elite Foundation Repairs,+1 214-856-9634,,landline,https://lh3.googleusercontent.com/p/AF1QipOHas_1PRMbN6OmycMkxio_30JVrGYslJx2VZVv=w800-h500-k-no,29,ChIJs3s5Gj4RTIYRYx595iZKjD8,,,75074,,,"Foundation repair near Royse City, TX",,4.9,,,,,,,Texas,TX,1804 G Ave suite 2,,"Contractor, Concrete contractor, Foundation",America/Chicago,Contractor,,True,https://elitefoundationrepairs.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","2765 W Kingsley Rd, Garland, TX 75041",False,,OPERATIONAL,,7229185440538293051,Garland,13655 County Road 1570,Ada,United States,"Since we opened our doors in 1968, the foundation of our business has been making you happy and removing any anxiety you may have about your home’s foundation. By being honest and straightforward and providing advanced solutions that outlast the compet...",200.0,https://facebook.com/theramjack,1968.0,CIVIL_ENGINEERING,False,"Since we opened our doors in 1968, the foundation of our business has been making you happy and removing any anxiety you may have about your home’s foundation. By being honest and straightforward and providing advanced solutions that outlast the compet...",https://www.linkedin.com/company/ram-jack-systems-distribution,Ram Jack,8883329909,,toll_free,1000000.0,OK,America/Chicago,TheRamJack,74820,United States of America,US,,,0x864c1e1ae6c4bc19:0x645339db36b5f33b,8926c829983ffff,/g/1tzgk0rf,32.8792076,,,"https://www.google.com/maps/place/Ram+Jack+North+Texas/@32.8792076,-96.66986179999999,14z/data=!4m8!1m2!2m1!1sRam+Jack+North+Texas!3m4!1s0x864c1e1ae6c4bc19:0x645339db36b5f33b!8m2!3d32.8792076!4d-96.66986179999999","https://www.google.com/maps/place/Ram+Jack+North+Texas/@32.8792076,-96.66986179999999,13.99z/data=!4m16!1m7!3m6!1s0x864c1e1ae6c4bc19:0x645339db36b5f33b!2sRam+Jack+North+Texas!8m2!3d32.8792076!4d-96.66986179999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c1e1ae6c4bc19:0x645339db36b5f33b!8m2!3d32.8792076!4d-96.66986179999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-VQw0av0vF1g/AAAAAAAAAAI/AAAAAAAAAAA/yi78vG5AaJ4/s44-p-k-no-ns-nd/photo.jpg,-96.66986179999999,,Ram Jack North Texas,Ram Jack North Texas,,,111913472996505162391,https://www.google.com/maps/contrib/111913472996505162391,Ram Jack North Texas,+1 972-619-9616,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwequQRpBSwBVZ_BELuFrOE4_UQEi6AVFLd9GqJA5FD1fDNIugeY4G-xNzRTlpTfX0Nm0ZuHB1EWF4sLgzIpF9FG-Rn7z7UW247vGpP-iI4rxVvJgMOgNhLD3_LZzlHnMQyjnwe0=w800-h500-k-no,61,ChIJGbzE5hoeTIYRO_O1Nts5U2Q,,,75041,,,"Foundation repair near Royse City, TX",,4.7,,,,,,,Texas,TX,2765 W Kingsley Rd,,"Concrete contractor, Contractor, Drainage service, Foundation, Waterproofing service",America/Chicago,Concrete contractor,,True,https://www.ramjack.com/dallas-ft-worth/,{'Thursday': ['7AM-7PM']},"Thursday,7AM,7PM"
"{'Accessibility': {'Assistive hearing loop': False, 'Wheelchair accessible parking lot': False, 'Wheelchair accessible restroom': False, 'Wheelchair accessible seating': False}, 'Other': {'Identifies as veteran-owned': True, 'LGBTQ+ friendly': True}}","409 S Hwy 548, Royse City, TX 75189",False,,OPERATIONAL,,13513680282298119727,Royse City,409 South Highway 548,Royse City,United States,"Royse City Concrete Contractors specializes in providing high-quality concrete contracting services, offering durable and aesthetically pleasing concrete solutions tailored to enhance the value and appeal of properties in Royse City, TX.",,,,CONSTRUCTION,False,"Royse City Concrete Contractors specializes in providing high-quality concrete contracting services, offering durable and aesthetically pleasing concrete solutions tailored to enhance the value and appeal of properties in Royse City, TX.",,Royse City Concrete Contractors,+1 469-228-8004,,landline,,TX,America/Chicago,,75189,United States of America,US,,,0x864bff74146c9753:0xbb8a3c9e4294762f,8926c82665bffff,/g/11vyyxnn7_,32.961466,,,"https://www.google.com/maps/place/Royse+City+Concrete+Contractors/@32.961466,-96.334383,14z/data=!4m8!1m2!2m1!1sRoyse+City+Concrete+Contractors!3m4!1s0x864bff74146c9753:0xbb8a3c9e4294762f!8m2!3d32.961466!4d-96.334383","https://www.google.com/maps/place/Royse+City+Concrete+Contractors/@32.961466,-96.334383,13.99z/data=!4m16!1m7!3m6!1s0x864bff74146c9753:0xbb8a3c9e4294762f!2sRoyse+City+Concrete+Contractors!8m2!3d32.961466!4d-96.334383!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff74146c9753:0xbb8a3c9e4294762f!8m2!3d32.961466!4d-96.334383!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-9yN57Z72Mto/AAAAAAAAAAI/AAAAAAAAAAA/f0p0_ZEwxyE/s44-p-k-no-ns-nd/photo.jpg,-96.334383,,Royse City Concrete Contractors,Royse City Concrete Contractors,,,116108426922241667415,https://www.google.com/maps/contrib/116108426922241667415,Royse City Concrete Contractors,+1 469-228-8004,,landline,https://lh3.googleusercontent.com/p/AF1QipMTg_BzKSthFBeB1fhgotkB2iCz8pqXPwi7GhZn=w800-h500-k-no,3,ChIJU5dsFHT_S4YRL3aUQp48irs,,,75189,,,"Foundation repair near Royse City, TX",,5.0,,,,,,,Texas,TX,409 S Hwy 548,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yGL5ZkgBxnD6QMx5meWd4Q&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=177.85251&pitch=0&thumbfov=100,Concrete contractor,America/Chicago,Concrete contractor,,True,https://www.roysecityconcretecontractors.com/,{'Thursday': ['6AM-8PM']},"Thursday,6AM,8PM"
{'Other': {'Identifies as veteran-owned': True}},"5211 Boyd Blvd suite a, Rowlett, TX 75088",False,,OPERATIONAL,,12264825908250700165,Rowlett,5211 Boyd Boulevard,Rowlett,United States,"With over 20 years of experience in Texas, we provide quality and honest assessments of your property. A+ BBB Rated and a Lifetime Warranty.",10.0,http://www.facebook.com/GraniteFoundationRepair,2003.0,CONSTRUCTION,False,"With over 20 years of experience in Texas, we provide quality and honest assessments of your property. A+ BBB Rated and a Lifetime Warranty.",https://www.linkedin.com/company/granite-foundation-repair-inc.,Granite Foundation Repair,9725046644,AT&T,,10000000.0,TX,America/Chicago,GraniteRepair,75088,United States of America,US,,,0x864c1d555c7e8187:0xaa356a2e854a6985,8926c82f6cfffff,/g/1tdmqg1m,32.906485499999995,,,"https://www.google.com/maps/place/Granite+Foundation+Repair%2C+Inc./@32.906485499999995,-96.5791311,14z/data=!4m8!1m2!2m1!1sGranite+Foundation+Repair%2C+Inc.!3m4!1s0x864c1d555c7e8187:0xaa356a2e854a6985!8m2!3d32.906485499999995!4d-96.5791311","https://www.google.com/maps/place/Granite+Foundation+Repair%2C+Inc./@32.906485499999995,-96.5791311,13.99z/data=!4m16!1m7!3m6!1s0x864c1d555c7e8187:0xaa356a2e854a6985!2sGranite+Foundation+Repair%2C+Inc.!8m2!3d32.906485499999995!4d-96.5791311!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c1d555c7e8187:0xaa356a2e854a6985!8m2!3d32.906485499999995!4d-96.5791311!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/--anprZvxNGI/AAAAAAAAAAI/AAAAAAAAAAA/XMppP3sijVU/s44-p-k-no-ns-nd/photo.jpg,-96.5791311,,"Granite Foundation Repair, Inc.",Granite Foundation Repair,,,112708879675622921416,https://www.google.com/maps/contrib/112708879675622921416,"Granite Foundation Repair, Inc.",+1 972-412-2171,,landline,https://lh3.googleusercontent.com/p/AF1QipPtkUu_AqNZ7kNa8m73wP_SLWji9mByQ7gb9u5W=w800-h500-k-no,27,ChIJh4F-XFUdTIYRhWlKhS5qNao,,,75088,,,"Foundation repair near Royse City, TX",,4.7,,,,,,,Texas,TX,5211 Boyd Blvd suite a,,Concrete contractor,America/Chicago,Concrete contractor,,True,https://www.granitefoundationrepair.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
