about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{},"6088 FM1565, Royse City, TX 75189",False,,OPERATIONAL,,6840602234333116388,Royse City,,,,"Pitt Crew Garage Doors offers high quality garage doors and garage door repair at affordable pricing. We promise to deliver our services with honesty, efficiency, and integrity. We are a Dallas-based, family-owned business. Give us a call today!",,,,,,"Pitt Crew Garage Doors offers high quality garage doors and garage door repair at affordable pricing. We promise to deliver our services with honesty, efficiency, and integrity. We are a Dallas-based, family-owned business. Give us a call today!",,pittcrewgaragedoor.com,,,,,,,,,United States of America,US,,,0x864ea78c30a70ca5:0x5eeeb37d332b37e4,8926c83490fffff,/g/11c59vmsfn,32.9817082,,,"https://www.google.com/maps/place/Pitt+Crew+Garage+Doors+LLC/@32.9817082,-96.2462027,14z/data=!4m8!1m2!2m1!1sPitt+Crew+Garage+Doors+LLC!3m4!1s0x864ea78c30a70ca5:0x5eeeb37d332b37e4!8m2!3d32.9817082!4d-96.2462027","https://www.google.com/maps/place/Pitt+Crew+Garage+Doors+LLC/@32.9817082,-96.2462027,13.99z/data=!4m16!1m7!3m6!1s0x864ea78c30a70ca5:0x5eeeb37d332b37e4!2sPitt+Crew+Garage+Doors+LLC!8m2!3d32.9817082!4d-96.2462027!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864ea78c30a70ca5:0x5eeeb37d332b37e4!8m2!3d32.9817082!4d-96.2462027!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-WGG_RtkVDMg/AAAAAAAAAAI/AAAAAAAAAAA/Qe6xz6K-yHQ/s44-p-k-no-ns-nd/photo.jpg,-96.2462027,,Pitt Crew Garage Doors LLC,Pitt Crew Garage Doors,,,113378672859949980191,https://www.google.com/maps/contrib/113378672859949980191,Pitt Crew Garage Doors LLC,+1 972-835-2095,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipPSELKXP0V2V9tEBucngF667ct8k-JBOtUF2wkS=w800-h500-k-no,91,ChIJpQynMIynToYR5DcrM32z7l4,,,75189,,,"Garage door repair near Royse City, TX",,5.0,,,,,,,Texas,TX,6088 FM1565,,Garage door supplier,America/Chicago,Garage door supplier,,True,http://pittcrewgaragedoor.com/,{'Wednesday': ['8AM-5PM']},"Wednesday,8AM,5PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"1950 Alpha Dr #100, Rockwall, TX 75087",False,,OPERATIONAL,,17661950800622340064,Rockwall,,,,,,,,,,,,yourgdguys.com,,,,,,,,,United States of America,US,,,0x864c01abf76dc905:0xf51bdaad178547e0,8926c820b33ffff,/g/11gkbfdd0t,32.9144366,,,"https://www.google.com/maps/place/Your+Garage+Door+Guys/@32.9144366,-96.4454547,14z/data=!4m8!1m2!2m1!1sYour+Garage+Door+Guys!3m4!1s0x864c01abf76dc905:0xf51bdaad178547e0!8m2!3d32.9144366!4d-96.4454547","https://www.google.com/maps/place/Your+Garage+Door+Guys/@32.9144366,-96.4454547,13.99z/data=!4m16!1m7!3m6!1s0x864c01abf76dc905:0xf51bdaad178547e0!2sYour+Garage+Door+Guys!8m2!3d32.9144366!4d-96.4454547!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c01abf76dc905:0xf51bdaad178547e0!8m2!3d32.9144366!4d-96.4454547!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-STgfcPVQWQg/AAAAAAAAAAI/AAAAAAAAAAA/OoHNbb_FcG0/s44-p-k-no-ns-nd/photo.jpg,-96.4454547,,Your Garage Door Guys,Your Garage Door Guys,,,111399126166547296713,https://www.google.com/maps/contrib/111399126166547296713,Your Garage Door Guys,+1 469-389-2010,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipOzi5EQ6ZL6RV_bHflN4P2AOi1E60FI0aCA_7Cv=w800-h500-k-no,287,ChIJBclt96sBTIYR4EeFF63aG_U,,,75087,,,"Garage door repair near Royse City, TX",,4.9,,,,,,,Texas,TX,1950 Alpha Dr #100,,"Garage door supplier, Contractor, Door supplier, Repair service, Spring supplier",America/Chicago,Garage door supplier,,True,https://yourgdguys.com/,{'Wednesday': ['Open 24 hours']},
{'Accessibility': {'Wheelchair accessible parking lot': True}},"1309 Smirl Dr, Rockwall, TX 75032",False,,OPERATIONAL,,10120941207310065671,Rockwall,1009 South Goliad Street,Rockwall,United States,"Rockwall Garage Door is a trusted and official garage door service company in Rockwall, Texas. They have been serving the community since 1995, providing a wide range of products and services. Their offerings include garage door openers, remote control...",10.0,,,CONSTRUCTION,False,"Rockwall Garage Door is a trusted and official garage door service company in Rockwall, Texas. They have been serving the community since 1995, providing a wide range of products and services. Their offerings include garage door openers, remote control...",https://www.linkedin.com/company/rockwall-garage-door,Rockwall Garage Door,,,,1000000.0,TX,America/Chicago,,75087,United States of America,US,,,0x864eabddf6dddec9:0x8c74ce67ae546007,8926c82e32bffff,/g/11lh5khc4k,32.857799799999995,,,"https://www.google.com/maps/place/ROCKWALL+GARAGE+DOOR/@32.857799799999995,-96.4801109,14z/data=!4m8!1m2!2m1!1sROCKWALL+GARAGE+DOOR!3m4!1s0x864eabddf6dddec9:0x8c74ce67ae546007!8m2!3d32.857799799999995!4d-96.4801109","https://www.google.com/maps/place/ROCKWALL+GARAGE+DOOR/@32.857799799999995,-96.4801109,13.99z/data=!4m16!1m7!3m6!1s0x864eabddf6dddec9:0x8c74ce67ae546007!2sROCKWALL+GARAGE+DOOR!8m2!3d32.857799799999995!4d-96.4801109!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eabddf6dddec9:0x8c74ce67ae546007!8m2!3d32.857799799999995!4d-96.4801109!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-96.4801109,,ROCKWALL GARAGE DOOR,Rockwall Garage Door,,,,,ROCKWALL GARAGE DOOR,+1 972-771-3134,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCj9IibG1vUparp1sNUbaU3Ct5XFXP-z2TcQBqRy_9FDwPJh1nQddw8JzbZB6xfDJny6bXu0xPRvsZdefpZLuVfYu0pCtdBN2Du_jgWaZqBe1a5nAIMFdYw9lyB-xAbCRr1eJU=w800-h500-k-no,5,ChIJyd7d9t2rToYRB2BUrmfOdIw,,,75032,,,"Garage door repair near Royse City, TX",,4.8,,,,,,,Texas,TX,1309 Smirl Dr,,Garage door supplier,America/Chicago,Garage door supplier,,False,http://rockwallgaragedoor.com/,{'Wednesday': ['Open 24 hours']},
{},"4268 FM Suite 433, Caddo Mills, TX 75135",False,,OPERATIONAL,,201852330199710008,Caddo Mills,,,,,,,,,,,,garagedoorscaddomills.com,,,,,,,,,United States of America,US,,,0x864be517c075033b:0x2cd1f9ff6a37938,8926c836c2bffff,/g/11srfhjxdh,33.065622,,,"https://www.google.com/maps/place/Gregory%27s+Garage+Door+Repair/@33.065622,-96.2277974,14z/data=!4m8!1m2!2m1!1sGregory%27s+Garage+Door+Repair!3m4!1s0x864be517c075033b:0x2cd1f9ff6a37938!8m2!3d33.065622!4d-96.2277974","https://www.google.com/maps/place/Gregory%27s+Garage+Door+Repair/@33.065622,-96.2277974,13.99z/data=!4m16!1m7!3m6!1s0x864be517c075033b:0x2cd1f9ff6a37938!2sGregory%27s+Garage+Door+Repair!8m2!3d33.065622!4d-96.2277974!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be517c075033b:0x2cd1f9ff6a37938!8m2!3d33.065622!4d-96.2277974!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-EFV9BCAud9s/AAAAAAAAAAI/AAAAAAAAAAA/YQLzoNP89u0/s44-p-k-no-ns-nd/photo.jpg,-96.2277974,,Gregory's Garage Door Repair,Gregorys Garage Door Repair,,,107092045474836078354,https://www.google.com/maps/contrib/107092045474836078354,Gregory's Garage Door Repair,+1 903-400-5700,,landline,https://lh3.googleusercontent.com/p/AF1QipNMz3grHFqueEgBhbn5s-amxgzK83LEJBHUEg-p=w800-h500-k-no,34,ChIJOwN1wBflS4YROHmj9p8fzQI,,,75135,,,"Garage door repair near Royse City, TX",,4.6,,,,,,,Texas,TX,4268 FM Suite 433,,Garage door supplier,America/Chicago,Garage door supplier,,True,https://garagedoorscaddomills.com/,{'Wednesday': ['5AM-10PM']},"Wednesday,5AM,10PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Other': {'LGBTQ+ friendly': True}}","1101 Ridge Rd #245, Rockwall, TX 75087",False,,OPERATIONAL,,10219112146136424490,Rockwall,834 BRENTWOOD LN,Richardson,United States,GARAGE TEC GARAGE DOOR REPAIR IRVING TEXAS GARAGE DOOR REPAIR - GARAGE DOOR INSTALLATION - GARAGE DOOR SPRING REPLACEMENT Garage Tec Garage Door Repair Irving is a locally owned and operated business residing in Dallas Texas. We have years of collective experience in,,,,,,GARAGE TEC GARAGE DOOR REPAIR IRVING TEXAS GARAGE DOOR REPAIR - GARAGE DOOR INSTALLATION - GARAGE DOOR SPRING REPLACEMENT Garage Tec Garage Door Repair Irving is a locally owned and operated business residing in Dallas Texas. We have years of collective experience in,,Garage Tec,2149030802,"T-MOBILE USA, INC.",mobile,,TX,America/Chicago,,75080,United States of America,US,,,0x864c017b4c3a4b1d:0x8dd1945a8e57602a,8926c820b43ffff,/g/11jz19nsfx,32.9190025,,,"https://www.google.com/maps/place/Garage+Tec+Automatic+Gates+%26+Garage+Door+Repair/@32.9190025,-96.46012549999999,14z/data=!4m8!1m2!2m1!1sGarage+Tec+Automatic+Gates+%26+Garage+Door+Repair!3m4!1s0x864c017b4c3a4b1d:0x8dd1945a8e57602a!8m2!3d32.9190025!4d-96.46012549999999","https://www.google.com/maps/place/Garage+Tec+Automatic+Gates+%26+Garage+Door+Repair/@32.9190025,-96.46012549999999,13.99z/data=!4m16!1m7!3m6!1s0x864c017b4c3a4b1d:0x8dd1945a8e57602a!2sGarage+Tec+Automatic+Gates+%26+Garage+Door+Repair!8m2!3d32.9190025!4d-96.46012549999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c017b4c3a4b1d:0x8dd1945a8e57602a!8m2!3d32.9190025!4d-96.46012549999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/--FnbLTArOQU/AAAAAAAAAAI/AAAAAAAAAAA/OtP2Kwlbm-I/s44-p-k-no-ns-nd/photo.jpg,-96.46012549999999,,Garage Tec Automatic Gates & Garage Door Repair,Garage Tec Automatic Gates And Garage Door Repair,,,102664035897249032196,https://www.google.com/maps/contrib/102664035897249032196,Garage Tec Automatic Gates & Garage Door Repair,+1 469-954-8695,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipPUv_Eex4GJ6HeWUZ2MZgUcZbzSRmL11DHaQeUY=w800-h500-k-no,123,ChIJHUs6THsBTIYRKmBXjlqU0Y0,,,75087,,,"Garage door repair near Royse City, TX",,4.9,,,,,,,Texas,TX,1101 Ridge Rd #245,,"Garage door supplier, Fence contractor",America/Chicago,Garage door supplier,,True,http://garagetec.org/rockwall-tx/,{'Wednesday': ['7AM-9PM']},"Wednesday,7AM,9PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"4480 I-30 Ste 300, Rockwall, TX 75087",False,,OPERATIONAL,,15214294459989048760,Rockwall,1209 West Carrier Parkway,Grand Prairie,United States,"Garage Door Repair Dallas TX - Service and installation by the most reputable company in the Dallas-Fort Worth TX metro - Veteran. Same day service for Springs, Remotes, openers & parts. Commercial & Residential garage doors & openers - Overhead, LiftM...",10.0,https://facebook.com/vgdteam,2010.0,CONSUMER_SERVICES,False,"Garage Door Repair Dallas TX - Service and installation by the most reputable company in the Dallas-Fort Worth TX metro - Veteran. Same day service for Springs, Remotes, openers & parts. Commercial & Residential garage doors & openers - Overhead, LiftM...",https://www.linkedin.com/company/veteran-garage-door,Veteran Garage Door,+1 972-347-0724,"PEERLESS NETWORK OF TEXAS, LLC",fixed line,10000000.0,TX,America/Chicago,VeteranGD,75204,United States of America,US,,,0x864bffff36f86c53:0xd3240833dbd73db8,8926c825493ffff,/g/11tt39z_0v,32.923882899999995,,,"https://www.google.com/maps/place/Veteran+Garage+Door+Repair/@32.923882899999995,-96.3983557,14z/data=!4m8!1m2!2m1!1sVeteran+Garage+Door+Repair!3m4!1s0x864bffff36f86c53:0xd3240833dbd73db8!8m2!3d32.923882899999995!4d-96.3983557","https://www.google.com/maps/place/Veteran+Garage+Door+Repair/@32.923882899999995,-96.3983557,13.99z/data=!4m16!1m7!3m6!1s0x864bffff36f86c53:0xd3240833dbd73db8!2sVeteran+Garage+Door+Repair!8m2!3d32.923882899999995!4d-96.3983557!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bffff36f86c53:0xd3240833dbd73db8!8m2!3d32.923882899999995!4d-96.3983557!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-SjNyQtFiFK0/AAAAAAAAAAI/AAAAAAAAAAA/F_itnNjCL8o/s44-p-k-no-ns-nd/photo.jpg,-96.3983557,,Veteran Garage Door Repair,Veteran Garage Door Repair,,,118349189628822714966,https://www.google.com/maps/contrib/118349189628822714966,Veteran Garage Door Repair,+1 469-200-1108,,landline,https://lh3.googleusercontent.com/p/AF1QipNmIU9EzBhsGQQKPc40fPnqPErTYqmKux8uS35i=w800-h500-k-no,313,ChIJU2z4Nv__S4YRuD3X2zMIJNM,,,75087,,,"Garage door repair near Royse City, TX",,4.9,,,,,,,Texas,TX,4480 I-30 Ste 300,,Garage door supplier,America/Chicago,Garage door supplier,,True,https://veterangaragedoor.com/veteran-garage-door-repair-of-rockwall-tx-no-drive-up-fee/,{'Wednesday': ['7AM-9PM']},"Wednesday,7AM,9PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"4035 N Goliad St, Rockwall, TX 75087",False,,OPERATIONAL,,14076767041263336813,Rockwall,4035 North Goliad Street,Rockwall,United States,"We specialize in commercial and residential applications of garage doors, gates, entry doors, and ornamental iron fencing.",,,,,False,"We specialize in commercial and residential applications of garage doors, gates, entry doors, and ornamental iron fencing.",,BH Doors and Gates,,,,,TX,America/Chicago,DoorsBh,75087,United States of America,US,,,0x864c010bee2909eb:0xc35ab90ac86d7d6d,8926c820167ffff,/g/11n0rmgmz5,32.9720797,,,"https://www.google.com/maps/place/BH+Garage+Doors+and+Gates/@32.9720797,-96.466516,14z/data=!4m8!1m2!2m1!1sBH+Garage+Doors+and+Gates!3m4!1s0x864c010bee2909eb:0xc35ab90ac86d7d6d!8m2!3d32.9720797!4d-96.466516","https://www.google.com/maps/place/BH+Garage+Doors+and+Gates/@32.9720797,-96.466516,13.99z/data=!4m16!1m7!3m6!1s0x864c010bee2909eb:0xc35ab90ac86d7d6d!2sBH+Garage+Doors+and+Gates!8m2!3d32.9720797!4d-96.466516!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c010bee2909eb:0xc35ab90ac86d7d6d!8m2!3d32.9720797!4d-96.466516!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-a16j26o3vKk/AAAAAAAAAAI/AAAAAAAAAAA/BpCu-ZBhCr8/s44-p-k-no-ns-nd/photo.jpg,-96.466516,,BH Garage Doors and Gates,Bh Garage Doors And Gates,,,112058797138060620745,https://www.google.com/maps/contrib/112058797138060620745,BH Garage Doors and Gates,+1 214-206-5231,,mobile,https://lh3.googleusercontent.com/p/AF1QipP94YRcUpommszUb2xs6_5c1_GdB6OOjyI7K42G=w800-h500-k-no,83,ChIJ6wkp7gsBTIYRbX1tyAq5WsM,,,75087,,,"Garage door repair near Royse City, TX",,5.0,,,,,,,Texas,TX,4035 N Goliad St,,Garage door supplier,America/Chicago,Garage door supplier,,True,https://www.bhdoorsandgates.com/,{'Wednesday': ['Open 24 hours']},
{},"1300 W Audie Murphy Pkwy Suite 408, Farmersville, TX 75442",False,,OPERATIONAL,,15227698584897771798,Farmersville,,,,,,,,,,,,farmersvillegaragedoors.com,,,,,,,,,United States of America,US,,,0x864bf7efe8e4624d:0xd353a72ee38cd916,8926c832817ffff,/g/11kc7mstd4,33.158914599999996,,,"https://www.google.com/maps/place/Corey%27s+Garage+Door+Repair/@33.158914599999996,-96.3800215,14z/data=!4m8!1m2!2m1!1sCorey%27s+Garage+Door+Repair!3m4!1s0x864bf7efe8e4624d:0xd353a72ee38cd916!8m2!3d33.158914599999996!4d-96.3800215","https://www.google.com/maps/place/Corey%27s+Garage+Door+Repair/@33.158914599999996,-96.3800215,13.99z/data=!4m16!1m7!3m6!1s0x864bf7efe8e4624d:0xd353a72ee38cd916!2sCorey%27s+Garage+Door+Repair!8m2!3d33.158914599999996!4d-96.3800215!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bf7efe8e4624d:0xd353a72ee38cd916!8m2!3d33.158914599999996!4d-96.3800215!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-54fRRYCKbvY/AAAAAAAAAAI/AAAAAAAAAAA/VRzXZi_o3Lo/s44-p-k-no-ns-nd/photo.jpg,-96.3800215,,Corey's Garage Door Repair,Coreys Garage Door Repair,,,104892465352349450750,https://www.google.com/maps/contrib/104892465352349450750,Corey's Garage Door Repair,+1 972-833-0050,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq4LOL8PMbsU0k1X-3dZSDwt2_XtKBSV5X_d1ut1qc0e22zrGrm_-TmrEyOynSJgFtYceDtK27mUMPuonjqawLKk0GpmXH0Sjj49nm2avvLM08JQFd8KceyF5Y6LQpLaiBNQ1Q2aMeoUiQ=w800-h500-k-no,36,ChIJTWLk6O_3S4YRFtmM4y6nU9M,,,75442,,,"Garage door repair near Royse City, TX",,4.6,,,,,,,Texas,TX,1300 W Audie Murphy Pkwy Suite 408,,Garage door supplier,America/Chicago,Garage door supplier,,True,https://farmersvillegaragedoors.com/,{'Wednesday': ['5AM-10PM']},"Wednesday,5AM,10PM"
{'Other': {'Identifies as women-owned': True}},"502 Pinyon Pl, Forney, TX 75126",False,,OPERATIONAL,,1705581532006748668,Forney,502 Pinyon Place,Forney,United States,"Garage doors repairs & garage door installations of Forney Tx. we provide Garage door service, and garage door opener installation for residential homes.",,,,CONSTRUCTION,False,"Garage doors repairs & garage door installations of Forney Tx. we provide Garage door service, and garage door opener installation for residential homes.",,Gdrinstallations,+1 214-612-8375,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,,TX,America/Chicago,leeCopley5,75126,United States of America,US,,,0x864eadb03c4dc953:0x17ab715de6ba91fc,8926c82c943ffff,/g/1pwfbrpl5,32.767691899999996,,,"https://www.google.com/maps/place/GDR+Installations/@32.767691899999996,-96.461883,14z/data=!4m8!1m2!2m1!1sGDR+Installations!3m4!1s0x864eadb03c4dc953:0x17ab715de6ba91fc!8m2!3d32.767691899999996!4d-96.461883","https://www.google.com/maps/place/GDR+Installations/@32.767691899999996,-96.461883,13.99z/data=!4m16!1m7!3m6!1s0x864eadb03c4dc953:0x17ab715de6ba91fc!2sGDR+Installations!8m2!3d32.767691899999996!4d-96.461883!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eadb03c4dc953:0x17ab715de6ba91fc!8m2!3d32.767691899999996!4d-96.461883!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-LI-sAGtgKGA/AAAAAAAAAAI/AAAAAAAAAAA/JFUOGEO9jzA/s44-p-k-no-ns-nd/photo.jpg,-96.461883,,GDR Installations,Gdr Installations,,,112400491956537007385,https://www.google.com/maps/contrib/112400491956537007385,GDR Installations,+1 214-612-8375,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipPebQaTpvIq2poy4OMJLMd1YKqY_Q3xHPsCJHUj=w800-h500-k-no,243,ChIJU8lNPLCtToYR_JG65l1xqxc,,,75126,,,"Garage door repair near Royse City, TX",,4.9,,,,,,,Texas,TX,502 Pinyon Pl,,"Garage door supplier, Contractor, Door supplier, Repair service",America/Chicago,Garage door supplier,,True,https://gdrinstallations.com/,{'Wednesday': ['8AM-5PM']},"Wednesday,8AM,5PM"
{},"695 Main St #200, Lavon, TX 75166",False,,OPERATIONAL,,15462035991315384535,Lavon,,,,,,,,,,,,Americanoverheadgaragedoorrepair,,,,,,,,,United States of America,US,,,0x864c07c20ff9bc75:0xd6942fd00ea888d7,8926c822edbffff,/g/11vd2n4gvd,33.0222519,,,"https://www.google.com/maps/place/American+Overhead+Garage+Door+Repair/@33.0222519,-96.4417072,14z/data=!4m8!1m2!2m1!1sAmerican+Overhead+Garage+Door+Repair!3m4!1s0x864c07c20ff9bc75:0xd6942fd00ea888d7!8m2!3d33.0222519!4d-96.4417072","https://www.google.com/maps/place/American+Overhead+Garage+Door+Repair/@33.0222519,-96.4417072,13.99z/data=!4m16!1m7!3m6!1s0x864c07c20ff9bc75:0xd6942fd00ea888d7!2sAmerican+Overhead+Garage+Door+Repair!8m2!3d33.0222519!4d-96.4417072!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c07c20ff9bc75:0xd6942fd00ea888d7!8m2!3d33.0222519!4d-96.4417072!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-eFFBr3I60qI/AAAAAAAAAAI/AAAAAAAAAAA/gmRd92dj0ZI/s44-p-k-no-ns-nd/photo.jpg,-96.4417072,,American Overhead Garage Door Repair,American Overhead Garage Door Repair,,,100716734641628583599,https://www.google.com/maps/contrib/100716734641628583599,American Overhead Garage Door Repair,+1 469-551-8279,,landline,https://lh3.googleusercontent.com/p/AF1QipMAqqMlmfeNsAaAjNTDA719SR1DYUhtNWq1EecV=w800-h500-k-no,53,ChIJdbz5D8IHTIYR14ioDtAvlNY,,,75166,,,"Garage door repair near Royse City, TX",,5.0,,,,,,,Texas,TX,695 Main St #200,,Garage door supplier,America/Chicago,Garage door supplier,,True,https://www.americanoverheadgaragedoorrepair.com/,{'Wednesday': ['Open 24 hours']},
