about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{'Accessibility': {'Wheelchair accessible parking lot': True}},"4872 TX-276, Royse City, TX 75189",False,,OPERATIONAL,,11209284080411466469,Royse City,,,,,,,,,,,,Unitedteam,,,,,,,,,United States of America,US,,,0x86495570c276c8b3:0x9b8f607b575ddae5,8926c825587ffff,/g/1td0bb79,32.9049737,,,"https://www.google.com/maps/place/United+Construction/@32.9049737,-96.374427,14z/data=!4m8!1m2!2m1!1sUnited+Construction!3m4!1s0x86495570c276c8b3:0x9b8f607b575ddae5!8m2!3d32.9049737!4d-96.374427","https://www.google.com/maps/place/United+Construction/@32.9049737,-96.374427,13.99z/data=!4m16!1m7!3m6!1s0x86495570c276c8b3:0x9b8f607b575ddae5!2sUnited+Construction!8m2!3d32.9049737!4d-96.374427!16s%2Fg%2F11ckvg1dmb!3m7!1s0x86495570c276c8b3:0x9b8f607b575ddae5!8m2!3d32.9049737!4d-96.374427!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-uWF84yJtj44/AAAAAAAAAAI/AAAAAAAAAAA/BzmvGWpDwpQ/s44-p-k-no-ns-nd/photo.jpg,-96.374427,,United Construction,United Construction,,,103199531940871300119,https://www.google.com/maps/contrib/103199531940871300119,United Construction,+1 972-722-2322,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZNxyC-BDEnmEOVg6BKfcT-o0pSgJNz4a0SNCIuQQbebMONjTe-4nePI7PQVb0hPv6v03frLEBuK7CLoQt05nk4WwU-zi0TFcAfRx5YzHUA0Ok2hWxMUq--BeK5UTvFvrzBd2n=w800-h500-k-no,3,ChIJs8h2wnBVSYYR5dpdV3tgj5s,,,75189,,,"General contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,4872 TX-276,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DfmWoj2V4I_cOgbcX3gR7A&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=4.152391&pitch=0&thumbfov=100,General contractor,America/Chicago,General contractor,,True,http://www.unitedteamllc.com/,{'Thursday': ['9AM-5PM']},"Thursday,9AM,5PM"
{},"1089 N Churchill Dr, Royse City, TX 75189",False,,OPERATIONAL,,4645083878984982165,Royse City,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x27128c86fe57c141:0x4076a72d5ecb1e95,8926c827023ffff,/g/11vytv0m_4,32.9362816,,,"https://www.google.com/maps/place/Victor%27s+Quality+Remodeling+LLC/@32.9362816,-96.3691413,14z/data=!4m8!1m2!2m1!1sVictor%27s+Quality+Remodeling+LLC!3m4!1s0x27128c86fe57c141:0x4076a72d5ecb1e95!8m2!3d32.9362816!4d-96.3691413","https://www.google.com/maps/place/Victor%27s+Quality+Remodeling+LLC/@32.9362816,-96.3691413,13.99z/data=!4m16!1m7!3m6!1s0x27128c86fe57c141:0x4076a72d5ecb1e95!2sVictor%27s+Quality+Remodeling+LLC!8m2!3d32.9362816!4d-96.3691413!16s%2Fg%2F11ckvg1dmb!3m7!1s0x27128c86fe57c141:0x4076a72d5ecb1e95!8m2!3d32.9362816!4d-96.3691413!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-Ngmw4qrTAcQ/AAAAAAAAAAI/AAAAAAAAAAA/ZGEum_isAqI/s44-p-k-no-ns-nd/photo.jpg,-96.3691413,,Victor's Quality Remodeling LLC,Victors Quality Remodeling,,,107075550442369188326,https://www.google.com/maps/contrib/107075550442369188326,Victor's Quality Remodeling LLC,+1 469-991-1708,Onvoy,landline,https://lh3.googleusercontent.com/p/AF1QipNcpcOVE5kTNuzY5WLZPlz1zKCJjYj57YxQJz6c=w800-h500-k-no,202,ChIJQcFX_oaMEicRlR7LXi2ndkA,,,75189,,,"General contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,1089 N Churchill Dr,,"General contractor, Bathroom remodeler, Construction company, Contractor, Kitchen remodeler, Remodeler",America/Chicago,General contractor,,True,http://www.victorsqualityremodeling.com/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Assistive hearing loop': False, 'Wheelchair accessible parking lot': False, 'Wheelchair accessible restroom': False, 'Wheelchair accessible seating': False}, 'Other': {'Identifies as veteran-owned': True, 'LGBTQ+ friendly': True}}","409 S Hwy 548, Royse City, TX 75189",False,,OPERATIONAL,,13513680282298119727,Royse City,409 South Highway 548,Royse City,United States,"Royse City Concrete Contractors specializes in providing high-quality concrete contracting services, offering durable and aesthetically pleasing concrete solutions tailored to enhance the value and appeal of properties in Royse City, TX.",,,,CONSTRUCTION,False,"Royse City Concrete Contractors specializes in providing high-quality concrete contracting services, offering durable and aesthetically pleasing concrete solutions tailored to enhance the value and appeal of properties in Royse City, TX.",,Royse City Concrete Contractors,+1 469-228-8004,,landline,,TX,America/Chicago,,75189,United States of America,US,,,0x864bff74146c9753:0xbb8a3c9e4294762f,8926c82665bffff,/g/11vyyxnn7_,32.961466,,,"https://www.google.com/maps/place/Royse+City+Concrete+Contractors/@32.961466,-96.334383,14z/data=!4m8!1m2!2m1!1sRoyse+City+Concrete+Contractors!3m4!1s0x864bff74146c9753:0xbb8a3c9e4294762f!8m2!3d32.961466!4d-96.334383","https://www.google.com/maps/place/Royse+City+Concrete+Contractors/@32.961466,-96.334383,13.99z/data=!4m16!1m7!3m6!1s0x864bff74146c9753:0xbb8a3c9e4294762f!2sRoyse+City+Concrete+Contractors!8m2!3d32.961466!4d-96.334383!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff74146c9753:0xbb8a3c9e4294762f!8m2!3d32.961466!4d-96.334383!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-9yN57Z72Mto/AAAAAAAAAAI/AAAAAAAAAAA/f0p0_ZEwxyE/s44-p-k-no-ns-nd/photo.jpg,-96.334383,,Royse City Concrete Contractors,Royse City Concrete Contractors,,,116108426922241667415,https://www.google.com/maps/contrib/116108426922241667415,Royse City Concrete Contractors,+1 469-228-8004,,landline,https://lh3.googleusercontent.com/p/AF1QipMTg_BzKSthFBeB1fhgotkB2iCz8pqXPwi7GhZn=w800-h500-k-no,3,ChIJU5dsFHT_S4YRL3aUQp48irs,,,75189,,,"General contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,409 S Hwy 548,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yGL5ZkgBxnD6QMx5meWd4Q&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=177.85251&pitch=0&thumbfov=100,Concrete contractor,America/Chicago,Concrete contractor,,True,https://www.roysecityconcretecontractors.com/,{'Thursday': ['6AM-8PM']},"Thursday,6AM,8PM"
{},"3108 Crystal Wy, Royse City, TX 75189",False,,OPERATIONAL,,1132421937802104126,Royse City,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x6a5073709b533dd7:0xfb72bc0aa8dcd3e,8926c82649bffff,/g/11y9g8hxcj,32.9777419,,,"https://www.google.com/maps/place/M+Gibbs+Construction+%26+Remodeling+-+ROYSE+CITY/@32.9777419,-96.2964655,14z/data=!4m8!1m2!2m1!1sM+Gibbs+Construction+%26+Remodeling+-+ROYSE+CITY!3m4!1s0x6a5073709b533dd7:0xfb72bc0aa8dcd3e!8m2!3d32.9777419!4d-96.2964655","https://www.google.com/maps/place/M+Gibbs+Construction+%26+Remodeling+-+ROYSE+CITY/@32.9777419,-96.2964655,13.99z/data=!4m16!1m7!3m6!1s0x6a5073709b533dd7:0xfb72bc0aa8dcd3e!2sM+Gibbs+Construction+%26+Remodeling+-+ROYSE+CITY!8m2!3d32.9777419!4d-96.2964655!16s%2Fg%2F11ckvg1dmb!3m7!1s0x6a5073709b533dd7:0xfb72bc0aa8dcd3e!8m2!3d32.9777419!4d-96.2964655!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-awVdmH8ACwg/AAAAAAAAAAI/AAAAAAAAAAA/XvhsJ6lAPvQ/s44-p-k-no-ns-nd/photo.jpg,-96.2964655,,M Gibbs Construction & Remodeling - ROYSE CITY,M Gibbs Construction And Remodeling Royse City,,,112218774232980559708,https://www.google.com/maps/contrib/112218774232980559708,M Gibbs Construction & Remodeling - ROYSE CITY,+1 972-658-6824,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipMcEQJXLE4SNNX79-4k09d3m-mzNt-MomEJAnOW=w800-h500-k-no,11,ChIJ1z1Tm3BzUGoRPs2NqsArtw8,,,75189,,,"General contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,3108 Crystal Wy,,"Construction company, Bathroom remodeler, Contractor, Handyman/Handywoman/Handyperson, Home builder, Kitchen remodeler, Remodeler",America/Chicago,Construction company,,True,https://mgibbsconstruction.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"6434 Graham Point Trail, Royse City, TX 75189",False,,OPERATIONAL,,2580415206079479328,Royse City,12325 Hymeadow Drive,Austin,United States,"JA Smith Roofing & Construction LLC is a top construction company offering high-quality services for residential and commercial projects. Specializing in roofing, fences, remodels, and general construction, we excel in new construction, renovations, and additions with a skilled team dedicated to providing top-notch services.",,,,CONSTRUCTION,False,"JA Smith Roofing & Construction LLC is a top construction company offering high-quality services for residential and commercial projects. Specializing in roofing, fences, remodels, and general construction, we excel in new construction, renovations, and additions with a skilled team dedicated to providing top-notch services.",,Jasroof,,,,,TX,America/Chicago,,78750,United States of America,US,,,0x459861f075b594a9:0x23cf79f553623e20,8926c9c946fffff,/g/11wtgnf4mc,32.9601161,,,"https://www.google.com/maps/place/JA+Smith+Roofing+%26+Construction/@32.9601161,-96.2308844,14z/data=!4m8!1m2!2m1!1sJA+Smith+Roofing+%26+Construction!3m4!1s0x459861f075b594a9:0x23cf79f553623e20!8m2!3d32.9601161!4d-96.2308844","https://www.google.com/maps/place/JA+Smith+Roofing+%26+Construction/@32.9601161,-96.2308844,13.99z/data=!4m16!1m7!3m6!1s0x459861f075b594a9:0x23cf79f553623e20!2sJA+Smith+Roofing+%26+Construction!8m2!3d32.9601161!4d-96.2308844!16s%2Fg%2F11ckvg1dmb!3m7!1s0x459861f075b594a9:0x23cf79f553623e20!8m2!3d32.9601161!4d-96.2308844!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-HdIO86lMyvE/AAAAAAAAAAI/AAAAAAAAAAA/VhVq4wC5vSY/s44-p-k-no-ns-nd/photo.jpg,-96.2308844,,JA Smith Roofing & Construction,Ja Smith Roofing And Construction,,,108720291060630526134,https://www.google.com/maps/contrib/108720291060630526134,JA Smith Roofing & Construction,+1 903-372-0302,T-Mobile USA Inc.,mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-pZZWMz6-w8GhvJBPk4FkynsugBQ5VcnX2EO3fDNLfk0MFU2WHKo_xRCBIkmT9NRGFtRSd3O2jKm-U7ajz7SnBRExvoub3Ssw9dpR2USzorAC0mYew22ZfbqTSS23v2qIFtH7U2901cc=w800-h500-k-no,24,ChIJqZS1dfBhmEURID5iU_V5zyM,,,75189,,,"General contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,6434 Graham Point Trail,,"Roofing contractor, Roofing supply store",America/Chicago,Roofing contractor,,True,https://www.jasroof.com/,{'Thursday': ['7AM-7PM']},"Thursday,7AM,7PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","5842 I-30 Frontage Rd, Royse City, TX 75189",False,,OPERATIONAL,,9278711103053893946,Royse City,217 East Main Street,Royse City,United States,,50.0,,,,False,,https://www.linkedin.com/company/exodus-construction-inc,Exodusconstruction,,,,,TX,America/Chicago,,75189,United States of America,US,,,0x864ea5ccbb695d09:0x80c49a966700113a,8926c8349cbffff,/g/1tk4rkt6,32.9911455,,,"https://www.google.com/maps/place/Exodus+Construction/@32.9911455,-96.2546667,14z/data=!4m8!1m2!2m1!1sExodus+Construction!3m4!1s0x864ea5ccbb695d09:0x80c49a966700113a!8m2!3d32.9911455!4d-96.2546667","https://www.google.com/maps/place/Exodus+Construction/@32.9911455,-96.2546667,13.99z/data=!4m16!1m7!3m6!1s0x864ea5ccbb695d09:0x80c49a966700113a!2sExodus+Construction!8m2!3d32.9911455!4d-96.2546667!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864ea5ccbb695d09:0x80c49a966700113a!8m2!3d32.9911455!4d-96.2546667!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-T5E3ONa0MC8/AAAAAAAAAAI/AAAAAAAAAAA/jwUtZH8-C0M/s44-p-k-no-ns-nd/photo.jpg,-96.2546667,,Exodus Construction,Exodus Construction,,,110740466693553184376,https://www.google.com/maps/contrib/110740466693553184376,Exodus Construction,+1 972-288-5600,"TELNYX, LLC",landline,https://lh3.googleusercontent.com/p/AF1QipOzQK0hOc10YwGph_JT2WGoOFThTPEpK59sxqIs=w800-h500-k-no,3,ChIJCV1pu8ylToYROhEAZ5aaxIA,,,75189,,,"General contractor near Royse City, TX",,4.7,,,,,,,Texas,TX,5842 I-30 Frontage Rd,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZtcIUyl8mgS-SJx1cC5g1g&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=327.74982&pitch=0&thumbfov=100,"General contractor, Concrete contractor, Electrician, Fence contractor, HVAC contractor, Masonry contractor, Roofing contractor",America/Chicago,General contractor,,True,https://www.exodusconstruction.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"336 Mark Ln, Royse City, TX 75189",False,,OPERATIONAL,,2635649280667560138,Royse City,,,,,,,,,,,,roofkingconstruction.com,,,,,,,,,United States of America,US,,,0x864eaba4ff647d2f:0x2493b50e76b428ca,8926c824647ffff,/g/11jkz9lzjz,32.9025774,,,"https://www.google.com/maps/place/Roofking+Construction/@32.9025774,-96.3630821,14z/data=!4m8!1m2!2m1!1sRoofking+Construction!3m4!1s0x864eaba4ff647d2f:0x2493b50e76b428ca!8m2!3d32.9025774!4d-96.3630821","https://www.google.com/maps/place/Roofking+Construction/@32.9025774,-96.3630821,13.99z/data=!4m16!1m7!3m6!1s0x864eaba4ff647d2f:0x2493b50e76b428ca!2sRoofking+Construction!8m2!3d32.9025774!4d-96.3630821!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eaba4ff647d2f:0x2493b50e76b428ca!8m2!3d32.9025774!4d-96.3630821!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-ZQ6RqI8Fy3w/AAAAAAAAAAI/AAAAAAAAAAA/511NgoLm4rs/s44-p-k-no-ns-nd/photo.jpg,-96.3630821,,Roofking Construction,Roofking Construction,,,102280270755865987819,https://www.google.com/maps/contrib/102280270755865987819,Roofking Construction,+1 214-543-2422,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer9kPJ3Q0BPkbB-uKud_qFkmuTWwX-TVMmID1SQeeWJLPwoIwY2ZGLGIm28J6dLgiHclHBYx5P3QkSM8M-hoUnkJo9nY_S8Dm2syXhsbp8CGEq3y8vkXpokQWu0ydpwypJkjzjn=w800-h500-k-no,15,ChIJL31k_6SrToYRyii0dg61kyQ,,,75189,,,"General contractor near Royse City, TX",,4.8,,,,,,,Texas,TX,336 Mark Ln,,"Roofing contractor, Construction company",America/Chicago,Roofing contractor,,True,https://roofkingconstruction.com/,{'Thursday': ['Open 24 hours']},
{'Accessibility': {'Wheelchair accessible parking lot': True}},"1718 Ranch Rd, Royse City, TX 75189",False,,OPERATIONAL,,12065038341934605288,Royse City,1718 Ranch Road,Royse City,United States,A+ BBB Rating. Top Quality Vinyl Siding. Serving Greater Dallas. 25+ Years Experience. Lifetime Warranty. Free Estimates. LOcally Owned. Call Today.,50.0,,,,False,A+ BBB Rating. Top Quality Vinyl Siding. Serving Greater Dallas. 25+ Years Experience. Lifetime Warranty. Free Estimates. LOcally Owned. Call Today.,,Siding and More,+1 972-681-2967,AT&T,landline,10000000.0,TX,America/Chicago,,75189,United States of America,US,,,0x864bfc32b5af9465:0xa76fa072dc7ae3e8,8926c8266b3ffff,/g/1tmk8x4s,32.964779199999995,,,"https://www.google.com/maps/place/Siding+%26+More+Construction+Company/@32.964779199999995,-96.3107599,14z/data=!4m8!1m2!2m1!1sSiding+%26+More+Construction+Company!3m4!1s0x864bfc32b5af9465:0xa76fa072dc7ae3e8!8m2!3d32.964779199999995!4d-96.3107599","https://www.google.com/maps/place/Siding+%26+More+Construction+Company/@32.964779199999995,-96.3107599,13.99z/data=!4m16!1m7!3m6!1s0x864bfc32b5af9465:0xa76fa072dc7ae3e8!2sSiding+%26+More+Construction+Company!8m2!3d32.964779199999995!4d-96.3107599!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfc32b5af9465:0xa76fa072dc7ae3e8!8m2!3d32.964779199999995!4d-96.3107599!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-MYq8dNJbCzw/AAAAAAAAAAI/AAAAAAAAAAA/kkLIlKrAQJ0/s44-p-k-no-ns-nd/photo.jpg,-96.3107599,,Siding & More Construction Company,Siding And More Construction Company,,,105407166302546682041,https://www.google.com/maps/contrib/105407166302546682041,Siding & More Construction Company,+1 972-635-0951,,landline,https://lh3.googleusercontent.com/p/AF1QipPaniy0vA9Cjmn4w2ZrVolMtz4cAdmRc-eNvtwB=w800-h500-k-no,76,ChIJZZSvtTL8S4YR6ON63HKgb6c,,,75189,,,"General contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,1718 Ranch Rd,,"Siding contractor, Roofing contractor, Window installation service",America/Chicago,Siding contractor,,True,https://www.sidingnmore.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"7039 TX-276, Royse City, TX 75189",False,,OPERATIONAL,,15929869594733085310,Royse City,2740 Texas 276,Royse City,United States,Gardner Construction is a full service construction firm specialzing in commercial and roofing needs.,10.0,,2010.0,,False,Gardner Construction is a full service construction firm specialzing in commercial and roofing needs.,https://www.linkedin.com/company/gardnerconstruction,Gardner-Construction,2102808822,Verizon Business,landline,10000000.0,TX,America/Chicago,GardnerConTX,75189,United States of America,US,,,0x864eab7f9e0cd60b:0xdd1243ff105c827e,8926c8240c3ffff,/g/11gsn0vhc6,32.8991128,,,"https://www.google.com/maps/place/Gardner+Construction/@32.8991128,-96.3415102,14z/data=!4m8!1m2!2m1!1sGardner+Construction!3m4!1s0x864eab7f9e0cd60b:0xdd1243ff105c827e!8m2!3d32.8991128!4d-96.3415102","https://www.google.com/maps/place/Gardner+Construction/@32.8991128,-96.3415102,13.99z/data=!4m16!1m7!3m6!1s0x864eab7f9e0cd60b:0xdd1243ff105c827e!2sGardner+Construction!8m2!3d32.8991128!4d-96.3415102!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eab7f9e0cd60b:0xdd1243ff105c827e!8m2!3d32.8991128!4d-96.3415102!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-5_G0Jaxy9tA/AAAAAAAAAAI/AAAAAAAAAAA/Rf7TTpmFCWQ/s44-p-k-no-ns-nd/photo.jpg,-96.3415102,,Gardner Construction,Gardner Construction,,,112649601749484779448,https://www.google.com/maps/contrib/112649601749484779448,Gardner Construction,+1 972-349-1199,,landline,https://lh3.googleusercontent.com/p/AF1QipMlQC1Q9g2b0xlzRQ3RlBXinmgoTroFQCy6Qob8=w800-h500-k-no,3,ChIJC9YMnn-rToYRfoJcEP9DEt0,,,75189,,,"General contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,7039 TX-276,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N9UTtQ4NCeSDYNOxVglU-g&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=179.12885&pitch=0&thumbfov=100,"General contractor, Roofing contractor, Siding contractor",America/Chicago,General contractor,,True,http://gardner-construction.com/,{'Thursday': ['8AM-6PM']},"Thursday,8AM,6PM"
{},"121 Alexander Ln, Royse City, TX 75189",False,,OPERATIONAL,,1960587947438490485,Royse City,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864955e6cdbd4c79:0x1b356859bdfbc375,8926c824083ffff,/g/11g0k167bd,32.9001148,,,"https://www.google.com/maps/place/Texas+Civil+Construction/@32.9001148,-96.32878129999999,14z/data=!4m8!1m2!2m1!1sTexas+Civil+Construction!3m4!1s0x864955e6cdbd4c79:0x1b356859bdfbc375!8m2!3d32.9001148!4d-96.32878129999999","https://www.google.com/maps/place/Texas+Civil+Construction/@32.9001148,-96.32878129999999,13.99z/data=!4m16!1m7!3m6!1s0x864955e6cdbd4c79:0x1b356859bdfbc375!2sTexas+Civil+Construction!8m2!3d32.9001148!4d-96.32878129999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955e6cdbd4c79:0x1b356859bdfbc375!8m2!3d32.9001148!4d-96.32878129999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-96.32878129999999,,Texas Civil Construction,Texas Civil Construction,,,,,Texas Civil Construction,+1 972-635-2263,,landline,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g0SSFpEDUIMMl-62Cz7Kiw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=80.371765&pitch=0&thumbfov=100,1,ChIJeUy9zeZVSYYRdcP7vVloNRs,,,75189,,,"General contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,121 Alexander Ln,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g0SSFpEDUIMMl-62Cz7Kiw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=80.371765&pitch=0&thumbfov=100,General contractor,America/Chicago,General contractor,,False,,,
