about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.total_money_raised,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{},"6155 Co Rd 2597, Royse City, TX 75189",False,,OPERATIONAL,,10959011793628946614,Royse City,6155 County Road 2597,Royse City,United States,"We Offer Reliable HVAC & Heating Services There are over 100 components in your central air conditioning and heating system, and well over 50 types of things that could go wrong. If you are currently having a problem with your HVAC system, contact us ...",10.0,https://facebook.com/trueblueheatandairconditioning,2016.0,,False,"We Offer Reliable HVAC & Heating Services There are over 100 components in your central air conditioning and heating system, and well over 50 types of things that could go wrong. If you are currently having a problem with your HVAC system, contact us ...",https://www.linkedin.com/company/true-blue-heat-and-air-llc,True Blue Heat & Air,+1 903-513-7753,"BANDWIDTH.COM CLEC, LLC - TX",fixed line,10000000.0,TX,America/Chicago,,TBHVAC,75189,United States of America,US,,,0x864bfceee2ee3f6d:0x98163b29b891e0b6,8926c834b8fffff,/g/11bbyftqs1,32.9811264,,,"https://www.google.com/maps/place/True+Blue+Heat+and+Air/@32.9811264,-96.265661,14z/data=!4m8!1m2!2m1!1sTrue+Blue+Heat+and+Air!3m4!1s0x864bfceee2ee3f6d:0x98163b29b891e0b6!8m2!3d32.9811264!4d-96.265661","https://www.google.com/maps/place/True+Blue+Heat+and+Air/@32.9811264,-96.265661,13.99z/data=!4m16!1m7!3m6!1s0x864bfceee2ee3f6d:0x98163b29b891e0b6!2sTrue+Blue+Heat+and+Air!8m2!3d32.9811264!4d-96.265661!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfceee2ee3f6d:0x98163b29b891e0b6!8m2!3d32.9811264!4d-96.265661!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-ujtrrKcT8RM/AAAAAAAAAAI/AAAAAAAAAAA/eXxKUG78CVA/s44-p-k-no-ns-nd/photo.jpg,-96.265661,,True Blue Heat and Air,True Blue Heat And Air,,,116375353827612044934,https://www.google.com/maps/contrib/116375353827612044934,True Blue Heat and Air,+1 903-513-7753,"BANDWIDTH.COM CLEC, LLC - TX",fixed line,https://lh3.googleusercontent.com/p/AF1QipNdnbyeaFUgFK9N44rMzRL0L0kPqR1b8JRe-1p3=w800-h500-k-no,237,ChIJbT_u4u78S4YRtuCRuCk7Fpg,,,75189,,,"HVAC contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,6155 Co Rd 2597,,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Air duct cleaning service, Furnace repair service, Heating contractor, Heating equipment supplier",America/Chicago,HVAC contractor,,True,https://www.trueblueheatandair.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,{'Thursday': ['7AM-7PM']},"Thursday,7AM,7PM"
{},"618 Center St, Royse City, TX 75189",False,,OPERATIONAL,,9143584398388167824,Royse City,618 Center Street,Royse City,United States,"SubCooling Air Services is a local HVAC contractor in Royse City, TX that specializes in heating and cooling systems for both modern and older homes.",10.0,,,,False,"SubCooling Air Services is a local HVAC contractor in Royse City, TX that specializes in heating and cooling systems for both modern and older homes.",,Subcoolingairservices,,,,,TX,America/Chicago,,,75189,United States of America,US,,,0x864bff4adfcfe3c3:0x7ee48990c7bb0490,8926c835bb3ffff,/g/11r1d7l8l_,32.9792866,,,"https://www.google.com/maps/place/SubCooling+Air+Services/@32.9792866,-96.33220329999999,14z/data=!4m8!1m2!2m1!1sSubCooling+Air+Services!3m4!1s0x864bff4adfcfe3c3:0x7ee48990c7bb0490!8m2!3d32.9792866!4d-96.33220329999999","https://www.google.com/maps/place/SubCooling+Air+Services/@32.9792866,-96.33220329999999,13.99z/data=!4m16!1m7!3m6!1s0x864bff4adfcfe3c3:0x7ee48990c7bb0490!2sSubCooling+Air+Services!8m2!3d32.9792866!4d-96.33220329999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff4adfcfe3c3:0x7ee48990c7bb0490!8m2!3d32.9792866!4d-96.33220329999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-gWvLy9HIM0I/AAAAAAAAAAI/AAAAAAAAAAA/6gcIf_QvoiE/s44-p-k-no-ns-nd/photo.jpg,-96.33220329999999,,SubCooling Air Services,Subcooling Air Services,,,118267667921156850253,https://www.google.com/maps/contrib/118267667921156850253,SubCooling Air Services,+1 469-733-2912,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipOGl4tdFsSaxW8oxmd0ABUZV0hKsGnSBGhjPgYx=w800-h500-k-no,26,ChIJw-PP30r_S4YRkAS7x5CJ5H4,,,75189,,,"HVAC contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,618 Center St,,"Air conditioning contractor, Heating contractor, Contractor, Heating equipment supplier",America/Chicago,Air conditioning contractor,,True,https://subcoolingairservices.com/,{'Thursday': ['Open 24 hours']},
{},"6280 TX-276 BLDG E, Royse City, TX 75189",False,,OPERATIONAL,,8010138593000901643,Royse City,,,,,,,,,,,,Coolcasaair,,,,,,,,,,United States of America,US,,,0x864eaba5b5a95a97:0x6f29ba9c5d774c0b,8926c82463bffff,/g/11jcwb3_hf,32.9001685,,,"https://www.google.com/maps/place/Cool+Casa+Heating+%26+Air+Conditioning%2C+LLC/@32.9001685,-96.3539595,14z/data=!4m8!1m2!2m1!1sCool+Casa+Heating+%26+Air+Conditioning%2C+LLC!3m4!1s0x864eaba5b5a95a97:0x6f29ba9c5d774c0b!8m2!3d32.9001685!4d-96.3539595","https://www.google.com/maps/place/Cool+Casa+Heating+%26+Air+Conditioning%2C+LLC/@32.9001685,-96.3539595,13.99z/data=!4m16!1m7!3m6!1s0x864eaba5b5a95a97:0x6f29ba9c5d774c0b!2sCool+Casa+Heating+%26+Air+Conditioning%2C+LLC!8m2!3d32.9001685!4d-96.3539595!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eaba5b5a95a97:0x6f29ba9c5d774c0b!8m2!3d32.9001685!4d-96.3539595!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-xhQNUWOqBps/AAAAAAAAAAI/AAAAAAAAAAA/a-Dd9aRuDTM/s44-p-k-no-ns-nd/photo.jpg,-96.3539595,,"Cool Casa Heating & Air Conditioning, LLC",Cool Casa Heating And Air Conditioning,,,114354643582670168034,https://www.google.com/maps/contrib/114354643582670168034,"Cool Casa Heating & Air Conditioning, LLC",+1 469-974-7321,"NEW CINGULAR WIRELESS PCS, LLC",mobile,https://lh3.googleusercontent.com/p/AF1QipPz3nh9qxsVjZ6vwJCAuwR_YnstpZ-8nBC4X3iZ=w800-h500-k-no,235,ChIJl1qptaWrToYRC0x3XZy6KW8,,,75189,,,"HVAC contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,6280 TX-276 BLDG E,,HVAC contractor,America/Chicago,HVAC contractor,,True,http://coolcasaair.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"126 Passons Rd, Royse City, TX 75189",False,,OPERATIONAL,,13837124940125099137,Royse City,313 HUBBARD DR,Heath,United States,"Allen HVAC Services has the experience and expertise to get the job done right the first time. We are a team of skilled professionals that take great pride in our work, with a commitment to service and value. We have built our business off of this principle and refuse to sacrifice quality for quantity. We take the extra steps, that others often bypass, to make sure your system is safe, and operating at its peak efficiency. We have been keeping Texas cool for the last 13 years, appreciate your interest, and look forward to earning your business. Our specialty is high efficiency and custom designed climate control systems. There is a Licensed Master Technician on every call , and your air will be working within 24 hours! If there's anything else we can do to make your experience a little easier, just ask. We appreciate the opportunity to serve you.",,,,,,"Allen HVAC Services has the experience and expertise to get the job done right the first time. We are a team of skilled professionals that take great pride in our work, with a commitment to service and value. We have built our business off of this principle and refuse to sacrifice quality for quantity. We take the extra steps, that others often bypass, to make sure your system is safe, and operating at its peak efficiency. We have been keeping Texas cool for the last 13 years, appreciate your interest, and look forward to earning your business. Our specialty is high efficiency and custom designed climate control systems. There is a Licensed Master Technician on every call , and your air will be working within 24 hours! If there's anything else we can do to make your experience a little easier, just ask. We appreciate the opportunity to serve you.",,Allen HVAC Services,2146327422,"T-MOBILE USA, INC.",mobile,,TX,America/Chicago,,,75032,United States of America,US,,,0x864e8df7288ce98b:0xc00757d220dad481,8926c824003ffff,/g/1tfjljs1,32.8928472,,,"https://www.google.com/maps/place/Allen+HVAC+Services/@32.8928472,-96.3354672,14z/data=!4m8!1m2!2m1!1sAllen+HVAC+Services!3m4!1s0x864e8df7288ce98b:0xc00757d220dad481!8m2!3d32.8928472!4d-96.3354672","https://www.google.com/maps/place/Allen+HVAC+Services/@32.8928472,-96.3354672,13.99z/data=!4m16!1m7!3m6!1s0x864e8df7288ce98b:0xc00757d220dad481!2sAllen+HVAC+Services!8m2!3d32.8928472!4d-96.3354672!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864e8df7288ce98b:0xc00757d220dad481!8m2!3d32.8928472!4d-96.3354672!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-uPoOJXWG9ds/AAAAAAAAAAI/AAAAAAAAAAA/NbULD_4z45k/s44-p-k-no-ns-nd/photo.jpg,-96.3354672,,Allen HVAC Services,Allen Hvac Services,,,103797628902049167039,https://www.google.com/maps/contrib/103797628902049167039,Allen HVAC Services,+1 214-632-7422,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipOm2DGqVVxiYizxsdPG7RVp8rOEOhEhV5F_cvJu=w800-h500-k-no,19,ChIJi-mMKPeNToYRgdTaINJXB8A,,,75189,,,"HVAC contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,126 Passons Rd,,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Furnace repair service, Heating contractor",America/Chicago,HVAC contractor,,True,http://www.allenhvac.net/,{'Thursday': ['Open 24 hours']},
{},"270 Southern Dr, Royse City, TX 75189",False,,OPERATIONAL,,906110433503559424,Royse City,PO BOX 1012,Rockwall,United States,"Posted by admin on Feb 27, 2013 in | 0 comments",50.0,,,CONSTRUCTION,,,https://www.linkedin.com/company/express-service-contractors,Express Service Air Conditioning & Heating,+1 972-771-7807,CEBRIDGE TELECOM TX L.P. - TX,fixed line,10000000.0,TX,America/Chicago,,,75189,United States of America,US,,,0x8649559d82c8f361:0xc9326a374413f00,8926c824647ffff,/g/11_s0wymn,32.9027376,,,"https://www.google.com/maps/place/Express+Service+Air+Conditioning/@32.9027376,-96.3644719,14z/data=!4m8!1m2!2m1!1sExpress+Service+Air+Conditioning!3m4!1s0x8649559d82c8f361:0xc9326a374413f00!8m2!3d32.9027376!4d-96.3644719","https://www.google.com/maps/place/Express+Service+Air+Conditioning/@32.9027376,-96.3644719,13.99z/data=!4m16!1m7!3m6!1s0x8649559d82c8f361:0xc9326a374413f00!2sExpress+Service+Air+Conditioning!8m2!3d32.9027376!4d-96.3644719!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8649559d82c8f361:0xc9326a374413f00!8m2!3d32.9027376!4d-96.3644719!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-489aVFi3qXg/AAAAAAAAAAI/AAAAAAAAAAA/ATaR8WZLbOI/s44-p-k-no-ns-nd/photo.jpg,-96.3644719,,Express Service Air Conditioning,Express Service Air Conditioning,,,116687343235129459812,https://www.google.com/maps/contrib/116687343235129459812,Express Service Air Conditioning,+1 972-771-7807,CEBRIDGE TELECOM TX L.P. - TX,fixed line,https://lh3.googleusercontent.com/p/AF1QipP8as3auRB16Q2MPw_LToReIMz2k54b42TpIeKI=w800-h500-k-no,25,ChIJYfPIgp1VSYYRAD9BdKMmkww,,,75189,,,"HVAC contractor near Royse City, TX",,4.9,,,,,,,Texas,TX,270 Southern Dr,,"HVAC contractor, Furnace repair service, Air conditioning contractor, Mechanical contractor",America/Chicago,HVAC contractor,,True,http://expressservicehvac.com/,{'Thursday': ['7:30AM-5PM']},"Thursday,7:30AM,5PM"
"{'Other': {'Identifies as veteran-owned': True, 'Identifies as women-owned': True}}","6107 I-30 Frontage Rd, Royse City, TX 75189",False,,OPERATIONAL,,10138110037114322402,Royse City,1935 Clubview Drive,Rockwall,United States,"ROCKWALL ELECTRIC is your most TRUSTED ROCKWALL ELECTRICIAN SINCE 1994. As your Top Electrician in Rockwall, TX we provide SAFE & RELIABLE ELECTRICAL SERVICES to all nearby areas. We are LICENSED & INSURED ELECTRICIANS with over 20 YEARS OF EXPERIENCE....",,,,ELECTRICAL_ELECTRONIC_MANUFACTURING,False,"ROCKWALL ELECTRIC is your most TRUSTED ROCKWALL ELECTRICIAN SINCE 1994. As your Top Electrician in Rockwall, TX we provide SAFE & RELIABLE ELECTRICAL SERVICES to all nearby areas. We are LICENSED & INSURED ELECTRICIANS with over 20 YEARS OF EXPERIENCE....",,Rockwall Electric,+1 972-771-5390,AT&T,landline,,TX,America/Chicago,,,75087,United States of America,US,,,0x8649556460a4c6dd:0x8cb1cd5d60057de2,8926c83495bffff,/g/1tfh519g,32.9855813,,,"https://www.google.com/maps/place/Rockwall+Electric+Heating+and+Air/@32.9855813,-96.2612022,14z/data=!4m8!1m2!2m1!1sRockwall+Electric+Heating+and+Air!3m4!1s0x8649556460a4c6dd:0x8cb1cd5d60057de2!8m2!3d32.9855813!4d-96.2612022","https://www.google.com/maps/place/Rockwall+Electric+Heating+and+Air/@32.9855813,-96.2612022,13.99z/data=!4m16!1m7!3m6!1s0x8649556460a4c6dd:0x8cb1cd5d60057de2!2sRockwall+Electric+Heating+and+Air!8m2!3d32.9855813!4d-96.2612022!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8649556460a4c6dd:0x8cb1cd5d60057de2!8m2!3d32.9855813!4d-96.2612022!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-N267UWwJRM0/AAAAAAAAAAI/AAAAAAAAAAA/vv1NPBaYy20/s44-p-k-no-ns-nd/photo.jpg,-96.2612022,,Rockwall Electric Heating and Air,Rockwall Electric Heating And Air,,,104608563277473823220,https://www.google.com/maps/contrib/104608563277473823220,Rockwall Electric Heating and Air,+1 972-460-0058,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAweofXzJh9eajiNLxDLSFxc002zxZlBbr2c_TP9Z6f8yP2C5gxkASC4IAg9Pc9Ylqlhc_4WCNaEltyfuANpnlpXOpQkt4vYC-UNV01lIWiS4zwamz1Q-C0l0ReRqgQ2PH1vQF_w2m=w800-h500-k-no,36,ChIJ3cakYGRVSYYR4n0FYF3NsYw,,,75189,,,"HVAC contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,6107 I-30 Frontage Rd,,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Heating contractor, Electrician",America/Chicago,HVAC contractor,,True,https://www.rockwallelectricheatingandair.com/,{'Thursday': ['Open 24 hours']},
{},"3949 Ruger Dr, Royse City, TX 75189",False,,OPERATIONAL,,5323453943388382707,Royse City,420 Martinez Lane Northeast,Albuquerque,United States,"Mechanical specializes in providing comprehensive mechanical services for high-performance environments, focusing on the maintenance and optimization of various HVAC systems, including chillers, cooling towers, and boilers, to enhance energy efficiency and operational effectiveness.",,,2024.0,MECHANICAL_OR_INDUSTRIAL_ENGINEERING,False,"Mechanical specializes in providing comprehensive mechanical services for high-performance environments, focusing on the maintenance and optimization of various HVAC systems, including chillers, cooling towers, and boilers, to enhance energy efficiency and operational effectiveness.",https://www.linkedin.com/company/mechanical-systems,Mechanical,+1 430-206-4242,,landline,,NM,America/Denver,,,87107,United States of America,US,,,0x864955ea365fc835:0x49e0b52819d125f3,8926c824613ffff,/g/11wr1vx43b,32.9106704,,,"https://www.google.com/maps/place/Mechanical+%26+Plumbing+Systems%2CLLC/@32.9106704,-96.3569438,14z/data=!4m8!1m2!2m1!1sMechanical+%26+Plumbing+Systems%2CLLC!3m4!1s0x864955ea365fc835:0x49e0b52819d125f3!8m2!3d32.9106704!4d-96.3569438","https://www.google.com/maps/place/Mechanical+%26+Plumbing+Systems%2CLLC/@32.9106704,-96.3569438,13.99z/data=!4m16!1m7!3m6!1s0x864955ea365fc835:0x49e0b52819d125f3!2sMechanical+%26+Plumbing+Systems%2CLLC!8m2!3d32.9106704!4d-96.3569438!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955ea365fc835:0x49e0b52819d125f3!8m2!3d32.9106704!4d-96.3569438!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-2QWY6H2FmCY/AAAAAAAAAAI/AAAAAAAAAAA/2eGbZhV7UgM/s44-p-k-no-ns-nd/photo.jpg,-96.3569438,,"Mechanical & Plumbing Systems,LLC",Mechanical And Plumbing Systems,,,109128641855025812238,https://www.google.com/maps/contrib/109128641855025812238,"Mechanical & Plumbing Systems,LLC",+1 430-206-4242,,landline,https://lh3.googleusercontent.com/p/AF1QipM4-utQuOymivSVtz-G820oqZ7d9Eq-iazHxEKj=w800-h500-k-no,47,ChIJNchfNupVSYYR8yXRGSi14Ek,,,75189,,,"HVAC contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,3949 Ruger Dr,,"HVAC contractor, Mechanical contractor, Plumber",America/Chicago,HVAC contractor,,True,https://mechanicalsystems.com/,{'Thursday': ['Open 24 hours']},
{},"5620 Highway 276 Suite: A, Royse City, TX 75189",False,,OPERATIONAL,,7763916919824138356,Royse City,4414 Texas 276,Rockwall,United States,"Air Conditioner Repair & Furnace Repair Experts servicing Rockwall, Texas and the surrounding area. Licensed & ready to help you with your heating and air needs!",,,,,False,"Air Conditioner Repair & Furnace Repair Experts servicing Rockwall, Texas and the surrounding area. Licensed & ready to help you with your heating and air needs!",,Heritage Air and Heat LLC,+1 972-722-9099,,landline,,TX,America/Chicago,,,75032,United States of America,US,,,0x86495568773a2183:0x6bbef94db7c34074,8926c82467bffff,/g/11ggbyz0ls,32.9005085,,,"https://www.google.com/maps/place/HERITAGE+AIR+AND+HEAT+LLC./@32.9005085,-96.3641179,14z/data=!4m8!1m2!2m1!1sHERITAGE+AIR+AND+HEAT+LLC.!3m4!1s0x86495568773a2183:0x6bbef94db7c34074!8m2!3d32.9005085!4d-96.3641179","https://www.google.com/maps/place/HERITAGE+AIR+AND+HEAT+LLC./@32.9005085,-96.3641179,13.99z/data=!4m16!1m7!3m6!1s0x86495568773a2183:0x6bbef94db7c34074!2sHERITAGE+AIR+AND+HEAT+LLC.!8m2!3d32.9005085!4d-96.3641179!16s%2Fg%2F11ckvg1dmb!3m7!1s0x86495568773a2183:0x6bbef94db7c34074!8m2!3d32.9005085!4d-96.3641179!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-UR4kX4v5BzE/AAAAAAAAAAI/AAAAAAAAAAA/0zKcGAbozAk/s44-p-k-no-ns-nd/photo.jpg,-96.3641179,,HERITAGE AIR AND HEAT LLC.,Heritage Air And Heat,,,107798224631496104918,https://www.google.com/maps/contrib/107798224631496104918,HERITAGE AIR AND HEAT LLC.,+1 972-722-9099,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepJGsr1cMtJ7tnwQacZcGYgd75HIErPZS_jz4VzwjIST_RuRKKsStvEOeHRKdRoB4a3aaGK067ds9f_Wkgsmz-TFtUAA6ogXBKe_mzjGLlFO7zwmAJbZsTQMSkoP05Uot2eiUCg=w800-h500-k-no,10,ChIJgyE6d2hVSYYRdEDDt035vms,,,75189,,,"HVAC contractor near Royse City, TX",,3.6,,,,,,,Texas,TX,5620 Highway 276 Suite: A,,HVAC contractor,America/Chicago,HVAC contractor,,True,https://heritageairandheat.com/heating-and-air-conditioning-services/air-conditioning/,{'Thursday': ['8AM-4PM']},"Thursday,8AM,4PM"
{'Other': {'Identifies as women-owned': True}},"8585 Co Rd 2584, Royse City, TX 75189",False,,OPERATIONAL,,8202660157654923966,Royse City,,,,Specializing in Clean Air Quality,,,,,False,,,Damascus Air,,,,,,,,,,United States of America,US,,,0x864bfd74d98d7eb7:0x71d5b3f42e457abe,8926c826163ffff,/g/11rkhz7zzz,32.923009,,,"https://www.google.com/maps/place/Damascus+Air/@32.923009,-96.2846735,14z/data=!4m8!1m2!2m1!1sDamascus+Air!3m4!1s0x864bfd74d98d7eb7:0x71d5b3f42e457abe!8m2!3d32.923009!4d-96.2846735","https://www.google.com/maps/place/Damascus+Air/@32.923009,-96.2846735,13.99z/data=!4m16!1m7!3m6!1s0x864bfd74d98d7eb7:0x71d5b3f42e457abe!2sDamascus+Air!8m2!3d32.923009!4d-96.2846735!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfd74d98d7eb7:0x71d5b3f42e457abe!8m2!3d32.923009!4d-96.2846735!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-nggT46_rfNI/AAAAAAAAAAI/AAAAAAAAAAA/5mdNrKXufog/s44-p-k-no-ns-nd/photo.jpg,-96.2846735,,Damascus Air,Damascus Air,,,107904304556417740635,https://www.google.com/maps/contrib/107904304556417740635,Damascus Air,+1 682-300-0123,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo6GQ3XvPNIsualqN4fXJcilXT1DOlL2g50P15Am1R5bISnb2Uy_s0hoLTGZeKsWDC-euhpMOJBINDi_z5wGjMjqg1XG_S5NOgFDzmkLXhtHb_jONNxNDU35pdaNDmpSjAAyxs=w800-h500-k-no,4,ChIJt36N2XT9S4YRvnpFLvSz1XE,,,75189,,,"HVAC contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,8585 Co Rd 2584,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=siAj86bnyydgZ2eiUkKxlg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=317.3853&pitch=0&thumbfov=100,"Air conditioning contractor, Air conditioning repair service",America/Chicago,Air conditioning contractor,,True,https://damascusair.com/,{'Thursday': ['7AM-7PM']},"Thursday,7AM,7PM"
"{'Accessibility': {'Assistive hearing loop': False, 'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Other': {'Identifies as women-owned': True, 'LGBTQ+ friendly': True}}","8020 FM 35, Royse City, TX 75189",False,,OPERATIONAL,,16825961933423852153,Royse City,,,,,,,,,,,,teameverflow.com,,,,,,,,,,United States of America,US,,,0x864c1d8fcf265c5f:0xe981d33b0df93a79,8926c82652bffff,/g/1tdftjvk,32.945065,,,"https://www.google.com/maps/place/Everflow+Plumbing%2C+Heating+%26+Air/@32.945065,-96.27462799999999,14z/data=!4m8!1m2!2m1!1sEverflow+Plumbing%2C+Heating+%26+Air!3m4!1s0x864c1d8fcf265c5f:0xe981d33b0df93a79!8m2!3d32.945065!4d-96.27462799999999","https://www.google.com/maps/place/Everflow+Plumbing%2C+Heating+%26+Air/@32.945065,-96.27462799999999,13.99z/data=!4m16!1m7!3m6!1s0x864c1d8fcf265c5f:0xe981d33b0df93a79!2sEverflow+Plumbing%2C+Heating+%26+Air!8m2!3d32.945065!4d-96.27462799999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c1d8fcf265c5f:0xe981d33b0df93a79!8m2!3d32.945065!4d-96.27462799999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-SF9miGhEW6c/AAAAAAAAAAI/AAAAAAAAAAA/QhXQ9THWzs0/s44-p-k-no-ns-nd/photo.jpg,-96.27462799999999,,"Everflow Plumbing, Heating & Air",Everflow Plumbing Heating And Air,,[{'online_service_hours': {'Thursday': 'Open 24 hours'}}],113360283304103191590,https://www.google.com/maps/contrib/113360283304103191590,"Everflow Plumbing, Heating & Air",+1 469-532-0101,"BANDWIDTH.COM CLEC, LLC - TX",fixed line,https://lh3.googleusercontent.com/p/AF1QipPGBflxUPFvtC9DfWv1mPQJXvZSVenSYI-iRwB9=w800-h500-k-no,95,ChIJX1wmz48dTIYReTr5DTvTgek,,,75189,,,"HVAC contractor near Royse City, TX",,4.9,,,,,,,Texas,TX,8020 FM 35,,"Air conditioning contractor, Plumber, Air conditioning repair service, Air conditioning system supplier, Drainage service, Heating contractor, Hot water system supplier, Water treatment supplier",America/Chicago,Air conditioning contractor,,True,https://teameverflow.com/,{'Thursday': ['Open 24 hours']},
