about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.total_money_raised,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True}}","125 I-30 Frontage Rd Suite I, Royse City, TX 75189",False,,OPERATIONAL,,4257223782878987728,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864bff67602a4699:0x3b14b2798bd8c5d0,8926c8266cbffff,/g/11x2t42bsx,32.9679761,,,"https://www.google.com/maps/place/Day+Spa+Massage/@32.9679761,-96.332999,14z/data=!4m8!1m2!2m1!1sDay+Spa+Massage!3m4!1s0x864bff67602a4699:0x3b14b2798bd8c5d0!8m2!3d32.9679761!4d-96.332999","https://www.google.com/maps/place/Day+Spa+Massage/@32.9679761,-96.332999,13.99z/data=!4m16!1m7!3m6!1s0x864bff67602a4699:0x3b14b2798bd8c5d0!2sDay+Spa+Massage!8m2!3d32.9679761!4d-96.332999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff67602a4699:0x3b14b2798bd8c5d0!8m2!3d32.9679761!4d-96.332999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-OO6myYqk6Tw/AAAAAAAAAAI/AAAAAAAAAAA/3Ooj9pu7iIg/s44-p-k-no-ns-nd/photo.jpg,-96.332999,,Day Spa Massage,Day Spa Massage,,,117895949654467346655,https://www.google.com/maps/contrib/117895949654467346655,Day Spa Massage,+1 972-750-6570,,landline,https://lh3.googleusercontent.com/p/AF1QipNVchVKy-f0XUOdoeIqmFFr2rcPgGrvq7ywG79q=w800-h500-k-no,14,ChIJmUYqYGf_S4YR0MXYi3myFDs,,,75189,,,"Massage therapist near Royse City, TX",,4.9,,,,,,,Texas,TX,125 I-30 Frontage Rd Suite I,,Massage spa,America/Chicago,Massage spa,,True,http://daysparoysecity.com/,{'Thursday': ['10AM-9PM']},"Thursday,10AM,9PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"213 S Elm St, Royse City, TX 75189",False,,OPERATIONAL,,6627699231120911708,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864bffd6b1bebc21:0x5bfa5155ed176d5c,8926c835ba7ffff,/g/11vszgv8dv,32.973257499999995,,,"https://www.google.com/maps/place/Shekhinah+Massage/@32.973257499999995,-96.3322657,14z/data=!4m8!1m2!2m1!1sShekhinah+Massage!3m4!1s0x864bffd6b1bebc21:0x5bfa5155ed176d5c!8m2!3d32.973257499999995!4d-96.3322657","https://www.google.com/maps/place/Shekhinah+Massage/@32.973257499999995,-96.3322657,13.99z/data=!4m16!1m7!3m6!1s0x864bffd6b1bebc21:0x5bfa5155ed176d5c!2sShekhinah+Massage!8m2!3d32.973257499999995!4d-96.3322657!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bffd6b1bebc21:0x5bfa5155ed176d5c!8m2!3d32.973257499999995!4d-96.3322657!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-Rb5ELQY9hm4/AAAAAAAAAAI/AAAAAAAAAAA/AFArBMtEF14/s44-p-k-no-ns-nd/photo.jpg,-96.3322657,,Shekhinah Massage,Shekhinah Massage,,,100128875878010402471,https://www.google.com/maps/contrib/100128875878010402471,Shekhinah Massage,+1 214-587-2207,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,https://lh3.googleusercontent.com/p/AF1QipNF3Mbum-5ftnML-I7b9Xhw0VlglxzQlY8G9uRQ=w800-h500-k-no,19,ChIJIby-sdb_S4YRXG0X7VVR-ls,,,75189,,,"Massage therapist near Royse City, TX",,5.0,,,,,,,Texas,TX,213 S Elm St,,Massage therapist,America/Chicago,Massage therapist,,True,https://shekhinah-massage-therapy.square.site/,{'Thursday': ['9AM-6PM']},"Thursday,9AM,6PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Other': {'Identifies as women-owned': True}}","422 I-30 Frontage Rd Suit D, Royse City, TX 75189",False,,OPERATIONAL,,12951548246963451669,Royse City,422 Interstate 30,Royse City,United States,"We are here to help you live your best life, We have many services to help you with your goals, Massage, Access Consciousness, Bodywork, IV Therapy, Facial, Waxing, Lashes & Brows, Reiki, Infrared Sauna, Bio Scan, Frequency Therapy, Hypno...",,,2021.0,,False,"We are here to help you live your best life, We have many services to help you with your goals, Massage, Access Consciousness, Bodywork, IV Therapy, Facial, Waxing, Lashes & Brows, Reiki, Infrared Sauna, Bio Scan, Frequency Therapy, Hypno...",https://www.linkedin.com/company/perfect-balanced-life,Perfectbalancedlife,,,,,TX,America/Chicago,,,75189,United States of America,US,,,0x864bff50b4c6a07f:0xb3bd2482a796f715,8926c8266d3ffff,/g/11np3fb6j0,32.9718046,,,"https://www.google.com/maps/place/Perfect+Balanced+Life/@32.9718046,-96.3280698,14z/data=!4m8!1m2!2m1!1sPerfect+Balanced+Life!3m4!1s0x864bff50b4c6a07f:0xb3bd2482a796f715!8m2!3d32.9718046!4d-96.3280698","https://www.google.com/maps/place/Perfect+Balanced+Life/@32.9718046,-96.3280698,13.99z/data=!4m16!1m7!3m6!1s0x864bff50b4c6a07f:0xb3bd2482a796f715!2sPerfect+Balanced+Life!8m2!3d32.9718046!4d-96.3280698!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff50b4c6a07f:0xb3bd2482a796f715!8m2!3d32.9718046!4d-96.3280698!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-mmECZQFueQo/AAAAAAAAAAI/AAAAAAAAAAA/4pYyZf1PsR8/s44-p-k-no-ns-nd/photo.jpg,-96.3280698,,Perfect Balanced Life,Perfect Balanced Life,,,100338570917818046968,https://www.google.com/maps/contrib/100338570917818046968,Perfect Balanced Life,+1 972-968-9001,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq2ZC5G3_cOi5yV6BY54kgy8XXEGDl2IUtB4GiAQ2JcZu9fRPDhFT-H83W5S5Me3v-ne_n9EJWipWczkTRtAERGh2-WHnzlalgq_8qDS1lBv8yeQInhgd0MbZeSLCM8Uwe0ocsNjA=w800-h500-k-no,46,ChIJf6DGtFD_S4YRFfeWp4IkvbM,,,75189,,,"Massage therapist near Royse City, TX",,4.8,,,,,,,Texas,TX,422 I-30 Frontage Rd Suit D,,"Massage therapist, Facial spa, Foot bath, Massage spa, Wellness center, Reflexologist, Sauna, Thai massage therapist, Wellness program",America/Chicago,Massage therapist,,True,http://perfectbalancedlife.com/,{'Thursday': ['9AM-8PM']},"Thursday,9AM,8PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"3723 FM551, 3723 FM551, Royse City, TX 75189",False,,OPERATIONAL,,7846281560519195962,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864955ec55f13649:0x6ce397820671bd3a,8926c82464fffff,/g/11pyppqj_6,32.9028194,,,"https://www.google.com/maps/place/Massage+by+Deborah/@32.9028194,-96.3686903,14z/data=!4m8!1m2!2m1!1sMassage+by+Deborah!3m4!1s0x864955ec55f13649:0x6ce397820671bd3a!8m2!3d32.9028194!4d-96.3686903","https://www.google.com/maps/place/Massage+by+Deborah/@32.9028194,-96.3686903,13.99z/data=!4m16!1m7!3m6!1s0x864955ec55f13649:0x6ce397820671bd3a!2sMassage+by+Deborah!8m2!3d32.9028194!4d-96.3686903!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955ec55f13649:0x6ce397820671bd3a!8m2!3d32.9028194!4d-96.3686903!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-JY48rPrIZIs/AAAAAAAAAAI/AAAAAAAAAAA/TZEj4PsEFn0/s44-p-k-no-ns-nd/photo.jpg,-96.3686903,,Massage by Deborah,Massage By Deborah,,,115299301522591113792,https://www.google.com/maps/contrib/115299301522591113792,Massage by Deborah,+1 512-865-7742,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipOsPb52aq6L5KhtNVawDnxLtCgYFc8JCPYqzKRD=w800-h500-k-no,3,ChIJSTbxVexVSYYROr1xBoKX42w,,,75189,,,"Massage therapist near Royse City, TX",,4.0,,,,,,,Texas,TX,"3723 FM551, 3723 FM551",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=URiaXI7qUX1_YruvhcAazw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=24.573246&pitch=0&thumbfov=100,Massage therapist,America/Chicago,Massage therapist,,True,,"{'Thursday': ['12-6AM', '9AM-12AM']}","Thursday,12,6AM|Thursday,9AM,12AM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}, 'Other': {'Identifies as women-owned': True}}","5196 TX-276 D, Royse City, TX 75189",False,,OPERATIONAL,,5807345724533730960,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864bff33e5b93335:0x5097d62af6b76e90,8926c826c17ffff,/g/11q960pd8n,32.9172875,,,"https://www.google.com/maps/place/RecovHer+Women%27s+Wellness+Massage/@32.9172875,-96.2555764,14z/data=!4m8!1m2!2m1!1sRecovHer+Women%27s+Wellness+Massage!3m4!1s0x864bff33e5b93335:0x5097d62af6b76e90!8m2!3d32.9172875!4d-96.2555764","https://www.google.com/maps/place/RecovHer+Women%27s+Wellness+Massage/@32.9172875,-96.2555764,13.99z/data=!4m16!1m7!3m6!1s0x864bff33e5b93335:0x5097d62af6b76e90!2sRecovHer+Women%27s+Wellness+Massage!8m2!3d32.9172875!4d-96.2555764!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff33e5b93335:0x5097d62af6b76e90!8m2!3d32.9172875!4d-96.2555764!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-3eFvslZV9Qc/AAAAAAAAAAI/AAAAAAAAAAA/HX_jSD2WzuU/s44-p-k-no-ns-nd/photo.jpg,-96.2555764,,RecovHer Women's Wellness Massage,Recovher Womens Wellness Massage,,,115116663655221875873,https://www.google.com/maps/contrib/115116663655221875873,RecovHer Women's Wellness Massage,+1 469-410-8236,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipPyyuIuTenKbRGpMfgRM_1ERh1XLOqESTLWu-c4=w800-h500-k-no,24,ChIJNTO55TP_S4YRkG639irWl1A,,,75189,,,"Massage therapist near Royse City, TX",,4.9,,,,,,,Texas,TX,5196 TX-276 D,,Massage therapist,America/Chicago,Massage therapist,,True,http://recovhermassage.com/,{'Thursday': ['10AM-3PM']},"Thursday,10AM,3PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}, 'Other': {'Identifies as women-owned': True}}","5196 TX-276 D, Royse City, TX 75189",False,,OPERATIONAL,,4169913832561431843,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864957423451ba3b:0x39de82899dcfd523,8926c826c17ffff,/g/11m5_c6cpb,32.9172875,,,"https://www.google.com/maps/place/Vive+Head+Spa/@32.9172875,-96.2555764,14z/data=!4m8!1m2!2m1!1sVive+Head+Spa!3m4!1s0x864957423451ba3b:0x39de82899dcfd523!8m2!3d32.9172875!4d-96.2555764","https://www.google.com/maps/place/Vive+Head+Spa/@32.9172875,-96.2555764,13.99z/data=!4m16!1m7!3m6!1s0x864957423451ba3b:0x39de82899dcfd523!2sVive+Head+Spa!8m2!3d32.9172875!4d-96.2555764!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864957423451ba3b:0x39de82899dcfd523!8m2!3d32.9172875!4d-96.2555764!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-WivyEYnr-iY/AAAAAAAAAAI/AAAAAAAAAAA/Os-RD-PtJno/s44-p-k-no-ns-nd/photo.jpg,-96.2555764,,Vive Head Spa,Vive Head Spa,,,107005199585132462943,https://www.google.com/maps/contrib/107005199585132462943,Vive Head Spa,+1 469-410-8236,"T-MOBILE USA, INC.",mobile,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a9QRJp67LyxMHJ5cUHtwsQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=7.709368&pitch=0&thumbfov=100,2,ChIJO7pRNEJXSYYRI9XPnYmC3jk,,,75189,,,"Massage therapist near Royse City, TX",,4.3,,,,,,,Texas,TX,5196 TX-276 D,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a9QRJp67LyxMHJ5cUHtwsQ&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=7.709368&pitch=0&thumbfov=100,Spa,America/Chicago,Spa,,True,http://viveheadspa.com/,{'Thursday': ['10AM-2PM']},"Thursday,10AM,2PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","1170 N King Rd, Fate, TX 75189",False,,OPERATIONAL,,17094899699161977656,Fate,2827 Market Center Drive,Rockwall,United States,"Massage Rockwall, Fate, Forney Sports Massage Chronic Pain Management",10.0,,,HOSPITAL_HEALTH_CARE,False,,,Massage Rockwall,+1 214-215-9093,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,1000000.0,TX,America/Chicago,,RockwallMassage,75032,United States of America,US,,,0x864eaa6f68b6c9db:0xed3d48b4277b5338,8926c822907ffff,/g/1hhh9zwhj,32.980846299999996,,,"https://www.google.com/maps/place/Massage+Rockwall+-+Debbie+Gillespie+LMT/@32.980846299999996,-96.38783959999999,14z/data=!4m8!1m2!2m1!1sMassage+Rockwall+-+Debbie+Gillespie+LMT!3m4!1s0x864eaa6f68b6c9db:0xed3d48b4277b5338!8m2!3d32.980846299999996!4d-96.38783959999999","https://www.google.com/maps/place/Massage+Rockwall+-+Debbie+Gillespie+LMT/@32.980846299999996,-96.38783959999999,13.99z/data=!4m16!1m7!3m6!1s0x864eaa6f68b6c9db:0xed3d48b4277b5338!2sMassage+Rockwall+-+Debbie+Gillespie+LMT!8m2!3d32.980846299999996!4d-96.38783959999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eaa6f68b6c9db:0xed3d48b4277b5338!8m2!3d32.980846299999996!4d-96.38783959999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-hjwmWubE90k/AAAAAAAAAAI/AAAAAAAAAAA/xjeUmVr09WY/s44-p-k-no-ns-nd/photo.jpg,-96.38783959999999,,Massage Rockwall - Debbie Gillespie LMT,Massage Rockwall Debbie Gillespie Lmt,,,108502156557274462356,https://www.google.com/maps/contrib/108502156557274462356,Massage Rockwall - Debbie Gillespie LMT,+1 214-223-4327,,mobile,https://lh3.googleusercontent.com/p/AF1QipOgPAQo2V4XwmAEsQHQH7XXt_Ouw-y3pbHYANvZ=w800-h500-k-no,30,ChIJ28m2aG-qToYROFN7J7RIPe0,,,75189,,,"Massage therapist near Royse City, TX",,4.9,,,,,,,Texas,TX,1170 N King Rd,,"Sports massage therapist, Massage therapist",America/Chicago,Sports massage therapist,,True,http://www.massagerockwall.com/,{'Thursday': ['9AM-5PM']},"Thursday,9AM,5PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True}, 'Other': {'Identifies as Latino-owned': True, 'Identifies as women-owned': True, 'LGBTQ+ friendly': True}}","6531 Horizon Rd Suite C, Rockwall, TX 75032",False,,OPERATIONAL,,12551666683339874020,Rockwall,955 West Ralph Hall Parkway,Rockwall,United States,"Welcome to our humble and relaxing place called Petrissage Massge, in Rockwall, TX. where massage therapy FEELS LIKE HOME! Visit our website and schedule your session today!",,,,,False,"Welcome to our humble and relaxing place called Petrissage Massge, in Rockwall, TX. where massage therapy FEELS LIKE HOME! Visit our website and schedule your session today!",,Petrissage Massage,+1 214-908-5618,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,,TX,America/Chicago,,HPCenov,75032,United States of America,US,,,0x864eab034b60b457:0xae307a58cf941ee4,8926c82ecc3ffff,/g/11cjtbq805,32.8674175,,,"https://www.google.com/maps/place/Petrissage+Massage/@32.8674175,-96.44208169999999,14z/data=!4m8!1m2!2m1!1sPetrissage+Massage!3m4!1s0x864eab034b60b457:0xae307a58cf941ee4!8m2!3d32.8674175!4d-96.44208169999999","https://www.google.com/maps/place/Petrissage+Massage/@32.8674175,-96.44208169999999,13.99z/data=!4m16!1m7!3m6!1s0x864eab034b60b457:0xae307a58cf941ee4!2sPetrissage+Massage!8m2!3d32.8674175!4d-96.44208169999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eab034b60b457:0xae307a58cf941ee4!8m2!3d32.8674175!4d-96.44208169999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-2_C6s8HEfUM/AAAAAAAAAAI/AAAAAAAAAAA/dxd7AGpGkLs/s44-p-k-no-ns-nd/photo.jpg,-96.44208169999999,,Petrissage Massage,Petrissage Massage,,,118077156844255576315,https://www.google.com/maps/contrib/118077156844255576315,Petrissage Massage,+1 214-908-5618,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipPBf8BJpaFx4rZIkRx6PQuyJ0bTMkc4_SoDRyXT=w800-h500-k-no,180,ChIJV7RgSwOrToYR5B6Uz1h6MK4,,,75032,,,"Massage therapist near Royse City, TX",,5.0,,,,,,,Texas,TX,6531 Horizon Rd Suite C,,"Massage therapist, Massage spa, Pain control clinic, Sports massage therapist, Wellness center",America/Chicago,Massage therapist,,True,http://petrissagemassage.com/,{'Thursday': ['9AM-6PM']},"Thursday,9AM,6PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Other': {'Identifies as women-owned': True}}","925 N Goliad St, Rockwall, TX 75087",False,,OPERATIONAL,,12287176000586501810,Rockwall,,,,,,,,,,,,rockwallbodyandsoul.com,,,,,,,,,,United States of America,US,,,0x864c01c8d8bb5b57:0xaa84d178e7a9ceb2,8926c820ab3ffff,/g/1ygvsvdf2,32.9393066,,,"https://www.google.com/maps/place/Rockwall+Body+and+Soul+Massage/@32.9393066,-96.4603626,14z/data=!4m8!1m2!2m1!1sRockwall+Body+and+Soul+Massage!3m4!1s0x864c01c8d8bb5b57:0xaa84d178e7a9ceb2!8m2!3d32.9393066!4d-96.4603626","https://www.google.com/maps/place/Rockwall+Body+and+Soul+Massage/@32.9393066,-96.4603626,13.99z/data=!4m16!1m7!3m6!1s0x864c01c8d8bb5b57:0xaa84d178e7a9ceb2!2sRockwall+Body+and+Soul+Massage!8m2!3d32.9393066!4d-96.4603626!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c01c8d8bb5b57:0xaa84d178e7a9ceb2!8m2!3d32.9393066!4d-96.4603626!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-7SnhCADUm_Y/AAAAAAAAAAI/AAAAAAAAAAA/GFCFaNCFVXA/s44-p-k-no-ns-nd/photo.jpg,-96.4603626,,Rockwall Body and Soul Massage,Rockwall Body And Soul Massage,,,106516360595802893320,https://www.google.com/maps/contrib/106516360595802893320,Rockwall Body and Soul Massage,+1 469-688-6580,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipOikY3y2CyeLMy4lKyZu4PyWgUlf08oGzhJS6km=w800-h500-k-no,591,ChIJV1u72MgBTIYRss6p53jRhKo,,,75087,,,"Massage therapist near Royse City, TX",,5.0,,,,,,,Texas,TX,925 N Goliad St,,"Massage therapist, Health spa, Massage spa",America/Chicago,Massage therapist,,True,https://www.rockwallbodyandsoul.com/,{'Thursday': ['Closed']},
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True}}","1149 Ridge Rd, Rockwall, TX 75087",False,,OPERATIONAL,,7567612365879080929,Rockwall,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864c01002de13653:0x69058f5a121377e1,8926c820b4fffff,/g/11w8sv5_w4,32.9164822,,,"https://www.google.com/maps/place/Healing+Touch+Massage+%26+Spa/@32.9164822,-96.459683,14z/data=!4m8!1m2!2m1!1sHealing+Touch+Massage+%26+Spa!3m4!1s0x864c01002de13653:0x69058f5a121377e1!8m2!3d32.9164822!4d-96.459683","https://www.google.com/maps/place/Healing+Touch+Massage+%26+Spa/@32.9164822,-96.459683,13.99z/data=!4m16!1m7!3m6!1s0x864c01002de13653:0x69058f5a121377e1!2sHealing+Touch+Massage+%26+Spa!8m2!3d32.9164822!4d-96.459683!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c01002de13653:0x69058f5a121377e1!8m2!3d32.9164822!4d-96.459683!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-BanRdvzBbs8/AAAAAAAAAAI/AAAAAAAAAAA/imB0vnKzwRM/s44-p-k-no-ns-nd/photo.jpg,-96.459683,,Healing Touch Massage & Spa,Healing Touch Massage And Spa,,,116485811259426832112,https://www.google.com/maps/contrib/116485811259426832112,Healing Touch Massage & Spa,+1 972-975-5696,,landline,https://lh3.googleusercontent.com/p/AF1QipPFjSrlQ6cowJCSLBxobYX52FKLknf35L46X2HD=w800-h500-k-no,45,ChIJUzbhLQABTIYR4XcTElqPBWk,,,75087,,,"Massage therapist near Royse City, TX",,4.9,,,,,,,Texas,TX,1149 Ridge Rd,,"Massage therapist, Aromatherapy service, Foot massage parlor, Health spa, Massage spa, Sauna, Spa and health club, Thai massage therapist",America/Chicago,Massage therapist,,True,https://topusadetails.com/details/healing-touch-massage-spa-ChIJUzb,{'Thursday': ['9AM-10PM']},"Thursday,9AM,10PM"
