about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.total_money_raised,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True}}","2455 Ridge Rd #157, Rockwall, TX 75087",False,,OPERATIONAL,,10773754226957675583,Rockwall,2455 Ridge Road,Rockwall,United States,"Juvanew Medspa serves patients in the Rockwell & Dallas, TX areas. Led by board-certified family medical surgeon Dr. Victoria Smithers, our practice performs skin care & med spa treatments. Juvanew Medspa has earned the Diamond Award for performing inj...",10.0,https://facebook.com/juvanew,2009.0,CONSUMER_SERVICES,False,"Juvanew Medspa serves patients in the Rockwell & Dallas, TX areas. Led by board-certified family medical surgeon Dr. Victoria Smithers, our practice performs skin care & med spa treatments. Juvanew Medspa has earned the Diamond Award for performing inj...",https://www.linkedin.com/company/juvanew-medspa,Juvanew Medspa,2147714611,,landline,1000000.0,TX,America/Chicago,,Juvanew,75087,United States of America,US,,,0x864eaa17ccc3d10b:0x958410633b2cec3f,8926c82e55bffff,/g/1w15zvzq,32.8995252,,,"https://www.google.com/maps/place/Juvanew+Medspa/@32.8995252,-96.466545,14z/data=!4m8!1m2!2m1!1sJuvanew+Medspa!3m4!1s0x864eaa17ccc3d10b:0x958410633b2cec3f!8m2!3d32.8995252!4d-96.466545","https://www.google.com/maps/place/Juvanew+Medspa/@32.8995252,-96.466545,13.99z/data=!4m16!1m7!3m6!1s0x864eaa17ccc3d10b:0x958410633b2cec3f!2sJuvanew+Medspa!8m2!3d32.8995252!4d-96.466545!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eaa17ccc3d10b:0x958410633b2cec3f!8m2!3d32.8995252!4d-96.466545!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-vNif3nR9-0c/AAAAAAAAAAI/AAAAAAAAAAA/dbug3WAWfws/s44-p-k-no-ns-nd/photo.jpg,-96.466545,,Juvanew Medspa,Juvanew Medspa,,,113739707420535908254,https://www.google.com/maps/contrib/113739707420535908254,Juvanew Medspa,+1 214-771-4611,,landline,https://lh3.googleusercontent.com/p/AF1QipNiAex-0OkWXb_NqGskVhSvFlU866q544hmtYHN=w800-h500-k-no,27,ChIJC9HDzBeqToYRP-wsO2MQhJU,,,75087,,,"MedSpa near Royse City, TX",,4.8,,,,,,,Texas,TX,2455 Ridge Rd #157,,Medical spa,America/Chicago,Medical spa,,True,https://www.juvanew.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,{'Thursday': ['9AM-6PM']},"Thursday,9AM,6PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}, 'Other': {'Identifies as Latino-owned': True, 'Identifies as women-owned': True}}","5196 TX-276 D, Royse City, TX 75189",False,,OPERATIONAL,,12507418850882092488,Royse City,579 Broadway,New York,United States,"GlossGenius is an all-in-one booking, payments, and POS solution for beauty and wellness professionals. It provides a powerful salon software that helps drive bookings and grow revenue. With GlossGenius, beauty professionals can manage online booking, ...",200.0,https://www.facebook.com/glossgenius,2015.0,COMPUTER_SOFTWARE,False,"GlossGenius is an all-in-one booking, payments, and POS solution for beauty and wellness professionals. It provides a powerful salon software that helps drive bookings and grow revenue. With GlossGenius, beauty professionals can manage online booking, ...",https://www.linkedin.com/company/glossgenius,GlossGenius,+1 888-979-7864,,toll_free,10000000.0,NY,America/New_York,1.1M,glossgenius,47906,United States of America,US,,,0x864bffe94c76ef5b:0xad93472d7fd9fdc8,8926c826c17ffff,/g/11vb8kq50r,32.9172875,,,"https://www.google.com/maps/place/Allure+Skin/@32.9172875,-96.2555764,14z/data=!4m8!1m2!2m1!1sAllure+Skin!3m4!1s0x864bffe94c76ef5b:0xad93472d7fd9fdc8!8m2!3d32.9172875!4d-96.2555764","https://www.google.com/maps/place/Allure+Skin/@32.9172875,-96.2555764,13.99z/data=!4m16!1m7!3m6!1s0x864bffe94c76ef5b:0xad93472d7fd9fdc8!2sAllure+Skin!8m2!3d32.9172875!4d-96.2555764!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bffe94c76ef5b:0xad93472d7fd9fdc8!8m2!3d32.9172875!4d-96.2555764!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-gQs11Ucdmao/AAAAAAAAAAI/AAAAAAAAAAA/P-kbRZ9r4uk/s44-p-k-no-ns-nd/photo.jpg,-96.2555764,,Allure Skin,Allure Skin,,,108194052926319577232,https://www.google.com/maps/contrib/108194052926319577232,Allure Skin,+1 903-689-3833,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKhpI7aoBuNGKwd1YiEeKK-Wj2c1neEz9kZRXG8QYvcbEScUfJjKkHWGi6VAiLkeL6fIJPipa2BsUlffJpCAQRadnIDfJsguOwRAtClgO-QEd03tRsxQ4dl1uOUQsVfxQwFqCV3A=w800-h500-k-no,22,ChIJW-92TOn_S4YRyP3Zfy1Hk60,,,75189,,,"MedSpa near Royse City, TX",,5.0,,,,,,,Texas,TX,5196 TX-276 D,,"Facial spa, Eyebrow bar, Health and beauty shop, Waxing hair removal service",America/Chicago,Facial spa,,True,https://allureskintx.glossgenius.com/,{'Thursday': ['8:30AM-2:30PM']},"Thursday,8:30AM,2:30PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True}, 'Other': {'Identifies as women-owned': True, 'LGBTQ+ friendly': True}}","1389 A Ridge Rd, Rockwall, TX 75087",False,,OPERATIONAL,,3055394284788110061,Rockwall,,,,,,,,,,,,loudpearlmedspa.com,,,,,,,,,,United States of America,US,,,0x864c01f6a17b0e21:0x2a66f0e9f18dd2ed,8926c82e4b7ffff,/g/11rghvq_6d,32.912259999999996,,,"https://www.google.com/maps/place/Loud+Pearl+Skin+%26+Med+Spa%2C+PLLC/@32.912259999999996,-96.46134099999999,14z/data=!4m8!1m2!2m1!1sLoud+Pearl+Skin+%26+Med+Spa%2C+PLLC!3m4!1s0x864c01f6a17b0e21:0x2a66f0e9f18dd2ed!8m2!3d32.912259999999996!4d-96.46134099999999","https://www.google.com/maps/place/Loud+Pearl+Skin+%26+Med+Spa%2C+PLLC/@32.912259999999996,-96.46134099999999,13.99z/data=!4m16!1m7!3m6!1s0x864c01f6a17b0e21:0x2a66f0e9f18dd2ed!2sLoud+Pearl+Skin+%26+Med+Spa%2C+PLLC!8m2!3d32.912259999999996!4d-96.46134099999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c01f6a17b0e21:0x2a66f0e9f18dd2ed!8m2!3d32.912259999999996!4d-96.46134099999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-dS20h_vGrxE/AAAAAAAAAAI/AAAAAAAAAAA/I3N8vmgWiT4/s44-p-k-no-ns-nd/photo.jpg,-96.46134099999999,,"Loud Pearl Skin & Med Spa, PLLC",Loud Pearl Skin And Med Spa Pllc,,,107548978364538203322,https://www.google.com/maps/contrib/107548978364538203322,"Loud Pearl Skin & Med Spa, PLLC",+1 469-833-7705,"NEW CINGULAR WIRELESS PCS, LLC",mobile,https://lh3.googleusercontent.com/p/AF1QipMpWyHM024JBtrzA43FAWMSed7OW_ERg4JyiKQy=w800-h500-k-no,131,ChIJIQ57ofYBTIYR7dKN8enwZio,,,75087,,,"MedSpa near Royse City, TX",,4.9,,,,,,,Texas,TX,1389 A Ridge Rd,,Medical spa,America/Chicago,Medical spa,,True,http://loudpearlmedspa.com/,{'Thursday': ['10AM-2PM']},"Thursday,10AM,2PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Other': {'Identifies as women-owned': True}}","422 I-30 Frontage Rd Suit D, Royse City, TX 75189",False,,OPERATIONAL,,12951548246963451669,Royse City,422 Interstate 30,Royse City,United States,"We are here to help you live your best life, We have many services to help you with your goals, Massage, Access Consciousness, Bodywork, IV Therapy, Facial, Waxing, Lashes & Brows, Reiki, Infrared Sauna, Bio Scan, Frequency Therapy, Hypno...",,,2021.0,,False,"We are here to help you live your best life, We have many services to help you with your goals, Massage, Access Consciousness, Bodywork, IV Therapy, Facial, Waxing, Lashes & Brows, Reiki, Infrared Sauna, Bio Scan, Frequency Therapy, Hypno...",https://www.linkedin.com/company/perfect-balanced-life,Perfectbalancedlife,,,,,TX,America/Chicago,,,75189,United States of America,US,,,0x864bff50b4c6a07f:0xb3bd2482a796f715,8926c8266d3ffff,/g/11np3fb6j0,32.9718046,,,"https://www.google.com/maps/place/Perfect+Balanced+Life/@32.9718046,-96.3280698,14z/data=!4m8!1m2!2m1!1sPerfect+Balanced+Life!3m4!1s0x864bff50b4c6a07f:0xb3bd2482a796f715!8m2!3d32.9718046!4d-96.3280698","https://www.google.com/maps/place/Perfect+Balanced+Life/@32.9718046,-96.3280698,13.99z/data=!4m16!1m7!3m6!1s0x864bff50b4c6a07f:0xb3bd2482a796f715!2sPerfect+Balanced+Life!8m2!3d32.9718046!4d-96.3280698!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff50b4c6a07f:0xb3bd2482a796f715!8m2!3d32.9718046!4d-96.3280698!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-mmECZQFueQo/AAAAAAAAAAI/AAAAAAAAAAA/4pYyZf1PsR8/s44-p-k-no-ns-nd/photo.jpg,-96.3280698,,Perfect Balanced Life,Perfect Balanced Life,,,100338570917818046968,https://www.google.com/maps/contrib/100338570917818046968,Perfect Balanced Life,+1 972-968-9001,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepCmpICYe2Wn7LYHu9mqam5lWuq_PWL5ZXbK-aFsxfNr7PY_yby-mXbegHF6YmKFtEmS_ni6-mgZsP6twTBCr-LxU7nG3EJCy_w6fulBQ3yqpPDyDuD-J7NlpvEgsiUtpOboKZD=w800-h500-k-no,46,ChIJf6DGtFD_S4YRFfeWp4IkvbM,,,75189,,,"MedSpa near Royse City, TX",,4.8,,,,,,,Texas,TX,422 I-30 Frontage Rd Suit D,,"Wellness center, Facial spa, Foot bath, Massage spa, Massage therapist, Reflexologist, Sauna, Thai massage therapist, Wellness program",America/Chicago,Wellness center,,True,http://perfectbalancedlife.com/,{'Thursday': ['9AM-8PM']},"Thursday,9AM,8PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}, 'Other': {'LGBTQ+ friendly': True}}","2215 TX-66, Caddo Mills, TX 75135",False,,OPERATIONAL,,17314041452613732842,Caddo Mills,,,,,,,,,,,,Wellnessivsaloon,,,,,,,,,,United States of America,US,,,0x864be5d1c26314f5:0xf047d4f7a96e09ea,8926c836893ffff,/g/11k3xbd7cp,33.064281,,,"https://www.google.com/maps/place/Wellness+IV+Saloon/@33.064281,-96.2288219,14z/data=!4m8!1m2!2m1!1sWellness+IV+Saloon!3m4!1s0x864be5d1c26314f5:0xf047d4f7a96e09ea!8m2!3d33.064281!4d-96.2288219","https://www.google.com/maps/place/Wellness+IV+Saloon/@33.064281,-96.2288219,13.99z/data=!4m16!1m7!3m6!1s0x864be5d1c26314f5:0xf047d4f7a96e09ea!2sWellness+IV+Saloon!8m2!3d33.064281!4d-96.2288219!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be5d1c26314f5:0xf047d4f7a96e09ea!8m2!3d33.064281!4d-96.2288219!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/--ETw6MZDi_s/AAAAAAAAAAI/AAAAAAAAAAA/WCZiv0Kck9E/s44-p-k-no-ns-nd/photo.jpg,-96.2288219,,Wellness IV Saloon,Wellness Iv Saloon,,,110327685468541848453,https://www.google.com/maps/contrib/110327685468541848453,Wellness IV Saloon,+1 903-527-9316,,landline,https://lh3.googleusercontent.com/p/AF1QipNZfWa37Q2OS3v5on9_Ce6dBiFzYM_eC77ND3bZ=w800-h500-k-no,18,ChIJ9RRjwtHlS4YR6gluqffUR_A,,,75135,,,"MedSpa near Royse City, TX",,5.0,,,,,,,Texas,TX,2215 TX-66,,"Medical spa, Beauty products wholesaler, Facial spa, Health spa, IV therapy service, Laser hair removal service, Massage therapist, Wellness center, Weight loss service",America/Chicago,Medical spa,,True,http://www.wellnessivsaloon.com/,{'Thursday': ['9AM-6PM']},"Thursday,9AM,6PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True}, 'Other': {'Identifies as women-owned': True}}","909 N Goliad St, Rockwall, TX 75087",False,,OPERATIONAL,,15774672799125269443,Rockwall,,,,,,,,,,,,We-Revive,,,,,,,,,,United States of America,US,,,0x864eab1d576a8351:0xdaeae5553fe0ebc3,8926c820ab3ffff,/g/11h9ld352v,32.9376552,,,"https://www.google.com/maps/place/Revive+Aesthetics+%26+Healthcare/@32.9376552,-96.46040769999999,14z/data=!4m8!1m2!2m1!1sRevive+Aesthetics+%26+Healthcare!3m4!1s0x864eab1d576a8351:0xdaeae5553fe0ebc3!8m2!3d32.9376552!4d-96.46040769999999","https://www.google.com/maps/place/Revive+Aesthetics+%26+Healthcare/@32.9376552,-96.46040769999999,13.99z/data=!4m16!1m7!3m6!1s0x864eab1d576a8351:0xdaeae5553fe0ebc3!2sRevive+Aesthetics+%26+Healthcare!8m2!3d32.9376552!4d-96.46040769999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eab1d576a8351:0xdaeae5553fe0ebc3!8m2!3d32.9376552!4d-96.46040769999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-uv6bFWyJRYs/AAAAAAAAAAI/AAAAAAAAAAA/eS8TfMSAT4s/s44-p-k-no-ns-nd/photo.jpg,-96.46040769999999,,Revive Aesthetics & Healthcare,Revive Aesthetics And Healthcare,,,110109596484069700971,https://www.google.com/maps/contrib/110109596484069700971,Revive Aesthetics & Healthcare,+1 214-305-6423,"BANDWIDTH.COM CLEC, LLC - TX",fixed line,https://lh3.googleusercontent.com/p/AF1QipN8V05sgJojkdZj4zed5z8h-FgvYjHSAZ9RtXzv=w800-h500-k-no,72,ChIJUYNqVx2rToYRw-vgP1Xl6to,,,75087,,,"MedSpa near Royse City, TX",,4.9,,,,,,,Texas,TX,909 N Goliad St,,"Medical spa, Health and beauty shop, Health spa, Weight loss service, Wellness center",America/Chicago,Medical spa,,True,https://we-revive.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,{'Thursday': ['10AM-5PM']},"Thursday,10AM,5PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Other': {'Identifies as women-owned': True, 'LGBTQ+ friendly': True}}","108 W Interurban St b, Rockwall, TX 75087",False,,OPERATIONAL,,4790156474544723150,Rockwall,,,,Lose weight fast and effectively with our virtual semaglutide program. Get the results you desire with personalized plans and professional guidance.,,,,,False,Lose weight fast and effectively with our virtual semaglutide program. Get the results you desire with personalized plans and professional guidance.,,All About Aesthetics Rockwall,,,,,,,,,,United States of America,US,,,0x864eab4892b2a7ad:0x427a0def2bc694ce,8926c820aafffff,/g/11l6vt96_k,32.9323135,,,"https://www.google.com/maps/place/All+About+Aesthetics+Rockwall/@32.9323135,-96.46096879999999,14z/data=!4m8!1m2!2m1!1sAll+About+Aesthetics+Rockwall!3m4!1s0x864eab4892b2a7ad:0x427a0def2bc694ce!8m2!3d32.9323135!4d-96.46096879999999","https://www.google.com/maps/place/All+About+Aesthetics+Rockwall/@32.9323135,-96.46096879999999,13.99z/data=!4m16!1m7!3m6!1s0x864eab4892b2a7ad:0x427a0def2bc694ce!2sAll+About+Aesthetics+Rockwall!8m2!3d32.9323135!4d-96.46096879999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eab4892b2a7ad:0x427a0def2bc694ce!8m2!3d32.9323135!4d-96.46096879999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-_MfTPYVxrrc/AAAAAAAAAAI/AAAAAAAAAAA/cu9EssJ15MY/s44-p-k-no-ns-nd/photo.jpg,-96.46096879999999,,All About Aesthetics Rockwall,All About Aesthetics Rockwall,,,108425627377149273156,https://www.google.com/maps/contrib/108425627377149273156,All About Aesthetics Rockwall,+1 469-767-9623,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipOU_2dRUvwZmCBZRi5wre1k4_2NkjdrWD3yYOFs=w800-h500-k-no,113,ChIJraeykkirToYRzpTGK-8NekI,,,75087,,,"MedSpa near Royse City, TX",,5.0,,,,,,,Texas,TX,108 W Interurban St b,,Medical spa,America/Chicago,Medical spa,,True,http://aestheticsrockwall.com/,{'Thursday': ['8AM-6:30PM']},"Thursday,8AM,6:30PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Other': {'Identifies as women-owned': True}}","108 St Marys St, Rockwall, TX 75087",False,,OPERATIONAL,,10437418701619325199,Rockwall,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864c039c993f07a3:0x90d929026209e90f,8926c820bcbffff,/g/11shxb9sl0,32.9255965,,,"https://www.google.com/maps/place/Reborn+Beauty+%26+Wellness/@32.9255965,-96.45935539999999,14z/data=!4m8!1m2!2m1!1sReborn+Beauty+%26+Wellness!3m4!1s0x864c039c993f07a3:0x90d929026209e90f!8m2!3d32.9255965!4d-96.45935539999999","https://www.google.com/maps/place/Reborn+Beauty+%26+Wellness/@32.9255965,-96.45935539999999,13.99z/data=!4m16!1m7!3m6!1s0x864c039c993f07a3:0x90d929026209e90f!2sReborn+Beauty+%26+Wellness!8m2!3d32.9255965!4d-96.45935539999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c039c993f07a3:0x90d929026209e90f!8m2!3d32.9255965!4d-96.45935539999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-Qk-8hCTuEvE/AAAAAAAAAAI/AAAAAAAAAAA/vWBQHycGHaw/s44-p-k-no-ns-nd/photo.jpg,-96.45935539999999,,Reborn Beauty & Wellness,Reborn Beauty And Wellness,,,112739784748558876451,https://www.google.com/maps/contrib/112739784748558876451,Reborn Beauty & Wellness,+1 972-798-3747,,landline,https://lh3.googleusercontent.com/p/AF1QipNI2-wSaRKbJiYUiLl7LITyxyeiDO0tZHLC5H8a=w800-h500-k-no,17,ChIJowc_mZwDTIYRD-kJYgIp2ZA,,,75087,,,"MedSpa near Royse City, TX",,5.0,,,,,,,Texas,TX,108 St Marys St,,"Medical clinic, Wellness center",America/Chicago,Medical clinic,,True,http://www.rebornbeautyandwellness.com/,{'Thursday': ['1-5PM']},"Thursday,1,5PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True}, 'Amenities': {'Restroom': True}, 'Crowd': {'LGBTQ+ friendly': True, 'Transgender safespace': True}, 'Other': {'LGBTQ+ friendly': True}, 'Parking': {'On-site parking': True}, 'Payments': {'Credit cards': True, 'Debit cards': True, 'NFC mobile payments': True}, 'Planning': {'Appointment required': True, 'Appointments recommended': True}, 'Service options': {'Language assistance': 'Spanish', 'Onsite services': True}}","3100 Ridge Rd, Rockwall, TX 75032",False,https://theretreataesthetics.com/contact/#cta,OPERATIONAL,Cosmetic surgeon,15245855052201044226,Rockwall,3100 Ridge Road,Rockwall,United States,"Dr. Joshua Baker is a top-ranked non-surgical treatment specialist & cosmetic surgeon in Dallas & Rockwall, Texas. Learn more about The Retreat MedSpa today.",,,,,False,"Dr. Joshua Baker is a top-ranked non-surgical treatment specialist & cosmetic surgeon in Dallas & Rockwall, Texas. Learn more about The Retreat MedSpa today.",,"Baker, Joshua",,,,,TX,America/Chicago,,,75032,United States of America,US,,,0x864eab9ca07d4fbd:0xd3942864db89a902,8926c82e033ffff,/g/11fmg73_94,32.8857417,,,"https://www.google.com/maps/place/The+Retreat+Restorative+%26+Aesthetics%3A+Dr.+Joshua+Baker/@32.8857417,-96.4744229,14z/data=!4m8!1m2!2m1!1sThe+Retreat+Restorative+%26+Aesthetics%3A+Dr.+Joshua+Baker!3m4!1s0x864eab9ca07d4fbd:0xd3942864db89a902!8m2!3d32.8857417!4d-96.4744229","https://www.google.com/maps/place/The+Retreat+Restorative+%26+Aesthetics%3A+Dr.+Joshua+Baker/@32.8857417,-96.4744229,13.99z/data=!4m16!1m7!3m6!1s0x864eab9ca07d4fbd:0xd3942864db89a902!2sThe+Retreat+Restorative+%26+Aesthetics%3A+Dr.+Joshua+Baker!8m2!3d32.8857417!4d-96.4744229!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eab9ca07d4fbd:0xd3942864db89a902!8m2!3d32.8857417!4d-96.4744229!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-s9RajJ5AxAg/AAAAAAAAAAI/AAAAAAAAAAA/P4T_SQxxaR8/s44-p-k-no-ns-nd/photo.jpg,-96.4744229,,The Retreat Restorative & Aesthetics: Dr. Joshua Baker,The Retreat Restorative And Aesthetics: Dr Joshua Baker,"['https://theretreataesthetics.com/contact/#cta', 'https://www.mypatientvisit.com/onlinescheduling/#/scheduler/schedule?practiceid=e6b2aa4c-84d4-4c8b-b86c-5753909d2182']",,103366426489957167076,https://www.google.com/maps/contrib/103366426489957167076,The Retreat Restorative & Aesthetics: Dr. Joshua Baker,+1 469-769-7101,"BANDWIDTH.COM CLEC, LLC - TX",fixed line,https://lh3.googleusercontent.com/p/AF1QipOLUNQYFs6vrzuDOI4CIPxMF4eRHm1j_bIYqrdf=w800-h500-k-no,56,ChIJvU99oJyrToYRAqmJ22QolNM,,,75032,,,"MedSpa near Royse City, TX",,4.9,,192.0,-3200889021508507390,https://search.google.com/local/reviews?placeid=ChIJvU99oJyrToYRAqmJ22QolNM&q=*&authuser=0&hl=en&gl=US,"{'1': 5, '2': 0, '3': 0, '4': 1, '5': 186}",,Texas,TX,3100 Ridge Rd,https://lh3.googleusercontent.com/p/AF1QipOLUNQYFs6vrzuDOI4CIPxMF4eRHm1j_bIYqrdf=w1600-h1000-k-no,"Medical spa, Facial spa, Hair transplantation clinic, Laser hair removal service, Cosmetic surgeon, Plastic surgeon, Skin care clinic, Weight loss service",America/Chicago,Medical spa,,True,https://theretreataesthetics.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle_my_business,"{'Friday': ['9AM-6PM'], 'Monday': ['9AM-6PM'], 'Saturday': ['9AM-3PM'], 'Sunday': ['Closed'], 'Thursday': ['9AM-6PM'], 'Tuesday': ['9AM-6PM'], 'Wednesday': ['9AM-6PM']}","Monday,9AM,6PM|Tuesday,9AM,6PM|Wednesday,9AM,6PM|Thursday,9AM,6PM|Friday,9AM,6PM|Saturday,9AM,3PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True}}","125 I-30 Frontage Rd Suite I, Royse City, TX 75189",False,,OPERATIONAL,,4257223782878987728,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864bff67602a4699:0x3b14b2798bd8c5d0,8926c8266cbffff,/g/11x2t42bsx,32.9679761,,,"https://www.google.com/maps/place/Day+Spa+Massage/@32.9679761,-96.332999,14z/data=!4m8!1m2!2m1!1sDay+Spa+Massage!3m4!1s0x864bff67602a4699:0x3b14b2798bd8c5d0!8m2!3d32.9679761!4d-96.332999","https://www.google.com/maps/place/Day+Spa+Massage/@32.9679761,-96.332999,13.99z/data=!4m16!1m7!3m6!1s0x864bff67602a4699:0x3b14b2798bd8c5d0!2sDay+Spa+Massage!8m2!3d32.9679761!4d-96.332999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff67602a4699:0x3b14b2798bd8c5d0!8m2!3d32.9679761!4d-96.332999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-OO6myYqk6Tw/AAAAAAAAAAI/AAAAAAAAAAA/3Ooj9pu7iIg/s44-p-k-no-ns-nd/photo.jpg,-96.332999,,Day Spa Massage,Day Spa Massage,,,117895949654467346655,https://www.google.com/maps/contrib/117895949654467346655,Day Spa Massage,+1 972-750-6570,,landline,https://lh3.googleusercontent.com/p/AF1QipNVchVKy-f0XUOdoeIqmFFr2rcPgGrvq7ywG79q=w800-h500-k-no,14,ChIJmUYqYGf_S4YR0MXYi3myFDs,,,75189,,,"MedSpa near Royse City, TX",,4.9,,,,,,,Texas,TX,125 I-30 Frontage Rd Suite I,,Massage spa,America/Chicago,Massage spa,,True,http://daysparoysecity.com/,{'Thursday': ['10AM-9PM']},"Thursday,10AM,9PM"
