about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{'Accessibility': {'Wheelchair accessible parking lot': True}},"5739 TX-276, Royse City, TX 75189",False,,OPERATIONAL,,3945840714209605603,Royse City,4037 North Goliad Street,Rockwall,United States,"Fortress Metal Buildings is a leading metal building company in Rockwall, TX. They provide a wide range of products and services for both residential and commercial applications. Their offerings include barndominiums, metal buildings, storage buildings...",10.0,,,,False,"Fortress Metal Buildings is a leading metal building company in Rockwall, TX. They provide a wide range of products and services for both residential and commercial applications. Their offerings include barndominiums, metal buildings, storage buildings...",https://www.linkedin.com/company/fortress-metal-buildings-llc,Fortress Metal Buildings,,,,,TX,America/Chicago,,75087,United States of America,US,,,0x864c01e16d5f03ed:0x36c271393ebcb7e3,8926c826e17ffff,/g/11jbvcvs3t,32.9080018,,,"https://www.google.com/maps/place/Fortress+Metal+Buildings/@32.9080018,-96.27993889999999,14z/data=!4m8!1m2!2m1!1sFortress+Metal+Buildings!3m4!1s0x864c01e16d5f03ed:0x36c271393ebcb7e3!8m2!3d32.9080018!4d-96.27993889999999","https://www.google.com/maps/place/Fortress+Metal+Buildings/@32.9080018,-96.27993889999999,13.99z/data=!4m16!1m7!3m6!1s0x864c01e16d5f03ed:0x36c271393ebcb7e3!2sFortress+Metal+Buildings!8m2!3d32.9080018!4d-96.27993889999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c01e16d5f03ed:0x36c271393ebcb7e3!8m2!3d32.9080018!4d-96.27993889999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-VHWL6Nb8WuM/AAAAAAAAAAI/AAAAAAAAAAA/A5QqM6RpVZ4/s44-p-k-no-ns-nd/photo.jpg,-96.27993889999999,,Fortress Metal Buildings,Fortress Metal Buildings,,,117350117081768001983,https://www.google.com/maps/contrib/117350117081768001983,Fortress Metal Buildings,+1 214-730-5842,,landline,https://lh3.googleusercontent.com/p/AF1QipMPpSQwJEku4bYfRn0DDhM2_G_5VE07qqVEOCOU=w800-h500-k-no,12,ChIJ7QNfbeEBTIYR47e8PjlxwjY,,,75189,,,"Metal building contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,5739 TX-276,,"Construction company, Carport and pergola builder, Custom home builder, Garage builder, General contractor, Home builder, Manufacturer, Metal construction company, Metal fabricator, Steel construction company",America/Chicago,Construction company,,True,https://fortressmetalbuildings.net/,{'Thursday': ['8AM-6PM']},"Thursday,8AM,6PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"5066 Co Rd 2632, Caddo Mills, TX 75135",False,,OPERATIONAL,,10465096800638765284,Caddo Mills,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864be33f05efdaf5:0x913b7e17fe2688e4,8926c9cb64fffff,/g/11h6m4ypf7,33.010714199999995,,,"https://www.google.com/maps/place/Exclusive+Metal+Buildings/@33.010714199999995,-96.2260846,14z/data=!4m8!1m2!2m1!1sExclusive+Metal+Buildings!3m4!1s0x864be33f05efdaf5:0x913b7e17fe2688e4!8m2!3d33.010714199999995!4d-96.2260846","https://www.google.com/maps/place/Exclusive+Metal+Buildings/@33.010714199999995,-96.2260846,13.99z/data=!4m16!1m7!3m6!1s0x864be33f05efdaf5:0x913b7e17fe2688e4!2sExclusive+Metal+Buildings!8m2!3d33.010714199999995!4d-96.2260846!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be33f05efdaf5:0x913b7e17fe2688e4!8m2!3d33.010714199999995!4d-96.2260846!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-96.2260846,,Exclusive Metal Buildings,Exclusive Metal Buildings,,,,,Exclusive Metal Buildings,+1 903-456-5957,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qaWhYB9u1I5_tbebaT4BMw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=228.88084&pitch=0&thumbfov=100,1,ChIJ9drvBT_jS4YR5Igm_hd-O5E,,,75135,,,"Metal building contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,5066 Co Rd 2632,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qaWhYB9u1I5_tbebaT4BMw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=228.88084&pitch=0&thumbfov=100,Construction company,America/Chicago,Construction company,,False,,{'Thursday': ['9AM-5PM']},"Thursday,9AM,5PM"
{'Other': {'Identifies as veteran-owned': True}},"3061 TX-66, Caddo Mills, TX 75135",False,,OPERATIONAL,,18037580387638366861,Caddo Mills,,,,,,,,,,,,Txsteele,,,,,,,,,United States of America,US,,,0x864be393393d8669:0xfa525bcb9cbcd28d,8926c836ca7ffff,/g/11qqppq4k8,33.0748143,,,"https://www.google.com/maps/place/T.X.+Steele/@33.0748143,-96.2160487,14z/data=!4m8!1m2!2m1!1sT.X.+Steele!3m4!1s0x864be393393d8669:0xfa525bcb9cbcd28d!8m2!3d33.0748143!4d-96.2160487","https://www.google.com/maps/place/T.X.+Steele/@33.0748143,-96.2160487,13.99z/data=!4m16!1m7!3m6!1s0x864be393393d8669:0xfa525bcb9cbcd28d!2sT.X.+Steele!8m2!3d33.0748143!4d-96.2160487!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be393393d8669:0xfa525bcb9cbcd28d!8m2!3d33.0748143!4d-96.2160487!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-qHu7QEjhlVk/AAAAAAAAAAI/AAAAAAAAAAA/QeZmPOI_e_k/s44-p-k-no-ns-nd/photo.jpg,-96.2160487,,T.X. Steele,T X Steele,,,108905135313077680425,https://www.google.com/maps/contrib/108905135313077680425,T.X. Steele,+1 214-280-3264,T-Mobile USA Inc.,mobile,https://lh3.googleusercontent.com/p/AF1QipPrraB3jkdbEaVkPdpENqYHuntmBm6EvpiuvHdz=w800-h500-k-no,118,ChIJaYY9OZPjS4YRjdK8nMtbUvo,,,75135,,,"Metal building contractor near Royse City, TX",,4.4,,,,,,,Texas,TX,3061 TX-66,,Custom home builder,America/Chicago,Custom home builder,,True,http://txsteele.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","9201 Wesley St B, Greenville, TX 75402",False,,OPERATIONAL,,2825951002100602188,Greenville,9201 Wesley Street,Greenville,United States,"Rafter P Construction is the leading design build contractor across North Texas with offices in Decatur and Greenville Texas. Rafter P Construction is committed to providing a high standard of custom barns, metal buildings, custom homes and fences. Raf...",50.0,https://facebook.com/rafterp,2002.0,CONSTRUCTION,False,"Rafter P Construction is the leading design build contractor across North Texas with offices in Decatur and Greenville Texas. Rafter P Construction is committed to providing a high standard of custom barns, metal buildings, custom homes and fences. Raf...",https://www.linkedin.com/company/rafter-p-construction-inc,Rafter P Construction,+1 903-454-8332,"PEOPLES COMMUNICATION, INC. -T",landline,10000000.0,TX,America/Chicago,rafterpconst,75402,United States of America,US,,,0x864be7b3128bf379:0x2737cb76c0dd954c,8926c9d8e9bffff,/g/1tdb96yy,33.079856299999996,,,"https://www.google.com/maps/place/Rafter+P+Construction/@33.079856299999996,-96.10799,14z/data=!4m8!1m2!2m1!1sRafter+P+Construction!3m4!1s0x864be7b3128bf379:0x2737cb76c0dd954c!8m2!3d33.079856299999996!4d-96.10799","https://www.google.com/maps/place/Rafter+P+Construction/@33.079856299999996,-96.10799,13.99z/data=!4m16!1m7!3m6!1s0x864be7b3128bf379:0x2737cb76c0dd954c!2sRafter+P+Construction!8m2!3d33.079856299999996!4d-96.10799!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be7b3128bf379:0x2737cb76c0dd954c!8m2!3d33.079856299999996!4d-96.10799!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-6822RIai5ZQ/AAAAAAAAAAI/AAAAAAAAAAA/0WAjhFeZHm4/s44-p-k-no-ns-nd/photo.jpg,-96.10799,,Rafter P Construction,Rafter P Construction,,,104385203113597493591,https://www.google.com/maps/contrib/104385203113597493591,Rafter P Construction,+1 903-454-8332,"PEOPLES COMMUNICATION, INC. -T",landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerr9Ag0ImSqYebtzLHbvidWj-eFOrj3JgmLG6uFo4jq2P_jJ3OoqCn4ppoOfVQQyhljcHvvyAmtdepZ7jjtWOjoEV7AKIO6dooF9eKN4aj8asqplGKSh5eH99-bJrayRL6zIiA=w800-h500-k-no,11,ChIJefOLErPnS4YRTJXdwHbLNyc,,,75402,,,"Metal building contractor near Royse City, TX",,4.5,,,,,,,Texas,TX,9201 Wesley St B,,Construction company,America/Chicago,Construction company,,True,http://www.rafterpconstruction.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{'Accessibility': {'Wheelchair accessible entrance': False}},"7612 TX-66, Royse City, TX 75189",False,,OPERATIONAL,,4295628528125500358,Royse City,,,,Website for Southwest Sheds,,,,,,,,Southwestsheds,,,,,,,,75189,United States of America,US,,,0x864bff0178fcc971:0x3b9d236319f45bc6,8926c827403ffff,/g/11dxnyvp8l,32.9672784,,,"https://www.google.com/maps/place/Southwest+Sheds/@32.9672784,-96.36804749999999,14z/data=!4m8!1m2!2m1!1sSouthwest+Sheds!3m4!1s0x864bff0178fcc971:0x3b9d236319f45bc6!8m2!3d32.9672784!4d-96.36804749999999","https://www.google.com/maps/place/Southwest+Sheds/@32.9672784,-96.36804749999999,13.99z/data=!4m16!1m7!3m6!1s0x864bff0178fcc971:0x3b9d236319f45bc6!2sSouthwest+Sheds!8m2!3d32.9672784!4d-96.36804749999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff0178fcc971:0x3b9d236319f45bc6!8m2!3d32.9672784!4d-96.36804749999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-Zg3bNkHlsYM/AAAAAAAAAAI/AAAAAAAAAAA/o6XHGQwTEuU/s44-p-k-no-ns-nd/photo.jpg,-96.36804749999999,,Southwest Sheds,Southwest Sheds,,,110241487076489136194,https://www.google.com/maps/contrib/110241487076489136194,Southwest Sheds,+1 469-707-3501,,landline,https://lh3.googleusercontent.com/p/AF1QipOUeOuvFBrTy3DDswZQa3I6mTs70q0zXQtSfDgr=w800-h500-k-no,81,ChIJccn8eAH_S4YRxlv0GWMjnTs,,,75189,,,"Metal building contractor near Royse City, TX",,4.8,,,,,,,Texas,TX,7612 TX-66,,"Shed builder, Carport and pergola builder, Garage builder",America/Chicago,Shed builder,,True,http://southwestsheds.com/,{'Thursday': ['9AM-5:30PM']},"Thursday,9AM,5:30PM"
{'Other': {'LGBTQ+ friendly': True}},"617 I-30 Frontage Rd, Royse City, TX 75189",False,,OPERATIONAL,,10324601044597178375,Royse City,1777 South Harrison Street,Denver,United States,"For quality storage sheds delivered anywhere in the USA, contact Tuff Shed. We provide garden sheds, garages and custom structures for low monthly payments.",5000.0,https://facebook.com/tuffshed,1981.0,CONSTRUCTION,False,"For quality storage sheds delivered anywhere in the USA, contact Tuff Shed. We provide garden sheds, garages and custom structures for low monthly payments.",https://www.linkedin.com/company/tuff-shed-inc-,Tuff Shed,+1 303-474-5500,AT&T,landline,500000000.0,CO,America/Denver,tuffshed,80210,United States of America,US,,,0x864c001fa4329fab:0x8f4859f2aed78007,8926c83596fffff,/g/12vrc99sz,32.971305799999996,,,"https://www.google.com/maps/place/Tuff+Shed+Royse+City/@32.971305799999996,-96.3256006,14z/data=!4m8!1m2!2m1!1sTuff+Shed+Royse+City!3m4!1s0x864c001fa4329fab:0x8f4859f2aed78007!8m2!3d32.971305799999996!4d-96.3256006","https://www.google.com/maps/place/Tuff+Shed+Royse+City/@32.971305799999996,-96.3256006,13.99z/data=!4m16!1m7!3m6!1s0x864c001fa4329fab:0x8f4859f2aed78007!2sTuff+Shed+Royse+City!8m2!3d32.971305799999996!4d-96.3256006!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c001fa4329fab:0x8f4859f2aed78007!8m2!3d32.971305799999996!4d-96.3256006!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-hwL6DnqcKjQ/AAAAAAAAAAI/AAAAAAAAAAA/HX0nWWZXghM/s44-p-k-no-ns-nd/photo.jpg,-96.3256006,,Tuff Shed Royse City,Tuff Shed Royse City,,,102198549882703032354,https://www.google.com/maps/contrib/102198549882703032354,Tuff Shed Royse City,+1 972-635-2403,,landline,https://lh3.googleusercontent.com/p/AF1QipOFh6S8gUA0mmCr-l3DNiQbnE6C65QEpWD7fREK=w800-h500-k-no,87,ChIJq58ypB8ATIYRB4DXrvJZSI8,,,75189,,,"Metal building contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,617 I-30 Frontage Rd,,"Shed builder, Carport and pergola builder, Garage builder",America/Chicago,Shed builder,,True,http://www.tuffshed.com/dallas-fort-worth-metro-area/,{'Thursday': ['9AM-6PM']},"Thursday,9AM,6PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"4052 Harvest Meadow Cir, Royse City, TX 75189",False,,OPERATIONAL,,8032946832623204333,Royse City,,,,"10 plus years in building metal shops, concrete work, fences, residential and commercial.",,,,,False,,,Advanced Fabricators,,,,,,,,,United States of America,US,,,0x84e58fea7c806cdb:0x6f7ac2957a1af7ed,8926c9c9653ffff,/g/11tn9sm92l,32.964150599999996,,,"https://www.google.com/maps/place/Advanced+Fabricators/@32.964150599999996,-96.2602893,14z/data=!4m8!1m2!2m1!1sAdvanced+Fabricators!3m4!1s0x84e58fea7c806cdb:0x6f7ac2957a1af7ed!8m2!3d32.964150599999996!4d-96.2602893","https://www.google.com/maps/place/Advanced+Fabricators/@32.964150599999996,-96.2602893,13.99z/data=!4m16!1m7!3m6!1s0x84e58fea7c806cdb:0x6f7ac2957a1af7ed!2sAdvanced+Fabricators!8m2!3d32.964150599999996!4d-96.2602893!16s%2Fg%2F11ckvg1dmb!3m7!1s0x84e58fea7c806cdb:0x6f7ac2957a1af7ed!8m2!3d32.964150599999996!4d-96.2602893!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-2B50amLfCLo/AAAAAAAAAAI/AAAAAAAAAAA/QtBYhPA8yvU/s44-p-k-no-ns-nd/photo.jpg,-96.2602893,,Advanced Fabricators,Advanced Fabricators,,,104600793841028678826,https://www.google.com/maps/contrib/104600793841028678826,Advanced Fabricators,+1 469-442-5006,,landline,https://lh3.googleusercontent.com/p/AF1QipMSvWYfFlHubUWZxuQOnLFaBSMv7DQm7Uvkq5Z2=w800-h500-k-no,3,ChIJ22yAfOqP5YQR7fcaepXCem8,,,75189,,,"Metal building contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,4052 Harvest Meadow Cir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oSUzguenPq5AOLhEOSkCCg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=274.97134&pitch=0&thumbfov=100,"Metal fabricator, Concrete contractor, Fence contractor, Metal construction company, Metal workshop",America/Chicago,Metal fabricator,,True,https://www.advancedfabricators.net/,{'Thursday': ['7AM-5PM']},"Thursday,7AM,5PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"2028 Sunny Cir, Rockwall, TX 75032",False,,OPERATIONAL,,593281172275691898,Rockwall,,,,,,,,,,,,mandmsteelbuildings.com,,,,,,,,,United States of America,US,,,0x864955650d074391:0x83bc215356b817a,8926c825583ffff,/g/1thp8cvb,32.9067862,,,"https://www.google.com/maps/place/M+%26+M+Steel+Buildings/@32.9067862,-96.3779015,14z/data=!4m8!1m2!2m1!1sM+%26+M+Steel+Buildings!3m4!1s0x864955650d074391:0x83bc215356b817a!8m2!3d32.9067862!4d-96.3779015","https://www.google.com/maps/place/M+%26+M+Steel+Buildings/@32.9067862,-96.3779015,13.99z/data=!4m16!1m7!3m6!1s0x864955650d074391:0x83bc215356b817a!2sM+%26+M+Steel+Buildings!8m2!3d32.9067862!4d-96.3779015!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955650d074391:0x83bc215356b817a!8m2!3d32.9067862!4d-96.3779015!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-96.3779015,,M & M Steel Buildings,M And M Steel Buildings,,,,,M & M Steel Buildings,+1 972-670-7443,,mobile,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fovre383d9A6RcF8-IXGsw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=265.14087&pitch=0&thumbfov=100,1,ChIJkUMHDWVVSYYReoFrNRXCOwg,,,75032,,,"Metal building contractor near Royse City, TX",,3.4,,,,,,,Texas,TX,2028 Sunny Cir,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fovre383d9A6RcF8-IXGsw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=265.14087&pitch=0&thumbfov=100,Construction company,America/Chicago,Construction company,,False,http://www.mandmsteelbuildings.com/,,
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","4840 I-30 Frontage Rd, Caddo Mills, TX 75135",False,,OPERATIONAL,,7420738432483866917,Caddo Mills,1915 Hutchins Ave,Ballinger,United States,"Mueller, Inc. is a leading manufacturer of steel buildings, metal buildings, metal roofing, and components. With over 85 years of experience, Mueller has established itself as a trusted provider in the Southwest region. The company has branch locations...",1000.0,https://facebook.com/themuellerinc,1937.0,BUILDING_MATERIALS,False,"Mueller, Inc. is a leading manufacturer of steel buildings, metal buildings, metal roofing, and components. With over 85 years of experience, Mueller has established itself as a trusted provider in the Southwest region. The company has branch locations...",https://www.linkedin.com/company/mueller-inc.,Mueller,+1 325-365-3555,Frontier,,100000000.0,TX,America/Chicago,themuellerinc,76821,United States of America,US,,,0x864be49ec90253b3:0x66fbc2499f4a3925,8926c834da7ffff,/g/1th7yr99,33.0067665,,,"https://www.google.com/maps/place/Mueller%2C+Inc./@33.0067665,-96.2281987,14z/data=!4m8!1m2!2m1!1sMueller%2C+Inc.!3m4!1s0x864be49ec90253b3:0x66fbc2499f4a3925!8m2!3d33.0067665!4d-96.2281987","https://www.google.com/maps/place/Mueller%2C+Inc./@33.0067665,-96.2281987,13.99z/data=!4m16!1m7!3m6!1s0x864be49ec90253b3:0x66fbc2499f4a3925!2sMueller%2C+Inc.!8m2!3d33.0067665!4d-96.2281987!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be49ec90253b3:0x66fbc2499f4a3925!8m2!3d33.0067665!4d-96.2281987!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-UufzCnu-734/AAAAAAAAAAI/AAAAAAAAAAA/qrzagF-Avys/s44-p-k-no-ns-nd/photo.jpg,-96.2281987,,"Mueller, Inc.",Mueller,,,100040497424174429149,https://www.google.com/maps/contrib/100040497424174429149,"Mueller, Inc.",+1 800-434-3179,,toll_free,https://lh3.googleusercontent.com/p/AF1QipOV2GD5Kdt3qykVf0BfOWJsC368fYx5JSpGSh_-=w800-h500-k-no,89,ChIJs1MCyZ7kS4YRJTlKn0nC-2Y,,,75135,,,"Metal building contractor near Royse City, TX",,4.8,,,,,,,Texas,TX,4840 I-30 Frontage Rd,,"Steel fabricator, Architecture firm, Metal construction company, Metal supplier, Steel distributor",America/Chicago,Steel fabricator,,True,http://muellerinc.com/%3Futm_source%3Dgmb%26utm_medium%3DYext,{'Thursday': ['7:30AM-5PM']},"Thursday,7:30AM,5PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","1110 S Virginia St, Terrell, TX 75160",False,,OPERATIONAL,,4202086801127490963,Terrell,9476 County Road 136,Terrell,United States,"Metal building kits, garages, carport kits, barndominiums manufactured right here in Texas using U.S. steel. High quality steel buildings and carports.",,https://facebook.com/absolute.steel.texas,,BUILDING_MATERIALS,False,"Metal building kits, garages, carport kits, barndominiums manufactured right here in Texas using U.S. steel. High quality steel buildings and carports.",,Absolutesteeltx,+1 972-524-1099,"PEERLESS NETWORK OF TEXAS, LLC",landline,,TX,America/Chicago,Absolute_Steel,75161,United States of America,US,,,0x86494587e8e35ee9:0x3a50cfae988fc593,8926c95a9cbffff,/g/1tn065p4,32.7254435,,,"https://www.google.com/maps/place/Absolute+Steel+Texas/@32.7254435,-96.27748629999999,14z/data=!4m8!1m2!2m1!1sAbsolute+Steel+Texas!3m4!1s0x86494587e8e35ee9:0x3a50cfae988fc593!8m2!3d32.7254435!4d-96.27748629999999","https://www.google.com/maps/place/Absolute+Steel+Texas/@32.7254435,-96.27748629999999,13.99z/data=!4m16!1m7!3m6!1s0x86494587e8e35ee9:0x3a50cfae988fc593!2sAbsolute+Steel+Texas!8m2!3d32.7254435!4d-96.27748629999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x86494587e8e35ee9:0x3a50cfae988fc593!8m2!3d32.7254435!4d-96.27748629999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-8VRZ-dSgSqc/AAAAAAAAAAI/AAAAAAAAAAA/meu4IniP-9s/s44-p-k-no-ns-nd/photo.jpg,-96.27748629999999,,Absolute Steel Texas,Absolute Steel Texas,,,102506846799639586271,https://www.google.com/maps/contrib/102506846799639586271,Absolute Steel Texas,+1 972-524-1099,"PEERLESS NETWORK OF TEXAS, LLC",landline,https://lh3.googleusercontent.com/p/AF1QipM_3OgwDP3HSnBY8o_UJ9PTJkO_g3JHCzVNICNy=w800-h500-k-no,54,ChIJ6V7j6IdFSYYRk8WPmK7PUDo,,,75160,,,"Metal building contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,1110 S Virginia St,,"Manufacturer, Garage builder, Shed builder",America/Chicago,Manufacturer,,True,https://www.absolutesteeltx.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
