about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.total_money_raised,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{},"510 Turtle Cove Blvd #114, Rockwall, TX 75087",False,,OPERATIONAL,,43848677182481400,Rockwall,,,,"Roll City Painting is a leading painting company in the DFW area, specializing in residential and commercial painting projects of all sizes. With a strong commitment to excellence and a proven track record of delivering impeccable results, we are the n...",,,,CONSTRUCTION,False,"Roll City Painting is a leading painting company in the DFW area, specializing in residential and commercial painting projects of all sizes. With a strong commitment to excellence and a proven track record of delivering impeccable results, we are the n...",,Roll City Painting,,,,,,,,,,United States of America,US,,,0x8b12dfdba576093d:0x9bc823bb5523f8,8926c82e427ffff,/g/11y1x_gnj5,32.902553999999995,,,"https://www.google.com/maps/place/Roll+City+Painting/@32.902553999999995,-96.4666855,14z/data=!4m8!1m2!2m1!1sRoll+City+Painting!3m4!1s0x8b12dfdba576093d:0x9bc823bb5523f8!8m2!3d32.902553999999995!4d-96.4666855","https://www.google.com/maps/place/Roll+City+Painting/@32.902553999999995,-96.4666855,13.99z/data=!4m16!1m7!3m6!1s0x8b12dfdba576093d:0x9bc823bb5523f8!2sRoll+City+Painting!8m2!3d32.902553999999995!4d-96.4666855!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8b12dfdba576093d:0x9bc823bb5523f8!8m2!3d32.902553999999995!4d-96.4666855!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-CNQ9TNovEQs/AAAAAAAAAAI/AAAAAAAAAAA/ANgWxd3ciJ8/s44-p-k-no-ns-nd/photo.jpg,-96.4666855,,Roll City Painting,Roll City Painting,,,108829374128106672201,https://www.google.com/maps/contrib/108829374128106672201,Roll City Painting,+1 469-809-2749,Onvoy,landline,https://lh3.googleusercontent.com/p/AF1QipNaHbek-OW-hU48F-4zkpn0j4sxrzuW-Acst8tb=w800-h500-k-no,213,ChIJPQl2pdvfEosR-CNVuyPImwA,,,75087,,,"Painting contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,510 Turtle Cove Blvd #114,,"Painting, Painter",America/Chicago,Painting,,True,http://www.rollcity.com/,{'Wednesday': ['8AM-5:30PM']},"Wednesday,8AM,5:30PM"
{},"640 Lake Shadow Dr, Lavon, TX 75166",False,,OPERATIONAL,,10876395967000193863,Lavon,104 South Bending Oak Lane,Wylie,United States,"When you need your roof repaired, gutters replaced, cabinets installed or bathroom or kitchen remodeled, call Pinnacle Painting & Construction to handle the project. We provide comprehensive interior remodeling services for Wylie, TX area residents. No...",,,,,False,"When you need your roof repaired, gutters replaced, cabinets installed or bathroom or kitchen remodeled, call Pinnacle Painting & Construction to handle the project. We provide comprehensive interior remodeling services for Wylie, TX area residents. No...",,Pinnacle Painting & Construction,2143340272,T-Mobile USA Inc.,mobile,,TX,America/Chicago,,txpinnaclepaint,75098,United States of America,US,,,0x864c046cdef95389:0x96f0b881a189ab47,8926c822157ffff,/g/11g6r34g1g,33.035644,,,"https://www.google.com/maps/place/Pinnacle+Painting+%26+Construction/@33.035644,-96.43806579999999,14z/data=!4m8!1m2!2m1!1sPinnacle+Painting+%26+Construction!3m4!1s0x864c046cdef95389:0x96f0b881a189ab47!8m2!3d33.035644!4d-96.43806579999999","https://www.google.com/maps/place/Pinnacle+Painting+%26+Construction/@33.035644,-96.43806579999999,13.99z/data=!4m16!1m7!3m6!1s0x864c046cdef95389:0x96f0b881a189ab47!2sPinnacle+Painting+%26+Construction!8m2!3d33.035644!4d-96.43806579999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c046cdef95389:0x96f0b881a189ab47!8m2!3d33.035644!4d-96.43806579999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-G5zTiAJPooY/AAAAAAAAAAI/AAAAAAAAAAA/mm3kD2nsCus/s44-p-k-no-ns-nd/photo.jpg,-96.43806579999999,,Pinnacle Painting & Construction,Pinnacle Painting And Construction,,,106537780125931802288,https://www.google.com/maps/contrib/106537780125931802288,Pinnacle Painting & Construction,+1 214-334-0272,T-Mobile USA Inc.,mobile,https://lh3.googleusercontent.com/p/AF1QipNBhD_xv0JyRsU480X2w7JKXTLuBVKZYvm8G1ej=w800-h500-k-no,176,ChIJiVP53mwETIYRR6uJoYG48JY,,,75166,,,"Painting contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,640 Lake Shadow Dr,,"Painter, Dry wall contractor, General contractor",America/Chicago,Painter,,True,https://www.txpinnaclepaint.com/,{'Wednesday': ['8AM-5PM']},"Wednesday,8AM,5PM"
{},"1925 Berrywood Dr, Royse City, TX 75189",False,,OPERATIONAL,,12848185804452413912,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864bfd46b6771c41:0xb24deceaa29a41d8,8926c834aa7ffff,/g/11rvdtxqj3,32.9902096,,,"https://www.google.com/maps/place/Chavez+Contractors/@32.9902096,-96.28118649999999,14z/data=!4m8!1m2!2m1!1sChavez+Contractors!3m4!1s0x864bfd46b6771c41:0xb24deceaa29a41d8!8m2!3d32.9902096!4d-96.28118649999999","https://www.google.com/maps/place/Chavez+Contractors/@32.9902096,-96.28118649999999,13.99z/data=!4m16!1m7!3m6!1s0x864bfd46b6771c41:0xb24deceaa29a41d8!2sChavez+Contractors!8m2!3d32.9902096!4d-96.28118649999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfd46b6771c41:0xb24deceaa29a41d8!8m2!3d32.9902096!4d-96.28118649999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-Z-L1zFCRjEs/AAAAAAAAAAI/AAAAAAAAAAA/e7FM8sTw-6g/s44-p-k-no-ns-nd/photo.jpg,-96.28118649999999,,Chavez Contractors,Chavez Contractors,,,116539214083660009867,https://www.google.com/maps/contrib/116539214083660009867,Chavez Contractors,+1 469-364-0593,"NEW CINGULAR WIRELESS PCS, LLC",mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCA74LdUByh3nLOyMcKUaCLn_LiFVuFVn1W0kL1lzl1FPAXvDaXc7QL_kH5ht0V9YA1vv02EbaMOM5VO2gNGTVaVgiZDc5NmtgcUE_3gioBGJuGj51U2r91iFFZvlj3tLzQDk=w800-h500-k-no,7,ChIJQRx3tkb9S4YR2EGaoursTbI,,,75189,,,"Painting contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,1925 Berrywood Dr,,Painter,America/Chicago,Painter,,True,https://m.facebook.com/chavezcontractors16,{'Wednesday': ['8AM-5PM']},"Wednesday,8AM,5PM"
{},"1266 Highbluff Ln, Rockwall, TX 75087",False,,OPERATIONAL,,4215761288854704137,Rockwall,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864eaa9ab491afeb:0x3a81648e60071009,8926c820803ffff,/g/11cmf3hkmk,32.943179199999996,,,"https://www.google.com/maps/place/A%2B+Painting+by+Derick+Harvey/@32.943179199999996,-96.4448285,14z/data=!4m8!1m2!2m1!1sA%2B+Painting+by+Derick+Harvey!3m4!1s0x864eaa9ab491afeb:0x3a81648e60071009!8m2!3d32.943179199999996!4d-96.4448285","https://www.google.com/maps/place/A%2B+Painting+by+Derick+Harvey/@32.943179199999996,-96.4448285,13.99z/data=!4m16!1m7!3m6!1s0x864eaa9ab491afeb:0x3a81648e60071009!2sA%2B+Painting+by+Derick+Harvey!8m2!3d32.943179199999996!4d-96.4448285!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eaa9ab491afeb:0x3a81648e60071009!8m2!3d32.943179199999996!4d-96.4448285!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-9p2Tcqrns8c/AAAAAAAAAAI/AAAAAAAAAAA/awTkOp8bgL0/s44-p-k-no-ns-nd/photo.jpg,-96.4448285,,A+ Painting by Derick Harvey,A+ Painting By Derick Harvey,,,111896826110251561590,https://www.google.com/maps/contrib/111896826110251561590,A+ Painting by Derick Harvey,+1 469-556-7318,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipOe6t4AACmpYchDMXhhPRxBgxIfpCoaZMEJnzM=w800-h500-k-no,124,ChIJ66-RtJqqToYRCRAHYI5kgTo,,,75087,,,"Painting contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,1266 Highbluff Ln,,Painter,America/Chicago,Painter,,True,https://www.facebook.com/apluspaintingbyderickharvey/,{'Wednesday': ['8AM-8PM']},"Wednesday,8AM,8PM"
{},"222 Lakeview Dr, Rockwall, TX 75087",False,,OPERATIONAL,,9873910774761192706,Rockwall,222 Lakeview Drive,Rockwall,United States,"Carroll Custom Painting is a local painting company that offers a variety of services to residential and commercial clients in Rockwall, Allen, and Plano, TX. They specialize in interior and exterior painting, popcorn removal, drywall repair, cabinet p...",,,,CONSTRUCTION,False,"Carroll Custom Painting is a local painting company that offers a variety of services to residential and commercial clients in Rockwall, Allen, and Plano, TX. They specialize in interior and exterior painting, popcorn removal, drywall repair, cabinet p...",https://www.linkedin.com/company/carroll-custom-painting,Carroll Custom Painting,+1 469-964-9573,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,,TX,America/Chicago,,,75087,United States of America,US,,,0x864eaa75d72303fb:0x89072d89118afd02,8926c82e4afffff,/g/1q66sp6yw,32.909627,,,"https://www.google.com/maps/place/Carroll+Custom+Painting/@32.909627,-96.46659,14z/data=!4m8!1m2!2m1!1sCarroll+Custom+Painting!3m4!1s0x864eaa75d72303fb:0x89072d89118afd02!8m2!3d32.909627!4d-96.46659","https://www.google.com/maps/place/Carroll+Custom+Painting/@32.909627,-96.46659,13.99z/data=!4m16!1m7!3m6!1s0x864eaa75d72303fb:0x89072d89118afd02!2sCarroll+Custom+Painting!8m2!3d32.909627!4d-96.46659!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eaa75d72303fb:0x89072d89118afd02!8m2!3d32.909627!4d-96.46659!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-tmDsw-y-S4U/AAAAAAAAAAI/AAAAAAAAAAA/RgT3LS8y3lI/s44-p-k-no-ns-nd/photo.jpg,-96.46659,,Carroll Custom Painting,Carroll Custom Painting,,,117514774581694245626,https://www.google.com/maps/contrib/117514774581694245626,Carroll Custom Painting,+1 469-964-9573,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,https://lh3.googleusercontent.com/p/AF1QipMm8j8K31QegSs8FShZwSIIYsl3LEglQPCR_Xyy=w800-h500-k-no,74,ChIJ-wMj13WqToYRAv2KEYktB4k,,,75087,,,"Painting contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,222 Lakeview Dr,,Painter,America/Chicago,Painter,,True,http://www.carrollcustompainting.com/,{'Wednesday': ['5AM-10PM']},"Wednesday,5AM,10PM"
{},"483 Green Ct, Josephine, TX 75173",False,,OPERATIONAL,,3319210820461443360,Josephine,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864bf9b9ae4c06a9:0x2e1034a7c03cb920,8926c83466bffff,/g/11vzcq1d_8,33.058696999999995,,,"https://www.google.com/maps/place/Reliance+Painting+Services+LLC/@33.058696999999995,-96.33546059999999,14z/data=!4m8!1m2!2m1!1sReliance+Painting+Services+LLC!3m4!1s0x864bf9b9ae4c06a9:0x2e1034a7c03cb920!8m2!3d33.058696999999995!4d-96.33546059999999","https://www.google.com/maps/place/Reliance+Painting+Services+LLC/@33.058696999999995,-96.33546059999999,13.99z/data=!4m16!1m7!3m6!1s0x864bf9b9ae4c06a9:0x2e1034a7c03cb920!2sReliance+Painting+Services+LLC!8m2!3d33.058696999999995!4d-96.33546059999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bf9b9ae4c06a9:0x2e1034a7c03cb920!8m2!3d33.058696999999995!4d-96.33546059999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-FNlpjMipM9U/AAAAAAAAAAI/AAAAAAAAAAA/JZ5tuy_lrDs/s44-p-k-no-ns-nd/photo.jpg,-96.33546059999999,,Reliance Painting Services LLC,Reliance Painting Services,,,107118891926888818076,https://www.google.com/maps/contrib/107118891926888818076,Reliance Painting Services LLC,+1 469-343-3112,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipPDpnSGY1FM3bUxEGvVjg9-zGQL8RH5a5WsmtiD=w800-h500-k-no,11,ChIJqQZMrrn5S4YRILk8wKc0EC4,,,75173,,,"Painting contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,483 Green Ct,,Painter,America/Chicago,Painter,,True,http://www.reliancepaintingservices.com/,{'Wednesday': ['8AM-6PM']},"Wednesday,8AM,6PM"
{},"509 Sandy Ln, Royse City, TX 75189",False,,OPERATIONAL,,5838771880812967523,Royse City,,,,Quality Craftsmanship & Superior Customer Service,,,,RETAIL,False,,,The Master's Touch Remodeling,,,,,,,,,,United States of America,US,,,0x864bfe665dc95555:0x51077c1728657663,8926c8275bbffff,/g/11ggzc5mqv,32.9544113,,,"https://www.google.com/maps/place/The+Master%E2%80%99s+Touch+Remodeling/@32.9544113,-96.340035,14z/data=!4m8!1m2!2m1!1sThe+Master%E2%80%99s+Touch+Remodeling!3m4!1s0x864bfe665dc95555:0x51077c1728657663!8m2!3d32.9544113!4d-96.340035","https://www.google.com/maps/place/The+Master%E2%80%99s+Touch+Remodeling/@32.9544113,-96.340035,13.99z/data=!4m16!1m7!3m6!1s0x864bfe665dc95555:0x51077c1728657663!2sThe+Master%E2%80%99s+Touch+Remodeling!8m2!3d32.9544113!4d-96.340035!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfe665dc95555:0x51077c1728657663!8m2!3d32.9544113!4d-96.340035!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-Jl3IWhvaUcs/AAAAAAAAAAI/AAAAAAAAAAA/yVPx4Q1-JIU/s44-p-k-no-ns-nd/photo.jpg,-96.340035,,The Master’s Touch Remodeling,The Master’S Touch Remodeling,,,105064493534755024055,https://www.google.com/maps/contrib/105064493534755024055,The Master’s Touch Remodeling,+1 903-441-6272,,landline,https://lh3.googleusercontent.com/p/AF1QipMxDVH0CJ2OORx23zVzPJtz5IPUWkjXIKsQYtNT=w800-h500-k-no,184,ChIJVVXJXWb-S4YRY3ZlKBd8B1E,,,75189,,,"Painting contractor near Royse City, TX",,4.9,,,,,,,Texas,TX,509 Sandy Ln,,"Remodeler, Bathroom remodeler, Kitchen remodeler, Roofing contractor",America/Chicago,Remodeler,,True,https://themasterstouchremodeling.com/,{'Wednesday': ['6AM-5PM']},"Wednesday,6AM,5PM"
{},"4969 Co Rd 3506, Quinlan, TX 75474",False,,OPERATIONAL,,3165072613204859371,Quinlan,8335 WATERWOOD LN,Dallas,United States,"At paint Monkey® we offer residential and commercial painting services in exterior - interior painting, wallpaper removal, wood staining and drywall patching.3",,,,,,"At paint Monkey® we offer residential and commercial painting services in exterior - interior painting, wallpaper removal, wood staining and drywall patching.3",,Paint Monkey,+1 469-671-7692,,mobile,,TX,America/Chicago,,,75217,United States of America,US,,,0x864ea3684b700001:0x2bec98c5be6499eb,8926c9c166bffff,/g/11hcdvnb82,33.007221699999995,,,"https://www.google.com/maps/place/Paint+Monkey+-+Painter/@33.007221699999995,-96.0798964,14z/data=!4m8!1m2!2m1!1sPaint+Monkey+-+Painter!3m4!1s0x864ea3684b700001:0x2bec98c5be6499eb!8m2!3d33.007221699999995!4d-96.0798964","https://www.google.com/maps/place/Paint+Monkey+-+Painter/@33.007221699999995,-96.0798964,13.99z/data=!4m16!1m7!3m6!1s0x864ea3684b700001:0x2bec98c5be6499eb!2sPaint+Monkey+-+Painter!8m2!3d33.007221699999995!4d-96.0798964!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864ea3684b700001:0x2bec98c5be6499eb!8m2!3d33.007221699999995!4d-96.0798964!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-WiLVVmOnjL0/AAAAAAAAAAI/AAAAAAAAAAA/BrIcyizBf_w/s44-p-k-no-ns-nd/photo.jpg,-96.0798964,,Paint Monkey - Painter,Paint Monkey Painter,,,107181517813266842019,https://www.google.com/maps/contrib/107181517813266842019,Paint Monkey - Painter,+1 469-671-7692,,mobile,https://lh3.googleusercontent.com/p/AF1QipMDVgbtp2KUK-2X3t36O7k6u71cHZVSx1-BL_EW=w800-h500-k-no,33,ChIJAQBwS2ijToYR65lkvsWY7Cs,,,75474,,,"Painting contractor near Royse City, TX",,4.9,,,,,,,Texas,TX,4969 Co Rd 3506,,"Painting, Contractor, Handyman/Handywoman/Handyperson, Painter, Remodeler",America/Chicago,Painting,,True,https://paintmonkeyinc.com/,{'Wednesday': ['8AM-5PM']},"Wednesday,8AM,5PM"
{'Other': {'Identifies as veteran-owned': True}},"3219 Co Rd 2508, Caddo Mills, TX 75135",False,,OPERATIONAL,,12075109188177096118,Caddo Mills,,Royse City,United States,Looking for local handyman services? Royse City Handyman offers professional and reliable services for all your home repair and maintenance needs. Contact us today!,,,,CONSTRUCTION,False,Looking for local handyman services? Royse City Handyman offers professional and reliable services for all your home repair and maintenance needs. Contact us today!,,Royse City Handyman,,,,,TX,America/Chicago,,,,United States of America,US,,,0x289e0d71160b95db:0xa79367d47959edb6,8926c9cb28fffff,/g/11vpfcmglz,32.9971861,,,"https://www.google.com/maps/place/Royse+City+Handyman/@32.9971861,-96.215898,14z/data=!4m8!1m2!2m1!1sRoyse+City+Handyman!3m4!1s0x289e0d71160b95db:0xa79367d47959edb6!8m2!3d32.9971861!4d-96.215898","https://www.google.com/maps/place/Royse+City+Handyman/@32.9971861,-96.215898,13.99z/data=!4m16!1m7!3m6!1s0x289e0d71160b95db:0xa79367d47959edb6!2sRoyse+City+Handyman!8m2!3d32.9971861!4d-96.215898!16s%2Fg%2F11ckvg1dmb!3m7!1s0x289e0d71160b95db:0xa79367d47959edb6!8m2!3d32.9971861!4d-96.215898!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-90qCPvPvQ1c/AAAAAAAAAAI/AAAAAAAAAAA/bSTm03JkHuw/s44-p-k-no-ns-nd/photo.jpg,-96.215898,,Royse City Handyman,Royse City Handyman,,,101728914662488479921,https://www.google.com/maps/contrib/101728914662488479921,Royse City Handyman,+1 903-274-9767,,landline,https://lh3.googleusercontent.com/p/AF1QipNcB7JSYqgIduaDtu6BRJerTcL-bPnM7h1c_Urn=w800-h500-k-no,114,ChIJ25ULFnENnigRtu1ZedRnk6c,,,75135,,,"Painting contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,3219 Co Rd 2508,,Handyman/Handywoman/Handyperson,America/Chicago,Handyman/Handywoman/Handyperson,,True,https://roysecityhandyman.com/,{'Wednesday': ['9AM-4PM']},"Wednesday,9AM,4PM"
{},"9306 Co Rd 3844, Quinlan, TX 75474",False,,OPERATIONAL,,6355594292267747483,Quinlan,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x86495effe36fd0fb:0x58339b55df1e889b,8926c9c8823ffff,/g/11dxhyqvmm,32.8870376,,,"https://www.google.com/maps/place/North+East+Texas+Painting+Inc/@32.8870376,-96.11146149999999,14z/data=!4m8!1m2!2m1!1sNorth+East+Texas+Painting+Inc!3m4!1s0x86495effe36fd0fb:0x58339b55df1e889b!8m2!3d32.8870376!4d-96.11146149999999","https://www.google.com/maps/place/North+East+Texas+Painting+Inc/@32.8870376,-96.11146149999999,13.99z/data=!4m16!1m7!3m6!1s0x86495effe36fd0fb:0x58339b55df1e889b!2sNorth+East+Texas+Painting+Inc!8m2!3d32.8870376!4d-96.11146149999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x86495effe36fd0fb:0x58339b55df1e889b!8m2!3d32.8870376!4d-96.11146149999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-KV5-onurz6c/AAAAAAAAAAI/AAAAAAAAAAA/swr40W9pqIQ/s44-p-k-no-ns-nd/photo.jpg,-96.11146149999999,,North East Texas Painting Inc,North East Texas Painting,,,106378033412064642914,https://www.google.com/maps/contrib/106378033412064642914,North East Texas Painting Inc,+1 903-217-8296,CELLCO PARTNERSHIP DBA VERIZON,mobile,https://lh3.googleusercontent.com/p/AF1QipPWI7C2NJUpgmKq_FH8XLdG2ISfFU64TfamF0v2=w800-h500-k-no,115,ChIJ-9Bv4_9eSYYRm4ge31WbM1g,,,75474,,,"Painting contractor near Royse City, TX",,4.9,,,,,,,Texas,TX,9306 Co Rd 3844,,"Painter, Contractor, Dry wall contractor, Handyman/Handywoman/Handyperson, Painting, Pressure washing service",America/Chicago,Painter,,True,,{'Wednesday': ['7AM-7PM']},"Wednesday,7AM,7PM"
