about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{},"5593 TX-276 Suite 107, Royse City, TX 75189",False,,OPERATIONAL,,10794449210849678249,Royse City,5593 Texas 276,Royse City,United States,"Dallas & Rockwall, Texas, pool builder that designs splash pads and beautiful custom pools and spas for homes, multifamily units and HOA's.",,,,,False,"Dallas & Rockwall, Texas, pool builder that designs splash pads and beautiful custom pools and spas for homes, multifamily units and HOA's.",,Splash Pad Pool Builder,,,,,TX,America/Chicago,,75189,United States of America,US,,,0x8649572c4e9a3bdf:0x95cd965da6b0d3a9,8926c826c43ffff,/g/11j7z0_qsz,32.915517099999995,,,"https://www.google.com/maps/place/Splash+Pad+Pool+Builder/@32.915517099999995,-96.26815339999999,14z/data=!4m8!1m2!2m1!1sSplash+Pad+Pool+Builder!3m4!1s0x8649572c4e9a3bdf:0x95cd965da6b0d3a9!8m2!3d32.915517099999995!4d-96.26815339999999","https://www.google.com/maps/place/Splash+Pad+Pool+Builder/@32.915517099999995,-96.26815339999999,13.99z/data=!4m16!1m7!3m6!1s0x8649572c4e9a3bdf:0x95cd965da6b0d3a9!2sSplash+Pad+Pool+Builder!8m2!3d32.915517099999995!4d-96.26815339999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8649572c4e9a3bdf:0x95cd965da6b0d3a9!8m2!3d32.915517099999995!4d-96.26815339999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-bkgLHSrEly4/AAAAAAAAAAI/AAAAAAAAAAA/uVWA3sa1GxA/s44-p-k-no-ns-nd/photo.jpg,-96.26815339999999,,Splash Pad Pool Builder,Splash Pad Pool Builder,,,107195582787106640360,https://www.google.com/maps/contrib/107195582787106640360,Splash Pad Pool Builder,+1 214-971-7665,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipNlrDH6uz9-J0DzfEKcYi4yIWRun8QWwvsjknlr=w800-h500-k-no,577,ChIJ3zuaTixXSYYRqdOwpl2WzZU,,,75189,,,"Pool builder near Royse City, TX",,4.8,,,,,,,Texas,TX,5593 TX-276 Suite 107,,Swimming pool contractor,America/Chicago,Swimming pool contractor,,True,https://splashpadpoolbuilder.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"5380 TX-276, Royse City, TX 75189",False,,OPERATIONAL,,11154694951384819890,Royse City,3109 W EL PRADO BLVD,Tampa,United States,,10.0,,,,,,https://www.linkedin.com/company/my-pool-guy,My Pool Guy,,,,1000000.0,FL,America/New_York,,33629,United States of America,US,,,0x864bc2955825c253:0x9acd6ff54b22a8b2,8926c826c1bffff,/g/11q2y_xcg4,32.9170286,,,"https://www.google.com/maps/place/My+Pool+Guy+%28Timothy+Mott+LLC%29/@32.9170286,-96.26095319999999,14z/data=!4m8!1m2!2m1!1sMy+Pool+Guy+%28Timothy+Mott+LLC%29!3m4!1s0x864bc2955825c253:0x9acd6ff54b22a8b2!8m2!3d32.9170286!4d-96.26095319999999","https://www.google.com/maps/place/My+Pool+Guy+%28Timothy+Mott+LLC%29/@32.9170286,-96.26095319999999,13.99z/data=!4m16!1m7!3m6!1s0x864bc2955825c253:0x9acd6ff54b22a8b2!2sMy+Pool+Guy+%28Timothy+Mott+LLC%29!8m2!3d32.9170286!4d-96.26095319999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bc2955825c253:0x9acd6ff54b22a8b2!8m2!3d32.9170286!4d-96.26095319999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-BN255dHPRog/AAAAAAAAAAI/AAAAAAAAAAA/7FqUjouoMC0/s44-p-k-no-ns-nd/photo.jpg,-96.26095319999999,,My Pool Guy (Timothy Mott LLC),My Pool Guy Timothy Mott,,,107698051963005437017,https://www.google.com/maps/contrib/107698051963005437017,My Pool Guy,+1 469-651-9449,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqfe2aINDCh9egXuM1W7NVKUXxXlJyVrP4Yp1W1wkJH7HUtSB71PouMe9kUMKLESEuqYvGcJV1jPhgwC3qFhWeEJZ2H6FzqmdYzCnuW-tMpVbdQeTd5d4fWGk-pe3o_3GnEzAP75Cs7cVGH=w800-h500-k-no,11,ChIJU8IlWJXCS4YRsqgiS_VvzZo,,,75189,,,"Pool builder near Royse City, TX",,4.9,,,,,,,Texas,TX,5380 TX-276,,Swimming pool contractor,America/Chicago,Swimming pool contractor,,True,https://mypoolguy.com/,,
{},"2063 Buck Ct, Caddo Mills, TX 75135",False,,OPERATIONAL,,2068849336633913476,Caddo Mills,,,,,,,,,,,,Pcrpoolsandspas,,,,,,,,,United States of America,US,,,0x864be3bb500bfce1:0x1cb60782abddf084,8926c9cb663ffff,/g/11rxw3wzmc,33.0062464,,,"https://www.google.com/maps/place/PCR+Pools+and+Spas+LLC/@33.0062464,-96.2207761,14z/data=!4m8!1m2!2m1!1sPCR+Pools+and+Spas+LLC!3m4!1s0x864be3bb500bfce1:0x1cb60782abddf084!8m2!3d33.0062464!4d-96.2207761","https://www.google.com/maps/place/PCR+Pools+and+Spas+LLC/@33.0062464,-96.2207761,13.99z/data=!4m16!1m7!3m6!1s0x864be3bb500bfce1:0x1cb60782abddf084!2sPCR+Pools+and+Spas+LLC!8m2!3d33.0062464!4d-96.2207761!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be3bb500bfce1:0x1cb60782abddf084!8m2!3d33.0062464!4d-96.2207761!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-bb3aPPFHndg/AAAAAAAAAAI/AAAAAAAAAAA/kWkDoUruxao/s44-p-k-no-ns-nd/photo.jpg,-96.2207761,,PCR Pools and Spas LLC,Pcr Pools And Spas,,,109005873348836648001,https://www.google.com/maps/contrib/109005873348836648001,PCR Pools and Spas LLC,+1 972-884-0220,,landline,https://lh3.googleusercontent.com/p/AF1QipM-_O7WPKX9glX2PLMxNBTO49rD7pu-HQ5hksta=w800-h500-k-no,109,ChIJ4fwLULvjS4YRhPDdq4IHthw,,,75135,,,"Pool builder near Royse City, TX",,4.8,,,,,,,Texas,TX,2063 Buck Ct,,Swimming pool contractor,America/Chicago,Swimming pool contractor,,True,https://pcrpoolsandspas.com/,{'Thursday': ['7AM-7PM']},"Thursday,7AM,7PM"
{},"13895 Co Rd 548, Nevada, TX 75173",False,,OPERATIONAL,,16920862545414256474,Nevada,13895 County Road 548,Nevada,United States,,,,,,False,,,Custompoolsbybrian,,,,,TX,America/Chicago,PoolsbyBrian,75173,United States of America,US,,,0x864c07f0df1ac89f:0xead2fad5a0a0f75a,8926c830a3bffff,/g/11q8vcd2zz,33.0894676,,,"https://www.google.com/maps/place/Custom+Pools+By+Brian/@33.0894676,-96.4414091,14z/data=!4m8!1m2!2m1!1sCustom+Pools+By+Brian!3m4!1s0x864c07f0df1ac89f:0xead2fad5a0a0f75a!8m2!3d33.0894676!4d-96.4414091","https://www.google.com/maps/place/Custom+Pools+By+Brian/@33.0894676,-96.4414091,13.99z/data=!4m16!1m7!3m6!1s0x864c07f0df1ac89f:0xead2fad5a0a0f75a!2sCustom+Pools+By+Brian!8m2!3d33.0894676!4d-96.4414091!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c07f0df1ac89f:0xead2fad5a0a0f75a!8m2!3d33.0894676!4d-96.4414091!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-jy9AxwBJBr8/AAAAAAAAAAI/AAAAAAAAAAA/0rkYihYrx1w/s44-p-k-no-ns-nd/photo.jpg,-96.4414091,,Custom Pools By Brian,Custom Pools By Brian,,,103174642027095236400,https://www.google.com/maps/contrib/103174642027095236400,Custom Pools By Brian,+1 469-307-3964,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipO7GsM1Uu13dB14l32gR6t1qZXARjgKUPIjQH2E=w800-h500-k-no,105,ChIJn8ga3_AHTIYRWvegoNX60uo,,,75173,,,"Pool builder near Royse City, TX",,5.0,,,,,,,Texas,TX,13895 Co Rd 548,,Swimming pool contractor,America/Chicago,Swimming pool contractor,,True,https://www.custompoolsbybrian.com/,{'Thursday': ['7AM-7PM']},"Thursday,7AM,7PM"
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","3942 Ruger Dr, Royse City, TX 75189",False,,OPERATIONAL,,4926257902737311316,Royse City,1912 Bench Mark Drive,Austin,United States,Named #1 customer service company in Texas and the fastest-growing pool service company in the U.S. for three years according to the Inc. 5000. We are here to take care of you and everything to do with your pool and spa.,25.0,,2006.0,WHOLESALE,False,Named #1 customer service company in Texas and the fastest-growing pool service company in the U.S. for three years according to the Inc. 5000. We are here to take care of you and everything to do with your pool and spa.,https://www.linkedin.com/company/patriotpoolandspa,Patriot Pool and Spa,512-636-8122,"RCLEC, INC. - TX",fixed line,10000000.0,TX,America/Chicago,patriotpoolspa,78728,United States of America,US,,,0x864955362c943a2f:0x445d95764c9e4654,8926c824613ffff,/g/11gmjj1tjn,32.9101362,,,"https://www.google.com/maps/place/Patriot+Pool+%26+Spa/@32.9101362,-96.3558884,14z/data=!4m8!1m2!2m1!1sPatriot+Pool+%26+Spa!3m4!1s0x864955362c943a2f:0x445d95764c9e4654!8m2!3d32.9101362!4d-96.3558884","https://www.google.com/maps/place/Patriot+Pool+%26+Spa/@32.9101362,-96.3558884,13.99z/data=!4m16!1m7!3m6!1s0x864955362c943a2f:0x445d95764c9e4654!2sPatriot+Pool+%26+Spa!8m2!3d32.9101362!4d-96.3558884!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955362c943a2f:0x445d95764c9e4654!8m2!3d32.9101362!4d-96.3558884!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-D7ShFo3UQ38/AAAAAAAAAAI/AAAAAAAAAAA/IIlEWj--ohs/s44-p-k-no-ns-nd/photo.jpg,-96.3558884,,Patriot Pool & Spa,Patriot Pool And Spa,,[{'online_service_hours': {'Thursday': 'Open 24 hours'}}],105810731479660074274,https://www.google.com/maps/contrib/105810731479660074274,Patriot Pool & Spa,+1 469-447-4112,,landline,https://lh3.googleusercontent.com/p/AF1QipOwqI0XngedHGaudjO2WwAQ4Dnceh25V1xcxKyq=w800-h500-k-no,72,ChIJLzqULDZVSYYRVEaeTHaVXUQ,,,75189,,,"Pool builder near Royse City, TX",,4.8,,,,,,,Texas,TX,3942 Ruger Dr,,"Swimming pool contractor, Pool cleaning service, Swimming pool repair service",America/Chicago,Swimming pool contractor,,True,https://www.patriotpoolandspa.com/locations/rockwall/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,{'Thursday': ['8AM-4PM']},"Thursday,8AM,4PM"
{},"318 Rusted Rail Dr, Royse City, TX 75189",False,,OPERATIONAL,,13673198237314400850,Royse City,,,,Call now for your free estimate!,,,,CONSTRUCTION,False,,,Pool Makeovers,,,,,,,vinyliner,,United States of America,US,,,0x864bfb4b0c4a969b:0xbdc0f55a669f4252,8926c83403bffff,/g/11rn79l1fj,33.048157499999995,,,"https://www.google.com/maps/place/Pool+Makeovers+llc/@33.048157499999995,-96.30486839999999,14z/data=!4m8!1m2!2m1!1sPool+Makeovers+llc!3m4!1s0x864bfb4b0c4a969b:0xbdc0f55a669f4252!8m2!3d33.048157499999995!4d-96.30486839999999","https://www.google.com/maps/place/Pool+Makeovers+llc/@33.048157499999995,-96.30486839999999,13.99z/data=!4m16!1m7!3m6!1s0x864bfb4b0c4a969b:0xbdc0f55a669f4252!2sPool+Makeovers+llc!8m2!3d33.048157499999995!4d-96.30486839999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfb4b0c4a969b:0xbdc0f55a669f4252!8m2!3d33.048157499999995!4d-96.30486839999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-bFgYiLnZtUM/AAAAAAAAAAI/AAAAAAAAAAA/y13xoJKBdHc/s44-p-k-no-ns-nd/photo.jpg,-96.30486839999999,,Pool Makeovers llc,Pool Makeovers,,,101912470538743510481,https://www.google.com/maps/contrib/101912470538743510481,Pool Makeovers llc,+1 972-310-6672,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipO2iVsw6wlpkw4E0a85j5_HDO1zbHIJe_YtwuuR=w800-h500-k-no,30,ChIJm5ZKDEv7S4YRUkKfZlr1wL0,,,75189,,,"Pool builder near Royse City, TX",,4.3,,,,,,,Texas,TX,318 Rusted Rail Dr,,Swimming pool repair service,America/Chicago,Swimming pool repair service,,True,http://poolmakeovers.org/,{'Thursday': ['Open 24 hours']},
{},"105 St Mary's Pl #200, Rockwall, TX 75087",False,,OPERATIONAL,,868006466279466441,Rockwall,5700 Granite Parkway,Plano,United States,Aquatic Arts Pool N Spa is a leading pool builder and spa construction company in Rockwall. We specialize in creating natural looking swimming pools for homes in the area. Our customized pools are not only affordable but also crafted with the highest l...,10.0,https://facebook.com/aquaticartspoolnspa,2018.0,CONSTRUCTION,False,Aquatic Arts Pool N Spa is a leading pool builder and spa construction company in Rockwall. We specialize in creating natural looking swimming pools for homes in the area. Our customized pools are not only affordable but also crafted with the highest l...,https://www.linkedin.com/company/aquatic-arts-pool-n-spa-llc,AQUATIC ARTS POOL N SPA,,,,10000000.0,TX,America/Chicago,,75024,United States of America,US,,,0x80dbf8d0fc161c65:0xc0bc7483d5465c9,8926c820bcbffff,/g/1tgk0y8w,32.9261219,,,"https://www.google.com/maps/place/Aquatic+Arts+Pool+N+Spa/@32.9261219,-96.45979249999999,14z/data=!4m8!1m2!2m1!1sAquatic+Arts+Pool+N+Spa!3m4!1s0x80dbf8d0fc161c65:0xc0bc7483d5465c9!8m2!3d32.9261219!4d-96.45979249999999","https://www.google.com/maps/place/Aquatic+Arts+Pool+N+Spa/@32.9261219,-96.45979249999999,13.99z/data=!4m16!1m7!3m6!1s0x80dbf8d0fc161c65:0xc0bc7483d5465c9!2sAquatic+Arts+Pool+N+Spa!8m2!3d32.9261219!4d-96.45979249999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x80dbf8d0fc161c65:0xc0bc7483d5465c9!8m2!3d32.9261219!4d-96.45979249999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-q1PKce1fTi0/AAAAAAAAAAI/AAAAAAAAAAA/kTVzcZgen_M/s44-p-k-no-ns-nd/photo.jpg,-96.45979249999999,,Aquatic Arts Pool N Spa,Aquatic Arts Pool N Spa,,,101082364723829195273,https://www.google.com/maps/contrib/101082364723829195273,Aquatic Arts Pool N Spa,+1 469-960-3740,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7juRprr2OgVlNzByl3PggwRDJu1DU3qrC2nQ05r-XI2QkTKD7vHvVpCYeubvETqMpasVLmmPBTi6YXFFV2F1b7wqSgpUE288VNYvynqBbAa598poWqelGEaVWWP_K1a5an7rE=w800-h500-k-no,107,ChIJZRwW_ND424ARyWVUPUjHCww,,,75087,,,"Pool builder near Royse City, TX",,4.8,,,,,,,Texas,TX,105 St Mary's Pl #200,,"Swimming pool contractor, Store, Swimming pool repair service",America/Chicago,Swimming pool contractor,,True,http://aquaticartspoolnspa.com/,{'Thursday': ['7AM-7PM']},"Thursday,7AM,7PM"
{},"1400 S State Hwy 205, Rockwall, TX 75032",False,,OPERATIONAL,,7590584292895684235,Rockwall,315 West Farm to Market Road 544,Murphy,United States,"Hobert Pools & Spas is a pool builder, offering pool design, pool service and more serving Dallas, Frisco, Rockwall and surrounding areas. Hobert Pools has become one of Dallas’ largest swimming pools builders helping over 11,000 families enjoy the ple...",25.0,https://facebook.com/hobertpools,1975.0,CONSTRUCTION,False,"Hobert Pools & Spas is a pool builder, offering pool design, pool service and more serving Dallas, Frisco, Rockwall and surrounding areas. Hobert Pools has become one of Dallas’ largest swimming pools builders helping over 11,000 families enjoy the ple...",https://www.linkedin.com/company/hobert-pools,Hobert Pools,9723174121,Frontier,landline,1000000.0,TX,America/Chicago,hobertpools,75094,United States of America,US,,,0x864eaa7ad64fd9c1:0x69572c329fb4f68b,8926c82580fffff,/g/1wf2284r,32.835332099999995,,,"https://www.google.com/maps/place/Hobert+Pools+%26+Spas/@32.835332099999995,-96.36881729999999,14z/data=!4m8!1m2!2m1!1sHobert+Pools+%26+Spas!3m4!1s0x864eaa7ad64fd9c1:0x69572c329fb4f68b!8m2!3d32.835332099999995!4d-96.36881729999999","https://www.google.com/maps/place/Hobert+Pools+%26+Spas/@32.835332099999995,-96.36881729999999,13.99z/data=!4m16!1m7!3m6!1s0x864eaa7ad64fd9c1:0x69572c329fb4f68b!2sHobert+Pools+%26+Spas!8m2!3d32.835332099999995!4d-96.36881729999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eaa7ad64fd9c1:0x69572c329fb4f68b!8m2!3d32.835332099999995!4d-96.36881729999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-kLnRIj52XMc/AAAAAAAAAAI/AAAAAAAAAAA/HnA9lHeBYX8/s44-p-k-no-ns-nd/photo.jpg,-96.36881729999999,,Hobert Pools & Spas,Hobert Pools And Spas,,,112164297574017920931,https://www.google.com/maps/contrib/112164297574017920931,Hobert Pools & Spas,+1 972-772-3358,"INTRADO COMMUNICATIONS, LLC",landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerxzpe3IFa8a2sWzIwBQupnsdodQB4AQGULjepSBC3_RKcd1xjtXgQXccBxBVp-dlv6-IBBX4oQrR401JObQZxXtOlMe7twcIjtvbnqNps457B97Imu6FZ8UbFtNVQWMdo7QqOfxuTAgkk=w800-h500-k-no,26,ChIJwdlP1nqqToYRi_a0nzIsV2k,,,75032,,,"Pool builder near Royse City, TX",,4.5,,,,,,,Texas,TX,1400 S State Hwy 205,,Swimming pool contractor,America/Chicago,Swimming pool contractor,,True,https://hobertpools.com/,{'Thursday': ['9AM-5PM']},"Thursday,9AM,5PM"
{},"6775 Horizon Rd, Rockwall, TX 75032",False,,OPERATIONAL,,1173070252412352597,Rockwall,6775 Horizon Road,Rockwall,United States,Omni Outdoor Oasis specializes in custom pool and spa construction in the DFW area. Call us today to schedule a free consultation!,,,,,False,Omni Outdoor Oasis specializes in custom pool and spa construction in the DFW area. Call us today to schedule a free consultation!,,Omnioutdooroasis,,,,,TX,America/Chicago,,75032,United States of America,US,,,0x864eab364c0d2a13:0x1047952deb9db855,8926c82ec13ffff,/g/11r_dmgq9v,32.8628323,,,"https://www.google.com/maps/place/Omni+Outdoor+Oasis+Custom+Pools/@32.8628323,-96.4364432,14z/data=!4m8!1m2!2m1!1sOmni+Outdoor+Oasis+Custom+Pools!3m4!1s0x864eab364c0d2a13:0x1047952deb9db855!8m2!3d32.8628323!4d-96.4364432","https://www.google.com/maps/place/Omni+Outdoor+Oasis+Custom+Pools/@32.8628323,-96.4364432,13.99z/data=!4m16!1m7!3m6!1s0x864eab364c0d2a13:0x1047952deb9db855!2sOmni+Outdoor+Oasis+Custom+Pools!8m2!3d32.8628323!4d-96.4364432!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eab364c0d2a13:0x1047952deb9db855!8m2!3d32.8628323!4d-96.4364432!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-t5duZARid14/AAAAAAAAAAI/AAAAAAAAAAA/nL53UDzNNls/s44-p-k-no-ns-nd/photo.jpg,-96.4364432,,Omni Outdoor Oasis Custom Pools,Omni Outdoor Oasis Custom Pools,,,114745819932074728128,https://www.google.com/maps/contrib/114745819932074728128,Omni Outdoor Oasis Custom Pools,+1 214-304-3006,,landline,https://lh3.googleusercontent.com/p/AF1QipP754qK8u4Pte7qy4-7R5SRshKVadtg-G8i7Fc=w800-h500-k-no,25,ChIJEyoNTDarToYRVbid6y2VRxA,,,75032,,,"Pool builder near Royse City, TX",,5.0,,,,,,,Texas,TX,6775 Horizon Rd,,"Swimming pool contractor, Pool cleaning service, Swimming pool repair service",America/Chicago,Swimming pool contractor,,True,https://www.omnioutdooroasis.com/,{'Thursday': ['7AM-5PM']},"Thursday,7AM,5PM"
{},"120 Herron Cir, Rockwall, TX 75032",False,,OPERATIONAL,,9801131610795808027,Rockwall,13475 Reeder Road,Forney,United States,"Pool Xperts offers its customers professional knowledge and experience needed to exceptionally build, efficiently maintain and repair their swimming pool.",10.0,https://facebook.com/poolxpertsbiz,2006.0,CONSUMER_SERVICES,False,"Pool Xperts offers its customers professional knowledge and experience needed to exceptionally build, efficiently maintain and repair their swimming pool.",https://www.linkedin.com/company/pool-xperts,PoolXperts,,,,1000000.0,TX,,PoolXpertsBiz,75126,United States of America,US,,,0x864ead46b9dda83f:0x88049d457a56151b,8926c825e37ffff,/g/11c20qk7zj,32.8464887,,,"https://www.google.com/maps/place/Pool+Xperts/@32.8464887,-96.3804347,14z/data=!4m8!1m2!2m1!1sPool+Xperts!3m4!1s0x864ead46b9dda83f:0x88049d457a56151b!8m2!3d32.8464887!4d-96.3804347","https://www.google.com/maps/place/Pool+Xperts/@32.8464887,-96.3804347,13.99z/data=!4m16!1m7!3m6!1s0x864ead46b9dda83f:0x88049d457a56151b!2sPool+Xperts!8m2!3d32.8464887!4d-96.3804347!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864ead46b9dda83f:0x88049d457a56151b!8m2!3d32.8464887!4d-96.3804347!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-GP1Q2mC6cxw/AAAAAAAAAAI/AAAAAAAAAAA/kpjb0XsZPAw/s44-p-k-no-ns-nd/photo.jpg,-96.3804347,,Pool Xperts,Pool Xperts,,,107283602675131118838,https://www.google.com/maps/contrib/107283602675131118838,Pool Xperts,+1 469-215-7946,"RCLEC, INC. - TX",fixed line,https://lh3.googleusercontent.com/p/AF1QipMUEX-_PVIbvzOmJy7-cbhn-vX8u4KfMdc89WIu=w800-h500-k-no,126,ChIJP6jduUatToYRGxVWekWdBIg,,,75032,,,"Pool builder near Royse City, TX",,4.9,,,,,,,Texas,TX,120 Herron Cir,,Swimming pool contractor,America/Chicago,Swimming pool contractor,,True,http://www.pool-xperts.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
