about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.total_money_raised,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
"{'Accessibility': {'Assistive hearing loop': False, 'Wheelchair accessible parking lot': False, 'Wheelchair accessible restroom': False, 'Wheelchair accessible seating': False}, 'Other': {'Identifies as veteran-owned': True, 'LGBTQ+ friendly': True}}","409 S Hwy 548, Royse City, TX 75189",False,,OPERATIONAL,,13513680282298119727,Royse City,409 South Highway 548,Royse City,United States,"Royse City Concrete Contractors specializes in providing high-quality concrete contracting services, offering durable and aesthetically pleasing concrete solutions tailored to enhance the value and appeal of properties in Royse City, TX.",,,,CONSTRUCTION,False,"Royse City Concrete Contractors specializes in providing high-quality concrete contracting services, offering durable and aesthetically pleasing concrete solutions tailored to enhance the value and appeal of properties in Royse City, TX.",,Royse City Concrete Contractors,+1 469-228-8004,,landline,,TX,America/Chicago,,,75189,United States of America,US,,,0x864bff74146c9753:0xbb8a3c9e4294762f,8926c82665bffff,/g/11vyyxnn7_,32.961466,,,"https://www.google.com/maps/place/Royse+City+Concrete+Contractors/@32.961466,-96.334383,14z/data=!4m8!1m2!2m1!1sRoyse+City+Concrete+Contractors!3m4!1s0x864bff74146c9753:0xbb8a3c9e4294762f!8m2!3d32.961466!4d-96.334383","https://www.google.com/maps/place/Royse+City+Concrete+Contractors/@32.961466,-96.334383,13.99z/data=!4m16!1m7!3m6!1s0x864bff74146c9753:0xbb8a3c9e4294762f!2sRoyse+City+Concrete+Contractors!8m2!3d32.961466!4d-96.334383!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff74146c9753:0xbb8a3c9e4294762f!8m2!3d32.961466!4d-96.334383!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-9yN57Z72Mto/AAAAAAAAAAI/AAAAAAAAAAA/f0p0_ZEwxyE/s44-p-k-no-ns-nd/photo.jpg,-96.334383,,Royse City Concrete Contractors,Royse City Concrete Contractors,,,116108426922241667415,https://www.google.com/maps/contrib/116108426922241667415,Royse City Concrete Contractors,+1 469-228-8004,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepcyOGXBYgHTHOoHtEvDxIMeDGmj3kL49sBtJFw3-9ZGFdNLD4DiGBMt4fy2Y1ZtYtZRTJY2ZJQ5AjshTLHV_nxaREKLJE-V0S3bCZrwyjlsQzN5MYNh4t4cLsRxUS-i8R-MX_or9RJ9VBP=w800-h500-k-no,3,ChIJU5dsFHT_S4YRL3aUQp48irs,,,75189,,,"Retaining wall contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,409 S Hwy 548,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yGL5ZkgBxnD6QMx5meWd4Q&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=177.85251&pitch=0&thumbfov=100,Concrete contractor,America/Chicago,Concrete contractor,,True,https://www.roysecityconcretecontractors.com/,{'Thursday': ['6AM-8PM']},"Thursday,6AM,8PM"
{},"344 Jones Rd, Royse City, TX 75189",False,,OPERATIONAL,,12762147130425378255,Royse City,,,,,,,,,,,,independentlandscapingtx.com,,,,,,,,,,United States of America,US,,,0x864955c63860ef9d:0xb11c4132c84685cf,8926c82405bffff,/g/11fx7s3_7r,32.8926502,,,"https://www.google.com/maps/place/Independent+Landscaping/@32.8926502,-96.34743139999999,14z/data=!4m8!1m2!2m1!1sIndependent+Landscaping!3m4!1s0x864955c63860ef9d:0xb11c4132c84685cf!8m2!3d32.8926502!4d-96.34743139999999","https://www.google.com/maps/place/Independent+Landscaping/@32.8926502,-96.34743139999999,13.99z/data=!4m16!1m7!3m6!1s0x864955c63860ef9d:0xb11c4132c84685cf!2sIndependent+Landscaping!8m2!3d32.8926502!4d-96.34743139999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955c63860ef9d:0xb11c4132c84685cf!8m2!3d32.8926502!4d-96.34743139999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-PrbEurbNS1c/AAAAAAAAAAI/AAAAAAAAAAA/h-V7PPygz1s/s44-p-k-no-ns-nd/photo.jpg,-96.34743139999999,,Independent Landscaping,Independent Landscaping,,,100813707344241609587,https://www.google.com/maps/contrib/100813707344241609587,Independent Landscaping,+1 214-907-0047,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweppEXyjZzNJ44w9VgBMmWAGbKnq_sEx9S3vNHvhi721b6iok2kFMwzFRJXZ8_NU4lH0pxO2e9p2ALPww44OF2myf1gpRq9EUrb76EunZ_BImBeJ7b8VhcntN9tcMRfc2EV8LC_y=w800-h500-k-no,441,ChIJne9gOMZVSYYRz4VGyDJBHLE,,,75189,,,"Retaining wall contractor near Royse City, TX",,4.8,,,,,,,Texas,TX,344 Jones Rd,,"Landscape designer, Fence contractor, Lawn sprinkler system contractor, Masonry contractor",America/Chicago,Landscape designer,,True,http://www.independentlandscapingtx.com/,{'Thursday': ['8AM-6PM']},"Thursday,8AM,6PM"
{},"402 Margaret St, Royse City, TX 75189",False,,OPERATIONAL,,1105733368887374546,Royse City,402 MARGARET ST,Fate,United States,The Patient Gardener provides services to many Commercial customers in the Rockwall County area. We provide these services on an annual or seasonal basis.,10.0,https://facebook.com/127393657316211,,,False,The Patient Gardener provides services to many Commercial customers in the Rockwall County area. We provide these services on an annual or seasonal basis.,,Patient Gardener,+1 469-721-3030,People's Communications,landline,1000000.0,TX,America/Chicago,,,75132,United States of America,US,,,0x864bfe2d17322e4d:0xf585aa3fcd3f2d2,8926c82714fffff,/g/1263hg25t,32.926473099999995,,,"https://www.google.com/maps/place/Patient+Gardener/@32.926473099999995,-96.3634031,14z/data=!4m8!1m2!2m1!1sPatient+Gardener!3m4!1s0x864bfe2d17322e4d:0xf585aa3fcd3f2d2!8m2!3d32.926473099999995!4d-96.3634031","https://www.google.com/maps/place/Patient+Gardener/@32.926473099999995,-96.3634031,13.99z/data=!4m16!1m7!3m6!1s0x864bfe2d17322e4d:0xf585aa3fcd3f2d2!2sPatient+Gardener!8m2!3d32.926473099999995!4d-96.3634031!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfe2d17322e4d:0xf585aa3fcd3f2d2!8m2!3d32.926473099999995!4d-96.3634031!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-EvdReTd8JJI/AAAAAAAAAAI/AAAAAAAAAAA/RKyleV1Ac1U/s44-p-k-no-ns-nd/photo.jpg,-96.3634031,,Patient Gardener,Patient Gardener,,,106346813706736038253,https://www.google.com/maps/contrib/106346813706736038253,Patient Gardener,+1 972-955-6576,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqKuu96ctNpNebSznucODXdOxY28-cO5Xc09zXNxNkL6DYu-eqjEt6H6JEFcu4Y_pJkHX6tUzYL7xxKoDS8-Hj6mfFrotZk6LIrGdruOA8vW82MdvjBLKuNk22syNcsXTXk9I0=w800-h500-k-no,22,ChIJTS4yFy3-S4YR0vLT_KNaWA8,,,75189,,,"Retaining wall contractor near Royse City, TX",,4.7,,,,,,,Texas,TX,402 Margaret St,,"Landscaper, Masonry contractor, Retaining wall supplier",America/Chicago,Landscaper,,True,https://www.patientgardener.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"5581 Co Rd 2526, Royse City, TX 75189",False,,OPERATIONAL,,4777375697247587538,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x621ba1d4856233c9:0x424ca5e29106ccd2,8926c82655bffff,/g/11rd02kbsm,32.9544481,,,"https://www.google.com/maps/place/8+brother%E2%80%99s+Concrete+construction/@32.9544481,-96.2884253,14z/data=!4m8!1m2!2m1!1s8+brother%E2%80%99s+Concrete+construction!3m4!1s0x621ba1d4856233c9:0x424ca5e29106ccd2!8m2!3d32.9544481!4d-96.2884253","https://www.google.com/maps/place/8+brother%E2%80%99s+Concrete+construction/@32.9544481,-96.2884253,13.99z/data=!4m16!1m7!3m6!1s0x621ba1d4856233c9:0x424ca5e29106ccd2!2s8+brother%E2%80%99s+Concrete+construction!8m2!3d32.9544481!4d-96.2884253!16s%2Fg%2F11ckvg1dmb!3m7!1s0x621ba1d4856233c9:0x424ca5e29106ccd2!8m2!3d32.9544481!4d-96.2884253!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-96.2884253,,8 brother’s Concrete construction,8 Brother’S Concrete Construction,,,,,8 brother’s Concrete construction,+1 469-999-8547,Evolve Cellular Inc.,mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoeiqSphuQwWnv9cfTyr2NpiWTxdpl8WNJ_v0GrlkRWVCvfaQJROvfVQzF7x-2DniOpUnziN9ZKwrbJioBB0VOoBdG3SYp0g6ExbAJHOcgJYNXasneGTkjYopkEBYpQXa3KSUQ=w800-h500-k-no,3,ChIJyTNihdShG2IR0swGkeKlTEI,,,75189,,,"Retaining wall contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,5581 Co Rd 2526,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7mOxcNEHZdfUhwuUSNb6qQ&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=178.71715&pitch=0&thumbfov=100,Concrete contractor,America/Chicago,Concrete contractor,,False,,{'Thursday': ['7AM-7PM']},"Thursday,7AM,7PM"
{},"5739 TX-276, Royse City, TX 75189",False,,OPERATIONAL,,12461106342675600424,Royse City,,,,,,,,,,,,texasconcreteleveling.net,,,,,,,,,,United States of America,US,,,0x864955ab0d9debc9:0xaceebe32678bd428,8926c82467bffff,/g/11fmbx7x80,32.899757099999995,,,"https://www.google.com/maps/place/Texas+Concrete+Leveling/@32.899757099999995,-96.3628607,14z/data=!4m8!1m2!2m1!1sTexas+Concrete+Leveling!3m4!1s0x864955ab0d9debc9:0xaceebe32678bd428!8m2!3d32.899757099999995!4d-96.3628607","https://www.google.com/maps/place/Texas+Concrete+Leveling/@32.899757099999995,-96.3628607,13.99z/data=!4m16!1m7!3m6!1s0x864955ab0d9debc9:0xaceebe32678bd428!2sTexas+Concrete+Leveling!8m2!3d32.899757099999995!4d-96.3628607!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955ab0d9debc9:0xaceebe32678bd428!8m2!3d32.899757099999995!4d-96.3628607!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-vd5RDpGlnXc/AAAAAAAAAAI/AAAAAAAAAAA/GXuWjdreiSQ/s44-p-k-no-ns-nd/photo.jpg,-96.3628607,,Texas Concrete Leveling,Texas Concrete Leveling,,,116902583350708004315,https://www.google.com/maps/contrib/116902583350708004315,Texas Concrete Leveling,+1 214-974-8086,,landline,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fDuU0SannRPPyHHq-t5bOw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=179.59953&pitch=0&thumbfov=100,1,ChIJyeudDatVSYYRKNSLZzK-7qw,,,75189,,,"Retaining wall contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,5739 TX-276,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fDuU0SannRPPyHHq-t5bOw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=179.59953&pitch=0&thumbfov=100,Concrete contractor,America/Chicago,Concrete contractor,,True,https://texasconcreteleveling.net/,{'Thursday': ['8AM-7PM']},"Thursday,8AM,7PM"
{},"159 Riding Club Rd, Rockwall, TX 75087",False,,OPERATIONAL,,17435724659657963744,Rockwall,,,,"Podleski Landscape and Construction LLC is a Rockwall-based landscape design and construction business founded by a couple with 5 years of experience in residential and commercial landscaping. They offer a range of services to elevate outdoor spaces, f...",,,,CONSTRUCTION,False,"Podleski Landscape and Construction LLC is a Rockwall-based landscape design and construction business founded by a couple with 5 years of experience in residential and commercial landscaping. They offer a range of services to elevate outdoor spaces, f...",,Podleski Landscape A,,,,,,,,,,United States of America,US,,,0xa9490c044dda9523:0xf1f82333146e78e0,8926c8209afffff,/g/11vqzxflsw,32.926021299999995,,,"https://www.google.com/maps/place/Podleski+Construction/@32.926021299999995,-96.4155533,14z/data=!4m8!1m2!2m1!1sPodleski+Construction!3m4!1s0xa9490c044dda9523:0xf1f82333146e78e0!8m2!3d32.926021299999995!4d-96.4155533","https://www.google.com/maps/place/Podleski+Construction/@32.926021299999995,-96.4155533,13.99z/data=!4m16!1m7!3m6!1s0xa9490c044dda9523:0xf1f82333146e78e0!2sPodleski+Construction!8m2!3d32.926021299999995!4d-96.4155533!16s%2Fg%2F11ckvg1dmb!3m7!1s0xa9490c044dda9523:0xf1f82333146e78e0!8m2!3d32.926021299999995!4d-96.4155533!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-jzUnpIbrCW0/AAAAAAAAAAI/AAAAAAAAAAA/IHG5AULrJ1A/s44-p-k-no-ns-nd/photo.jpg,-96.4155533,,Podleski Construction,Podleski Construction,,,107166715977395693936,https://www.google.com/maps/contrib/107166715977395693936,Podleski Construction,+1 972-415-1620,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqFFyiylUWrp7N1d2iA1ZF7SZi70C4h9lkn5NamdA_JSgiuCW0ViCRRdexTjluzbuTdmFoY4eI1AIVo2gZBDHQq93xvsz4_8j2alhGKZFDaZx75xup-XeoPWnJQZZwp7ee__kteruBMm-v2=w800-h500-k-no,110,ChIJI5XaTQQMSakR4HhuFDMj-PE,,,75087,,,"Retaining wall contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,159 Riding Club Rd,,"Fence contractor, Construction company",America/Chicago,Fence contractor,,True,https://podleskilc.com/,{'Thursday': ['7AM-6PM']},"Thursday,7AM,6PM"
{},"6613 Herbert Rd, Colleyville, TX 76034",False,,OPERATIONAL,,17623161516238961102,Colleyville,1540 Keller Pkwy,Keller,United States,We would like to establish a long term relationship with you as JCL Landscape Services LLC is a great company to work with and Brandon and his crew will care for your property as if it were their own. We would like the opportunity to speak to you and tell you more about our services.,10.0,,2010.0,,False,We would like to establish a long term relationship with you as JCL Landscape Services LLC is a great company to work with and Brandon and his crew will care for your property as if it were their own. We would like the opportunity to speak to you and tell you more about our services.,https://www.linkedin.com/company/jcl-landscape-services-llc,JCL Landscape Services LLC,+1 817-716-3095,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,1000000.0,TX,America/Chicago,,,76248,United States of America,US,,,0x864dd6e6cf6c9b87:0xf4920c070ac1f9ce,8926c868357ffff,/g/1tkjllxh,32.905280499999996,,,"https://www.google.com/maps/place/JCL+Landscape+Services/@32.905280499999996,-97.18315009999999,14z/data=!4m8!1m2!2m1!1sJCL+Landscape+Services!3m4!1s0x864dd6e6cf6c9b87:0xf4920c070ac1f9ce!8m2!3d32.905280499999996!4d-97.18315009999999","https://www.google.com/maps/place/JCL+Landscape+Services/@32.905280499999996,-97.18315009999999,13.99z/data=!4m16!1m7!3m6!1s0x864dd6e6cf6c9b87:0xf4920c070ac1f9ce!2sJCL+Landscape+Services!8m2!3d32.905280499999996!4d-97.18315009999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864dd6e6cf6c9b87:0xf4920c070ac1f9ce!8m2!3d32.905280499999996!4d-97.18315009999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-i-XZS573Yh8/AAAAAAAAAAI/AAAAAAAAAAA/czl_KJ1-hrM/s44-p-k-no-ns-nd/photo.jpg,-97.18315009999999,,JCL Landscape Services,Jcl Landscape Services,,,109213949757133631559,https://www.google.com/maps/contrib/109213949757133631559,JCL Landscape Services,+1 817-716-3095,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqwixiE-mU1k0C7IRS4uC8mjqPAK115hQ-aRBz4Fs4VWPXwY4gzZjyMPg7Cq8avMMZEKOO9uy1fqxrc0q66UdKYJMbIREa0elWn6hi85h_gZBdWEjnsUjEnyoJN9_kRzk2GLbjE=w800-h500-k-no,172,ChIJh5tsz-bWTYYRzvnBCgcMkvQ,,,76034,,,"Retaining wall contractor near Royse City, TX",,4.8,,,,,,,Texas,TX,6613 Herbert Rd,,"Retaining wall supplier, Landscape designer",America/Chicago,Retaining wall supplier,,True,http://jcllandscaping.com/,{'Thursday': ['9AM-6PM']},"Thursday,9AM,6PM"
{},"2165 Crestlake Dr, Rockwall, TX 75087",False,,OPERATIONAL,,3236488948836746043,Rockwall,,,,,,,,,,,,southernseasonstx.com,,,,,,,,,,United States of America,US,,,0x864c010daf7c7137:0x2cea518d22e4433b,8926c820adbffff,/g/11svtnnq7l,32.944974099999996,,,"https://www.google.com/maps/place/Southern+Seasons+Landscaping+and+Design/@32.944974099999996,-96.4821722,14z/data=!4m8!1m2!2m1!1sSouthern+Seasons+Landscaping+and+Design!3m4!1s0x864c010daf7c7137:0x2cea518d22e4433b!8m2!3d32.944974099999996!4d-96.4821722","https://www.google.com/maps/place/Southern+Seasons+Landscaping+and+Design/@32.944974099999996,-96.4821722,13.99z/data=!4m16!1m7!3m6!1s0x864c010daf7c7137:0x2cea518d22e4433b!2sSouthern+Seasons+Landscaping+and+Design!8m2!3d32.944974099999996!4d-96.4821722!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c010daf7c7137:0x2cea518d22e4433b!8m2!3d32.944974099999996!4d-96.4821722!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-uhWqSXm5EKs/AAAAAAAAAAI/AAAAAAAAAAA/ydKqLYxIOV0/s44-p-k-no-ns-nd/photo.jpg,-96.4821722,,Southern Seasons Landscaping and Design,Southern Seasons Landscaping And Design,,,104724664238999905201,https://www.google.com/maps/contrib/104724664238999905201,Southern Seasons Landscaping and Design,+1 972-623-8361,,mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoGg0DEwEY2W_utABIQP1KKmzh8wa_tfgYMOgzyRlzLplCgLno5mVXjUu2dXQtF-RlxoazvVl78-vVd_ZCmySxQAPIznaEzXZn4tiYCFn-ZGGq5rHaZe5Kla55LQjIwDTrtUVHw=w800-h500-k-no,237,ChIJN3F8rw0BTIYRO0PkIo1R6iw,,,75087,,,"Retaining wall contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,2165 Crestlake Dr,,"Landscaper, Landscape designer, Landscape lighting designer",America/Chicago,Landscaper,,True,https://southernseasonstx.com/,{'Thursday': ['7AM-6PM']},"Thursday,7AM,6PM"
{},"1025 Decker Dr, Royse City, TX 75189",False,,OPERATIONAL,,16780024640468774322,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864bffaea0ec5727:0xe8de9f8191716db2,8926c82709bffff,/g/11h7v7r50g,32.9550714,,,"https://www.google.com/maps/place/Jacks+Masonry/@32.9550714,-96.3706632,14z/data=!4m8!1m2!2m1!1sJacks+Masonry!3m4!1s0x864bffaea0ec5727:0xe8de9f8191716db2!8m2!3d32.9550714!4d-96.3706632","https://www.google.com/maps/place/Jacks+Masonry/@32.9550714,-96.3706632,13.99z/data=!4m16!1m7!3m6!1s0x864bffaea0ec5727:0xe8de9f8191716db2!2sJacks+Masonry!8m2!3d32.9550714!4d-96.3706632!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bffaea0ec5727:0xe8de9f8191716db2!8m2!3d32.9550714!4d-96.3706632!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-96.3706632,,Jacks Masonry,Jacks Masonry,,,,,Jacks Masonry,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qRYeOkWfyZyqdpp7AJcW8A&cb_client=search.gws-prod.gps&w=800&h=500&yaw=15.270669&pitch=0&thumbfov=100,1,ChIJJ1fsoK7_S4YRsm1xkYGf3ug,,,75189,,,"Retaining wall contractor near Royse City, TX",,5.0,,,,,,,Texas,TX,1025 Decker Dr,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qRYeOkWfyZyqdpp7AJcW8A&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=15.270669&pitch=0&thumbfov=100,Contractor,America/Chicago,Contractor,,False,,,
{'Accessibility': {'Wheelchair accessible parking lot': True}},"1001 N Goliad St, Rockwall, TX 75087",False,,OPERATIONAL,,2396051577764555497,Rockwall,3416 Augusta Boulevard,Rockwall,United States,Foundation Repair Rockwall TX | Fortress Foundation Repair Systems Rockwall's Trusted Foundation Repair Company. Trusted By 4500+ Satisfied Customers in DFW. Call Today For a Free Evaluation. 469 771 4877. Backed by The Good Contractor's List and their...,10.0,https://facebook.com/fortressfoundationsystems,2010.0,CONSTRUCTION,False,Foundation Repair Rockwall TX | Fortress Foundation Repair Systems Rockwall's Trusted Foundation Repair Company. Trusted By 4500+ Satisfied Customers in DFW. Call Today For a Free Evaluation. 469 771 4877. Backed by The Good Contractor's List and their...,https://www.linkedin.com/company/fortress-foundation-systems,Fortress Foundation Systems,+1 469-771-4877,,landline,10000000.0,TX,America/Chicago,,TheFortressWay,75087,United States of America,US,,,0x864ea7ff6a6c1dd9:0x21407c37142baae9,8926c820ab3ffff,/g/1pwfbrpl4,32.939923199999996,,,"https://www.google.com/maps/place/Fortress+Foundation+Systems/@32.939923199999996,-96.4603545,14z/data=!4m8!1m2!2m1!1sFortress+Foundation+Systems!3m4!1s0x864ea7ff6a6c1dd9:0x21407c37142baae9!8m2!3d32.939923199999996!4d-96.4603545","https://www.google.com/maps/place/Fortress+Foundation+Systems/@32.939923199999996,-96.4603545,13.99z/data=!4m16!1m7!3m6!1s0x864ea7ff6a6c1dd9:0x21407c37142baae9!2sFortress+Foundation+Systems!8m2!3d32.939923199999996!4d-96.4603545!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864ea7ff6a6c1dd9:0x21407c37142baae9!8m2!3d32.939923199999996!4d-96.4603545!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-KsZFok4-g0g/AAAAAAAAAAI/AAAAAAAAAAA/k_V3pAuwPhE/s44-p-k-no-ns-nd/photo.jpg,-96.4603545,,Fortress Foundation Systems,Fortress Foundation Systems,,,112529285170598599232,https://www.google.com/maps/contrib/112529285170598599232,Fortress Foundation Systems,+1 469-771-4877,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBukBHChMcyXjZACpnctW_mdq8Mja1qErfuCY9V9gAs-0F7_QjwJ36W9DFSe1L934Kd8s_4FJgKk5kvYzLr7gPhhZSxJw21F0hO5Kj5duFeTRCm6h33SxhFjWJ2Lk3QP6gnqHFVQ=w800-h500-k-no,86,ChIJ2R1sav-nToYR6aorFDd8QCE,,,75087,,,"Retaining wall contractor near Royse City, TX",,4.9,,,,,,,Texas,TX,1001 N Goliad St,,"Foundation, Concrete contractor, Contractor, Drainage service, Retaining wall supplier, Soil testing service, Waterproofing service",America/Chicago,Foundation,,True,https://www.fortressfoundationsystems.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic-web-rockwall%26utm_campaign%3Dgmb,{'Thursday': ['8AM-7PM']},"Thursday,8AM,7PM"
