about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.total_money_raised,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}, 'Other': {'Identifies as veteran-owned': True}}","215 Mariposa Dr, Royse City, TX 75189",False,,OPERATIONAL,,2986861617111170017,Royse City,1400 Interstate 30 Frontage Road,Rockwall,United States,"The #1 Veteran Owned Roofing Company in North Texas. Serving Dallas, Tarrant, Ellis, Kaufman, Rockwall, Collin and Hunt Counties. Residential, Commercial and Multi-Family roofing services.",,,,,False,"The #1 Veteran Owned Roofing Company in North Texas. Serving Dallas, Tarrant, Ellis, Kaufman, Rockwall, Collin and Hunt Counties. Residential, Commercial and Multi-Family roofing services.",,Docsroofing,+1 214-284-0695,T-Mobile USA Inc.,mobile,,TX,America/Chicago,,DocsRoofing,75032,United States of America,US,,,0x864ea69881f130d7:0x297376d0d128fbe1,8926c9c934fffff,/g/11gbf8vzkk,32.9199889,,,"https://www.google.com/maps/place/Doc%27s+Roofing+%26+Construction/@32.9199889,-96.24179579999999,14z/data=!4m8!1m2!2m1!1sDoc%27s+Roofing+%26+Construction!3m4!1s0x864ea69881f130d7:0x297376d0d128fbe1!8m2!3d32.9199889!4d-96.24179579999999","https://www.google.com/maps/place/Doc%27s+Roofing+%26+Construction/@32.9199889,-96.24179579999999,13.99z/data=!4m16!1m7!3m6!1s0x864ea69881f130d7:0x297376d0d128fbe1!2sDoc%27s+Roofing+%26+Construction!8m2!3d32.9199889!4d-96.24179579999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864ea69881f130d7:0x297376d0d128fbe1!8m2!3d32.9199889!4d-96.24179579999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-RHTTGwjbQTc/AAAAAAAAAAI/AAAAAAAAAAA/m1TSXFJ_jiE/s44-p-k-no-ns-nd/photo.jpg,-96.24179579999999,,Doc's Roofing & Construction,Docs Roofing And Construction,,,101876144239845711102,https://www.google.com/maps/contrib/101876144239845711102,Doc's Roofing & Construction,+1 214-284-0695,T-Mobile USA Inc.,mobile,https://lh3.googleusercontent.com/p/AF1QipOSdO4EDf5p-P7bG7td9h5_4JI_4HxuzVk-4EtO=w800-h500-k-no,839,ChIJ1zDxgZimToYR4fso0dB2cyk,,,75189,,,"Roofer near Royse City, TX",,4.9,,,,,,,Texas,TX,215 Mariposa Dr,,Roofing contractor,America/Chicago,Roofing contractor,,True,https://docsroofing.net/,{'Thursday': ['Open 24 hours']},
{},"336 Mark Ln, Royse City, TX 75189",False,,OPERATIONAL,,2635649280667560138,Royse City,,,,,,,,,,,,roofkingconstruction.com,,,,,,,,,,United States of America,US,,,0x864eaba4ff647d2f:0x2493b50e76b428ca,8926c824647ffff,/g/11jkz9lzjz,32.9025774,,,"https://www.google.com/maps/place/Roofking+Construction/@32.9025774,-96.3630821,14z/data=!4m8!1m2!2m1!1sRoofking+Construction!3m4!1s0x864eaba4ff647d2f:0x2493b50e76b428ca!8m2!3d32.9025774!4d-96.3630821","https://www.google.com/maps/place/Roofking+Construction/@32.9025774,-96.3630821,13.99z/data=!4m16!1m7!3m6!1s0x864eaba4ff647d2f:0x2493b50e76b428ca!2sRoofking+Construction!8m2!3d32.9025774!4d-96.3630821!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eaba4ff647d2f:0x2493b50e76b428ca!8m2!3d32.9025774!4d-96.3630821!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-ZQ6RqI8Fy3w/AAAAAAAAAAI/AAAAAAAAAAA/511NgoLm4rs/s44-p-k-no-ns-nd/photo.jpg,-96.3630821,,Roofking Construction,Roofking Construction,,,102280270755865987819,https://www.google.com/maps/contrib/102280270755865987819,Roofking Construction,+1 214-543-2422,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq4c9FiJrPV6fnkOpaagh23zJf68UiehObgjOq7HFd55g2HyYfPk3bVtUSfYqNHn9TV3GlpYeTQ-zTdCCDjZsyis_LXbR2uG0B-pCQ5Y-rZTkJwewt6UJ3eFHcuSn0iTbPf6tIR=w800-h500-k-no,15,ChIJL31k_6SrToYRyii0dg61kyQ,,,75189,,,"Roofer near Royse City, TX",,4.8,,,,,,,Texas,TX,336 Mark Ln,,"Roofing contractor, Construction company",America/Chicago,Roofing contractor,,True,https://roofkingconstruction.com/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","5820 W Sky Hawk Trail, Royse City, TX 75189",False,,OPERATIONAL,,6822113829255653750,Royse City,,,,"Swift Roofing & Designs offers residential roof installations, repairs, and inspections throughout Rockwall, TX. We also offer painting, siding, & fencing services.",,,,,False,"Swift Roofing & Designs offers residential roof installations, repairs, and inspections throughout Rockwall, TX. We also offer painting, siding, & fencing services.",,Swiftroofingtexas,,,,,,,,,,United States of America,US,,,0xa4f404a0a0100341:0x5ead0461f2102976,8926c9c954bffff,/g/11q369kf_9,32.9527821,,,"https://www.google.com/maps/place/Swift+Roofing+%26+Designs/@32.9527821,-96.21860989999999,14z/data=!4m8!1m2!2m1!1sSwift+Roofing+%26+Designs!3m4!1s0xa4f404a0a0100341:0x5ead0461f2102976!8m2!3d32.9527821!4d-96.21860989999999","https://www.google.com/maps/place/Swift+Roofing+%26+Designs/@32.9527821,-96.21860989999999,13.99z/data=!4m16!1m7!3m6!1s0xa4f404a0a0100341:0x5ead0461f2102976!2sSwift+Roofing+%26+Designs!8m2!3d32.9527821!4d-96.21860989999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0xa4f404a0a0100341:0x5ead0461f2102976!8m2!3d32.9527821!4d-96.21860989999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-gU73oKDp52E/AAAAAAAAAAI/AAAAAAAAAAA/ZfX4-wAjsS8/s44-p-k-no-ns-nd/photo.jpg,-96.21860989999999,,Swift Roofing & Designs,Swift Roofing And Designs,,,106340915811967698263,https://www.google.com/maps/contrib/106340915811967698263,Swift Roofing & Designs,+1 469-964-7431,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,mobile,https://lh3.googleusercontent.com/p/AF1QipP4zPf0h6nJdRhD9ZuIhL40hpj2ME9e2kcbIVca=w800-h500-k-no,245,ChIJQQMQoKAE9KQRdikQ8mEErV4,,,75189,,,"Roofer near Royse City, TX",,5.0,,,,,,,Texas,TX,5820 W Sky Hawk Trail,,"Roofing contractor, Siding contractor",America/Chicago,Roofing contractor,,True,https://swiftroofingtexas.com/,{'Thursday': ['8AM-8PM']},"Thursday,8AM,8PM"
{},"6434 Graham Point Trail, Royse City, TX 75189",False,,OPERATIONAL,,2580415206079479328,Royse City,12325 Hymeadow Drive,Austin,United States,"JA Smith Roofing & Construction LLC is a top construction company offering high-quality services for residential and commercial projects. Specializing in roofing, fences, remodels, and general construction, we excel in new construction, renovations, and additions with a skilled team dedicated to providing top-notch services.",,,,CONSTRUCTION,False,"JA Smith Roofing & Construction LLC is a top construction company offering high-quality services for residential and commercial projects. Specializing in roofing, fences, remodels, and general construction, we excel in new construction, renovations, and additions with a skilled team dedicated to providing top-notch services.",,Jasroof,,,,,TX,America/Chicago,,,78750,United States of America,US,,,0x459861f075b594a9:0x23cf79f553623e20,8926c9c946fffff,/g/11wtgnf4mc,32.9601161,,,"https://www.google.com/maps/place/JA+Smith+Roofing+%26+Construction/@32.9601161,-96.2308844,14z/data=!4m8!1m2!2m1!1sJA+Smith+Roofing+%26+Construction!3m4!1s0x459861f075b594a9:0x23cf79f553623e20!8m2!3d32.9601161!4d-96.2308844","https://www.google.com/maps/place/JA+Smith+Roofing+%26+Construction/@32.9601161,-96.2308844,13.99z/data=!4m16!1m7!3m6!1s0x459861f075b594a9:0x23cf79f553623e20!2sJA+Smith+Roofing+%26+Construction!8m2!3d32.9601161!4d-96.2308844!16s%2Fg%2F11ckvg1dmb!3m7!1s0x459861f075b594a9:0x23cf79f553623e20!8m2!3d32.9601161!4d-96.2308844!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-HdIO86lMyvE/AAAAAAAAAAI/AAAAAAAAAAA/VhVq4wC5vSY/s44-p-k-no-ns-nd/photo.jpg,-96.2308844,,JA Smith Roofing & Construction,Ja Smith Roofing And Construction,,,108720291060630526134,https://www.google.com/maps/contrib/108720291060630526134,JA Smith Roofing & Construction,+1 903-372-0302,T-Mobile USA Inc.,mobile,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-pZZWMz6-w8GhvJBPk4FkynsugBQ5VcnX2EO3fDNLfk0MFU2WHKo_xRCBIkmT9NRGFtRSd3O2jKm-U7ajz7SnBRExvoub3Ssw9dpR2USzorAC0mYew22ZfbqTSS23v2qIFtH7U2901cc=w800-h500-k-no,24,ChIJqZS1dfBhmEURID5iU_V5zyM,,,75189,,,"Roofer near Royse City, TX",,5.0,,,,,,,Texas,TX,6434 Graham Point Trail,,"Roofing contractor, Roofing supply store",America/Chicago,Roofing contractor,,True,https://www.jasroof.com/,{'Thursday': ['7AM-7PM']},"Thursday,7AM,7PM"
"{'Other': {'Identifies as Indigenous-owned': True, 'Identifies as women-owned': True}}","1211 High Meadow Dr, Royse City, TX 75189",False,,OPERATIONAL,,6716008936507715295,Royse City,,,,,,,,,False,,,Rubicon Roofing,,,,,,,,,,United States of America,US,,,0x864bfffd22aa58bd:0x5d340e8b78e42edf,8926c83582fffff,/g/11vwv6rm14,32.9873532,,,"https://www.google.com/maps/place/Rubicon+Roofing+and+Construction+LLC/@32.9873532,-96.33386519999999,14z/data=!4m8!1m2!2m1!1sRubicon+Roofing+and+Construction+LLC!3m4!1s0x864bfffd22aa58bd:0x5d340e8b78e42edf!8m2!3d32.9873532!4d-96.33386519999999","https://www.google.com/maps/place/Rubicon+Roofing+and+Construction+LLC/@32.9873532,-96.33386519999999,13.99z/data=!4m16!1m7!3m6!1s0x864bfffd22aa58bd:0x5d340e8b78e42edf!2sRubicon+Roofing+and+Construction+LLC!8m2!3d32.9873532!4d-96.33386519999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bfffd22aa58bd:0x5d340e8b78e42edf!8m2!3d32.9873532!4d-96.33386519999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-Qxywp-wSeBY/AAAAAAAAAAI/AAAAAAAAAAA/okKEz03pDuo/s44-p-k-no-ns-nd/photo.jpg,-96.33386519999999,,Rubicon Roofing and Construction LLC,Rubicon Roofing And Construction,,,111480999525815258876,https://www.google.com/maps/contrib/111480999525815258876,Rubicon Roofing and Construction LLC,+1 972-565-5566,"USA MOBILITY WIRELESS, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipO4u2q4YpeUEIcLISD2Ee0EYXhL2jPCpigxSsnQ=w800-h500-k-no,64,ChIJvViqIv3_S4YR3y7keIsONF0,,,75189,,,"Roofer near Royse City, TX",,5.0,,,,,,,Texas,TX,1211 High Meadow Dr,,Roofing contractor,America/Chicago,Roofing contractor,,True,https://www.rubiconroofingtx.com/,{'Thursday': ['Open 24 hours']},
{},"576 Sabine Creek Rd, Royse City, TX 75189",False,,OPERATIONAL,,14841639901912692148,Royse City,,,,,,,,,,,,formanroofing.net,,,,,,,,,,United States of America,US,,,0x864957ecf969c561:0xcdf818db3dc4f5b4,8926c82458bffff,/g/11rdc2cbcy,32.9072628,,,"https://www.google.com/maps/place/Forman+Roofing/@32.9072628,-96.30694919999999,14z/data=!4m8!1m2!2m1!1sForman+Roofing!3m4!1s0x864957ecf969c561:0xcdf818db3dc4f5b4!8m2!3d32.9072628!4d-96.30694919999999","https://www.google.com/maps/place/Forman+Roofing/@32.9072628,-96.30694919999999,13.99z/data=!4m16!1m7!3m6!1s0x864957ecf969c561:0xcdf818db3dc4f5b4!2sForman+Roofing!8m2!3d32.9072628!4d-96.30694919999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864957ecf969c561:0xcdf818db3dc4f5b4!8m2!3d32.9072628!4d-96.30694919999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-fVNT7_Na3Is/AAAAAAAAAAI/AAAAAAAAAAA/IXMxGXYPpcg/s44-p-k-no-ns-nd/photo.jpg,-96.30694919999999,,Forman Roofing,Forman Roofing,,,102305490655706292035,https://www.google.com/maps/contrib/102305490655706292035,Forman Roofing,+1 903-456-9462,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipM-n9FRiadzw1vD-SQ08DB8uY-PDQsg2eE337UU=w800-h500-k-no,13,ChIJYcVp-exXSYYRtPXEPdsY-M0,,,75189,,,"Roofer near Royse City, TX",,5.0,,,,,,,Texas,TX,576 Sabine Creek Rd,,Roofing contractor,America/Chicago,Roofing contractor,,True,http://formanroofing.net/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
"{'Accessibility': {'Assistive hearing loop': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Other': {'Identifies as women-owned': True, 'LGBTQ+ friendly': True}}","2501 Circle Dr, Royse City, TX 75189",False,,OPERATIONAL,,5908228553712006304,Royse City,,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864bff63288a8605:0x51fe3e9103d2f4a0,8926c82751bffff,/g/11w_y32zbd,32.955072,,,"https://www.google.com/maps/place/DFW+Roofing+and+Construction/@32.955072,-96.3499039,14z/data=!4m8!1m2!2m1!1sDFW+Roofing+and+Construction!3m4!1s0x864bff63288a8605:0x51fe3e9103d2f4a0!8m2!3d32.955072!4d-96.3499039","https://www.google.com/maps/place/DFW+Roofing+and+Construction/@32.955072,-96.3499039,13.99z/data=!4m16!1m7!3m6!1s0x864bff63288a8605:0x51fe3e9103d2f4a0!2sDFW+Roofing+and+Construction!8m2!3d32.955072!4d-96.3499039!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff63288a8605:0x51fe3e9103d2f4a0!8m2!3d32.955072!4d-96.3499039!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-OElkhzWVptQ/AAAAAAAAAAI/AAAAAAAAAAA/4lXp3SLQNAI/s44-p-k-no-ns-nd/photo.jpg,-96.3499039,,DFW Roofing and Construction,Dfw Roofing And Construction,,,100759164424650015063,https://www.google.com/maps/contrib/100759164424650015063,DFW Roofing and Construction,+1 214-757-9586,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer61CruTuDZWvhFKTKCqJZ2FFZCLTQYHDnck6rTeZn5qTv6b83_z7BO4ujDUDKkYuzlPne-dhVZQsjOoR0hrIsuorEq3scMGGZvTs9_W7-JOuyuP-g5eEAldBPANjkUyGMmyScD9jGm97E=w800-h500-k-no,21,ChIJBYaKKGP_S4YRoPTSA5E-_lE,,,75189,,,"Roofer near Royse City, TX",,5.0,,,,,,,Texas,TX,2501 Circle Dr,,"Roofing contractor, Construction company, Waterproofing service",America/Chicago,Roofing contractor,,True,http://dfwroofingandconstruction.com/,{'Thursday': ['Open 24 hours']},
{},"5176 Appalachian Dr, Royse City, TX 75189",False,,OPERATIONAL,,3686250910450099530,Royse City,,,,"Welcome to Total Pro Roofing LLC, your trusted local roofing contractor with over 20 years of experience. Explore our services, projects, and testimonials.",,,,,False,"Welcome to Total Pro Roofing LLC, your trusted local roofing contractor with over 20 years of experience. Explore our services, projects, and testimonials.",,Total Pro Roofing,,,,,,,,,,United States of America,US,,,0x864bff371443fbf9:0x332831ac2656a54a,8926c8275abffff,/g/11mf117l69,32.9500786,,,"https://www.google.com/maps/place/Total+Pro+Roofing+LLC/@32.9500786,-96.3429228,14z/data=!4m8!1m2!2m1!1sTotal+Pro+Roofing+LLC!3m4!1s0x864bff371443fbf9:0x332831ac2656a54a!8m2!3d32.9500786!4d-96.3429228","https://www.google.com/maps/place/Total+Pro+Roofing+LLC/@32.9500786,-96.3429228,13.99z/data=!4m16!1m7!3m6!1s0x864bff371443fbf9:0x332831ac2656a54a!2sTotal+Pro+Roofing+LLC!8m2!3d32.9500786!4d-96.3429228!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff371443fbf9:0x332831ac2656a54a!8m2!3d32.9500786!4d-96.3429228!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-FQkRgS7KcCM/AAAAAAAAAAI/AAAAAAAAAAA/z7pJW0mGDow/s44-p-k-no-ns-nd/photo.jpg,-96.3429228,,Total Pro Roofing LLC,Total Pro Roofing,,,112485580827184900582,https://www.google.com/maps/contrib/112485580827184900582,Total Pro Roofing LLC,+1 214-545-8133,,landline,https://lh3.googleusercontent.com/p/AF1QipOJCyxMD9Ne_VPU-i1su-k9JmWpHB0Z7acEggOz=w800-h500-k-no,60,ChIJ-ftDFDf_S4YRSqVWJqwxKDM,,,75189,,,"Roofer near Royse City, TX",,4.4,,,,,,,Texas,TX,5176 Appalachian Dr,,Roofing contractor,America/Chicago,Roofing contractor,,True,https://totalproroofingllc.net/,{'Thursday': ['7AM-6PM']},"Thursday,7AM,6PM"
{},"263 N Munson Rd, Royse City, TX 75189",False,,OPERATIONAL,,9777445625019627670,Royse City,,,,,,,,,False,,,fidelityroofingcontractors.com,,,,,,,,,,United States of America,US,,,0x864eb3970ceedfb5:0x87b076fe29fdf896,8926c824447ffff,/g/11f5p2krzh,32.9122082,,,"https://www.google.com/maps/place/Fidelity+Roofing+%26+Restoration+L.L.C./@32.9122082,-96.33752129999999,14z/data=!4m8!1m2!2m1!1sFidelity+Roofing+%26+Restoration+L.L.C.!3m4!1s0x864eb3970ceedfb5:0x87b076fe29fdf896!8m2!3d32.9122082!4d-96.33752129999999","https://www.google.com/maps/place/Fidelity+Roofing+%26+Restoration+L.L.C./@32.9122082,-96.33752129999999,13.99z/data=!4m16!1m7!3m6!1s0x864eb3970ceedfb5:0x87b076fe29fdf896!2sFidelity+Roofing+%26+Restoration+L.L.C.!8m2!3d32.9122082!4d-96.33752129999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eb3970ceedfb5:0x87b076fe29fdf896!8m2!3d32.9122082!4d-96.33752129999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-gR4YbUHUdao/AAAAAAAAAAI/AAAAAAAAAAA/KXfBKlcw4xE/s44-p-k-no-ns-nd/photo.jpg,-96.33752129999999,,Fidelity Roofing & Restoration L.L.C.,Fidelity Roofing And Restoration L L C,,,108968536091947483978,https://www.google.com/maps/contrib/108968536091947483978,Fidelity Roofing & Restoration L.L.C.,+1 214-718-2436,"T-MOBILE USA, INC.",mobile,https://lh3.googleusercontent.com/p/AF1QipPHeoymOsJ5fm8XVzW4XYhVihUTIcF1sma8QCuO=w800-h500-k-no,29,ChIJtd_uDJezToYRlvj9Kf52sIc,,,75189,,,"Roofer near Royse City, TX",,4.6,,,,,,,Texas,TX,263 N Munson Rd,,Roofing contractor,America/Chicago,Roofing contractor,,True,http://fidelityroofingcontractors.com/,{'Thursday': ['7AM-6PM']},"Thursday,7AM,6PM"
"{'Other': {'Identifies as Latino-owned': True, 'Identifies as veteran-owned': True, 'Identifies as women-owned': True, 'LGBTQ+ friendly': True}}","2485 Hankinson Ln, Fate, TX 75189",False,,OPERATIONAL,,6858697182915817172,Fate,,,,,,,,,,,,Salazarrr,,,,,,,,,,United States of America,US,,,0x864bff0b6ad7173b:0x5f2efcbfb9ab6ed4,8926c827467ffff,/g/11t6p3dm18,32.9576693,,,"https://www.google.com/maps/place/Salazar+Roofing/@32.9576693,-96.3722568,14z/data=!4m8!1m2!2m1!1sSalazar+Roofing!3m4!1s0x864bff0b6ad7173b:0x5f2efcbfb9ab6ed4!8m2!3d32.9576693!4d-96.3722568","https://www.google.com/maps/place/Salazar+Roofing/@32.9576693,-96.3722568,13.99z/data=!4m16!1m7!3m6!1s0x864bff0b6ad7173b:0x5f2efcbfb9ab6ed4!2sSalazar+Roofing!8m2!3d32.9576693!4d-96.3722568!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff0b6ad7173b:0x5f2efcbfb9ab6ed4!8m2!3d32.9576693!4d-96.3722568!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-vG0Jml3SpJU/AAAAAAAAAAI/AAAAAAAAAAA/kOUa0peRnoM/s44-p-k-no-ns-nd/photo.jpg,-96.3722568,,Salazar Roofing,Salazar Roofing,,,107859474489917090708,https://www.google.com/maps/contrib/107859474489917090708,Salazar Roofing,+1 214-679-4903,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipOq6QMV9NkMqEzvnSaDfDaA_aDwTJz13Egh3zY2=w800-h500-k-no,169,ChIJOxfXagv_S4YR1G6rub_8Ll8,,,75189,,,"Roofer near Royse City, TX",,4.9,,,,,,,Texas,TX,2485 Hankinson Ln,,"Roofing contractor, Professional organizer, Remodeler, Solar energy system service, Solar energy equipment supplier",America/Chicago,Roofing contractor,,True,https://www.salazarrr.com/,{'Thursday': ['Open 24 hours']},
