First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,scraped_email,email_verified,contact_name,contact_title,phone_valid,phone_type,phone_carrier,phone_formatted,enrichment_status
,,9724335309,,Water Damage Restoration Dallas,,,https://www.wdrdallas.com/,,,False,,,True,mobile_or_landline,,+19724335309,success
,,8175803172,,Water Damage Restoration Fort Worth,,,http://www.wdrfortworth.com/,,,False,,,True,mobile_or_landline,,+18175803172,success
,,9725738872,INFO@DRYFORCECORP.COM,Dry Force Water Removal Specialists,,,https://dryforcecorp.com/water-damage-fort-worth-tx/?utm_source=GMB&utm_medium=local&utm_campaign=GMB-Profile-Clicks,,info@dryforcecorp.com,True,for home,Owner,True,mobile_or_landline,,+19725738872,success
Josh,,2148335053,,Dalworth Restoration,,,http://www.dalworthrestoration.com/,,,False,,,True,mobile_or_landline,,+12148335053,success
,,8172218858,,All Dry Services of Fort Worth,,,https://www.myalldry.com/fort-worth-texas/,,,False,in need,Manager,True,mobile_or_landline,,+18172218858,success
,,8177615327,,Restoration 1 of North Fort Worth,,,https://restoration1.com/north-fort-worth?utm_source=GBP&utm_medium=Google,,,False,help home,Owner,True,mobile_or_landline,,+18177615327,success
,,8179912291,contact@getrestorationdfw.com,Get,,,http://www.getrestorationdfw.com/,,info@getrestorationdfw.com,True,TX home,Owner,True,mobile_or_landline,,+18179912291,success
,,9727906300,customercare@restoration-solutions.biz,Restoration Solutions,,,http://restoration-solutions.biz/?utm_source=gmb&utm_medium=listing&utm_campaign=local,,customercare@restoration-solutions.biz,True,its current,Owner,True,mobile_or_landline,,+19727906300,success
,,4694020554,wes@doanrestoration.com,Doan Restoration of Dallas,,,https://doanrestorationtx.com/water-damage-restoration-dallas/?utm_campaign=gmb,,wes@doanrestoration.com,True,,,True,mobile_or_landline,,+14694020554,success
,,2143020322,,Rytech of Dallas,,,https://dallas-ftworth.rytechinc.com/,,,False,,,True,mobile_or_landline,,+12143020322,success
