about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{'Accessibility': {'Wheelchair accessible parking lot': True}},"6280 TX-276 Suite F, Royse City, TX 75189",False,,OPERATIONAL,,15452434779356154648,Royse City,6280 Texas 276,Royse City,United States,"For Mold Removal, Water Restoration, and Fire or Smoke Restoration, look no further than Zeus Restoration serving Dallas, Rockwall, Plano, Wylie and beyond!",10.0,,,,False,"For Mold Removal, Water Restoration, and Fire or Smoke Restoration, look no further than Zeus Restoration serving Dallas, Rockwall, Plano, Wylie and beyond!",https://www.linkedin.com/company/zeus-restoration,Zeus Restoration,9725876960,"VONAGE AMERICA, LLC",landline,,TX,America/Chicago,,75189,United States of America,US,,,0x864955b4762353bf:0xd672138fb26a4b18,8926c82463bffff,/g/11qntlh0fj,32.9001291,,,"https://www.google.com/maps/place/Zeus+Restoration/@32.9001291,-96.35306709999999,14z/data=!4m8!1m2!2m1!1sZeus+Restoration!3m4!1s0x864955b4762353bf:0xd672138fb26a4b18!8m2!3d32.9001291!4d-96.35306709999999","https://www.google.com/maps/place/Zeus+Restoration/@32.9001291,-96.35306709999999,13.99z/data=!4m16!1m7!3m6!1s0x864955b4762353bf:0xd672138fb26a4b18!2sZeus+Restoration!8m2!3d32.9001291!4d-96.35306709999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864955b4762353bf:0xd672138fb26a4b18!8m2!3d32.9001291!4d-96.35306709999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-kjEf60SGlGk/AAAAAAAAAAI/AAAAAAAAAAA/Kyjhb0NcUGI/s44-p-k-no-ns-nd/photo.jpg,-96.35306709999999,,Zeus Restoration,Zeus Restoration,,,109552977593086426516,https://www.google.com/maps/contrib/109552977593086426516,Zeus Restoration,+1 972-587-6960,"VONAGE AMERICA, LLC",landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo4vjuzDj51zHxwUM1V7vCmbokUWrzim0e5EqLM9Hl3v6-qlHewXOTFXxXAH3XSfWqmbrXfvfCGXB69ApCzHZhvVrcnOULQj9l-7sJ2ihB9B-gRtRBt1IqO0dJFuD18R4vnOH03HQ=w800-h500-k-no,52,ChIJv1MjdrRVSYYRGEtqso8TctY,,,75189,,,"Water damage restoration near Royse City, TX",,4.8,,,,,,,Texas,TX,6280 TX-276 Suite F,,"Water damage restoration service, Building restoration service, Fire damage restoration service",America/Chicago,Water damage restoration service,,True,https://www.zeusrestoration.com/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","7828 Irma Dr, Royse City, TX 75189",False,,OPERATIONAL,,16922812327209014045,Royse City,7251 Salisbury Rd,Jacksonville,United States,"Paul Davis Restoration is a leading insurance restoration franchise system that specializes in restoration services for properties damaged by water, fire, smoke, wind, tornadoes, hurricanes, vandalism, and other catastrophes. They provide construction,...",5000.0,https://facebook.com/pauldavisrestorationinc,1966.0,CONSTRUCTION,False,"Paul Davis Restoration is a leading insurance restoration franchise system that specializes in restoration services for properties damaged by water, fire, smoke, wind, tornadoes, hurricanes, vandalism, and other catastrophes. They provide construction,...",https://www.linkedin.com/company/paul-davis-restoration,"Paul Davis Restoration, Inc.",,,,1000000.0,FL,America/New_York,PDRestoration,32256,United States of America,US,,,0x86494d35a82feae5:0xead9e82693e5131d,8926c826397ffff,/g/11b7qnjk44,32.9312357,,,"https://www.google.com/maps/place/Paul+Davis+Emergency+Services+of+Rockwall/@32.9312357,-96.2976477,14z/data=!4m8!1m2!2m1!1sPaul+Davis+Emergency+Services+of+Rockwall!3m4!1s0x86494d35a82feae5:0xead9e82693e5131d!8m2!3d32.9312357!4d-96.2976477","https://www.google.com/maps/place/Paul+Davis+Emergency+Services+of+Rockwall/@32.9312357,-96.2976477,13.99z/data=!4m16!1m7!3m6!1s0x86494d35a82feae5:0xead9e82693e5131d!2sPaul+Davis+Emergency+Services+of+Rockwall!8m2!3d32.9312357!4d-96.2976477!16s%2Fg%2F11ckvg1dmb!3m7!1s0x86494d35a82feae5:0xead9e82693e5131d!8m2!3d32.9312357!4d-96.2976477!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-nDbKYYZDAYs/AAAAAAAAAAI/AAAAAAAAAAA/d73YggZAAMU/s44-p-k-no-ns-nd/photo.jpg,-96.2976477,,Paul Davis Emergency Services of Rockwall,Paul Davis Emergency Services Of Rockwall,,,118137076596067847037,https://www.google.com/maps/contrib/118137076596067847037,Paul Davis Emergency Services of Rockwall,+1 469-602-5106,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAweruqvCOUgBm4E_YI7bbKGlGdxPutBlQ7YpNK8yBh6pPabrcYfusC2ZT9-i0Dt4VLRETwYEYUDH2GEXbgzsjW6QRVYOg-7Kt3wo07llv0rg1-CS6sieMUof-2rA6ZPdA8-DyL8JX=w800-h500-k-no,28,ChIJ5eovqDVNSYYRHRPlkybo2eo,,,75189,,,"Water damage restoration near Royse City, TX",,5.0,,,,,,,Texas,TX,7828 Irma Dr,,"Water damage restoration service, Building restoration service, Fire damage restoration service",America/Chicago,Water damage restoration service,,True,http://rockwall.pauldavis.com/,{'Thursday': ['Open 24 hours']},
{},"121 E Main St, Royse City, TX 75189",False,,OPERATIONAL,,6539379119027797395,Royse City,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864bff836caa04ef:0x5ac08aa961423d93,8926c835ba3ffff,/g/11s7691ggl,32.9750661,,,"https://www.google.com/maps/place/Henrydry+Water+Damage+Restoration/@32.9750661,-96.33180639999999,14z/data=!4m8!1m2!2m1!1sHenrydry+Water+Damage+Restoration!3m4!1s0x864bff836caa04ef:0x5ac08aa961423d93!8m2!3d32.9750661!4d-96.33180639999999","https://www.google.com/maps/place/Henrydry+Water+Damage+Restoration/@32.9750661,-96.33180639999999,13.99z/data=!4m16!1m7!3m6!1s0x864bff836caa04ef:0x5ac08aa961423d93!2sHenrydry+Water+Damage+Restoration!8m2!3d32.9750661!4d-96.33180639999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bff836caa04ef:0x5ac08aa961423d93!8m2!3d32.9750661!4d-96.33180639999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-96.33180639999999,,Henrydry Water Damage Restoration,Henrydry Water Damage Restoration,,,,,Henrydry Water Damage Restoration,+1 469-981-7887,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqZ6zeoKIuBoS_3Eqf97_gDCwRrVV1TXppVy3A1tzjzpZ3tiOxNGPBbK4SlC14meGTkg8DEhMCgCCAKQjlgw5H1wwINlN67G-I1MzgtDzzOMtq3gP-VlmgpzcN3P8w3TRRa7iT-_Q=w800-h500-k-no,3,ChIJ7wSqbIP_S4YRkz1CYamKwFo,,,75189,,,"Water damage restoration near Royse City, TX",,5.0,,,,,,,Texas,TX,121 E Main St,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d1Jv4YIm9nOj0RuMqJXBUg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=157.9777&pitch=0&thumbfov=100,Water damage restoration service,America/Chicago,Water damage restoration service,,False,,{'Thursday': ['8AM-8PM']},"Thursday,8AM,8PM"
{'Accessibility': {'Wheelchair accessible parking lot': True}},"4510 TX-276 #1300, Rockwall, TX 75032",False,,OPERATIONAL,,17897455995639343011,Rockwall,2931 Ridge Road,Rockwall,United States,"For years Doiggs has provided carpet cleaning to Rockwall Texas residents building many lasting relationships. When you are looking for carpet cleaners in Rockwall TX remember Doiggs, they are a company you can trust!",50.0,https://facebook.com/doiggscarpetcareandrestoration,,CONSUMER_SERVICES,False,"For years Doiggs has provided carpet cleaning to Rockwall Texas residents building many lasting relationships. When you are looking for carpet cleaners in Rockwall TX remember Doiggs, they are a company you can trust!",,Doigg’s Carpet Care & Restoration,+1 972-771-5771,,landline,1000000.0,TX,America/Chicago,,75032,United States of America,US,,,0x86495491895e2d4b:0xf86089673b44a7a3,8926c82558bffff,/g/1w2yv8qw,32.905454999999996,,,"https://www.google.com/maps/place/Doigg%27s+Restoration+%26+Cleaning/@32.905454999999996,-96.380663,14z/data=!4m8!1m2!2m1!1sDoigg%27s+Restoration+%26+Cleaning!3m4!1s0x86495491895e2d4b:0xf86089673b44a7a3!8m2!3d32.905454999999996!4d-96.380663","https://www.google.com/maps/place/Doigg%27s+Restoration+%26+Cleaning/@32.905454999999996,-96.380663,13.99z/data=!4m16!1m7!3m6!1s0x86495491895e2d4b:0xf86089673b44a7a3!2sDoigg%27s+Restoration+%26+Cleaning!8m2!3d32.905454999999996!4d-96.380663!16s%2Fg%2F11ckvg1dmb!3m7!1s0x86495491895e2d4b:0xf86089673b44a7a3!8m2!3d32.905454999999996!4d-96.380663!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-CbA1yCGtdgg/AAAAAAAAAAI/AAAAAAAAAAA/HrpN0BMfnrc/s44-p-k-no-ns-nd/photo.jpg,-96.380663,,Doigg's Restoration & Cleaning,Doiggs Restoration And Cleaning,,,117154090337302971992,https://www.google.com/maps/contrib/117154090337302971992,Doigg's Restoration & Cleaning,+1 469-517-1279,,landline,https://lh3.googleusercontent.com/p/AF1QipMLfNdRQ26xrKrJhBiB25giM3nmGPCcD9TUyXuW=w800-h500-k-no,33,ChIJSy1eiZFUSYYRo6dEO2eJYPg,,,75032,,,"Water damage restoration near Royse City, TX",,5.0,,,,,,,Texas,TX,4510 TX-276 #1300,,"Water damage restoration service, Air duct cleaning service, Carpet cleaning service, Fire damage restoration service, Upholstery cleaning service",America/Chicago,Water damage restoration service,,True,https://doiggs.com/%3Futm_campaign%3Dgmb,{'Thursday': ['Open 24 hours']},
{'Accessibility': {'Wheelchair accessible parking lot': True}},"11809 Classic Ln, Forney, TX 75126",False,,OPERATIONAL,,12458570318784481512,Forney,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864eb3dd37af4f53:0xace5bbb2545fc8e8,8926c9590cfffff,/g/11ypxtv7dd,32.733405999999995,,,"https://www.google.com/maps/place/Kaufman+Water+Damage+Experts/@32.733405999999995,-96.4411765,14z/data=!4m8!1m2!2m1!1sKaufman+Water+Damage+Experts!3m4!1s0x864eb3dd37af4f53:0xace5bbb2545fc8e8!8m2!3d32.733405999999995!4d-96.4411765","https://www.google.com/maps/place/Kaufman+Water+Damage+Experts/@32.733405999999995,-96.4411765,13.99z/data=!4m16!1m7!3m6!1s0x864eb3dd37af4f53:0xace5bbb2545fc8e8!2sKaufman+Water+Damage+Experts!8m2!3d32.733405999999995!4d-96.4411765!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eb3dd37af4f53:0xace5bbb2545fc8e8!8m2!3d32.733405999999995!4d-96.4411765!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-b9Yx-v7zHM4/AAAAAAAAAAI/AAAAAAAAAAA/hcqCe_KT4QA/s44-p-k-no-ns-nd/photo.jpg,-96.4411765,,Kaufman Water Damage Experts,Kaufman Water Damage Experts,,,104554608014007062693,https://www.google.com/maps/contrib/104554608014007062693,Kaufman Water Damage Experts,+1 469-412-7729,Onvoy,landline,https://lh3.googleusercontent.com/p/AF1QipOjbZqMbnjmM8ZVegT3to-Cf9E_8gms9cFjdF6t=w800-h500-k-no,26,ChIJU0-vN92zToYR6MhfVLK75aw,,,75126,,,"Water damage restoration near Royse City, TX",,5.0,,,,,,,Texas,TX,11809 Classic Ln,,Water damage restoration service,America/Chicago,Water damage restoration service,,True,https://elitehomeservicesco.com/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}}","5700 Tennyson Pkwy Suite 332, Plano, TX 75024",False,,OPERATIONAL,,12256993012120057771,Plano,,,,,,,,,,,,Sswaterrestoration,,,,,,,,,United States of America,US,,,0x4b5e73e35ebb6f03:0xaa19963445dc77ab,8926c8744cfffff,/g/11svwsw14d,33.0708756,,,"https://www.google.com/maps/place/SS+Water+Restoration/@33.0708756,-96.8200107,14z/data=!4m8!1m2!2m1!1sSS+Water+Restoration!3m4!1s0x4b5e73e35ebb6f03:0xaa19963445dc77ab!8m2!3d33.0708756!4d-96.8200107","https://www.google.com/maps/place/SS+Water+Restoration/@33.0708756,-96.8200107,13.99z/data=!4m16!1m7!3m6!1s0x4b5e73e35ebb6f03:0xaa19963445dc77ab!2sSS+Water+Restoration!8m2!3d33.0708756!4d-96.8200107!16s%2Fg%2F11ckvg1dmb!3m7!1s0x4b5e73e35ebb6f03:0xaa19963445dc77ab!8m2!3d33.0708756!4d-96.8200107!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-w5pjGmCstSY/AAAAAAAAAAI/AAAAAAAAAAA/rE6btFQT7js/s44-p-k-no-ns-nd/photo.jpg,-96.8200107,,SS Water Restoration,Ss Water Restoration,,,114538072143751513044,https://www.google.com/maps/contrib/114538072143751513044,SS Water Restoration,+1 469-737-0296,,landline,https://lh3.googleusercontent.com/p/AF1QipNf7aMGEptJplz4rjMTXzbIm7l4CrbrbUClU-6z=w800-h500-k-no,263,ChIJA2-7XuNzXksRq3fcRTSWGao,,,75024,,,"Water damage restoration near Royse City, TX",,5.0,,,,,,,Texas,TX,5700 Tennyson Pkwy Suite 332,,"Water damage restoration service, Building restoration service, Fire damage restoration service",America/Chicago,Water damage restoration service,,True,https://sswaterrestoration.com/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","1491 T L Townsend Dr Ste 110, Rockwall, TX 75032",False,,OPERATIONAL,,10716842486930823235,Rockwall,6001 Hiatus Road,Tamarac,United States,"PuroClean is a top provider of property emergency services, offering water and fire damage restoration, mold removal, and biohazard cleanup to help families and businesses recover from property damage.",50.0,https://facebook.com/puroclean,2001.0,RENEWABLES_ENVIRONMENT,False,"PuroClean is a top provider of property emergency services, offering water and fire damage restoration, mold removal, and biohazard cleanup to help families and businesses recover from property damage.",https://www.linkedin.com/company/puroclean-corporate-headquarters,PuroClean,+1 800-775-7876,,toll_free,10000000.0,FL,America/New_York,PuroClean,33321,United States of America,US,,,0x864eab06879941b5:0x94b9df762b535843,8926c820b27ffff,/g/11vjy1j5ck,32.911413599999996,,,"https://www.google.com/maps/place/PuroClean+of+Rockwall/@32.911413599999996,-96.44164219999999,14z/data=!4m8!1m2!2m1!1sPuroClean+of+Rockwall!3m4!1s0x864eab06879941b5:0x94b9df762b535843!8m2!3d32.911413599999996!4d-96.44164219999999","https://www.google.com/maps/place/PuroClean+of+Rockwall/@32.911413599999996,-96.44164219999999,13.99z/data=!4m16!1m7!3m6!1s0x864eab06879941b5:0x94b9df762b535843!2sPuroClean+of+Rockwall!8m2!3d32.911413599999996!4d-96.44164219999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eab06879941b5:0x94b9df762b535843!8m2!3d32.911413599999996!4d-96.44164219999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-Yv8rysTHcbc/AAAAAAAAAAI/AAAAAAAAAAA/ePk4cBXwVos/s44-p-k-no-ns-nd/photo.jpg,-96.44164219999999,,PuroClean of Rockwall,Puroclean Of Rockwall,,,104516649961504151260,https://www.google.com/maps/contrib/104516649961504151260,PuroClean of Rockwall,+1 972-961-4333,,landline,https://lh3.googleusercontent.com/p/AF1QipP27PPTcmXlsHR8aWNGqkHw4FlLSNbef6B9xQa6=w800-h500-k-no,70,ChIJtUGZhwarToYRQ1hTK3bfuZQ,,,75032,,,"Water damage restoration near Royse City, TX",,5.0,,,,,,,Texas,TX,1491 T L Townsend Dr Ste 110,,Water damage restoration service,America/Chicago,Water damage restoration service,,True,https://www.puroclean.com/rockwall-tx,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","3101 Century Dr, Rowlett, TX 75088",False,,OPERATIONAL,,7198432648382755652,Rowlett,801 Industrial Blvd,Gallatin,United States,Servpro is a franchisor of fire and water cleanup and restoration franchises in the United States and Canada.,500.0,https://www.facebook.com/SERVPRO,1967.0,CONSUMER_SERVICES,False,Servpro is a franchisor of fire and water cleanup and restoration franchises in the United States and Canada.,https://www.linkedin.com/company/servpro-industries,Servpro Industries,7068826151,,mobile,100000000.0,TN,America/Chicago,SERVPRO,37066,United States of America,US,,,0x864c02713cecd5ff:0x63e5f85ad26db344,8926c82f607ffff,/g/1tdp5fqx,32.9012789,,,"https://www.google.com/maps/place/SERVPRO+of+Rockwall%2FRowlett/@32.9012789,-96.57274009999999,14z/data=!4m8!1m2!2m1!1sSERVPRO+of+Rockwall%2FRowlett!3m4!1s0x864c02713cecd5ff:0x63e5f85ad26db344!8m2!3d32.9012789!4d-96.57274009999999","https://www.google.com/maps/place/SERVPRO+of+Rockwall%2FRowlett/@32.9012789,-96.57274009999999,13.99z/data=!4m16!1m7!3m6!1s0x864c02713cecd5ff:0x63e5f85ad26db344!2sSERVPRO+of+Rockwall%2FRowlett!8m2!3d32.9012789!4d-96.57274009999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c02713cecd5ff:0x63e5f85ad26db344!8m2!3d32.9012789!4d-96.57274009999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-klrpUrlCgiI/AAAAAAAAAAI/AAAAAAAAAAA/zH3J3TB5I_4/s44-p-k-no-ns-nd/photo.jpg,-96.57274009999999,,SERVPRO of Rockwall/Rowlett,Servpro Of Rockwall/Rowlett,,[{'online_service_hours': {'Thursday': 'Open 24 hours'}}],101665333337378284701,https://www.google.com/maps/contrib/101665333337378284701,SERVPRO of Rockwall/Rowlett,+1 214-607-1900,,landline,https://lh3.googleusercontent.com/p/AF1QipOw2BO7KHMW1RaOPJWB5hEKZr0lbHyZMWCTN59n=w800-h500-k-no,64,ChIJ_9XsPHECTIYRRLNt0lr45WM,,,75088,,,"Water damage restoration near Royse City, TX",,4.5,,,,,,,Texas,TX,3101 Century Dr,,"Water damage restoration service, Air duct cleaning service, Building restoration service, Carpet cleaning service, Cleaners, Crime victim service, Debris removal service, Fire damage restoration service, Waste management service",America/Chicago,Water damage restoration service,,True,https://www.servpro.com/locations/tx/servpro-of-rockwall-rowlett%3Futm_medium%3Dorganic%26utm_source%3Dgbp,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","1348 Mims Rd, Rockwall, TX 75032",False,,OPERATIONAL,,15702376432379293859,Rockwall,1348 Mims Road,Rockwall,United States,"Dryman Group is a full service restoration, roofing, & reconstruction team serving Dallas & North Texas. Specializing in fire, water & storm damage.",,,,,False,"Dryman Group is a full service restoration, roofing, & reconstruction team serving Dallas & North Texas. Specializing in fire, water & storm damage.",,Drymangroup,,,,,TX,America/Chicago,DrymanConstruc1,75032,United States of America,US,,,0x864eab12b26bf5b1:0xd9ea0c2ba56ef0a3,8926c8252dbffff,/g/11lrhhgnm8,32.8922568,,,"https://www.google.com/maps/place/Dryman+Group/@32.8922568,-96.44275909999999,14z/data=!4m8!1m2!2m1!1sDryman+Group!3m4!1s0x864eab12b26bf5b1:0xd9ea0c2ba56ef0a3!8m2!3d32.8922568!4d-96.44275909999999","https://www.google.com/maps/place/Dryman+Group/@32.8922568,-96.44275909999999,13.99z/data=!4m16!1m7!3m6!1s0x864eab12b26bf5b1:0xd9ea0c2ba56ef0a3!2sDryman+Group!8m2!3d32.8922568!4d-96.44275909999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864eab12b26bf5b1:0xd9ea0c2ba56ef0a3!8m2!3d32.8922568!4d-96.44275909999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-Hi40ku3Egik/AAAAAAAAAAI/AAAAAAAAAAA/O8n3ouvTWwE/s44-p-k-no-ns-nd/photo.jpg,-96.44275909999999,,Dryman Group,Dryman Group,,[{'online_service_hours': {'Thursday': 'Open 24 hours'}}],105161112209164269960,https://www.google.com/maps/contrib/105161112209164269960,Dryman Group,+1 972-872-8543,,landline,https://lh3.googleusercontent.com/p/AF1QipMvKTUnwHtnZ4L5DehpWOQkqAmfxrSSPUDB4QYB=w800-h500-k-no,45,ChIJsfVrshKrToYRo_BupSsM6tk,,,75032,,,"Water damage restoration near Royse City, TX",,4.8,,,,,,,Texas,TX,1348 Mims Rd,,"Water damage restoration service, Fire damage restoration service, General contractor, Contractor",America/Chicago,Water damage restoration service,,True,https://drymangroup.com/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible parking lot': True, 'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}}","4620 Hwy 377 , #7, Krugerville, TX 76227",False,,OPERATIONAL,,5530263564430756090,Krugerville,,,,,,,,,,,,Sswaterrestoration,,,,,,,,,United States of America,US,,,0x864c4943789b205b:0x4cbf7169482e48fa,8926c809e37ffff,/g/11w9kff13s,33.2626894,,,"https://www.google.com/maps/place/SS+Water+Restoration/@33.2626894,-96.9864477,14z/data=!4m8!1m2!2m1!1sSS+Water+Restoration!3m4!1s0x864c4943789b205b:0x4cbf7169482e48fa!8m2!3d33.2626894!4d-96.9864477","https://www.google.com/maps/place/SS+Water+Restoration/@33.2626894,-96.9864477,13.99z/data=!4m16!1m7!3m6!1s0x864c4943789b205b:0x4cbf7169482e48fa!2sSS+Water+Restoration!8m2!3d33.2626894!4d-96.9864477!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864c4943789b205b:0x4cbf7169482e48fa!8m2!3d33.2626894!4d-96.9864477!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-eais9EoadFQ/AAAAAAAAAAI/AAAAAAAAAAA/4q4EY7dp744/s44-p-k-no-ns-nd/photo.jpg,-96.9864477,,SS Water Restoration,Ss Water Restoration,,,117284438757937574614,https://www.google.com/maps/contrib/117284438757937574614,SS Water Restoration,+1 469-737-0296,,landline,https://lh3.googleusercontent.com/p/AF1QipNcPidyOpi_no2vaY1rYC8rl-jhaI0JVPRC6wQ-=w800-h500-k-no,128,ChIJWyCbeENJTIYR-kguSGlxv0w,,,76227,,,"Water damage restoration near Royse City, TX",,5.0,,,,,,,Texas,TX,"4620 Hwy 377 , #7",,"Water damage restoration service, Building restoration service, Fire damage restoration service",America/Chicago,Water damage restoration service,,True,https://sswaterrestoration.com/water-damage-restoration-krugerville-tx/,{'Thursday': ['Open 24 hours']},
