about,address,area_service,booking_appointment_link,business_status,category,cid,city,company_insights.address,company_insights.city,company_insights.country,company_insights.description,company_insights.employees,company_insights.facebook_company_page,company_insights.founded_year,company_insights.industry,company_insights.is_public,company_insights.linkedin_bio,company_insights.linkedin_company_page,company_insights.name,company_insights.phone,company_insights.phone.phones_enricher.carrier_name,company_insights.phone.phones_enricher.carrier_type,company_insights.revenue,company_insights.state,company_insights.timezone,company_insights.twitter_handle,company_insights.zip,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible
{},"3437 Co Rd 2176, Greenville, TX 75402",False,,OPERATIONAL,,11299747303273585263,Greenville,,,,,,,,,,,,wadeswaterwell.com,,,,,,,,,United States of America,US,,,0x864be699f631c85f:0x9cd0c44dbf4cda6f,8926c9d99c7ffff,/g/1tfq9mkc,33.0460326,,,"https://www.google.com/maps/place/Wade+Water+Well+%26+Co+LLC/@33.0460326,-96.1429495,14z/data=!4m8!1m2!2m1!1sWade+Water+Well+%26+Co+LLC!3m4!1s0x864be699f631c85f:0x9cd0c44dbf4cda6f!8m2!3d33.0460326!4d-96.1429495","https://www.google.com/maps/place/Wade+Water+Well+%26+Co+LLC/@33.0460326,-96.1429495,13.99z/data=!4m16!1m7!3m6!1s0x864be699f631c85f:0x9cd0c44dbf4cda6f!2sWade+Water+Well+%26+Co+LLC!8m2!3d33.0460326!4d-96.1429495!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864be699f631c85f:0x9cd0c44dbf4cda6f!8m2!3d33.0460326!4d-96.1429495!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-96.1429495,,Wade Water Well & Co LLC,Wade Water Well And,,,,,Wade Water Well & Co LLC,+1 903-527-3547,,landline,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepL9ZoHuOLI3HoM3Hw459HSx5CWmi9ZI55I4ddQBgDCBi2yIvJOQ6vMzsIEyOFSsIu_Y4O-9RmmgMdlUCE5e0B1KqDBXEgoqE3sBBfCMU-0EFFDTDJ0ES49PwJZmsErc-PQq3I=w800-h500-k-no,2,ChIJX8gx9pnmS4YRb9pMv03E0Jw,,,75402,,,"Well drilling near Royse City, TX",,4.3,,,,,,,Texas,TX,3437 Co Rd 2176,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uIe08OHTjmkLv450SvkxPQ&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=93.914665&pitch=0&thumbfov=100,Well drilling contractor,America/Chicago,Well drilling contractor,,False,https://www.wadeswaterwell.com/,,
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","2801 Winchester Dr, Royse City, TX 75189",False,,OPERATIONAL,,17460420536127076549,Royse City,2200 Wymore Way,Antioch,United States,Welcome to Drill Tech Drilling & Shoring! We provide industry leading specialty geotechnical construction services for projects nationwide.,500.0,https://facebook.com/drilltechdrilling,1994.0,,False,Welcome to Drill Tech Drilling & Shoring! We provide industry leading specialty geotechnical construction services for projects nationwide.,https://www.linkedin.com/company/drill-tech-drilling-and-shoring,Drill Tech Drilling and Shoring,9259782060,,landline,1000000.0,CA,America/Los_Angeles,,94509,United States of America,US,,,0x864bf8faf08c48df:0xf24fdff7e4ca38c5,8926c82460bffff,/g/125_yxnq_,32.9056686,,,"https://www.google.com/maps/place/Drill+Tech+Drilling+%26+Shoring%2C+Inc./@32.9056686,-96.36046979999999,14z/data=!4m8!1m2!2m1!1sDrill+Tech+Drilling+%26+Shoring%2C+Inc.!3m4!1s0x864bf8faf08c48df:0xf24fdff7e4ca38c5!8m2!3d32.9056686!4d-96.36046979999999","https://www.google.com/maps/place/Drill+Tech+Drilling+%26+Shoring%2C+Inc./@32.9056686,-96.36046979999999,13.99z/data=!4m16!1m7!3m6!1s0x864bf8faf08c48df:0xf24fdff7e4ca38c5!2sDrill+Tech+Drilling+%26+Shoring%2C+Inc.!8m2!3d32.9056686!4d-96.36046979999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864bf8faf08c48df:0xf24fdff7e4ca38c5!8m2!3d32.9056686!4d-96.36046979999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-okx0nbLZjjY/AAAAAAAAAAI/AAAAAAAAAAA/xantVIv-tLM/s44-p-k-no-ns-nd/photo.jpg,-96.36046979999999,,"Drill Tech Drilling & Shoring, Inc.",Drill Tech Drilling And Shoring,,,106275709118876480228,https://www.google.com/maps/contrib/106275709118876480228,"Drill Tech Drilling & Shoring, Inc.",+1 972-853-0900,,landline,https://lh3.googleusercontent.com/p/AF1QipN2vgNCso7VOXp8rfs-WG6KPLlmANJHVJWTrx4=w800-h500-k-no,23,ChIJ30iM8Pr4S4YRxTjK5PffT_I,,,75189,,,"Well drilling near Royse City, TX",,4.6,,,,,,,Texas,TX,2801 Winchester Dr,,Drilling contractor,America/Chicago,Drilling contractor,,True,http://www.drilltechdrilling.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"120 Manor Ln, Waxahachie, TX 75165",False,,OPERATIONAL,,12371951191410680345,Waxahachie,,,,,,,,,,,,texaswellandpump.com,,,,,,,,,United States of America,US,,,0x864ee7d8b81b794b:0xabb2000f26812219,8926cb1752fffff,/g/11h9gtl1r9,32.3466521,,,"https://www.google.com/maps/place/Texas+Well+and+Pump%2C+LLC+Central/@32.3466521,-96.7808752,14z/data=!4m8!1m2!2m1!1sTexas+Well+and+Pump%2C+LLC+Central!3m4!1s0x864ee7d8b81b794b:0xabb2000f26812219!8m2!3d32.3466521!4d-96.7808752","https://www.google.com/maps/place/Texas+Well+and+Pump%2C+LLC+Central/@32.3466521,-96.7808752,13.99z/data=!4m16!1m7!3m6!1s0x864ee7d8b81b794b:0xabb2000f26812219!2sTexas+Well+and+Pump%2C+LLC+Central!8m2!3d32.3466521!4d-96.7808752!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864ee7d8b81b794b:0xabb2000f26812219!8m2!3d32.3466521!4d-96.7808752!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-C0n7WP6q-Mk/AAAAAAAAAAI/AAAAAAAAAAA/45OiC0Jtf2Q/s44-p-k-no-ns-nd/photo.jpg,-96.7808752,,"Texas Well and Pump, LLC Central",Texas Well And Pump Llc Central,,,100681373655175792511,https://www.google.com/maps/contrib/100681373655175792511,"Texas Well and Pump, LLC Central",+1 469-383-0644,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipND9jB055RoCM2eUavAnPiIPYaXn30LSIOVThU=w800-h500-k-no,94,ChIJS3kbuNjnToYRGSKBJg8Asqs,,,75165,,,"Well drilling near Royse City, TX",,4.9,,,,,,,Texas,TX,120 Manor Ln,,"Well drilling contractor, Drainage service, Water purification company",America/Chicago,Well drilling contractor,,True,http://www.texaswellandpump.com/,{'Thursday': ['Open 24 hours']},
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}","6200 N State Hwy 37, Winnsboro, TX 75494",False,,OPERATIONAL,,10285762024324928611,Winnsboro,6201 Texas 37,Winnsboro,United States,"We are the Winnsboro areas local drilling and service company. We take pride in providing fast, friendly service at reasonable rates. We do it right the first time!",,https://facebook.com/a1waterwells,,CONSTRUCTION,False,"We are the Winnsboro areas local drilling and service company. We take pride in providing fast, friendly service at reasonable rates. We do it right the first time!",https://www.linkedin.com/company/a1-water-wells,A1 Water Wells,9033421060,,landline,,TX,America/Chicago,,75494,United States of America,US,,,0x8649f673f19b40ff:0x8ebe5e1098171463,8926c986227ffff,/g/1tjdgll3,32.9396142,,,"https://www.google.com/maps/place/A1+Water+Wells/@32.9396142,-95.3045222,14z/data=!4m8!1m2!2m1!1sA1+Water+Wells!3m4!1s0x8649f673f19b40ff:0x8ebe5e1098171463!8m2!3d32.9396142!4d-95.3045222","https://www.google.com/maps/place/A1+Water+Wells/@32.9396142,-95.3045222,13.99z/data=!4m16!1m7!3m6!1s0x8649f673f19b40ff:0x8ebe5e1098171463!2sA1+Water+Wells!8m2!3d32.9396142!4d-95.3045222!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8649f673f19b40ff:0x8ebe5e1098171463!8m2!3d32.9396142!4d-95.3045222!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-eES59ofG0_U/AAAAAAAAAAI/AAAAAAAAAAA/qMFt2x8GDRI/s44-p-k-no-ns-nd/photo.jpg,-95.3045222,,A1 Water Wells,A1 Water Wells,,,113679370298925734920,https://www.google.com/maps/contrib/113679370298925734920,A1 Water Wells,+1 903-342-1060,,landline,https://lh3.googleusercontent.com/p/AF1QipPgM6eLXqRy6iQYzXt6R25cR1vRv7DgxA5lsY65=w800-h500-k-no,40,ChIJ_0Cb8XP2SYYRYxQXmBBevo4,,,75494,,,"Well drilling near Royse City, TX",,5.0,,,,,,,Texas,TX,6200 N State Hwy 37,,Well drilling contractor,America/Chicago,Well drilling contractor,,True,http://www.a1waterwells.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"8786 N S State Hwy 78, Ravenna, TX 75476",False,,OPERATIONAL,,11512653305488230245,Ravenna,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x864b770bcbc3cabb:0x9fc5292f47da4765,8926cd48497ffff,/g/11kh58hjrb,33.722730999999996,,,"https://www.google.com/maps/place/Miller+Water+Well+Service/@33.722730999999996,-96.1817042,14z/data=!4m8!1m2!2m1!1sMiller+Water+Well+Service!3m4!1s0x864b770bcbc3cabb:0x9fc5292f47da4765!8m2!3d33.722730999999996!4d-96.1817042","https://www.google.com/maps/place/Miller+Water+Well+Service/@33.722730999999996,-96.1817042,13.99z/data=!4m16!1m7!3m6!1s0x864b770bcbc3cabb:0x9fc5292f47da4765!2sMiller+Water+Well+Service!8m2!3d33.722730999999996!4d-96.1817042!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864b770bcbc3cabb:0x9fc5292f47da4765!8m2!3d33.722730999999996!4d-96.1817042!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-UcdoV-NcaQA/AAAAAAAAAAI/AAAAAAAAAAA/6KsZ5xJp7Qo/s44-p-k-no-ns-nd/photo.jpg,-96.1817042,,Miller Water Well Service,Miller Water Well Service,,,103004711988368304186,https://www.google.com/maps/contrib/103004711988368304186,Miller Water Well Service,+1 903-583-7867,,landline,https://lh3.googleusercontent.com/p/AF1QipONG7hDf40tolIyv-y7r-cfZWK5RZBXccWpdQlb=w800-h500-k-no,1,ChIJu8rDywt3S4YRZUfaRy8pxZ8,,,75476,,,"Well drilling near Royse City, TX",,5.0,,,,,,,Texas,TX,8786 N S State Hwy 78,,Well drilling contractor,America/Chicago,Well drilling contractor,,True,,{'Thursday': ['Open 24 hours']},
{},"1908 Co Rd 4420, Winnsboro, TX 75494",False,,OPERATIONAL,,6420639113086334322,Winnsboro,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x8649f79a3c2d90c5:0x591ab1415e7d7572,89444db6c33ffff,/g/11w8rn743m,32.937782399999996,,,"https://www.google.com/maps/place/Birds+Water+Well+Drilling/@32.937782399999996,-95.2266848,14z/data=!4m8!1m2!2m1!1sBirds+Water+Well+Drilling!3m4!1s0x8649f79a3c2d90c5:0x591ab1415e7d7572!8m2!3d32.937782399999996!4d-95.2266848","https://www.google.com/maps/place/Birds+Water+Well+Drilling/@32.937782399999996,-95.2266848,13.99z/data=!4m16!1m7!3m6!1s0x8649f79a3c2d90c5:0x591ab1415e7d7572!2sBirds+Water+Well+Drilling!8m2!3d32.937782399999996!4d-95.2266848!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8649f79a3c2d90c5:0x591ab1415e7d7572!8m2!3d32.937782399999996!4d-95.2266848!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-H52pdiFprio/AAAAAAAAAAI/AAAAAAAAAAA/XJpJCrGgKfg/s44-p-k-no-ns-nd/photo.jpg,-95.2266848,,Birds Water Well Drilling,Birds Water Well Drilling,,,118092726000685674638,https://www.google.com/maps/contrib/118092726000685674638,Birds Water Well Drilling,+1 903-951-8513,,landline,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GtkC_Gv-6XzLtyHc8C8KCQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=214.98174&pitch=0&thumbfov=100,1,ChIJxZAtPJr3SYYRcnV9XkGxGlk,,,75494,,,"Well drilling near Royse City, TX",,,,,,,,,Texas,TX,1908 Co Rd 4420,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GtkC_Gv-6XzLtyHc8C8KCQ&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=214.98174&pitch=0&thumbfov=100,Well drilling contractor,America/Chicago,Well drilling contractor,,True,,{'Thursday': ['Open 24 hours']},
{},"24576 State Hwy 64, Canton, TX 75103",False,,OPERATIONAL,,4459853287264758199,Canton,,,,,,,,,,,,,,,,,,,,,United States of America,US,,,0x86490bed45f627b1:0x3de494ef79c629b7,8926c908c73ffff,/g/1xg5t1xl,32.5449024,,,"https://www.google.com/maps/place/Ayers+Drilling+%26+Pump+Services/@32.5449024,-95.84466359999999,14z/data=!4m8!1m2!2m1!1sAyers+Drilling+%26+Pump+Services!3m4!1s0x86490bed45f627b1:0x3de494ef79c629b7!8m2!3d32.5449024!4d-95.84466359999999","https://www.google.com/maps/place/Ayers+Drilling+%26+Pump+Services/@32.5449024,-95.84466359999999,13.99z/data=!4m16!1m7!3m6!1s0x86490bed45f627b1:0x3de494ef79c629b7!2sAyers+Drilling+%26+Pump+Services!8m2!3d32.5449024!4d-95.84466359999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x86490bed45f627b1:0x3de494ef79c629b7!8m2!3d32.5449024!4d-95.84466359999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-95.84466359999999,,Ayers Drilling & Pump Services,Ayers Drilling And Pump Services,,,,,Ayers Drilling & Pump Services,+1 903-567-1784,,landline,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mVFPyXhiDt4L3fbPEtr3-A&cb_client=search.gws-prod.gps&w=800&h=500&yaw=81.92953&pitch=0&thumbfov=100,2,ChIJsSf2Re0LSYYRtynGee-U5D0,,,75103,,,"Well drilling near Royse City, TX",,4.2,,,,,,,Texas,TX,24576 State Hwy 64,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mVFPyXhiDt4L3fbPEtr3-A&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=81.92953&pitch=0&thumbfov=100,Well drilling contractor,America/Chicago,Well drilling contractor,,False,,,
{},"531 Beene Creek Trl, Springtown, TX 76082",False,,OPERATIONAL,,17487381222615706746,Springtown,,,,"Full service water well repairs. Pumps, tanks, switches, control boxes.",,,,,False,,,Cactuswaterwellservices,,,,,,,,,United States of America,US,,,0x2c2f6cf942073445:0xf2afa891e1d86c7a,8926caa92b7ffff,/g/11r_qt1z0y,32.9069308,,,"https://www.google.com/maps/place/Cactus+Water+Well+Services/@32.9069308,-97.77037209999999,14z/data=!4m8!1m2!2m1!1sCactus+Water+Well+Services!3m4!1s0x2c2f6cf942073445:0xf2afa891e1d86c7a!8m2!3d32.9069308!4d-97.77037209999999","https://www.google.com/maps/place/Cactus+Water+Well+Services/@32.9069308,-97.77037209999999,13.99z/data=!4m16!1m7!3m6!1s0x2c2f6cf942073445:0xf2afa891e1d86c7a!2sCactus+Water+Well+Services!8m2!3d32.9069308!4d-97.77037209999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x2c2f6cf942073445:0xf2afa891e1d86c7a!8m2!3d32.9069308!4d-97.77037209999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-8EkQCbsIlx4/AAAAAAAAAAI/AAAAAAAAAAA/JPIJqwysVw4/s44-p-k-no-ns-nd/photo.jpg,-97.77037209999999,,Cactus Water Well Services,Cactus Water Well Services,,,116100898398434467891,https://www.google.com/maps/contrib/116100898398434467891,Cactus Water Well Services,+1 817-823-1837,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipMjAOr18kz1bDlnP8-qA_psMpfoQtxsgGBNjkFl=w800-h500-k-no,28,ChIJRTQHQvlsLywRemzY4ZGor_I,,,76082,,,"Well drilling near Royse City, TX",,4.9,,,,,,,Texas,TX,531 Beene Creek Trl,,Well drilling contractor,America/Chicago,Well drilling contractor,,True,http://cactuswaterwellservices.com/,{'Thursday': ['Open 24 hours']},
{'Accessibility': {'Wheelchair accessible parking lot': True}},"2862 Co Rd 2383, Pickton, TX 75471",False,,OPERATIONAL,,5357505777957343108,Pickton,,,,,,,,,,,,Folmardrilling,,,,,,,,,United States of America,US,,,0x864a18daaaaaaaab:0x4a59af1ea9400f84,8926c982c07ffff,/g/1tmcmmvp,33.0313222,,,"https://www.google.com/maps/place/Folmar+Drilling+%26+Pump+Service/@33.0313222,-95.39099949999999,14z/data=!4m8!1m2!2m1!1sFolmar+Drilling+%26+Pump+Service!3m4!1s0x864a18daaaaaaaab:0x4a59af1ea9400f84!8m2!3d33.0313222!4d-95.39099949999999","https://www.google.com/maps/place/Folmar+Drilling+%26+Pump+Service/@33.0313222,-95.39099949999999,13.99z/data=!4m16!1m7!3m6!1s0x864a18daaaaaaaab:0x4a59af1ea9400f84!2sFolmar+Drilling+%26+Pump+Service!8m2!3d33.0313222!4d-95.39099949999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864a18daaaaaaaab:0x4a59af1ea9400f84!8m2!3d33.0313222!4d-95.39099949999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-wSp1X-fbANE/AAAAAAAAAAI/AAAAAAAAAAA/Qs7lUogb2x8/s44-p-k-no-ns-nd/photo.jpg,-95.39099949999999,,Folmar Drilling & Pump Service,Folmar Drilling And Pump Service,,,108101507019923830762,https://www.google.com/maps/contrib/108101507019923830762,Folmar Drilling & Pump Service,+1 903-866-2527,,landline,https://lh3.googleusercontent.com/p/AF1QipN8zro_k-UCtPzLNL0iCnuAuajHWjSn3mOIu4Ug=w800-h500-k-no,3,ChIJq6qqqtoYSoYRhA9AqR6vWUo,,,75471,,,"Well drilling near Royse City, TX",,3.0,,,,,,,Texas,TX,2862 Co Rd 2383,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nQ_ZXQE0GmKhbUaFoaPsWA&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=178.77715&pitch=0&thumbfov=100,"Well drilling contractor, Pump supplier",America/Chicago,Well drilling contractor,,True,http://folmardrilling.com/,{'Thursday': ['8AM-5PM']},"Thursday,8AM,5PM"
{},"402 Canyon Trail Rd, Weatherford, TX 76087",False,,OPERATIONAL,,16288684972706556275,Weatherford,402 Canyon Trail Road,Weatherford,United States,"BCS Water Well Service is located in Weatherford , TX. BCS Water Well Service is Well Drilling Contractor serving Weatherford since 2018",,,,CONSTRUCTION,False,"BCS Water Well Service is located in Weatherford , TX. BCS Water Well Service is Well Drilling Contractor serving Weatherford since 2018",,www.bcswaterwellservice.com,+1 817-594-8177,,landline,,TX,America/Chicago,,76087,United States of America,US,,,0x864e035a147f56a7:0xe20d08ae786ae973,8926ca30573ffff,/g/1tjyp3fs,32.7575705,,,"https://www.google.com/maps/place/BCS+Water+Well+Service/@32.7575705,-97.68791259999999,14z/data=!4m8!1m2!2m1!1sBCS+Water+Well+Service!3m4!1s0x864e035a147f56a7:0xe20d08ae786ae973!8m2!3d32.7575705!4d-97.68791259999999","https://www.google.com/maps/place/BCS+Water+Well+Service/@32.7575705,-97.68791259999999,13.99z/data=!4m16!1m7!3m6!1s0x864e035a147f56a7:0xe20d08ae786ae973!2sBCS+Water+Well+Service!8m2!3d32.7575705!4d-97.68791259999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x864e035a147f56a7:0xe20d08ae786ae973!8m2!3d32.7575705!4d-97.68791259999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-S6wN-EVwNvk/AAAAAAAAAAI/AAAAAAAAAAA/v0ljEmE1jQc/s44-p-k-no-ns-nd/photo.jpg,-97.68791259999999,,BCS Water Well Service,Bcs Water Well Service,,,100264499341400815973,https://www.google.com/maps/contrib/100264499341400815973,BCS Water Well Service,+1 817-901-6446,"NEW CINGULAR WIRELESS PCS, LLC - IL",mobile,https://lh3.googleusercontent.com/p/AF1QipOXIkLp001u_hnu4wBWrYKQV-47wtCGG5PJOD8T=w800-h500-k-no,16,ChIJp1Z_FFoDToYRc-lqeK4IDeI,,,76087,,,"Well drilling near Royse City, TX",,4.7,,,,,,,Texas,TX,402 Canyon Trail Rd,,"Well drilling contractor, Home inspector",America/Chicago,Well drilling contractor,,True,http://www.bcswaterwellservice.com/,{'Thursday': ['Open 24 hours']},
