name,name_for_emails,subtypes,category,phone,phone.whitepages_phones.lookup_type,phone.whitepages_phones.name,website,address,street,city,state_code,postal_code,rating,reviews,verified,email_1,email_1.emails_validator.status,email_1_full_name,email_1_first_name,email_1_last_name,email_1_title,email_2,email_2.emails_validator.status,phone_1,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_2,phone_2.whitepages_phones.lookup_type,facebook,instagram,linkedin,company_insights.employees,company_insights.revenue,company_insights.industry,phone_normalized,niche
"Haynes and Boone, LLP",Haynes And Boone,"Legal services, Bankruptcy attorney, Attorney, Real estate attorney",Legal services,+1 212-659-7300,,,http://www.haynesboone.com/,"30 Rockefeller Plaza 22nd floor, New York, NY 10112",30 Rockefeller Plaza 22nd floor,New York,NY,10112,4.7,6,True,,,,,,,,,,,,,,,,,,5000,500000000,LEGAL_SERVICES,+12126597300,attorneys
"Haynes and Boone, LLP",Haynes And Boone,"Legal services, Bankruptcy attorney, Attorney, Real estate attorney",Legal services,+1 212-659-7300,,,http://www.haynesboone.com/,"30 Rockefeller Plaza 22nd floor, New York, NY 10112",30 Rockefeller Plaza 22nd floor,New York,NY,10112,4.7,6,True,,,,,,,,,,,,,,,,,,5000,500000000,LEGAL_SERVICES,+12126597300,attorneys
"Haynes and Boone, LLP",Haynes And Boone,"Legal services, Bankruptcy attorney, Attorney, Real estate attorney",Legal services,+1 212-659-7300,,,http://www.haynesboone.com/,"30 Rockefeller Plaza 22nd floor, New York, NY 10112",30 Rockefeller Plaza 22nd floor,New York,NY,10112,4.7,6,True,,,,,,,,,,,,,,,,,,5000,500000000,LEGAL_SERVICES,+12126597300,attorneys
DFW Criminal Lawyers L.L.C.,Dfw Criminal Lawyers L L C,"Attorney, Criminal justice attorney",Lawyer,+1 817-229-0319,,,http://dallasfortworthcriminallawyer.com/,"2603 Oak Lawn Ave STE 200, Dallas, TX 75219",2603 Oak Lawn Ave STE 200,Dallas,TX,75219,5,435,True,,,,,,,,,,,,,,,,,,,,,+18172290319,attorneys
Morvillo Abramowitz Grand Iason & Anello PC,Morvillo Abramowitz Grand Iason And Anello Pc,"Law firm, Attorney",Law firm,+1 212-856-9600,,,http://www.maglaw.com/,"565 5th Ave, New York, NY 10017",565 5th Ave,New York,NY,10017,5,3,True,,,,,,,,,,,,,,,,,,250,50000000,LEGAL_SERVICES,+12128569600,attorneys
Morvillo Abramowitz Grand Iason & Anello PC,Morvillo Abramowitz Grand Iason And Anello Pc,"Law firm, Attorney",Law firm,+1 212-856-9600,,,http://www.maglaw.com/,"565 5th Ave, New York, NY 10017",565 5th Ave,New York,NY,10017,5,3,True,,,,,,,,,,,,,,,,,,250,50000000,LEGAL_SERVICES,+12128569600,attorneys
Morvillo Abramowitz Grand Iason & Anello PC,Morvillo Abramowitz Grand Iason And Anello Pc,"Law firm, Attorney",Law firm,+1 212-856-9600,,,http://www.maglaw.com/,"565 5th Ave, New York, NY 10017",565 5th Ave,New York,NY,10017,5,3,True,,,,,,,,,,,,,,,,,,250,50000000,LEGAL_SERVICES,+12128569600,attorneys
Fulgham Hampton Criminal Defense Attorneys,Fulgham Hampton Criminal Defense Attorneys,"Criminal justice attorney, Law firm, Attorney, Legal services, Trial attorney",Criminal justice attorney,+1 817-440-3227,,,https://www.criminalattorneyfortworth.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGBP_Fort%2520Worth_West_Vickery_Blvd,"4354 W Vickery Blvd, Fort Worth, TX 76107",4354 W Vickery Blvd,Fort Worth,TX,76107,4.9,427,True,,,,,,,,,,,,,,,,,,10,1000000,,+18174403227,attorneys
Fulgham Hampton Criminal Defense Attorneys,Fulgham Hampton Criminal Defense Attorneys,"Criminal justice attorney, Law firm, Attorney, Legal services, Trial attorney",Criminal justice attorney,+1 817-440-3227,,,https://www.criminalattorneyfortworth.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGBP_Fort%2520Worth_West_Vickery_Blvd,"4354 W Vickery Blvd, Fort Worth, TX 76107",4354 W Vickery Blvd,Fort Worth,TX,76107,4.9,427,True,,,,,,,,,,,,,,,,,,10,1000000,,+18174403227,attorneys
Fulgham Hampton Criminal Defense Attorneys,Fulgham Hampton Criminal Defense Attorneys,"Criminal justice attorney, Law firm, Attorney, Legal services, Trial attorney",Criminal justice attorney,+1 817-440-3227,,,https://www.criminalattorneyfortworth.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGBP_Fort%2520Worth_West_Vickery_Blvd,"4354 W Vickery Blvd, Fort Worth, TX 76107",4354 W Vickery Blvd,Fort Worth,TX,76107,4.9,427,True,,,,,,,,,,,,,,,,,,10,1000000,,+18174403227,attorneys
