name,name_for_emails,subtypes,category,phone,phone.whitepages_phones.lookup_type,phone.whitepages_phones.name,website,address,street,city,state_code,postal_code,rating,reviews,verified,email_1,email_1.emails_validator.status,email_1_full_name,email_1_first_name,email_1_last_name,email_1_title,email_2,email_2.emails_validator.status,phone_1,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_2,phone_2.whitepages_phones.lookup_type,facebook,instagram,linkedin,company_insights.employees,company_insights.revenue,company_insights.industry,phone_normalized,niche
"DFW Concrete, Inc.",Dfw Concrete,Concrete contractor,Concrete contractor,+1 817-439-3220,person,Arlene F Southerland,http://www.dfwconcreteinc.com/,"2711 Blue Mound Rd W #9641, Fort Worth, TX 76179",2711 Blue Mound Rd W #9641,Fort Worth,TX,76179,4,11,True,,,,,,,,,,,,,,,,,,25,10000000,CONSTRUCTION,+18174393220,concrete
"DFW Concrete, Inc.",Dfw Concrete,Concrete contractor,Concrete contractor,+1 817-439-3220,person,Arlene F Southerland,http://www.dfwconcreteinc.com/,"2711 Blue Mound Rd W #9641, Fort Worth, TX 76179",2711 Blue Mound Rd W #9641,Fort Worth,TX,76179,4,11,True,,,,,,,,,,,,,,,,,,25,10000000,CONSTRUCTION,+18174393220,concrete
"DFW Concrete, Inc.",Dfw Concrete,Concrete contractor,Concrete contractor,+1 817-439-3220,person,Arlene F Southerland,http://www.dfwconcreteinc.com/,"2711 Blue Mound Rd W #9641, Fort Worth, TX 76179",2711 Blue Mound Rd W #9641,Fort Worth,TX,76179,4,11,True,,,,,,,,,,,,,,,,,,25,10000000,CONSTRUCTION,+18174393220,concrete
Action Concrete Contractors of Fort Worth,Action Concrete Contractors Of Fort Worth,Concrete contractor,Concrete contractor,+1 682-267-3255,,,https://actionconcretecontractorstx.com/,"508 NE 38th St, Fort Worth, TX 76106",508 NE 38th St,Fort Worth,TX,76106,5,57,True,,,,,,,,,,,,,,,,,,,,,+16822673255,concrete
Lucky’s Concrete Fort Worth,Lucky’S Concrete Fort Worth,Concrete contractor,Concrete contractor,+1 817-826-9798,,,https://luckysconcretefortworth.com/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dgbp,"2242 Forest Park Blvd, Fort Worth, TX 76110",2242 Forest Park Blvd,Fort Worth,TX,76110,4.8,41,True,,,,,,,,,,,,,,,,,,,,CONSTRUCTION,+18178269798,concrete
Concrete Construction 23,Concrete Construction 23,Concrete contractor,Concrete contractor,+1 817-688-2642,person,Janet Rosemary Craig,https://concreteconstruction23.com/,"3817 8th Ave, Fort Worth, TX 76110",3817 8th Ave,Fort Worth,TX,76110,5,39,True,,,,,,,,,,,,,,,,,,,,,+18176882642,concrete
Advanced Concrete Construction,Advanced Concrete Construction,Concrete contractor,Concrete contractor,+1 469-754-9677,,,https://advancedconcretedtx.com/,"6333 E Mockingbird Ln Suite 147, Dallas, TX 75214",6333 E Mockingbird Ln Suite 147,Dallas,TX,75214,4.9,29,True,,,,,,,,,,,,,,,,,,,,,+14697549677,concrete
Speed Concrete Contractors Dallas,Speed Concrete Contractors Dallas,Concrete contractor,Concrete contractor,+1 469-949-2087,,,https://speedconcretecontractors.com/,"4699 Production Dr, Dallas, TX 75235",4699 Production Dr,Dallas,TX,75235,4.9,36,True,,,,,,,,,,,,,,,,,,,,,+14699492087,concrete
AAA Concrete Solutions,Aaa Concrete Solutions,Concrete contractor,Concrete contractor,+1 214-753-3284,,,http://www.aaaconcretesolutions.com/,"3203 Clinton Ave, Fort Worth, TX 76106",3203 Clinton Ave,Fort Worth,TX,76106,4.8,51,True,,,,,,,,,,,,,,,,,,,,,+12147533284,concrete
Texan Concrete Specialist,Texan Concrete Specialist,Concrete contractor,Concrete contractor,+1 682-970-5887,business,Texan Concrete Specialist,https://www.txconcretespecialist.com/,"904 Cresthaven Dr, Euless, TX 76040",904 Cresthaven Dr,Euless,TX,76040,4.8,117,True,,,,,,,,,,,,,,,,,,,,,+16829705887,concrete
DFW Solid Concrete,Dfw Solid Concrete,Concrete contractor,Concrete contractor,+1 972-922-8156,,,https://www.dfwsolidconcrete.com/,"10210 Monroe Dr, Dallas, TX 75229",10210 Monroe Dr,Dallas,TX,75229,4.7,13,True,,,,,,,,,,,,,,,,,,,,,+19729228156,concrete
DFW Solid Concrete,Dfw Solid Concrete,Concrete contractor,Concrete contractor,+1 972-922-8156,,,https://www.dfwsolidconcrete.com/,"10210 Monroe Dr, Dallas, TX 75229",10210 Monroe Dr,Dallas,TX,75229,4.7,13,True,,,,,,,,,,,,,,,,,,,,,+19729228156,concrete
DFW Solid Concrete,Dfw Solid Concrete,Concrete contractor,Concrete contractor,+1 972-922-8156,,,https://www.dfwsolidconcrete.com/,"10210 Monroe Dr, Dallas, TX 75229",10210 Monroe Dr,Dallas,TX,75229,4.7,13,True,,,,,,,,,,,,,,,,,,,,,+19729228156,concrete
TJ Concrete Contractor,Tj Concrete Contractor,Concrete contractor,Concrete contractor,+1 469-833-3483,,,https://tjconcretecontractor.com/,"11613 N Central Expy #109, Dallas, TX 75243",11613 N Central Expy #109,Dallas,TX,75243,5,40,True,,,,,,,,,,,,,,,,,,,,Construction,+14698333483,concrete
NORTEX Concrete Lift and Stabilization,Nortex Concrete Lift And Stabilization,Contractor,Contractor,+1 817-831-1240,person,Gary G Franklin,http://www.nortexconcretelift.com/contact,"201 NW 26th St, Fort Worth, TX 76164",201 NW 26th St,Fort Worth,TX,76164,4.9,7,True,,,,,,,,,,,,,,,,,,10,50000000,CONSTRUCTION,+18178311240,concrete
NORTEX Concrete Lift and Stabilization,Nortex Concrete Lift And Stabilization,Contractor,Contractor,+1 817-831-1240,person,Gary G Franklin,http://www.nortexconcretelift.com/contact,"201 NW 26th St, Fort Worth, TX 76164",201 NW 26th St,Fort Worth,TX,76164,4.9,7,True,,,,,,,,,,,,,,,,,,10,50000000,CONSTRUCTION,+18178311240,concrete
NORTEX Concrete Lift and Stabilization,Nortex Concrete Lift And Stabilization,Contractor,Contractor,+1 817-831-1240,person,Gary G Franklin,http://www.nortexconcretelift.com/contact,"201 NW 26th St, Fort Worth, TX 76164",201 NW 26th St,Fort Worth,TX,76164,4.9,7,True,,,,,,,,,,,,,,,,,,10,50000000,CONSTRUCTION,+18178311240,concrete
Concrete Contractors Dallas,Concrete Contractors Dallas,Concrete contractor,Concrete contractor,+1 214-771-9156,,,https://dtxconcrete.com/,"3610 N Fitzhugh Ave, Dallas, TX 75205",3610 N Fitzhugh Ave,Dallas,TX,75205,5,8,True,,,,,,,,,,,,,,,,,,,,,+12147719156,concrete
"Red River Concrete, LLC",Red River Concrete,Concrete contractor,Concrete contractor,+1 817-406-6920,,,https://www.redriverconcretellc.com/,"3029 Caddo Trail, Lake Worth, TX 76135",3029 Caddo Trail,Lake Worth,TX,76135,4.4,14,True,,,,,,,,,,,,,,,,,,,,Construction,+18174066920,concrete
