name,name_for_emails,subtypes,category,phone,phone.whitepages_phones.lookup_type,phone.whitepages_phones.name,website,address,street,city,state_code,postal_code,rating,reviews,verified,email_1,email_1.emails_validator.status,email_1_full_name,email_1_first_name,email_1_last_name,email_1_title,email_2,email_2.emails_validator.status,phone_1,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_2,phone_2.whitepages_phones.lookup_type,facebook,instagram,linkedin,company_insights.employees,company_insights.revenue,company_insights.industry,phone_normalized,niche
Mr. Electric of Dallas,Mr Electric Of Dallas,"Electrician, Electrical installation service, Electrical repair shop",Electrician,+1 469-634-0316,,,https://www.mrelectricdallas.com/,"8500 N Stemmons Fwy Suite #3024, Dallas, TX 75247",8500 N Stemmons Fwy Suite #3024,Dallas,TX,75247,4.8,1195,True,,,,,,,,,,,,,,,,,,,,,+14696340316,electricians
Mr. Electric of Dallas,Mr Electric Of Dallas,"Electrician, Electrical installation service, Electrical repair shop",Electrician,+1 469-634-0316,,,https://www.mrelectricdallas.com/,"8500 N Stemmons Fwy Suite #3024, Dallas, TX 75247",8500 N Stemmons Fwy Suite #3024,Dallas,TX,75247,4.8,1195,True,,,,,,,,,,,,,,,,,,,,,+14696340316,electricians
Douglas Electrical Services,Douglas Electrical Services,Electrician,Electrician,+1 817-657-1341,,,https://www.douglaselectricalservices.net/,"731 N Commerce St, Fort Worth, TX 76164",731 N Commerce St,Fort Worth,TX,76164,4.9,135,True,,,,,,,,,,,,,,,,,,,,CONSTRUCTION,+18176571341,electricians
Electrician On Call,Electrician On Call,"Electrician, Air conditioning contractor, Air conditioning repair service, HVAC contractor",Electrician,+1 214-235-7251,person,David M Jones,https://www.electricianoncall.com/,"6703 Levelland Rd Suite B, Dallas, TX 75252",6703 Levelland Rd Suite B,Dallas,TX,75252,4.9,697,True,,,,,,,,,,,,,,,,,,50,10000000,CONSTRUCTION,+12142357251,electricians
Electrician On Call,Electrician On Call,"Electrician, Air conditioning contractor, Air conditioning repair service, HVAC contractor",Electrician,+1 214-235-7251,person,David M Jones,https://www.electricianoncall.com/,"6703 Levelland Rd Suite B, Dallas, TX 75252",6703 Levelland Rd Suite B,Dallas,TX,75252,4.9,697,True,,,,,,,,,,,,,,,,,,50,10000000,CONSTRUCTION,+12142357251,electricians
Electrician On Call,Electrician On Call,"Electrician, Air conditioning contractor, Air conditioning repair service, HVAC contractor",Electrician,+1 214-235-7251,person,David M Jones,https://www.electricianoncall.com/,"6703 Levelland Rd Suite B, Dallas, TX 75252",6703 Levelland Rd Suite B,Dallas,TX,75252,4.9,697,True,,,,,,,,,,,,,,,,,,50,10000000,CONSTRUCTION,+12142357251,electricians
ElectricMan,Electricman,Electrician,Electrician,+1 972-362-1804,person,Alexandra J Waldron,https://www.electricmaninc.com/,"13551 Floyd Cir, Dallas, TX 75243",13551 Floyd Cir,Dallas,TX,75243,4.8,570,True,,,,,,,,,,,,,,,,,,25,10000000,CONSTRUCTION,+19723621804,electricians
ElectricMan,Electricman,Electrician,Electrician,+1 972-362-1804,person,Alexandra J Waldron,https://www.electricmaninc.com/,"13551 Floyd Cir, Dallas, TX 75243",13551 Floyd Cir,Dallas,TX,75243,4.8,570,True,,,,,,,,,,,,,,,,,,25,10000000,CONSTRUCTION,+19723621804,electricians
ElectricMan,Electricman,Electrician,Electrician,+1 972-362-1804,person,Alexandra J Waldron,https://www.electricmaninc.com/,"13551 Floyd Cir, Dallas, TX 75243",13551 Floyd Cir,Dallas,TX,75243,4.8,570,True,,,,,,,,,,,,,,,,,,25,10000000,CONSTRUCTION,+19723621804,electricians
B&B Electric,B And B Electric,"Electrician, Contractor",Electrician,+1 817-600-8376,business,B&b Electric,http://www.bnb-electric.com/,"1361 W Euless Blvd Suite 111, Euless, TX 76040",1361 W Euless Blvd Suite 111,Euless,TX,76040,5,214,True,,,,,,,,,,,,,,,,,,,,CONSTRUCTION,+18176008376,electricians
