name,name_for_emails,subtypes,category,phone,phone.whitepages_phones.lookup_type,phone.whitepages_phones.name,website,address,street,city,state_code,postal_code,rating,reviews,verified,email_1,email_1.emails_validator.status,email_1_full_name,email_1_first_name,email_1_last_name,email_1_title,email_2,email_2.emails_validator.status,phone_1,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_2,phone_2.whitepages_phones.lookup_type,facebook,instagram,linkedin,company_insights.employees,company_insights.revenue,company_insights.industry,phone_normalized,niche
DFW Fence Contractor LLC,Dfw Fence Contractor,"Fence contractor, Carport and pergola builder, Deck builder, Iron works",Fence contractor,+1 817-886-0848,business,Dfw Fence Contractor,https://dfwfencecontractor.com/,"9972 Bison Ct, Fort Worth, TX 76244",9972 Bison Ct,Fort Worth,TX,76244,4.8,493,True,,,,,,,,,,,,,,,,,,10,10000000,CONSTRUCTION,+18178860848,fence
DFW Fence Contractor LLC,Dfw Fence Contractor,"Fence contractor, Carport and pergola builder, Deck builder, Iron works",Fence contractor,+1 817-886-0848,business,Dfw Fence Contractor,https://dfwfencecontractor.com/,"9972 Bison Ct, Fort Worth, TX 76244",9972 Bison Ct,Fort Worth,TX,76244,4.8,493,True,,,,,,,,,,,,,,,,,,10,10000000,CONSTRUCTION,+18178860848,fence
DFW Fence Contractor LLC,Dfw Fence Contractor,"Fence contractor, Carport and pergola builder, Deck builder, Iron works",Fence contractor,+1 817-577-3554,business,Asap Overhead Door,http://www.dfwfencecontractor.com/,"5738 Wilson Rd, Fort Worth, TX 76140",5738 Wilson Rd,Fort Worth,TX,76140,4.8,51,True,,,,,,,,,,,,,,,,,,10,10000000,CONSTRUCTION,+18175773554,fence
DFW Fence Contractor LLC,Dfw Fence Contractor,"Fence contractor, Carport and pergola builder, Deck builder, Iron works",Fence contractor,+1 817-577-3554,business,Asap Overhead Door,http://www.dfwfencecontractor.com/,"5738 Wilson Rd, Fort Worth, TX 76140",5738 Wilson Rd,Fort Worth,TX,76140,4.8,51,True,,,,,,,,,,,,,,,,,,10,10000000,CONSTRUCTION,+18175773554,fence
King of Kings Fence,King Of Kings Fence,Fence contractor,Fence contractor,+1 469-258-9458,person,Candido I Rico,https://kingofkingsfence.com/,"3415 Beall St, Dallas, TX 75223",3415 Beall St,Dallas,TX,75223,4.9,207,True,,,,,,,,,,,,,,,,,,,,,+14692589458,fence
King of Kings Fence,King Of Kings Fence,Fence contractor,Fence contractor,+1 469-258-9458,person,Candido I Rico,https://kingofkingsfence.com/,"3415 Beall St, Dallas, TX 75223",3415 Beall St,Dallas,TX,75223,4.9,207,True,,,,,,,,,,,,,,,,,,,,,+14692589458,fence
Ft. Worth Fence and Patio,Ft Worth Fence And Patio,"Fence contractor, Carport and pergola builder, Concrete contractor, Deck builder, General contractor, Landscaper, Patio enclosure supplier, Railing contractor, Stone supplier",Fence contractor,+1 682-564-2372,,,http://ftworthfenceandpatio.com/,"2821 McLemore Ave, Fort Worth, TX 76111",2821 McLemore Ave,Fort Worth,TX,76111,5,79,True,,,,,,,,,,,,,,,,,,,,,+16825642372,fence
Top Rail Fence Fort Worth,Top Rail Fence Fort Worth,"Fence contractor, Agricultural service, Construction company, Contractor, Farm equipment repair service, Railing contractor, Security system installation service, Woodworker",Fence contractor,+1 817-886-4972,,,https://toprailfences.com/fort-worth/%3Futm_campaign%3Dgmb%26utm_medium%3Dorganic_gmb%26utm_source%3Dgoogle,"14785 Preston Rd Suite 1030-C, Dallas, TX 75254",14785 Preston Rd Suite 1030-C,Dallas,TX,75254,4.9,58,True,,,,,,,,,,,,,,,,,,,,,+18178864972,fence
Top Rail Fence Fort Worth,Top Rail Fence Fort Worth,"Fence contractor, Agricultural service, Construction company, Contractor, Farm equipment repair service, Railing contractor, Security system installation service, Woodworker",Fence contractor,+1 817-886-4972,,,https://toprailfences.com/fort-worth/%3Futm_campaign%3Dgmb%26utm_medium%3Dorganic_gmb%26utm_source%3Dgoogle,"14785 Preston Rd Suite 1030-C, Dallas, TX 75254",14785 Preston Rd Suite 1030-C,Dallas,TX,75254,4.9,58,True,,,,,,,,,,,,,,,,,,,,,+18178864972,fence
Top Rail Fence Fort Worth,Top Rail Fence Fort Worth,"Fence contractor, Agricultural service, Construction company, Contractor, Farm equipment repair service, Railing contractor, Security system installation service, Woodworker",Fence contractor,+1 817-886-4972,,,https://toprailfences.com/fort-worth/%3Futm_campaign%3Dgmb%26utm_medium%3Dorganic_gmb%26utm_source%3Dgoogle,"14785 Preston Rd Suite 1030-C, Dallas, TX 75254",14785 Preston Rd Suite 1030-C,Dallas,TX,75254,4.9,58,True,,,,,,,,,,,,,,,,,,,,,+18178864972,fence
