name,name_for_emails,subtypes,category,phone,phone.whitepages_phones.lookup_type,phone.whitepages_phones.name,website,address,street,city,state_code,postal_code,rating,reviews,verified,email_1,email_1.emails_validator.status,email_1_full_name,email_1_first_name,email_1_last_name,email_1_title,email_2,email_2.emails_validator.status,phone_1,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_2,phone_2.whitepages_phones.lookup_type,facebook,instagram,linkedin,company_insights.employees,company_insights.revenue,company_insights.industry,phone_normalized,niche
McKinney Garage Doors,Mckinney Garage Doors,"Garage door supplier, Home improvement store",Garage door supplier,+1 214-733-2371,,,http://mckinneydoors.com/,"1912 Univ Business Dr Ste 403, McKinney, TX 75071",1912 Univ Business Dr Ste 403,McKinney,TX,75071,4.8,256,True,info@mckinneydoors.com,RECEIVING,,,,,mckinneydoors@gmail.com,RECEIVING,19722222345,,,,9722222345,,http://www.facebook.com/mckinneydoors,https://www.instagram.com/mckinney_garage_doors,http://www.linkedin.com/company/mckinney-garage-doors,50,10000000,,+12147332371,garage_door
Premium Garage Door Repair,Premium Garage Door Repair,"Garage door supplier, Contractor, Door supplier, Garage builder, Repair service",Garage door supplier,+1 972-529-6900,person,Richard K Brown,https://www.premiumgaragedoorrepair.net/%3Futm_campaign%3Dgoogle%26utm_medium%3Dlocal%26utm_source%3Dgoogle_business_profile,"5900 S Lake Forest Dr Ste 300, McKinney, TX 75070",5900 S Lake Forest Dr Ste 300,McKinney,TX,75070,4.9,750,True,mypremiuimgaragedoor@gmail.com,INVALID,,,,,mypremiumgaragedoor@gmail.com,RECEIVING,9725296900,person,Richard K Brown,,,,https://www.facebook.com/194708667789404,,,,,,+19725296900,garage_door
Reliable Garage Door Repair,Reliable Garage Door Repair,"Garage door supplier, Door supplier, Repair service",Garage door supplier,+1 214-390-2840,,,https://reliablegaragedoorrepair.com/%3Futm_source%3Dgooglemb%26utm_medium%3Dorganic%26utm_campaign%3Dweblink%26utm_content%3Dhome,"1413 Shelby Ln Unit C-1, Celina, TX 75009",1413 Shelby Ln Unit C-1,Celina,TX,75009,4.9,271,True,info@reliablegaragedoorrepair.com,INVALID,,,,,,,4697784241,business,Reliable Garage Door Repair,,8304767763,,https://www.facebook.com/people/Reliable-Garage-Door-Repair/100070003039487/,,,50,10000000,,+12143902840,garage_door
Anthony Garage Door Repair,Anthony Garage Door Repair,"Garage door supplier, Service establishment, Repair service",Repair service,+1 469-809-3059,,,http://garagedoorrepairfriscotexas.com/,,,,,,4.9,44,True,info@garagedoorrepairfriscotexas.com,UNKNOWN,,,,,,,4698093059,,,,14698093059,,,,,50,10000000,,+14698093059,garage_door
Premium Garage Door Repair,Premium Garage Door Repair,"Garage door supplier, Door supplier, Repair service",Garage door supplier,+1 903-505-6445,,,https://premiumgaragedoorrepair.net/van-alstyne/%3Futm_campaign%3Dgoogle%26utm_medium%3Dorganic%26utm_source%3Dgoogle_business_profile,"617 Springtown Rd, Van Alstyne, TX 75495",617 Springtown Rd,Van Alstyne,TX,75495,4.7,31,True,mypremiuimgaragedoor@gmail.com,INVALID,,,,,mypremiumgaragedoor@gmail.com,RECEIVING,9725296900,person,Richard K Brown,,,,https://www.facebook.com/194708667789404,,,,,,+19035056445,garage_door
Action Garage Door Repair Specialists,Action Garage Door Repair Specialists,"Garage door supplier, Spring supplier",Garage door supplier,+1 972-846-0508,,,https://www.actiongaragedoor.com/%3Futm_campaign%3Dgmb,"1224 Millard Dr, Plano, TX 75074",1224 Millard Dr,Plano,TX,75074,4.9,2978,True,g.staats@actiongaragedoor.com,INVALID,Gary Staats,Gary,Staats,,sales@actiongaragedoor.com,RECEIVING,19722544040,person,Linda Joan Bulman,,18176333119,business,http://www.facebook.com/586522448096096,,http://www.linkedin.com/company/action-door-repair-spclst,50,10000000,CONSTRUCTION,+19728460508,garage_door
The Garage Door Man,The Garage Door Man,"Garage door supplier, Service establishment",Garage door supplier,+1 214-442-3240,,,https://www.garagedoorsmckinneytexas.com/,,,,,,5,144,True,dustinsigmon357@gmail.com,RECEIVING,,,,,,,12144423240,,,,2144423240,,http://www.facebook.com/DustinTheDoorMan/,,,,,CONSTRUCTION,+12144423240,garage_door
Jared's Garages,Jareds Garages,Garage door supplier,Garage door supplier,+1 972-853-5400,,,https://garagedoorsprinceton.com/,"501 E Princeton Dr Suite 120, Princeton, TX 75407",501 E Princeton Dr Suite 120,Princeton,TX,75407,4.5,46,True,,,,,,,,,9728535400,,,,,,,,,,,,+19728535400,garage_door
Veteran Garage Door Repair,Veteran Garage Door Repair,Garage door supplier,Garage door supplier,+1 972-347-0719,business,Veteran Garage Door Repair,https://veterangaragedoor.com/our-service-area/garage-door-repair-mckinney-tx/,"503 N Kentucky St APT 10, McKinney, TX 75069",503 N Kentucky St APT 10,McKinney,TX,75069,4.8,152,True,office@vetgd.com,RECEIVING,Lotan Stern,Lotan,Stern,Co Chief Executive Officer,amoon@veterangaragedoor.com,INVALID,9723470724,person,Virginia A Lomas,,8177696677,business,http://www.facebook.com/vgdteam,,http://www.linkedin.com/company/veteran-garage-door,10,10000000,CONSUMER_SERVICES,+19723470719,garage_door
Imperial Overhead Garage Door Repair,Imperial Overhead Garage Door Repair,Garage door supplier,Garage door supplier,+1 469-956-6391,,,https://imperialgaragedoorrepair.com/garage-door-repair-blue-ridge-tx/,"10231 Co Rd 670, Blue Ridge, TX 75424",10231 Co Rd 670,Blue Ridge,TX,75424,5,20,True,imperialogdr@gmail.com,RECEIVING,,,,,info@website.com,INVALID,4692738847,,,,,,,,,,,CONSTRUCTION,+14699566391,garage_door
