name,name_for_emails,subtypes,category,phone,phone.whitepages_phones.lookup_type,phone.whitepages_phones.name,website,address,street,city,state_code,postal_code,rating,reviews,verified,email_1,email_1.emails_validator.status,email_1_full_name,email_1_first_name,email_1_last_name,email_1_title,email_2,email_2.emails_validator.status,phone_1,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_2,phone_2.whitepages_phones.lookup_type,facebook,instagram,linkedin,company_insights.employees,company_insights.revenue,company_insights.industry,phone_normalized,niche
DFW Construction,Dfw Construction,"Construction company, Building restoration service, Remodeler, Roofing contractor",Construction company,+1 817-715-3115,person,Connie Miller Mcmonigle,http://dfwconstruction.com/,"196 Covered Bridge Dr, Fort Worth, TX 76108",196 Covered Bridge Dr,Fort Worth,TX,76108,4.9,36,True,,,,,,,,,,,,,,,,,,,,,+18177153115,general_contractors
DFW Construction,Dfw Construction,"Construction company, Building restoration service, Remodeler, Roofing contractor",Construction company,+1 817-715-3115,person,Connie Miller Mcmonigle,http://dfwconstruction.com/,"196 Covered Bridge Dr, Fort Worth, TX 76108",196 Covered Bridge Dr,Fort Worth,TX,76108,4.9,36,True,,,,,,,,,,,,,,,,,,,,,+18177153115,general_contractors
Lucky Construction Inc,Lucky Construction,General contractor,General contractor,+1 972-223-4448,person,Joshua Aaron Roberson,http://www.luckyconstruction.com/,"2214 Sulphur St, Dallas, TX 75208",2214 Sulphur St,Dallas,TX,75208,4.2,16,False,,,,,,,,,,,,,,,,,,50,10000000,CONSTRUCTION,+19722234448,general_contractors
Lucky Construction Inc,Lucky Construction,General contractor,General contractor,+1 972-223-4448,person,Joshua Aaron Roberson,http://www.luckyconstruction.com/,"2214 Sulphur St, Dallas, TX 75208",2214 Sulphur St,Dallas,TX,75208,4.2,16,False,,,,,,,,,,,,,,,,,,50,10000000,CONSTRUCTION,+19722234448,general_contractors
Lucky Construction Inc,Lucky Construction,General contractor,General contractor,+1 972-223-4448,person,Joshua Aaron Roberson,http://www.luckyconstruction.com/,"2214 Sulphur St, Dallas, TX 75208",2214 Sulphur St,Dallas,TX,75208,4.2,16,False,,,,,,,,,,,,,,,,,,50,10000000,CONSTRUCTION,+19722234448,general_contractors
DFW Construction Services,Dfw Construction Services,"General contractor, Building designer, Building firm, Concrete contractor, Construction company, Contractor, Flooring contractor, Home builder, Kitchen remodeler, Remodeler",General contractor,+1 817-465-5555,person,Paul Kanyua Moche,http://www.dfwconstructionservices.com/,"4401 Little Rd #161, Arlington, TX 76016",4401 Little Rd #161,Arlington,TX,76016,4.9,32,True,,,,,,,,,,,,,,,,,,10,10000000,,+18174655555,general_contractors
DFW Construction Services,Dfw Construction Services,"General contractor, Building designer, Building firm, Concrete contractor, Construction company, Contractor, Flooring contractor, Home builder, Kitchen remodeler, Remodeler",General contractor,+1 817-465-5555,person,Paul Kanyua Moche,http://www.dfwconstructionservices.com/,"4401 Little Rd #161, Arlington, TX 76016",4401 Little Rd #161,Arlington,TX,76016,4.9,32,True,,,,,,,,,,,,,,,,,,10,10000000,,+18174655555,general_contractors
DFW Construction Services,Dfw Construction Services,"General contractor, Building designer, Building firm, Concrete contractor, Construction company, Contractor, Flooring contractor, Home builder, Kitchen remodeler, Remodeler",General contractor,+1 817-465-5555,person,Paul Kanyua Moche,http://www.dfwconstructionservices.com/,"4401 Little Rd #161, Arlington, TX 76016",4401 Little Rd #161,Arlington,TX,76016,4.9,32,True,,,,,,,,,,,,,,,,,,10,10000000,,+18174655555,general_contractors
DFW Construction,Dfw Construction,"Construction company, Remodeler, Roofing contractor",Construction company,+1 972-885-8434,,,http://dfwconstruction.com/,"7300 Lone Star Dr STE 200, Plano, TX 75024",7300 Lone Star Dr STE 200,Plano,TX,75024,5,48,True,,,,,,,,,,,,,,,,,,,,,+19728858434,general_contractors
DFW Construction,Dfw Construction,"Construction company, Remodeler, Roofing contractor",Construction company,+1 972-885-8434,,,http://dfwconstruction.com/,"7300 Lone Star Dr STE 200, Plano, TX 75024",7300 Lone Star Dr STE 200,Plano,TX,75024,5,48,True,,,,,,,,,,,,,,,,,,,,,+19728858434,general_contractors
