name,name_for_emails,subtypes,category,phone,phone.whitepages_phones.lookup_type,phone.whitepages_phones.name,website,address,street,city,state_code,postal_code,rating,reviews,verified,email_1,email_1.emails_validator.status,email_1_full_name,email_1_first_name,email_1_last_name,email_1_title,email_2,email_2.emails_validator.status,phone_1,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_2,phone_2.whitepages_phones.lookup_type,facebook,instagram,linkedin,company_insights.employees,company_insights.revenue,company_insights.industry,phone_normalized,niche
DFW Landscaping & Lawn Care,Dfw Landscaping And Lawn Care,"Landscaper, Landscape architect, Landscape designer, Property maintenance",Landscaper,+1 214-339-5263,,,http://214dfwland.com/,"4520 Angelina Way, Fort Worth, TX 76137",4520 Angelina Way,Fort Worth,TX,76137,4.8,46,True,,,,,,,,,,,,,,,,,,,,,+12143395263,landscaping
Chelsea Garden Center,Chelsea Garden Center,"Landscaper, Garden, Home goods store, Landscape designer, Garden center, Plant nursery",Garden center,+1 718-384-7600,person,Joseph J Oros III,http://chelseagardencenter.com/,"87 Havemeyer St, Brooklyn, NY 11211",87 Havemeyer St,Brooklyn,NY,11211,4.5,180,True,,,,,,,,,,,,,,,,,,50,10000000,MACHINERY,+17183847600,landscaping
Chelsea Garden Center,Chelsea Garden Center,"Landscaper, Garden, Home goods store, Landscape designer, Garden center, Plant nursery",Garden center,+1 718-384-7600,person,Joseph J Oros III,http://chelseagardencenter.com/,"87 Havemeyer St, Brooklyn, NY 11211",87 Havemeyer St,Brooklyn,NY,11211,4.5,180,True,,,,,,,,,,,,,,,,,,50,10000000,MACHINERY,+17183847600,landscaping
Chelsea Garden Center,Chelsea Garden Center,"Landscaper, Garden, Home goods store, Landscape designer, Garden center, Plant nursery",Garden center,+1 718-384-7600,person,Joseph J Oros III,http://chelseagardencenter.com/,"87 Havemeyer St, Brooklyn, NY 11211",87 Havemeyer St,Brooklyn,NY,11211,4.5,180,True,,,,,,,,,,,,,,,,,,50,10000000,MACHINERY,+17183847600,landscaping
Southern Botanical Landscaping,Southern Botanical Landscaping,"Landscaper, Arborist service, Gardener, Landscape designer, Lawn care service, Property maintenance, Tree service",Landscaper,+1 214-366-2103,person,Andrea Rebecca Nunez,https://southernbotanical.com/,"3151 Halifax St Suite 100, Dallas, TX 75247",3151 Halifax St Suite 100,Dallas,TX,75247,4.6,201,True,,,,,,,,,,,,,,,,,,200,50000000,CONSTRUCTION,+12143662103,landscaping
Southern Botanical Landscaping,Southern Botanical Landscaping,"Landscaper, Arborist service, Gardener, Landscape designer, Lawn care service, Property maintenance, Tree service",Landscaper,+1 214-366-2103,person,Andrea Rebecca Nunez,https://southernbotanical.com/,"3151 Halifax St Suite 100, Dallas, TX 75247",3151 Halifax St Suite 100,Dallas,TX,75247,4.6,201,True,,,,,,,,,,,,,,,,,,200,50000000,CONSTRUCTION,+12143662103,landscaping
Southern Botanical Landscaping,Southern Botanical Landscaping,"Landscaper, Arborist service, Gardener, Landscape designer, Lawn care service, Property maintenance, Tree service",Landscaper,+1 214-366-2103,person,Andrea Rebecca Nunez,https://southernbotanical.com/,"3151 Halifax St Suite 100, Dallas, TX 75247",3151 Halifax St Suite 100,Dallas,TX,75247,4.6,201,True,,,,,,,,,,,,,,,,,,200,50000000,CONSTRUCTION,+12143662103,landscaping
Texas Lawn Legends,Texas Lawn Legends,Landscaper,Landscaper,+1 214-617-7725,person,John Albert Garza,https://www.txlawnlegends.com/,"1606 Plantation Rd, Dallas, TX 75235",1606 Plantation Rd,Dallas,TX,75235,4.9,143,True,,,,,,,,,,,,,,,,,,,,,+12146177725,landscaping
Lambert Landscape Company,Lambert Landscape Company,"Landscaper, Landscape architect, Landscape designer",Landscaper,+1 214-350-8350,person,Mary Elizabeth Riddle,http://www.lamberts.net/,"2950 Irving Blvd, Dallas, TX 75247",2950 Irving Blvd,Dallas,TX,75247,4.5,32,True,,,,,,,,,,,,,,,,,,50,50000000,ARCHITECTURE_PLANNING,+12143508350,landscaping
Lambert Landscape Company,Lambert Landscape Company,"Landscaper, Landscape architect, Landscape designer",Landscaper,+1 214-350-8350,person,Mary Elizabeth Riddle,http://www.lamberts.net/,"2950 Irving Blvd, Dallas, TX 75247",2950 Irving Blvd,Dallas,TX,75247,4.5,32,True,,,,,,,,,,,,,,,,,,50,50000000,ARCHITECTURE_PLANNING,+12143508350,landscaping
