name,name_for_emails,subtypes,category,phone,phone.whitepages_phones.lookup_type,phone.whitepages_phones.name,website,address,street,city,state_code,postal_code,rating,reviews,verified,email_1,email_1.emails_validator.status,email_1_full_name,email_1_first_name,email_1_last_name,email_1_title,email_2,email_2.emails_validator.status,phone_1,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_2,phone_2.whitepages_phones.lookup_type,facebook,instagram,linkedin,company_insights.employees,company_insights.revenue,company_insights.industry,phone_normalized,niche
Upper West Spa,Upper West Spa,"Medical spa, Facial spa, Laser hair removal service, Massage spa, Day spa",Day spa,+1 212-787-1696,,,http://upperwestspa.com/,"189 A Amsterdam Ave, New York, NY 10023",189 A Amsterdam Ave,New York,NY,10023,5,158,True,,,,,,,,,,,,,,,,,,,,,+12127871696,medspas
LaserAway Tribeca,Laseraway Tribeca,"Laser hair removal service, Hair removal service, Health and beauty shop, Medical spa, Skin care clinic, Tattoo removal service",Laser hair removal service,+1 212-315-8529,,,https://www.laseraway.com/locations/ny/manhattan-city-tribeca/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dwebsite-link,"143 Duane St, New York, NY 10013",143 Duane St,New York,NY,10013,4.8,601,True,,,,,,,,,,,,,,,,,,1000,250000000,,+12123158529,medspas
LaserAway Tribeca,Laseraway Tribeca,"Laser hair removal service, Hair removal service, Health and beauty shop, Medical spa, Skin care clinic, Tattoo removal service",Laser hair removal service,+1 212-315-8529,,,https://www.laseraway.com/locations/ny/manhattan-city-tribeca/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dwebsite-link,"143 Duane St, New York, NY 10013",143 Duane St,New York,NY,10013,4.8,601,True,,,,,,,,,,,,,,,,,,1000,250000000,,+12123158529,medspas
LaserAway Tribeca,Laseraway Tribeca,"Laser hair removal service, Hair removal service, Health and beauty shop, Medical spa, Skin care clinic, Tattoo removal service",Laser hair removal service,+1 212-315-8529,,,https://www.laseraway.com/locations/ny/manhattan-city-tribeca/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dwebsite-link,"143 Duane St, New York, NY 10013",143 Duane St,New York,NY,10013,4.8,601,True,,,,,,,,,,,,,,,,,,1000,250000000,,+12123158529,medspas
DFW MEDICAL SPA,Dfw Medical Spa,"Medical spa, Dermatologist, Facial spa, Massage therapist, Spa",Medical spa,+1 469-279-9897,,,http://www.dfwmedspabeauty.com/,"1009 Glade Rd Suite B, Colleyville, TX 76034",1009 Glade Rd Suite B,Colleyville,TX,76034,4.8,56,True,,,,,,,,,,,,,,,,,,,,,+14692799897,medspas
DFW MEDICAL SPA,Dfw Medical Spa,"Medical spa, Dermatologist, Facial spa, Massage therapist, Spa",Medical spa,+1 469-279-9897,,,http://www.dfwmedspabeauty.com/,"1009 Glade Rd Suite B, Colleyville, TX 76034",1009 Glade Rd Suite B,Colleyville,TX,76034,4.8,56,True,,,,,,,,,,,,,,,,,,,,,+14692799897,medspas
SEV Laser,Sev Laser,"Laser hair removal service, Medical spa",Laser hair removal service,+1 212-245-4085,,,https://sevlaser.com/new-york/,"120 Central Park S # 1F, New York, NY 10019",120 Central Park S # 1F,New York,NY,10019,4.7,790,True,,,,,,,,,,,,,,,,,,200,10000000,,+12122454085,medspas
SEV Laser,Sev Laser,"Laser hair removal service, Medical spa",Laser hair removal service,+1 212-245-4085,,,https://sevlaser.com/new-york/,"120 Central Park S # 1F, New York, NY 10019",120 Central Park S # 1F,New York,NY,10019,4.7,790,True,,,,,,,,,,,,,,,,,,200,10000000,,+12122454085,medspas
SEV Laser,Sev Laser,"Laser hair removal service, Medical spa",Laser hair removal service,+1 212-245-4085,,,https://sevlaser.com/new-york/,"120 Central Park S # 1F, New York, NY 10019",120 Central Park S # 1F,New York,NY,10019,4.7,790,True,,,,,,,,,,,,,,,,,,200,10000000,,+12122454085,medspas
It's A Secret Med Spa,Its A Secret Med Spa,"Medical spa, Facial spa",Medical spa,+1 817-385-4814,,,https://secretmedspa.com/fort-worth-tx/,"2917 Crockett St, Fort Worth, TX 76107",2917 Crockett St,Fort Worth,TX,76107,4.7,306,True,,,,,,,,,,,,,,,,,,200,10000000,,+18173854814,medspas
It's A Secret Med Spa,Its A Secret Med Spa,"Medical spa, Facial spa",Medical spa,+1 817-385-4814,,,https://secretmedspa.com/fort-worth-tx/,"2917 Crockett St, Fort Worth, TX 76107",2917 Crockett St,Fort Worth,TX,76107,4.7,306,True,,,,,,,,,,,,,,,,,,200,10000000,,+18173854814,medspas
It's A Secret Med Spa,Its A Secret Med Spa,"Medical spa, Facial spa",Medical spa,+1 817-385-4814,,,https://secretmedspa.com/fort-worth-tx/,"2917 Crockett St, Fort Worth, TX 76107",2917 Crockett St,Fort Worth,TX,76107,4.7,306,True,,,,,,,,,,,,,,,,,,200,10000000,,+18173854814,medspas
The MedSpa of DFW,The Medspa Of Dfw,Medical spa,Medical spa,+1 817-546-6772,,,https://medspaofdfw.com/,"815 Ira E. Woods Ave #200, Grapevine, TX 76051",815 Ira E. Woods Ave #200,Grapevine,TX,76051,4.9,53,True,,,,,,,,,,,,,,,,,,,,HEALTH_WELLNESS_AND_FITNESS,+18175466772,medspas
The MedSpa of DFW,The Medspa Of Dfw,Medical spa,Medical spa,+1 817-546-6772,,,https://medspaofdfw.com/,"815 Ira E. Woods Ave #200, Grapevine, TX 76051",815 Ira E. Woods Ave #200,Grapevine,TX,76051,4.9,53,True,,,,,,,,,,,,,,,,,,,,HEALTH_WELLNESS_AND_FITNESS,+18175466772,medspas
The MedSpa of DFW,The Medspa Of Dfw,Medical spa,Medical spa,+1 817-546-6772,,,https://medspaofdfw.com/,"815 Ira E. Woods Ave #200, Grapevine, TX 76051",815 Ira E. Woods Ave #200,Grapevine,TX,76051,4.9,53,True,,,,,,,,,,,,,,,,,,,,HEALTH_WELLNESS_AND_FITNESS,+18175466772,medspas
Bella MedSpa - Dallas MedSpa,Bella Medspa Dallas Medspa,Medical spa,Medical spa,+1 972-762-4636,,,http://www.bellamedspadfw.com/,"412 S Llewellyn Ave #150, Dallas, TX 75208",412 S Llewellyn Ave #150,Dallas,TX,75208,4.8,490,True,,,,,,,,,,,,,,,,,,,,,+19727624636,medspas
Bella MedSpa - Dallas MedSpa,Bella Medspa Dallas Medspa,Medical spa,Medical spa,+1 972-762-4636,,,http://www.bellamedspadfw.com/,"412 S Llewellyn Ave #150, Dallas, TX 75208",412 S Llewellyn Ave #150,Dallas,TX,75208,4.8,490,True,,,,,,,,,,,,,,,,,,,,,+19727624636,medspas
"Hanami Medspa: Elaine Phuah, DO, MBA, FACOI",Hanami Medspa: Elaine Phuah Do Mba Facoi,Medical spa,Medical spa,+1 817-808-8938,,,https://www.hanamimedspa.com/%3Futm_source%3Dgmb_auth,"800 8th Ave Suite 508, Fort Worth, TX 76104",800 8th Ave Suite 508,Fort Worth,TX,76104,4.9,240,True,,,,,,,,,,,,,,,,,,10,1000000,,+18178088938,medspas
Ideal Skin MedSpa,Ideal Skin Medspa,"Medical spa, Skin care clinic",Medical spa,+1 817-820-0193,,,https://www.idealskinfw.com/,"3615 Camp Bowie Blvd, Fort Worth, TX 76107",3615 Camp Bowie Blvd,Fort Worth,TX,76107,4.3,35,True,,,,,,,,,,,,,,,,,,50,10000000,PHARMACEUTICALS,+18178200193,medspas
Ideal Skin MedSpa,Ideal Skin Medspa,"Medical spa, Skin care clinic",Medical spa,+1 817-820-0193,,,https://www.idealskinfw.com/,"3615 Camp Bowie Blvd, Fort Worth, TX 76107",3615 Camp Bowie Blvd,Fort Worth,TX,76107,4.3,35,True,,,,,,,,,,,,,,,,,,50,10000000,PHARMACEUTICALS,+18178200193,medspas
Ideal Skin MedSpa,Ideal Skin Medspa,"Medical spa, Skin care clinic",Medical spa,+1 817-820-0193,,,https://www.idealskinfw.com/,"3615 Camp Bowie Blvd, Fort Worth, TX 76107",3615 Camp Bowie Blvd,Fort Worth,TX,76107,4.3,35,True,,,,,,,,,,,,,,,,,,50,10000000,PHARMACEUTICALS,+18178200193,medspas
