name,name_for_emails,subtypes,category,phone,phone.whitepages_phones.lookup_type,phone.whitepages_phones.name,website,address,street,city,state_code,postal_code,rating,reviews,verified,email_1,email_1.emails_validator.status,email_1_full_name,email_1_first_name,email_1_last_name,email_1_title,email_2,email_2.emails_validator.status,phone_1,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_2,phone_2.whitepages_phones.lookup_type,facebook,instagram,linkedin,company_insights.employees,company_insights.revenue,company_insights.industry,phone_normalized,niche
Lon Smith Roofing & Construction,Lon Smith Roofing And Construction,Roofing contractor,Roofing contractor,+1 817-926-8400,person,Jennifer Dawn Puckett,https://www.lonsmith.com/,"904 E Waggoman St, Fort Worth, TX 76110",904 E Waggoman St,Fort Worth,TX,76110,4.7,511,True,,,,,,,,,,,,,,,,,,200,1000000,CONSTRUCTION,+18179268400,roofers
Lon Smith Roofing & Construction,Lon Smith Roofing And Construction,Roofing contractor,Roofing contractor,+1 817-926-8400,person,Jennifer Dawn Puckett,https://www.lonsmith.com/,"904 E Waggoman St, Fort Worth, TX 76110",904 E Waggoman St,Fort Worth,TX,76110,4.7,511,True,,,,,,,,,,,,,,,,,,200,1000000,CONSTRUCTION,+18179268400,roofers
Lon Smith Roofing & Construction,Lon Smith Roofing And Construction,Roofing contractor,Roofing contractor,+1 817-926-8400,person,Jennifer Dawn Puckett,https://www.lonsmith.com/,"904 E Waggoman St, Fort Worth, TX 76110",904 E Waggoman St,Fort Worth,TX,76110,4.7,511,True,,,,,,,,,,,,,,,,,,200,1000000,CONSTRUCTION,+18179268400,roofers
Bold Roofing - DFW's Best Roofing Contractor,Bold Roofing Dfws Best Roofing Contractor,"Roofing contractor, Construction company, General contractor, Gutter service",Roofing contractor,+1 972-380-9300,person,Robert Steven Bold,https://www.boldroofing.com/,"10720 Miller Rd #303, Dallas, TX 75238",10720 Miller Rd #303,Dallas,TX,75238,4.7,603,True,,,,,,,,,,,,,,,,,,50,1000000,CONSTRUCTION,+19723809300,roofers
Bold Roofing - DFW's Best Roofing Contractor,Bold Roofing Dfws Best Roofing Contractor,"Roofing contractor, Construction company, General contractor, Gutter service",Roofing contractor,+1 972-380-9300,person,Robert Steven Bold,https://www.boldroofing.com/,"10720 Miller Rd #303, Dallas, TX 75238",10720 Miller Rd #303,Dallas,TX,75238,4.7,603,True,,,,,,,,,,,,,,,,,,50,1000000,CONSTRUCTION,+19723809300,roofers
Bold Roofing - DFW's Best Roofing Contractor,Bold Roofing Dfws Best Roofing Contractor,"Roofing contractor, Construction company, General contractor, Gutter service",Roofing contractor,+1 972-380-9300,person,Robert Steven Bold,https://www.boldroofing.com/,"10720 Miller Rd #303, Dallas, TX 75238",10720 Miller Rd #303,Dallas,TX,75238,4.7,603,True,,,,,,,,,,,,,,,,,,50,1000000,CONSTRUCTION,+19723809300,roofers
Branded Roofing And Construction,Branded Roofing And Construction,"Roofing contractor, Bathroom remodeler, Contractor, Fire damage restoration service, Kitchen remodeler, Water damage restoration service",Roofing contractor,+1 800-675-1302,,,https://www.brandedrac.com/,"2100 N Main St #107, Fort Worth, TX 76164",2100 N Main St #107,Fort Worth,TX,76164,5,109,True,,,,,,,,,,,,,,,,,,,,,+18006751302,roofers
Branded Roofing And Construction,Branded Roofing And Construction,"Roofing contractor, Bathroom remodeler, Contractor, Fire damage restoration service, Kitchen remodeler, Water damage restoration service",Roofing contractor,+1 800-675-1302,,,https://www.brandedrac.com/,"2100 N Main St #107, Fort Worth, TX 76164",2100 N Main St #107,Fort Worth,TX,76164,5,109,True,,,,,,,,,,,,,,,,,,,,,+18006751302,roofers
New View Roofing,New View Roofing,"Roofing contractor, Gutter cleaning service",Roofing contractor,+1 469-232-7220,person,Michael Christopher Gibson,https://newviewroofing.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,"4722 Gaston Ave, Dallas, TX 75246",4722 Gaston Ave,Dallas,TX,75246,4.9,667,True,,,,,,,,,,,,,,,,,,25,1000000,CONSTRUCTION,+14692327220,roofers
New View Roofing,New View Roofing,"Roofing contractor, Gutter cleaning service",Roofing contractor,+1 469-232-7220,person,Michael Christopher Gibson,https://newviewroofing.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,"4722 Gaston Ave, Dallas, TX 75246",4722 Gaston Ave,Dallas,TX,75246,4.9,667,True,,,,,,,,,,,,,,,,,,25,1000000,CONSTRUCTION,+14692327220,roofers
New View Roofing,New View Roofing,"Roofing contractor, Gutter cleaning service",Roofing contractor,+1 469-232-7220,person,Michael Christopher Gibson,https://newviewroofing.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,"4722 Gaston Ave, Dallas, TX 75246",4722 Gaston Ave,Dallas,TX,75246,4.9,667,True,,,,,,,,,,,,,,,,,,25,1000000,CONSTRUCTION,+14692327220,roofers
Henry & Sons Roof Repair,Henry And Sons Roof Repair,Roofing contractor,Roofing contractor,+1 469-599-8980,,,https://henryroofrepair.site/fort-worth,"3141 E Seminary Dr, Fort Worth, TX 76119",3141 E Seminary Dr,Fort Worth,TX,76119,4.9,62,True,,,,,,,,,,,,,,,,,,,,,+14695998980,roofers
