HUMAN LED AI — CAMPAIGN TRACKER,,,,,,,
Last Updated: February 09 2026,,,,,,,
,,,,,,,
Niche,Total Contacts,VMs Sent,Texts Sent,Emails Sent,Replies,Booked Calls,Conversion %
Water Damage,390,0,0,0,0,0,-
General Contractors,156,0,0,0,0,0,-
Roofing,29,0,0,0,0,0,-
HVAC,0,0,0,0,0,0,-
Painters,0,0,0,0,0,0,-
MedSpa,0,0,0,0,0,0,-
TOTALS,575,0,0,0,0,0,-
,,,,,,,
CAMPAIGN STATUS,,,,,,,
Niche,Campaign Type,Start Date,Script Version,Status,Notes,,
Water Damage,VM + Text Drip,-,V1/V2/V3,Ready,DFW area - 390 leads PRIORITY,,
General Contractors,VM + Text Drip,-,V1/V2/V3,Ready,DFW area - 156 leads,,
Roofing,VM + Text Drip,Feb 09 2026,V1/V2/V3,LAUNCHING,29 leads - GHL import ready,,
HVAC,VM + Text Drip,-,V1/V2/V3,Ready,DFW area,,
Painters,VM + Text Drip,-,V1/V2/V3,Ready,DFW area,,
MedSpa,VM + Text Drip,-,V1/V2/V3,Ready,DFW area,,
