HUMAN LED AI — CAMPAIGN TRACKER,,,,,,,
"Last Updated: February 09, 2026",,,,,,,
,,,,,,,
Niche,Total Contacts,VMs Sent,Texts Sent,Emails Sent,Replies,Booked Calls,Conversion %
Roofing,0,0,0,0,0,0,-
HVAC,0,0,0,0,0,0,-
Painters,0,0,0,0,0,0,-
MedSpa,0,0,0,0,0,0,-
TOTALS,0,0,0,0,0,0,-
,,,,,,,
CAMPAIGN STATUS,,,,,,,
Niche,Campaign Type,Start Date,Script Version,Status,Notes,,
Roofing,VM + Text Drip,,V1/V2/V3,Ready,DFW area,,
HVAC,VM + Text Drip,,V1/V2/V3,Ready,DFW area,,
Painters,VM + Text Drip,,V1/V2/V3,Ready,DFW area,,
MedSpa,VM + Text Drip,,V1/V2/V3,Ready,DFW area,,
