name,phone,phone.phones_enricher.carrier_type,email,email.emails_validator.status,website,city,state_code,rating,reviews,category,subtypes,full_name,first_name,last_name,title,contact_phone,contact_phone.phones_enricher.carrier_type,vertical,lead_score,email_verified,source_file
Page Restoration,+1 972-213-2751,mobile,marissa@pagerestoration.com,RECEIVING,https://pagerestoration.com/,Wylie,TX,5.0,164.0,Water damage restoration service,Water damage restoration service,,,,,,,damage_restoration_service,80,False,Outscraper-20260118234903s1b_water_damage_restoration_service_+8 (3).xlsx
Southern Turf Co,+1 972-576-9985,landline,aaron@southernturfco.com,INVALID,https://www.southernturfco.com/dallas-fort-worth/,Dallas,TX,5.0,192.0,Turf supplier,"Turf supplier, Artificial plant supplier, Landscape designer, Landscaper",Aaron Hamilton,Aaron,Hamilton,turf advisor/project manager,3166505130.0,mobile,turf_installer,80,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
ForeverLawn Texas,+1 214-206-3920,voip,npavey14@gmail.com,RECEIVING,http://www.foreverlawntexas.com/,Richardson,TX,5.0,172.0,Turf supplier,Turf supplier,Nick Pavey,Nick,Pavey,general manager,4692311584.0,mobile,turf_installer,80,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
DFW Turf Solutions,+1 940-291-9463,voip,bennett@dfwturf.com.if,INVALID,https://dfwturf.com/%3Futm_campaign%3DGBP_Krugerville%26utm_source%3DGoogle_Business_Profile%26utm_medium%3DGoogle_Business_Profile,Krugerville,TX,5.0,552.0,Turf supplier,"Turf supplier, Landscape designer",Bennett Barrier,Bennett,Barrier,chief executive officer,5129222346.0,mobile,turf_installer,80,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Southern Turf Co,+1 972-576-9985,landline,asansom@aol.com,RECEIVING,https://www.southernturfco.com/dallas-fort-worth/,Dallas,TX,5.0,192.0,Turf supplier,"Turf supplier, Artificial plant supplier, Landscape designer, Landscaper",Aaron Sansom,Aaron,Sansom,director of finance,5126568564.0,mobile,turf_installer,80,False,Outscraper-20260122015357m07_artificial_turf_installer_+3 (1).xlsx
Total Garage Solutions LLC,+1 469-975-1679,mobile,seth@totalgaragesolutions.com,RECEIVING,http://totalgaragesolutions.com/%3Futm_source%3Dgoogle-gmb-maps%26utm_medium%3Dgmb-website-button%26utm_campaign%3Dlocl.io%26utm_content%3D98615449-89f6-420c-80f7-3ec143e451a0,,,5.0,365.0,Garage door supplier,"Garage door supplier, Service establishment, Repair service",,,,,,,floor_coating,80,False,Outscraper-20260122015616m1a_epoxy_floor_coating_+3 (1).xlsx
Splash Pad Pool Builder,+1 214-971-7665,mobile,info@splashpadpoolbuilder.com,RECEIVING,https://splashpadpoolbuilder.com/,Royse City,TX,4.8,159.0,Swimming pool contractor,Swimming pool contractor,,,,,,,pool_contractor,79,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
CPR Restoration & Cleaning Services,+1 855-415-5596,toll_free,mfingerman@cprrestoration.com,RECEIVING,https://www.cprrestoration.com/%3Futm_source%3DGMB%26utm_medium%3Dnj,Perth Amboy,NJ,4.9,674.0,Water damage restoration service,"Water damage restoration service, Building restoration service, Fire damage restoration service",Michael Fingerman,Michael,Fingerman,president,12157836659,mobile,damage_restoration_service,79,False,Outscraper-20260118234903s1b_water_damage_restoration_service_+8 (3).xlsx
CPR Restoration & Cleaning Services,+1 855-415-5596,toll_free,michellemarshallcpr@gmail.com,RECEIVING,https://www.cprrestoration.com/%3Futm_source%3DGMB%26utm_medium%3Dnj,Perth Amboy,NJ,4.9,674.0,Water damage restoration service,"Water damage restoration service, Building restoration service, Fire damage restoration service",Michelle Marshall,Michelle,Marshall,,12156881690,mobile,damage_restoration_service,79,False,Outscraper-20260118234903s1b_water_damage_restoration_service_+8 (3).xlsx
Medallion Pools of Texas,+1 469-667-7426,mobile,info@medallionpooldesign.com,RECEIVING,http://www.medallionpooldesign.com/,McKinney,TX,4.8,166.0,Swimming pool contractor,"Swimming pool contractor, Construction company, Pool cleaning service, Swimming pool repair service",Wayne Brito,Wayne,Brito,,14696677426.0,mobile,pool_contractor,79,False,Outscraper-20260122015301m55_swimming_pool_contractor_+3.xlsx
