Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
JJ Tree Service,+1 214-290-6026,mobile,T-Mobile USA,,,http://jjtreeservicedfw.com/,,,,,,,,,,,,,,5,122,,,,,,,,Tree service,"Tree service, Service establishment",True,OPERATIONAL,,"outscraper-raw,tree_service,mobile-verified",outscraper
Kenny’s tree service,+1 214-863-9581,mobile,T-Mobile USA,,,,,,,,,,,,,,,,,5,6,,,,,,,,Tree service,"Tree service, Service establishment",True,OPERATIONAL,,"outscraper-raw,tree_service,mobile-verified",outscraper
Tree MD's Tree Service LLC,+1 214-502-5946,mobile,AT&T Wireless,,,http://treemds.com/,,,,,,,,,208 S Johnson St Suite 204,McKinney,Texas,TX,75069,5,169,,,,,,,,Tree service,Tree service,True,OPERATIONAL,,"outscraper-raw,tree_service,mobile-verified",outscraper
Speedy Tree Services,+1 214-636-3998,mobile,AT&T Wireless,,,http://www.speedytreeservices.com/,,,,,,,,,699 S State Hwy 78,Farmersville,Texas,TX,75442,4.7,65,,,,,,,,Tree service,Tree service,True,OPERATIONAL,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}}","outscraper-raw,tree_service,mobile-verified",outscraper
"All Starr Tree & Landscape, Inc.",+1 214-532-8325,mobile,AT&T Wireless,,,https://www.allstarrtreeandlandscape.com/,,,,,,,,,,,,,,4.7,24,10,1000000,2008,,,,,Landscaper,"Tree service, Service establishment, Landscape architect, Landscape designer, Lawn care service, Landscaper",True,OPERATIONAL,,"outscraper-raw,tree_service,mobile-verified",outscraper
D & M Tree Service,+1 972-979-6638,mobile,AT&T Wireless,,,https://www.treeservicebydm.com/%3Futm_source%3Dgoogle%26utm_medium%3Dbusiness_profile%26utm_campaign%3Dwebsite,,,,,,,,,,,,,,5,147,,,,,,,,Tree service,"Tree service, Arborist service, Service establishment, Landscaper",True,OPERATIONAL,,"outscraper-raw,tree_service,mobile-verified",outscraper
McKinney Tree Service and Landscaping,+1 828-808-3332,mobile,Verizon Wireless,,,https://mckinneytreesservice.com/,,,,,,,,,,,,,,4.6,9,,,,,,,,Tree service,"Tree service, Service establishment",True,OPERATIONAL,,"outscraper-raw,tree_service,mobile-verified",outscraper
FCM TREE SERVICES LLC,+1 201-494-7851,mobile,AT&T Wireless,,,http://fcmtreeservices.com/,,,,,,,,,474 Walker St,Fairview,New Jersey,NJ,07022,5,39,,,,,,,,Tree service,Tree service,True,OPERATIONAL,"{""From the business"": {""Identifies as Latino-owned"": true}, ""Accessibility"": {""Wheelchair accessible restroom"": false, ""Wheelchair accessible seating"": false}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as Latino-owned"": true}}","outscraper-raw,tree_service,mobile-verified",outscraper
"Morales Brothers Tree Service, LLC",+1 973-619-8873,mobile,T-Mobile USA,,,https://treeservicefairviewnj.com/,,,,,,,,,178 Fulton Ave,Fairview,New Jersey,NJ,07022,4.8,79,,,,,,,,Tree service,Tree service,True,OPERATIONAL,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false}}","outscraper-raw,tree_service,mobile-verified",outscraper
Legacy Tree Service,+1 903-453-7207,mobile,AT&T Wireless,,,https://www.thewilsonlegacy.com/,,,,,,,,,,,,,,4.9,68,10,10000000,,,,,,Tree service,"Tree service, Service establishment",True,OPERATIONAL,,"outscraper-raw,tree_service,mobile-verified",outscraper
Chop & Chip Tree Service LLC,+1 201-832-5525,mobile,T-Mobile USA,,,http://www.chopchiptreenj.com/,,,,,,,,,208 8th St,Fairview,New Jersey,NJ,07022,5,76,,,,,,,,Tree service,Tree service,True,OPERATIONAL,"{""Service options"": {""Online estimates"": true, ""Onsite services"": false, ""Language assistance"": ""English, Spanish""}, ""Amenities"": {""Gender-neutral restroom"": true}}","outscraper-raw,tree_service,mobile-verified",outscraper
Arborilogical Services,+1 972-442-1524,mobile,Onvoy,,,http://www.arborilogical.com/,,,,,,,,,16 Steel Rd,Wylie,Texas,TX,75098,4.7,152,50,10000000,1981,,,,,Tree service,Tree service,True,OPERATIONAL,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}","outscraper-raw,tree_service,mobile-verified",outscraper
