Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
"Gonzalez Law, PLLC",8173497330,mobile,Onvoy,inquiry@jagonzalezlaw.com,,https://www.jagonzalezlaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Silberman Law Firm, PLLC",2143072840,mobile,Onvoy,info@silblawfirm.com,,http://silblawfirm.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Martin Lawyers PLLC,6827072999,mobile,Onvoy,info@martinlawyers.com,,http://www.martinlawyers.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Holman Law,9724747828,mobile,Onvoy,,,https://holmanlawllp.com/?utm_campaign=gmb,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Cramer Law Firm,2149981861,mobile,T-Mobile USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"The Alford Law Firm, PLLC",2142280161,mobile,AT&T Wireless,,,https://www.brucealfordlaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Dallas Probate Attorneys | Kreig LLC,4698954333,mobile,Onvoy,,,https://dfw-probate-law.com/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB&utm_term=DPL&utm_content=probate,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Fears Law - Texas Law Firm,2142148800,mobile,Onvoy,,,http://www.fears.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Toronjo & Prosser Law,2146098787,mobile,AT&T Wireless,,,https://www.t-plaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Gonzalez Law, PLLC",8173497330,mobile,Onvoy,inquiry@jagonzalezlaw.com,,https://www.jagonzalezlaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Silberman Law Firm, PLLC",2143072840,mobile,Onvoy,info@silblawfirm.com,,http://silblawfirm.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Martin Lawyers PLLC,6827072999,mobile,Onvoy,info@martinlawyers.com,,http://www.martinlawyers.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Holman Law,9724747828,mobile,Onvoy,,,https://holmanlawllp.com/?utm_campaign=gmb,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Cramer Law Firm,2149981861,mobile,T-Mobile USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"The Alford Law Firm, PLLC",2142280161,mobile,AT&T Wireless,,,https://www.brucealfordlaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Dallas Probate Attorneys | Kreig LLC,4698954333,mobile,Onvoy,,,https://dfw-probate-law.com/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB&utm_term=DPL&utm_content=probate,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Fears Law - Texas Law Firm,2142148800,mobile,Onvoy,,,http://www.fears.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Toronjo & Prosser Law,2146098787,mobile,AT&T Wireless,,,https://www.t-plaw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
