Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Fort Worth Title,8179848678,nonFixedVoip,Bandwidth/RingCentral Messaging - Sinch,reception@ftworthtitle.com,,https://ftworthtitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Texas Title - Fort Worth,8173291510,mobile,Onvoy,careers@texastitle.com,,http://www.texastitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Patten Title Company - Fort Worth,8174352035,nonFixedVoip,Bandwidth/15 - Bandwidth.com - SVR,LuxeTeam@PattenTitle.com,,https://pattentitle.com/fortworth/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Texas Secure Title Company,8175198803,mobile,Onvoy,title@texassecuretitle.com,,http://www.texassecuretitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
WFG National Title Company,8178403655,fixedVoip,Level 3 Communications,compliance@willistonfinancial.com,,http://texas.wfgnationaltitle.com/locations/fort-worth/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Elite Title Company,8174652800,nonFixedVoip,Bandwidth/15 - Bandwidth.com - SVR,Info@CloseElite.com,,https://www.closeelite.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Providence Title Company,8178109594,fixedVoip,Level 3 Communications,mrosner@protitletx.com,,http://www.protitletx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Allegiance Title Company Preston Center - Corporate,2143733500,landline,Teleport Communications America,nathan.wood@allegiancetitle.com,,http://www.allegiancetitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Stewart Title of North Texas - Fort Worth,8177325695,mobile,Onvoy,mediarelations@stewart.com,,http://www.stewart.com/dfw,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Tiago Title, LLC",2143895100,mobile,Onvoy,Ryan@TiagoTX.com,,https://tiagotx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
DHI Title Agency,8172300600,fixedVoip,Level 3 Communications,amoelkers@dhititle.com,,https://dhititle.com/states/Texas/Fort-Worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Providence Title Company,8178556400,fixedVoip,Charter Fiberlink,mrosner@protitletx.com,,http://www.protitletx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Allegiance Title Company Frisco,9726304700,landline,Teleport Communications America,nathan.wood@allegiancetitle.com,,http://www.allegiancetitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Allegiance Title Company - Grand Prairie,9722649044,landline,Teleport Communications America,nathan.wood@allegiancetitle.com,,http://www.allegiancetitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Allegiance Title Company Southlake,8174310500,landline,Teleport Communications America,nathan.wood@allegiancetitle.com,,http://www.allegiancetitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
Alamo Title Company,8178060250,landline,Teleport Communications America,brian.min.alamotitle@outlook.com,,https://dfw.alamotitle.com/Fort-Worth-Magnolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
"Juniper Title, Inc",8173589500,nonFixedVoip,Bandwidth.com CLEC,info@junipertitle.com,,http://junipertitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
WFG National Title Company,9722067470,fixedVoip,Level 3 Communications,compliance@willistonfinancial.com,,https://wfgnationaltitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old_master
