Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
McKinney Garage Doors,+1 214-733-2371,mobile,AT&T Wireless,,,http://mckinneydoors.com/,,,,,,,,,1912 Univ Business Dr Ste 403,McKinney,Texas,TX,75071,4.8,256,50,10000000,,,,,,Garage door supplier,"Garage door supplier, Home improvement store",True,OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as women-owned"": true}}","outscraper-raw,garage_door,mobile-verified",outscraper
The Garage Door Man,+1 214-442-3240,mobile,T-Mobile USA,,,https://www.garagedoorsmckinneytexas.com/,,,,,,,,,,,,,,5,144,,,,,,,,Garage door supplier,"Garage door supplier, Service establishment",True,OPERATIONAL,,"outscraper-raw,garage_door,mobile-verified",outscraper
Closing Masters Garage Doors,+1 201-893-9634,mobile,T-Mobile USA,,,https://closing-masters.com/,,,,,,,,,5665 John F. Kennedy Blvd,North Bergen,New Jersey,NJ,07047,4.9,296,10,1000000,,,,,,Garage door supplier,"Garage door supplier, Garage builder, Spring supplier",True,OPERATIONAL,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true, ""Language assistance"": ""English""}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Other"": {""LGBTQ+ friendly"": true}}","outscraper-raw,garage_door,mobile-verified",outscraper
M&C Garage Door Repair North Bergen,+1 551-360-2343,mobile,Onvoy,,,,,,,,,,,,513 78th St,North Bergen,New Jersey,NJ,07047,5,15,,,,,,,,Garage door supplier,Garage door supplier,True,OPERATIONAL,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}}","outscraper-raw,garage_door,mobile-verified",outscraper
Farmersville Overhead Door,+1 214-733-0575,mobile,AT&T Wireless,,,http://farmersvilleohd.com/,,,,,,,,,,,,,,4.4,5,10,1000000,2017,,,,,Garage door supplier,"Garage door supplier, Service establishment",True,OPERATIONAL,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Other"": {""Identifies as veteran-owned"": true}}","outscraper-raw,garage_door,mobile-verified",outscraper
Bloomfield Overhead Door Repair Inc,+1 973-860-3001,mobile,Onvoy,,,http://bloomfieldoverheaddoorrepair.com/,,,,,,,,,99 N Spring St,Bloomfield,New Jersey,NJ,07003,5,17,,,,,,,,Garage door supplier,Garage door supplier,True,OPERATIONAL,,"outscraper-raw,garage_door,mobile-verified",outscraper
Flowering Garage Door Repair,+1 201-654-0055,mobile,Onvoy,,,,,,,,,,,,1630 Anderson Ave,Fort Lee,New Jersey,NJ,07024,5,13,,,,,,,,Garage door supplier,Garage door supplier,True,OPERATIONAL,,"outscraper-raw,garage_door,mobile-verified",outscraper
MJ United Garage Doors,+1 201-312-1352,mobile,Verizon Wireless,,,https://mjunitedgaragedoor.com/,,,,,,,,,1050 Main St suit 203,Paterson,New Jersey,NJ,07503,5,47,,,,,,,,Garage door supplier,Garage door supplier,True,OPERATIONAL,"{""Service options"": {""Online estimates"": true}}","outscraper-raw,garage_door,mobile-verified",outscraper
Welborn Garage Door Repair,+1 972-265-6378,mobile,Onvoy,,,https://callwelborngarage.com/garage-door-repair-mckinney/,,,,,,,,,6401 Eldorado Pkwy STE 107,McKinney,Texas,TX,75070,5,613,,,,,,,,Garage door supplier,"Garage door supplier, Fence contractor, Repair service",True,OPERATIONAL,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,garage_door,mobile-verified",outscraper
"Axis Garage Doors, LLC",+1 469-545-0453,mobile,AT&T Wireless,,,https://www.axisgaragedoorstx.com/,,,,,,,,,509 Indian Creek,Anna,Texas,TX,75409,5,26,,,,,,,,Garage door supplier,Garage door supplier,True,OPERATIONAL,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true}, ""Other"": {""Identifies as veteran-owned"": true}}","outscraper-raw,garage_door,mobile-verified",outscraper
