Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
ECO Heavy Equipment Onsite Service & Repair LLC,+1 682-498-0505,landline,Verizon Wireless,ecoheavyequipment@gmail.com,RECEIVING,https://ecoheavyequipmentrepair.com/,,,,,,,,,600 Harbour Town Dr,Lake Dallas,Texas,TX,75065,4.7,6,,,,,,,ecoheavyequipmentrepair.com,Road construction machine repair service,Road construction machine repair service,True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}","outscraper-raw,equipment_repair",outscraper
DFW Truck Repair,+1 940-391-2562,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",,,,,,,,,,,,"3177, Unit 4A I-30",Caddo Mills,Texas,TX,75135,4.9,51,,,,,,,,Truck repair shop,"Truck repair shop, Diesel engine repair service, Farm equipment repair service, Mechanic, Repair service, RV repair shop",True,OPERATIONAL,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Service options"": {""Onsite services"": true}, ""Offerings"": {""Oil change"": true}, ""Amenities"": {""Mechanic"": true}, ""Planning"": {""Appointment required"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""Identifies as veteran-owned"": true}}","outscraper-raw,equipment_repair,mobile-verified",outscraper
Truck Repair Expert,+1 214-463-2961,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",contact@truckrepairexpert.com,UNKNOWN,https://truckrepairexpert.com/diesel-mechanic-sachse-tx/,,,,,,,14696172028,mobile,2515 Chene Dr,Sachse,Texas,TX,75048,5,1,,,,,,,truckrepairexpert.com,Truck repair shop,Truck repair shop,True,OPERATIONAL,"{""Accessibility"": {""Assistive hearing loop"": false, ""Wheelchair accessible entrance"": false, ""Wheelchair accessible parking lot"": false, ""Wheelchair accessible restroom"": false, ""Wheelchair accessible seating"": false}, ""Offerings"": {""Oil change"": true}, ""Amenities"": {""Mechanic"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}","outscraper-raw,equipment_repair,mobile-verified",outscraper
Ferguson Equipment Repair Group LLC,+1 346-218-6993,mobile,T-Mobile USA Inc.,service@fergrepair.com,INVALID,https://fergrepair.com/%3Futm_source%3DGMB,,,,,,,3462186993,mobile,12669 Robin Ln,Willis,Texas,TX,77378,4.8,33,,,,,,,fergrepair.com,Farm equipment repair service,"Farm equipment repair service, Equipment supplier, Mechanic",True,OPERATIONAL,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Service options"": {""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as veteran-owned"": true}}","outscraper-raw,equipment_repair,mobile-verified",outscraper
Ferguson Equipment Repair Group LLC,+1 346-218-6993,mobile,T-Mobile USA Inc.,service@fergusonequipmentrepairgroup.com,INVALID,https://fergrepair.com/%3Futm_source%3DGMB,,,,,,,3462186993,mobile,12669 Robin Ln,Willis,Texas,TX,77378,4.8,33,,,,,,,fergrepair.com,Farm equipment repair service,"Farm equipment repair service, Equipment supplier, Mechanic",True,OPERATIONAL,"{""From the business"": {""Identifies as veteran-owned"": true}, ""Service options"": {""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as veteran-owned"": true}}","outscraper-raw,equipment_repair,mobile-verified",outscraper
205 Diesel Repair,+1 903-440-1620,mobile,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX,service@205diesel.com,RECEIVING,https://www.205diesel.com/,,,,,,,9034401620,mobile,1611 State Hwy 276,Rockwall,Texas,TX,75032,4.6,71,,,,,https://www.facebook.com/mountainpacificmechanical/,https://www.instagram.com/mountainpacificmechanical,205diesel.com,Truck repair shop,Truck repair shop,True,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Offerings"": {""Oil change"": true}, ""Amenities"": {""Mechanic"": true, ""Restroom"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}","outscraper-raw,equipment_repair,mobile-verified",outscraper
NB TRUCK AND TRAILER REPAIR,+1 469-961-6497,mobile,T-Mobile,,,,,,,,,,,,,,,,,5,1,,,,,,,,Diesel engine repair service,"Diesel engine repair service, Service establishment",True,OPERATIONAL,,"outscraper-raw,equipment_repair,mobile-verified",outscraper
"Dalrock Equipment and Trucks, LLC",+1 817-504-4537,mobile,"NEW CINGULAR WIRELESS PCS, LLC - IL",,,,,,,,,,,,520 S Houston St,Royse City,Texas,TX,75189,,,,,,,,,,Construction equipment supplier,Construction equipment supplier,False,OPERATIONAL,,"outscraper-raw,equipment_repair,mobile-verified",outscraper
"Dalrock Equipment and Trucks, LLC",+1 214-295-6753,landline,Level 3 Communications,shawn@dalrockge.com,INVALID,http://www.dalrocket.com/,,,,,,,8175044537,mobile,500 Turtle Cove Blvd,Rockwall,Texas,TX,75087,,,,,,,https://www.facebook.com/Dalrock-Equipment-and-Trucks-269585346579060,https://www.instagram.com/dalrock_equipment,dalrocket.com,Construction equipment supplier,Construction equipment supplier,False,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}","outscraper-raw,equipment_repair",outscraper
"Dalrock Equipment and Trucks, LLC",+1 214-295-6753,landline,Level 3 Communications,kendra@dalrocket.com,RECEIVING,http://www.dalrocket.com/,,,,,,,8175044537,mobile,500 Turtle Cove Blvd,Rockwall,Texas,TX,75087,,,,,,,https://www.facebook.com/Dalrock-Equipment-and-Trucks-269585346579060,https://www.instagram.com/dalrock_equipment,dalrocket.com,Construction equipment supplier,Construction equipment supplier,False,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}","outscraper-raw,equipment_repair",outscraper
