First Name,Last Name,Company Name,Phone,Email,Address,City,State,Postal Code,Website,Tags
Welborn,Garage Door Repair,Welborn Garage Door Repair,+19722656378,,6401 Eldorado Pkwy STE 107,McKinney,TX,75070.0,https://callwelborngarage.com/garage-door-repair-mckinney/,"garage-door-campaign,human-led-ai,dfw"
Trusty,Garage Door Repair,Trusty Garage Door Repair,+14697078789,,,,,,https://trustygaragedoors.com/%3Futm_source%3DGBP%26utm_medium%3Dorganic%26utm_campaign%3Doffice,"garage-door-campaign,human-led-ai,dfw"
Imperial,Overhead Garage Door Repair,Imperial Overhead Garage Door Repair,+14692728847,,1023 S Greenville Ave #109,Allen,TX,75002.0,https://imperialgaragedoorrepair.com/,"garage-door-campaign,human-led-ai,dfw"
Trusty,Garage Door Repair Plano,Trusty Garage Door Repair Plano,+12146246348,,1201 E 15th St suite 305,Plano,TX,75074.0,https://www.trustygaragerepair.com/,"garage-door-campaign,human-led-ai,dfw"
Overhead,Garage Doors Of Nj,Overhead Garage Doors of NJ,+19086275226,,53 Sturgis Rd,Edison,NJ,8817.0,https://overheadgaragedoorsnj.com/,"garage-door-campaign,human-led-ai,dfw"
Ellis,Overhead Doors,Ellis Overhead Doors,+19034145179,,203 Bear Rd Unit 13,Van Alstyne,TX,75495.0,http://www.epoverheaddoors.com/,"garage-door-campaign,human-led-ai,dfw"
Garage,Tec Automatic Gates And Garage Door Repair,Garage Tec Automatic Gates & Garage Door Repair,+14694302094,,9081 2nd St #10,Frisco,TX,75034.0,https://garagetec.org/frisco-tx/,"garage-door-campaign,human-led-ai,dfw"
Your,Garage Door Guys,Your Garage Door Guys,+14693892010,,1950 Alpha Dr #100,Rockwall,TX,75087.0,https://yourgdguys.com/,"garage-door-campaign,human-led-ai,dfw"
Anytime,Garage Door,Anytime Garage Door,+14693737439,,180 Industrial Blvd STE D,McKinney,TX,75069.0,https://www.anytimegaragedoor.com/service-areas/dallas-tx-garage-door-repair,"garage-door-campaign,human-led-ai,dfw"
Veteran,Garage Door Repair,Veteran Garage Door Repair,+19723470719,,503 N Kentucky St APT 10,McKinney,TX,75069.0,https://veterangaragedoor.com/our-service-area/garage-door-repair-mckinney-tx/,"garage-door-campaign,human-led-ai,dfw"
The,Garage Door Man,The Garage Door Man,+12144423240,,,,,,https://www.garagedoorsmckinneytexas.com/,"garage-door-campaign,human-led-ai,dfw"
Action,Garage Door Repair Specialists,Action Garage Door Repair Specialists,+19728460508,,1224 Millard Dr,Plano,TX,75074.0,https://www.actiongaragedoor.com/%3Futm_campaign%3Dgmb,"garage-door-campaign,human-led-ai,dfw"
Reliable,Garage Door Repair,Reliable Garage Door Repair,+12143902840,,1413 Shelby Ln Unit C-1,Celina,TX,75009.0,https://reliablegaragedoorrepair.com/%3Futm_source%3Dgooglemb%26utm_medium%3Dorganic%26utm_campaign%3Dweblink%26utm_content%3Dhome,"garage-door-campaign,human-led-ai,dfw"
Premium,Garage Door Repair,Premium Garage Door Repair,+19725296900,,5900 S Lake Forest Dr Ste 300,McKinney,TX,75070.0,https://www.premiumgaragedoorrepair.net/%3Futm_campaign%3Dgoogle%26utm_medium%3Dlocal%26utm_source%3Dgoogle_business_profile,"garage-door-campaign,human-led-ai,dfw"
Closing,Masters Garage Doors,Closing Masters Garage Doors,+12018939634,,5665 John F. Kennedy Blvd,North Bergen,NJ,7047.0,https://closing-masters.com/,"garage-door-campaign,human-led-ai,dfw"
Door,Works,"Door Works, Inc.",+12017941234,,10 Bushes Ln,Elmwood Park,NJ,7407.0,http://www.doorworks.com/,"garage-door-campaign,human-led-ai,dfw"
Mckinney,Garage Doors,McKinney Garage Doors,+12147332371,,1912 Univ Business Dr Ste 403,McKinney,TX,75071.0,http://mckinneydoors.com/,"garage-door-campaign,human-led-ai,dfw"
Miner,Docks Doors And More,"MINER Docks, Doors, and More",+19086241234,,689 Ramsey Ave,Hillside,NJ,7205.0,http://www.njdoorworks.com/,"garage-door-campaign,human-led-ai,dfw"
Doorcraft,Garage Doors,DoorCraft Garage Doors LLC,+14696787998,,2605 Avalon Creek Way,McKinney,TX,75071.0,http://doorcraftgaragedoors.com/,"garage-door-campaign,human-led-ai,dfw"
Garage,Door Heroes,Garage Door Heroes,+14698858106,,,,,,https://garagedoor-heroes.com/,"garage-door-campaign,human-led-ai,dfw"
American,Overhead Garage Door Repair,American Overhead Garage Door Repair,+14695518279,,695 Main St #200,Lavon,TX,75166.0,https://www.americanoverheadgaragedoorrepair.com/,"garage-door-campaign,human-led-ai,dfw"
A1,Affordable Garage Door Services,A1 Affordable Garage Door Services,+19728775774,,3303 N Central Expy #200,Plano,TX,75023.0,https://www.repairgaragedoors.com/,"garage-door-campaign,human-led-ai,dfw"
Garage,Tec Automatic Gates And Garage Door Repair,Garage Tec Automatic Gates & Garage Door Repair,+19726323010,,321 N Central Expy N STE 307,McKinney,TX,75070.0,https://garagetec.org/mckinney-tx/,"garage-door-campaign,human-led-ai,dfw"
Mj,United Garage Doors,MJ United Garage Doors,+12013121352,,1050 Main St suit 203,Paterson,NJ,7503.0,https://mjunitedgaragedoor.com/,"garage-door-campaign,human-led-ai,dfw"
Anthony,Garage Door Repair,Anthony Garage Door Repair,+14698093059,,,,,,http://garagedoorrepairfriscotexas.com/,"garage-door-campaign,human-led-ai,dfw"
