Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Lucas Septic Tank Services,+1 618-993-6038,nonFixedVoip,Vonage/Nexmo - Sinch,,,https://www.lucasseptic.com/,,,,,,,,,14693 Linck Rd,Marion,Illinois,IL,62959,4.3,11,,1000000,1998,,,,,Septic system service,Septic system service,True,OPERATIONAL,,"outscraper-raw,septic_services",outscraper
RR Plumbing Roto-Rooter,+1 212-687-1215,fixedVoip,Level 3 Communications,,,https://www.rotorooter.com/manhattan/%3Futm_source%3DGoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb%26utm_content%3Dwebsite,,,,,,,,,450 7th Ave Ste B,New York,New York,NY,10123,4.8,1560,5000,10000000000,1935,,,,,Plumber,"Plumber, Contractor, Drainage service, Excavating contractor, Repair service, Water damage restoration service, Water filter supplier, Water softening equipment supplier, Water testing service",True,OPERATIONAL,"{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Payments"": {""Credit cards"": true}, ""Other"": {""LGBTQ+ friendly"": true}}","outscraper-raw,septic_services",outscraper
Wilson Services,+1 973-756-3283,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://wilsonservices.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgmb%26utm_campaign%3Dlocal,,,,,,,,,201 Houses Corner Rd,Sparta,New Jersey,NJ,07871,4.9,877,50,,1955,,,,,Septic system service,"Septic system service, Sewage disposal service",True,OPERATIONAL,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": false, ""Wheelchair accessible seating"": false}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Other"": {""LGBTQ+ friendly"": true}}","outscraper-raw,septic_services",outscraper
Lakeland Septic Co Inc,+1 973-838-0438,nonFixedVoip,Bandwidth.com CLEC,,,http://www.lakelandsepticcoinc.com/,,,,,,,,,29 Ricker Dr,Ringwood,New Jersey,NJ,07456,4.6,16,10,1000000,,,,,,Septic system service,Septic system service,True,OPERATIONAL,,"outscraper-raw,septic_services",outscraper
M&B Septic Service & Noah's Ark Port-A-Jon,+1 973-838-5840,mobile,Verizon Wireless,,,http://www.mbsepticservices.com/,,,,,,,,,3 Van Cleef Rd,West Milford,New Jersey,NJ,07480,4.6,56,,,,,,,,Septic system service,Septic system service,True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
Septic Pumping Services,+1 732-256-4002,fixedVoip,Cablevision Lightpath,,,http://www.septicpumpingservicesnj.com/,,,,,,,,,195 Lemon Rd,Farmingdale,New Jersey,NJ,07727,4.8,24,,,,,,,,Septic system service,Septic system service,True,OPERATIONAL,"{""Service options"": {""Onsite services"": true}}","outscraper-raw,septic_services",outscraper
Mac's Septic Services,+1 574-320-5595,mobile,AT&T Wireless,,,http://macs-septic.com/,,,,,,,,,,,,,,4.9,39,,,,,,,,Septic system service,"Septic system service, Service establishment",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
ABS Septic,+1 570-955-6698,mobile,Verizon Wireless,,,https://abssepticpa.com/,,,,,,,,,,,,,,4.7,37,,,,,,,,Septic system service,"Septic system service, Demolition contractor, Service establishment, Excavating contractor",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
Rick's Septic Tank & Pumping,+1 270-791-4099,mobile,Verizon Wireless,,,http://www.rickssepticservice.com/,,,,,,,,,,,,,,4.9,62,10,1000000,2013,,,,,Septic system service,"Septic system service, Service establishment",True,OPERATIONAL,,"outscraper-raw,septic_services,mobile-verified",outscraper
Fred A. Cook Jr. Inc.,+1 914-559-9152,nonFixedVoip,Twilio - SMS/MMS-SVR,,,https://www.fredcook.com/buchanan-septic-services/%3Futm_campaign%3Dgmb,,,,,,,,,3226 Albany Post Rd,Buchanan,New York,NY,10511,4.9,274,25,10000000,1975,,,,,Septic system service,"Septic system service, Drainage service, Pump supplier, Sanitation service, Sewage disposal service, Water tank cleaning service",True,OPERATIONAL,"{""Service options"": {""Onsite services"": true}}","outscraper-raw,septic_services",outscraper
