Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Texas Title - Fort Worth,8173291510,mobile,Onvoy,careers@texastitle.com,,http://www.texastitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Texas Secure Title Company,8175198803,mobile,Onvoy,title@texassecuretitle.com,,http://www.texassecuretitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Stewart Title of North Texas - Fort Worth,8177325695,mobile,Onvoy,mediarelations@stewart.com,,http://www.stewart.com/dfw,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Tiago Title, LLC",2143895100,mobile,Onvoy,Ryan@TiagoTX.com,,https://tiagotx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Stewart Title Company - North Dallas,9723088000,mobile,Onvoy,mediarelations@stewart.com,,http://www.stewart.com/dfw,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Texas Title - Headquarters,9727333800,mobile,Onvoy,careers@texastitle.com,,http://www.texastitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Texas Secure Title Company,8175198802,mobile,Onvoy,title@texassecuretitle.com,,http://www.texassecuretitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Byers & Taylor Title- Fort Worth,8178496900,mobile,Onvoy,,,http://www.byerstaylortitle.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Republic Title of Texas, Inc.",2145216143,mobile,Onvoy,,,https://www.republictitle.com/park-cities/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-local-search&utm_content=texas-park-cities&y_source=1_MTY1NzgyNjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
"Republic Title of Texas, Inc.",2145288916,mobile,Onvoy,,,https://www.republictitle.com/turtle-creek/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-local-search&utm_content=texas-turtle-creek&y_source=1_MTY1NzgyNjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
