First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,line_type,carrier,lookup_status
,,8172511000,,the L.A.B. med spa DALLAS,,,https://www.thelabmedspa.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,9727624636,,Bella MedSpa - Dallas MedSpa,,,http://www.bellamedspadfw.com/,,mobile,AT&T Wireless,success
,,4697890004,,It's A Secret Med Spa,,,https://secretmedspa.com/dallas-tx/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,8176622550,,R&R Aesthetics & Wellness,,,http://www.rrawellness.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,2149889188,,OMNI SCULPT MD: Med Spa,,,https://www.omnisculptmd.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gbp-practice,,nonFixedVoip,Bandwidth/RingCentral Messaging - Sinch,success
,,8178598223,,Vitalyc Medspa | Southlake,,,https://www.vitalyc.com/locations/southlake/?utm_source=google&utm_medium=organic&utm_campaign=google+my+business,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,2149090196,,Skin Glow Medspa,,,https://skinglow-medspa.com/,,mobile,AT&T Wireless,success
,,8173799937,,Hidden Door Medspa,,,http://www.hiddendoorspa.com/,,mobile,Onvoy,success
,,9729546422,,Vitalyc Medspa | Highland Park,,,https://www.vitalyc.com/locations/dallas/?utm_source=google&utm_medium=organic&utm_campaign=google+my+business,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,4697303333,,Mara's Med Spa,,,https://www.marasmedspa.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,2148657800,,Aurum Health,,,http://www.aurumhealth.com/,,nonFixedVoip,Peerless Network,success
,,4696933887,,Zelene Head Spa Mansfield,,,https://zelenespa.com/,,mobile,Verizon Wireless,success
,,4696389368,,Revive Primary Care & Med Spa - Highland Park,,,https://revivepcms.com/highland-park/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
,,4698281732,,Skin Damsel Aesthetics,,,http://skindamsel.com/,,nonFixedVoip,Twilio - SMS/MMS-SVR,success
