Company Name,Phone,Phone_Carrier_Type,Phone_Carrier_Name,Email,Email_Status,Website,Contact_Name,First Name,Last Name,Contact_Title,Contact_Phone,Contact_Phone_Type,Company_Phone,Company_Phone_Type,Street,City,State,State_Code,Zip,Google_Rating,Google_Reviews,Employees,Revenue,Founded,LinkedIn,Facebook,Instagram,Domain,Category,Subtypes,Google_Verified,Business_Status,About,Tags,Source
Bella MedSpa - Dallas MedSpa,9727624636,mobile,AT&T Wireless,,,http://www.bellamedspadfw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Skin Glow Medspa,2149090196,mobile,AT&T Wireless,,,https://skinglow-medspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Hidden Door Medspa,8173799937,mobile,Onvoy,,,http://www.hiddendoorspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Zelene Head Spa Mansfield,4696933887,mobile,Verizon Wireless,,,https://zelenespa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Bare Aesthetics Dallas,2149804371,mobile,Verizon Wireless,,,http://www.bareaestheticsdallas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Ember Medical Spa,4695188195,mobile,AT&T Wireless,,,https://embermedspadallas.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Modern Medical Spa,9723317727,mobile,Onvoy,,,http://www.modernmedicalspa.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
The Body Scrubbery,9258088222,mobile,T-Mobile USA,,,https://thebodyscrubberytexas.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
The MedSpa of DFW,8175466772,mobile,Onvoy,,,https://medspaofdfw.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
Bougie Aesthetics,8172290014,mobile,AT&T Wireless,,,https://www.bougieaesthetics.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
DFW MEDICAL SPA,4692799897,mobile,Verizon Wireless,,,http://www.dfwmedspabeauty.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,mobile-verified,old_master
