First Name,Last Name,Phone,Email,Company Name,City,State,Website,Tags,line_type,carrier,lookup_status
,,8179848678,reception@ftworthtitle.com,Fort Worth Title,,,https://ftworthtitle.com/,,nonFixedVoip,Bandwidth/RingCentral Messaging - Sinch,success
,,8173291510,careers@texastitle.com,Texas Title - Fort Worth,,,http://www.texastitle.com/,,mobile,Onvoy,success
,,8174352035,LuxeTeam@PattenTitle.com,Patten Title Company - Fort Worth,,,https://pattentitle.com/fortworth/,,nonFixedVoip,Bandwidth/15 - Bandwidth.com - SVR,success
,,8175198803,title@texassecuretitle.com,Texas Secure Title Company,,,http://www.texassecuretitle.com/,,mobile,Onvoy,success
,,8178403655,compliance@willistonfinancial.com,WFG National Title Company,,,http://texas.wfgnationaltitle.com/locations/fort-worth/,,fixedVoip,Level 3 Communications,success
,,8174652800,Info@CloseElite.com,Elite Title Company,,,https://www.closeelite.com/,,nonFixedVoip,Bandwidth/15 - Bandwidth.com - SVR,success
,,8178109594,mrosner@protitletx.com,Providence Title Company,,,http://www.protitletx.com/,,fixedVoip,Level 3 Communications,success
,,2143733500,nathan.wood@allegiancetitle.com,Allegiance Title Company Preston Center - Corporate,,,http://www.allegiancetitle.com/,,landline,Teleport Communications America,success
,,8177325695,mediarelations@stewart.com,Stewart Title of North Texas - Fort Worth,,,http://www.stewart.com/dfw,,mobile,Onvoy,success
,,2143895100,Ryan@TiagoTX.com,"Tiago Title, LLC",,,https://tiagotx.com/,,mobile,Onvoy,success
,,8172300600,amoelkers@dhititle.com,DHI Title Agency,,,https://dhititle.com/states/Texas/Fort-Worth,,fixedVoip,Level 3 Communications,success
,,8178556400,mrosner@protitletx.com,Providence Title Company,,,http://www.protitletx.com/,,fixedVoip,Charter Fiberlink,success
,,9726304700,nathan.wood@allegiancetitle.com,Allegiance Title Company Frisco,,,http://www.allegiancetitle.com/,,landline,Teleport Communications America,success
,,9722649044,nathan.wood@allegiancetitle.com,Allegiance Title Company - Grand Prairie,,,http://www.allegiancetitle.com/,,landline,Teleport Communications America,success
,,8174310500,nathan.wood@allegiancetitle.com,Allegiance Title Company Southlake,,,http://www.allegiancetitle.com/,,landline,Teleport Communications America,success
,,8178060250,brian.min.alamotitle@outlook.com,Alamo Title Company,,,https://dfw.alamotitle.com/Fort-Worth-Magnolia,,landline,Teleport Communications America,success
,,8173589500,info@junipertitle.com,"Juniper Title, Inc",,,http://junipertitle.com/,,nonFixedVoip,Bandwidth.com CLEC,success
,,9722067470,compliance@willistonfinancial.com,WFG National Title Company,,,https://wfgnationaltitle.com/,,fixedVoip,Level 3 Communications,success
,,9723555525,nathan.wood@allegiancetitle.com,Allegiance Title Company Flower Mound,,,http://www.allegiancetitle.com/,,landline,Teleport Communications America,success
,,8178497166,corporatehumanresources@oldrepublictitle.com,Old Republic Title,,,https://www.oldrepublictitle.com/texas/dfw/alliance,,fixedVoip,Level 3 Communications,success
,,9723088000,mediarelations@stewart.com,Stewart Title Company - North Dallas,,,http://www.stewart.com/dfw,,mobile,Onvoy,success
,,2146235589,Jeff.Fielder@IndependenceTitle.com,Independence Title Company - Schultz & Kellar - Dallas,,,https://www.independencedfw.com/our-team/dallas,,nonFixedVoip,Bandwidth/RingCentral Messaging - Sinch,success
,,9727333800,careers@texastitle.com,Texas Title - Headquarters,,,http://www.texastitle.com/,,mobile,Onvoy,success
,,8175198802,title@texassecuretitle.com,Texas Secure Title Company,,,http://www.texassecuretitle.com/,,mobile,Onvoy,success
,,2145211122,nathan.wood@allegiancetitle.com,Allegiance Title Turtle Creek,,,http://www.allegiancetitle.com/,,landline,Teleport Communications America,success
,,9726506847,AdminDFW@FNF.com,Fidelity National Title,,,https://dallas.fntic.com/Irving-Commercial,,landline,Teleport Communications America,success
,,9727589200,nathan.wood@allegiancetitle.com,Allegiance Title Company Plano,,,http://www.allegiancetitle.com/,,landline,Teleport Communications America,success
,,9723048000,nathan.wood@allegiancetitle.com,Allegiance Title Company Coppell,,,http://www.allegiancetitle.com/,,landline,Teleport Communications America,success
,,8176978335,,TX Success Title,,,https://txsuccess.com/,,nonFixedVoip,Onvoy/4 - Sinch,success
,,8178496900,,Byers & Taylor Title- Fort Worth,,,http://www.byerstaylortitle.com/,,mobile,Onvoy,success
,,8172585523,,Independence Title Fort Worth,,,https://independencetitle.com/dfw/find-us/?utm_source=gmb&utm_medium=Yext,,nonFixedVoip,Bandwidth.com CLEC,success
,,2145216143,,"Republic Title of Texas, Inc.",,,https://www.republictitle.com/park-cities/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-local-search&utm_content=texas-park-cities&y_source=1_MTY1NzgyNjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,mobile,Onvoy,success
,,2145288916,,"Republic Title of Texas, Inc.",,,https://www.republictitle.com/turtle-creek/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-local-search&utm_content=texas-turtle-creek&y_source=1_MTY1NzgyNjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,mobile,Onvoy,success
,,8179934593,,University Title Company - Fort Worth,,,https://www.utitle.com/dallas-fort-worth,,nonFixedVoip,Sinch/5 A2P - Sinch,success
,,2148237100,,"Republic Title of Texas, Inc.",,,https://www.republictitle.com/lakewood/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-local-search&utm_content=texas-lakewood&y_source=1_MTY1NzgyNTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,nonFixedVoip,Bandwidth.com CLEC,success
,,2142179300,,Sentinel Title Company,,,http://sentineltitlecompany.com/,,nonFixedVoip,Bandwidth.com CLEC,success
,,8176995002,,First American Title - Fort Worth,,,https://local.firstam.com/tx/offices/fort-worth?y_source=1_MjAxNjc1OTkzOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,landline,MCI Metro,success
,,9722480971,,"Republic Title of Texas, Inc.",,,https://www.republictitle.com/north-dallas/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-local-search&utm_content=texas-north-dallas&y_source=1_MTY1NzgyNjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,mobile,Onvoy,success
,,2145209999,,National Title Group Dallas,,,https://nationaltitlegroup.com/dallas-team/,,fixedVoip,Level 3 Communications,success
,,2142197300,,Capital Title of Texas – Park Cities,,,http://www.ctot.com/,,mobile,Onvoy,success
,,8174786100,,Rattikin Title Company Arlington,,,https://www.rattikintitle.com/,,fixedVoip,U.S. Telepacific Corp.,success
,,8175909725,,"TMD Surety Bonds - Bonded Titles, Dealer Bonds, Notary Bonds and More",,,http://www.tmdsuretybonds.com/,,nonFixedVoip,Onvoy/4 - Sinch,success
,,4698020922,,Acrisure Title of Texas - Preston Center,,,http://www.acrisuretitle.com/texas,,nonFixedVoip,Peerless Network,success
,,9725788611,,"Republic Title of Texas, Inc.",,,https://www.republictitle.com/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-local-search&utm_content=texas-plano&y_source=1_MTY1NzgyNTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,mobile,Onvoy,success
,,8178341913,,Alamo Title Co,,,https://www.alamotitle.com/,,fixedVoip,Charter Fiberlink,success
,,2148211411,,Lakewood Title llc,,,https://lakewoodtitletx.com/,,nonFixedVoip,Bandwidth.com CLEC,success
,,9724238777,,"Republic Title of Texas, Inc.",,,https://www.republictitle.com/richardson/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-local-search&utm_content=texas-richardson&y_source=1_MTY1NzgyNjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,fixedVoip,U.S. Telepacific Corp.,success
,,8175466212,,Capital Title of Texas – Burleson,,,https://www.ctot.com/,,mobile,Onvoy,success
,,9727591180,,Lennar Title - Dallas Branch,,,https://lennartitle.com/,,landline,Teleport Communications America,success
,,2149649840,,Independence Title Lakewood,,,https://independencetitle.com/offices/lakewood-office/?utm_source=gmb&utm_medium=Yext,,nonFixedVoip,Bandwidth.com CLEC,success
,,2148558888,,"Republic Title of Texas, Inc.",,,https://www.republictitle.com/dallas-uptown-commercial/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-commercial-local-search&utm_content=texas-dallas-uptown&y_source=1_MTY1NDE3NDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,mobile,Onvoy,success
,,2143971234,,Alamo Title Company,,,,,landline,Teleport Communications America,success
,,9726184711,,"Republic Title of Texas, Inc.",,,https://www.republictitle.com/plano-allen/?utm_source=google-my-business&utm_medium=organic&utm_campaign=republic-local-search&utm_content=texas-plano-allen&y_source=1_MTY1NzgyNjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,mobile,Onvoy,success
,,9728929300,,First American Title Co,,,http://www.firstam.com/,,landline,MCI Metro,success
,,9725881280,,First National Title Insurance Company,,,http://www.fnti.com/,,mobile,Onvoy,success
,,8176333700,,"W. Michael Greene, P.C. - Alamo Title Company",,,http://wmichaelgreene.com/,,fixedVoip,Charter Fiberlink,success
,,9728717000,,Reunion Title,,,https://www.reuniontitle.com/,,nonFixedVoip,Bandwidth.com CLEC,success
,,8173321171,,Rattikin Title Company Corporate,,,https://www.rattikintitle.com/,,fixedVoip,U.S. Telepacific Corp.,success
,,4699464926,,JM Auto Title Service - Titulos Y Placas - Surety Bond Title,,,https://jmautotitleservices.com/,,mobile,T-Mobile USA,success
,,2145212424,,Chicago Title Insurance Company,,,https://www.ctic.com/,,mobile,Onvoy,success
